accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.310000,-5.449203,-3.466804,11.640609
0.330000,-5.631163,-3.557784,11.625046
0.350000,-5.770369,-3.647277,11.707664
0.370000,-5.875557,-3.596622,11.805422
0.390000,-5.904464,-3.547479,11.782405
0.410000,-5.851340,-3.605372,11.691284
0.430000,-5.759889,-3.706395,11.576300
0.450000,-5.645585,-3.758522,11.474474
0.470000,-5.527469,-3.773420,11.348553
0.490000,-5.427319,-3.790901,11.221354
0.510000,-5.333152,-3.776457,11.088181
0.530000,-5.225743,-3.702443,10.959718
0.550000,-5.104785,-3.590856,10.842354
0.570000,-4.998219,-3.471539,10.732305
0.590000,-4.912273,-3.365984,10.613936
0.610000,-4.824788,-3.266965,10.499155
0.630000,-4.730660,-3.163995,10.396584
0.650000,-4.647529,-3.080445,10.301248
0.670000,-4.569476,-3.022123,10.202530
0.690000,-4.486516,-2.956179,10.106292
0.710000,-4.407751,-2.869946,10.011329
0.730000,-4.332001,-2.767597,9.916869
0.750000,-4.251326,-2.660787,9.830215
0.770000,-4.169705,-2.563388,9.744468
0.790000,-4.093201,-2.479194,9.656222
0.810000,-4.022605,-2.411461,9.561560
0.830000,-3.946214,-2.361609,9.460742
0.850000,-3.858612,-2.323938,9.358116
0.870000,-3.765712,-2.287780,9.252316
0.890000,-3.682528,-2.252293,9.142783
0.910000,-3.610986,-2.218331,9.028463
0.930000,-3.538774,-2.188016,8.912844
0.950000,-3.454660,-2.157574,8.789042
0.970000,-3.353827,-2.123484,8.653925
0.990000,-3.236011,-2.079402,8.501692
1.010000,-3.096655,-2.025891,8.326168
1.030000,-2.943394,-1.973898,8.133739
1.050000,-2.781446,-1.914535,7.930989
1.070000,-2.621040,-1.818905,7.701945
1.090000,-2.466333,-1.677553,7.440162
1.110000,-2.333069,-1.543845,7.167817
1.130000,-2.240602,-1.463316,6.881392
1.150000,-2.226504,-1.427041,6.566050
1.170000,-2.283914,-1.390545,6.218441
1.190000,-2.398981,-1.344636,5.856628
1.210000,-2.567164,-1.326599,5.470851
1.230000,-2.783242,-1.352648,5.077521
1.250000,-3.063947,-1.442218,4.804294
1.270000,-3.371498,-1.660445,4.693166
1.290000,-3.397787,-1.977616,4.482175
1.310000,-3.039496,-2.139644,4.056308
1.330000,-3.260684,-2.171124,4.208535
1.350000,-4.242682,-2.231206,5.429549
1.370000,-4.981964,-4.138134,10.901304
1.390000,-2.410703,-6.271384,1.134073
1.410000,7.604377,-4.173344,-9.534139
1.430000,3.007217,-0.309047,-3.852201
1.450000,-6.567659,1.486389,-1.277635
1.470000,-14.420280,0.340075,-3.300176
1.490000,-11.250956,-0.589061,-5.202798
1.510000,-3.267640,-1.459450,-5.011384
1.530000,6.986664,-2.674567,-3.648716
1.550000,5.930287,-2.526151,-3.535040
1.570000,2.408472,-1.281073,-3.579122
1.590000,2.375515,0.261921,-3.109457
1.610000,4.059440,0.858047,-2.405953
1.630000,4.589740,0.826844,-1.746379
1.650000,3.832336,0.904423,0.137989
1.670000,2.203913,2.363417,9.802317
1.690000,0.167521,3.124966,14.715280
1.710000,-0.727700,3.613320,12.319499
1.730000,-0.720300,3.607693,9.802118
1.750000,-0.628664,2.993733,7.905748
1.770000,-0.464459,2.168484,6.818349
1.790000,0.018635,1.733107,6.295750
1.810000,0.603159,1.671118,6.449609
1.830000,1.202130,1.813103,7.293326
1.850000,1.589390,1.940784,8.530492
1.870000,1.543888,1.848939,9.758688
1.890000,1.388018,1.677543,10.466673
1.910000,1.324443,1.373658,10.524220
1.930000,1.279590,0.937815,10.292183
1.950000,1.213764,0.551605,10.048698
1.970000,1.126742,0.301428,9.906222
1.990000,1.018460,0.135437,9.888603
2.010000,0.901541,-0.013064,9.946674
2.030000,0.797441,-0.190950,10.016582
2.050000,0.752679,-0.354174,10.066086
2.070000,0.742404,-0.470815,10.108195
2.090000,0.730160,-0.552454,10.155426
2.110000,0.727440,-0.629548,10.197328
2.130000,0.751082,-0.707727,10.228433
2.150000,0.778310,-0.776521,10.262762
2.170000,0.776493,-0.828107,10.307074
2.190000,0.762184,-0.866187,10.350484
2.210000,0.749590,-0.894149,10.386167
2.230000,0.743382,-0.918755,10.411659
2.250000,0.737267,-0.949289,10.425828
2.270000,0.730480,-0.984215,10.434562
2.290000,0.725277,-1.013390,10.443380
2.332000,0.725126,-1.037702,10.456537
2.352000,0.730312,-1.061270,10.469917
2.372000,0.735630,-1.082553,10.484974
2.392000,0.736761,-1.100683,10.497695
2.412000,0.736013,-1.115771,10.507239
2.432000,0.736188,-1.132125,10.513342
2.452000,0.739188,-1.153363,10.514782
2.472000,0.740875,-1.179127,10.512649
2.492000,0.742474,-1.210498,10.510571
2.512000,0.749058,-1.245168,10.507843
2.532000,0.757061,-1.282979,10.508464
2.552000,0.763881,-1.323798,10.512027
2.572000,0.769137,-1.361691,10.518496
2.592000,0.773375,-1.391981,10.525708
2.612000,0.775784,-1.413450,10.530481
2.632000,0.776318,-1.428580,10.533943
2.652000,0.774837,-1.440472,10.536009
2.672000,0.773675,-1.450134,10.539581
2.692000,0.771807,-1.457893,10.544841
2.712000,0.769915,-1.464641,10.552066
2.732000,0.768243,-1.471950,10.559849
2.752000,0.768676,-1.479785,10.567685
2.772000,0.771930,-1.486893,10.574069
2.792000,0.776574,-1.490812,10.578775
