gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.310000,-0.986044,3.328516,2.086801
0.330000,-1.170570,3.446959,2.121574
0.350000,-1.362034,3.531833,2.167781
0.370000,-1.566139,3.596081,2.207021
0.390000,-1.757265,3.632459,2.240799
0.410000,-1.914414,3.625729,2.269896
0.430000,-2.017901,3.566402,2.285242
0.450000,-2.043098,3.452715,2.284153
0.470000,-1.980152,3.292008,2.260290
0.490000,-1.849643,3.102249,2.206683
0.510000,-1.680214,2.901212,2.120622
0.530000,-1.497191,2.699851,2.006185
0.550000,-1.325139,2.501375,1.872583
0.570000,-1.190602,2.305210,1.728916
0.590000,-1.105708,2.112675,1.584264
0.610000,-1.068585,1.927138,1.444055
0.630000,-1.068580,1.752974,1.311708
0.650000,-1.090561,1.591943,1.188843
0.670000,-1.119395,1.443238,1.076729
0.690000,-1.142203,1.305509,0.975809
0.710000,-1.149242,1.180507,0.884946
0.730000,-1.135023,1.071165,0.802071
0.750000,-1.100701,0.976416,0.725805
0.770000,-1.054853,0.892826,0.655171
0.790000,-1.004803,0.815193,0.588024
0.810000,-0.954370,0.739772,0.521396
0.830000,-0.903361,0.666816,0.452773
0.850000,-0.848777,0.599029,0.380686
0.870000,-0.788912,0.538689,0.305152
0.890000,-0.723737,0.486368,0.228348
0.910000,-0.652152,0.440704,0.154805
0.930000,-0.572115,0.398493,0.088717
0.950000,-0.485935,0.356164,0.032100
0.970000,-0.398824,0.312266,-0.015836
0.990000,-0.314761,0.267607,-0.056809
1.010000,-0.234183,0.223185,-0.091628
1.030000,-0.159258,0.179725,-0.120849
1.050000,-0.095212,0.138490,-0.144705
1.070000,-0.046452,0.101427,-0.163156
1.090000,-0.012742,0.068980,-0.175927
1.110000,0.009141,0.040362,-0.183478
1.130000,0.022278,0.015065,-0.186878
1.150000,0.028692,-0.006412,-0.187622
1.170000,0.030234,-0.023659,-0.186998
1.190000,0.029399,-0.036959,-0.185593
1.210000,0.028340,-0.046330,-0.182891
1.230000,0.024753,-0.051486,-0.179066
1.250000,0.017210,-0.052366,-0.173881
1.270000,0.007423,-0.049702,-0.166854
1.290000,-0.004007,-0.044600,-0.157991
1.310000,-0.019091,-0.037670,-0.147956
1.330000,-0.038113,-0.029512,-0.137182
1.350000,-0.060618,-0.020593,-0.126049
1.370000,-0.084458,-0.010802,-0.114853
1.390000,-0.106124,-0.001006,-0.103048
1.410000,-0.124871,0.006627,-0.090376
1.430000,-0.140704,0.011252,-0.076945
1.450000,-0.152328,0.014028,-0.063061
1.470000,-0.157836,0.015795,-0.049136
1.490000,-0.158240,0.015732,-0.035447
1.510000,-0.157721,0.013351,-0.022496
1.530000,-0.159211,0.009324,-0.010732
1.550000,-0.162672,0.004283,-0.000561
1.570000,-0.168135,-0.001726,0.007378
1.590000,-0.175646,-0.008333,0.012792
1.610000,-0.182806,-0.015389,0.016400
1.630000,-0.187658,-0.023346,0.018602
1.650000,-0.189432,-0.032372,0.019868
1.670000,-0.187727,-0.042495,0.020213
1.690000,-0.182514,-0.053786,0.019702
1.710000,-0.175208,-0.066269,0.018332
1.730000,-0.167865,-0.080211,0.016568
1.750000,-0.162209,-0.096252,0.014226
1.770000,-0.156870,-0.113685,0.011251
1.790000,-0.151080,-0.132201,0.007983
1.810000,-0.145465,-0.152414,0.004214
1.830000,-0.140252,-0.174204,0.000538
1.850000,-0.135809,-0.196653,-0.003232
1.870000,-0.132406,-0.220004,-0.007063
1.890000,-0.130046,-0.244794,-0.010777
1.910000,-0.128327,-0.269843,-0.014780
1.930000,-0.125929,-0.293887,-0.019239
1.950000,-0.121544,-0.317390,-0.023660
1.970000,-0.116663,-0.341272,-0.027862
1.990000,-0.113004,-0.365276,-0.032307
2.010000,-0.109774,-0.388530,-0.037325
2.030000,-0.106255,-0.411248,-0.042693
2.050000,-0.102711,-0.433442,-0.048085
2.070000,-0.099146,-0.454572,-0.053226
2.090000,-0.095944,-0.474675,-0.057978
2.110000,-0.093598,-0.493799,-0.062259
2.130000,-0.091702,-0.511644,-0.066039
2.150000,-0.089459,-0.528240,-0.069383
2.170000,-0.086634,-0.543615,-0.072315
2.190000,-0.084070,-0.557160,-0.074701
2.210000,-0.081897,-0.568836,-0.076446
2.230000,-0.079221,-0.580136,-0.077582
2.250000,-0.076181,-0.591646,-0.078290
2.270000,-0.073940,-0.601674,-0.078985
2.290000,-0.072784,-0.609412,-0.079974
2.357000,-0.074126,-0.617266,-0.081230
2.377000,-0.076042,-0.623590,-0.083110
2.397000,-0.077863,-0.630033,-0.085536
2.417000,-0.079030,-0.638939,-0.088472
2.437000,-0.079749,-0.650350,-0.092138
2.457000,-0.080178,-0.663093,-0.096505
2.477000,-0.080041,-0.675665,-0.101199
2.497000,-0.077870,-0.687625,-0.106053
2.517000,-0.073970,-0.701018,-0.110455
2.537000,-0.070650,-0.715353,-0.113014
2.557000,-0.071893,-0.728421,-0.115045
2.577000,-0.078501,-0.735883,-0.117098
2.597000,-0.088048,-0.739060,-0.119116
2.617000,-0.098907,-0.739635,-0.120600
2.637000,-0.115168,-0.735939,-0.120536
