accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.315000,-0.344765,0.536301,6.349423
0.335000,-0.656011,0.404620,6.076484
0.355000,-1.036712,0.339862,5.870615
0.375000,-1.545625,0.239052,5.764466
0.395000,-2.104264,0.203978,5.629274
0.415000,-2.740898,0.189045,5.449188
0.435000,-3.411489,0.138137,5.239229
0.455000,-4.129618,0.049805,5.007105
0.475000,-4.975590,-0.090400,4.787080
0.495000,-5.986940,-0.283015,4.599253
0.515000,-7.126606,-0.528874,4.454865
0.535000,-8.299908,-0.853078,4.338754
0.555000,-9.360270,-1.241885,4.258689
0.575000,-10.178921,-1.661873,4.190378
0.595000,-10.710535,-2.054870,4.116781
0.615000,-11.027116,-2.409600,4.035630
0.635000,-11.249588,-2.737269,3.977471
0.655000,-11.397241,-3.010208,3.958406
0.675000,-11.432716,-3.227228,3.963933
0.695000,-11.357588,-3.421569,3.970437
0.715000,-11.207112,-3.596324,3.969392
0.735000,-11.024092,-3.742273,3.963697
0.755000,-10.840225,-3.867499,3.964429
0.775000,-10.648539,-3.976430,3.978951
0.795000,-10.448298,-4.072186,4.006283
0.815000,-10.246614,-4.150581,4.036006
0.835000,-10.044778,-4.207718,4.067893
0.855000,-9.850480,-4.253693,4.099689
0.875000,-9.677171,-4.297929,4.142704
0.895000,-9.549525,-4.335933,4.207771
0.915000,-9.461079,-4.345461,4.272525
0.935000,-9.399165,-4.331446,4.316652
0.955000,-9.357590,-4.331132,4.353146
0.975000,-9.341130,-4.365536,4.408295
0.995000,-9.370128,-4.407695,4.493620
1.015000,-9.444776,-4.424429,4.569380
1.035000,-9.547780,-4.444215,4.650534
1.055000,-9.657894,-4.488685,4.749452
1.075000,-9.782381,-4.519097,4.837296
1.095000,-9.911611,-4.520675,4.900446
1.115000,-9.998306,-4.517918,4.965061
1.135000,-10.053164,-4.554444,5.030743
1.155000,-10.097120,-4.589873,5.082985
1.175000,-10.126638,-4.586652,5.123424
1.195000,-10.127476,-4.549052,5.156618
1.215000,-10.104500,-4.506378,5.189476
1.235000,-10.060672,-4.466061,5.222882
1.255000,-9.982919,-4.415010,5.250556
1.275000,-9.863179,-4.355019,5.275756
1.295000,-9.710346,-4.301363,5.306138
1.315000,-9.536920,-4.270403,5.334131
1.335000,-9.341461,-4.240652,5.353836
1.355000,-9.123459,-4.199995,5.359228
1.375000,-8.877388,-4.150537,5.365034
1.395000,-8.588067,-4.086323,5.380861
1.415000,-8.252006,-4.007977,5.394872
1.435000,-7.893854,-3.930951,5.397831
1.455000,-7.536280,-3.863442,5.387475
1.475000,-7.167742,-3.790501,5.381362
1.495000,-6.784146,-3.722628,5.380997
1.515000,-6.349640,-3.663863,5.361618
1.535000,-5.853188,-3.600574,5.335731
1.555000,-5.337273,-3.524048,5.326742
1.575000,-4.824184,-3.447081,5.337095
1.595000,-4.316850,-3.417325,5.341339
1.615000,-3.725240,-3.438207,5.351923
