gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.310000,-4.365721,4.365588,4.365588
0.330000,-4.365721,4.365588,4.365588
0.350000,-4.365721,4.250876,4.365588
0.370000,-4.365721,4.003223,4.365588
0.390000,-4.365721,3.680183,4.365588
0.410000,-4.209064,3.339410,4.332569
0.430000,-3.816419,3.028405,4.209055
0.450000,-3.290482,2.775415,4.014750
0.470000,-2.728856,2.568384,3.766204
0.490000,-2.237186,2.376929,3.481794
0.510000,-1.875376,2.194668,3.188790
0.530000,-1.641756,2.021427,2.903587
0.550000,-1.511661,1.852955,2.634693
0.570000,-1.452165,1.688499,2.383129
0.590000,-1.429185,1.529946,2.150858
0.610000,-1.414033,1.378910,1.936859
0.630000,-1.387069,1.237667,1.738905
0.650000,-1.339192,1.109057,1.553925
0.670000,-1.268402,0.994910,1.377394
0.690000,-1.177008,0.894815,1.205206
0.710000,-1.071399,0.804994,1.033822
0.730000,-0.957082,0.721946,0.860684
0.750000,-0.837318,0.644510,0.683531
0.770000,-0.712382,0.572166,0.500708
0.790000,-0.581846,0.503709,0.311701
0.810000,-0.445668,0.437003,0.116911
0.830000,-0.304474,0.369903,-0.082762
0.850000,-0.158454,0.300874,-0.285474
0.870000,-0.002918,0.226007,-0.487623
0.890000,0.150769,0.143382,-0.682896
0.910000,0.271521,0.053283,-0.872314
0.930000,0.362002,-0.044700,-1.056008
0.950000,0.445721,-0.147255,-1.222886
0.970000,0.507142,-0.255203,-1.370336
0.990000,0.518491,-0.369440,-1.503802
1.010000,0.508739,-0.481640,-1.621051
1.030000,0.518205,-0.587448,-1.709850
1.050000,0.540082,-0.690001,-1.773213
1.070000,0.556796,-0.790100,-1.817129
1.090000,0.569447,-0.882547,-1.843051
1.110000,0.585676,-0.959330,-1.852382
1.130000,0.605391,-1.018775,-1.847206
1.150000,0.625048,-1.066270,-1.828873
1.170000,0.640385,-1.104589,-1.800509
1.190000,0.645995,-1.132248,-1.763282
1.210000,0.642015,-1.150303,-1.720399
1.230000,0.632734,-1.168491,-1.675600
1.250000,0.619051,-1.188561,-1.633751
1.270000,0.597637,-1.207337,-1.601398
1.290000,0.565548,-1.227099,-1.581000
1.310000,0.530920,-1.251037,-1.573137
1.330000,0.523863,-1.264942,-1.570662
1.350000,0.555993,-1.267676,-1.567252
1.370000,0.607255,-1.266594,-1.560752
1.390000,0.652874,-1.266190,-1.552658
1.410000,0.678194,-1.267908,-1.547527
1.430000,0.690130,-1.269707,-1.542408
1.450000,0.702619,-1.271058,-1.524985
1.470000,0.702512,-1.261299,-1.485989
1.490000,0.673189,-1.233623,-1.421603
1.510000,0.627588,-1.186530,-1.321187
1.530000,0.586190,-1.108722,-1.158481
1.550000,0.566447,-0.967405,-0.929052
1.570000,0.565583,-0.770612,-0.672367
1.590000,0.605913,-0.547003,-0.392142
1.610000,0.635280,-0.301774,-0.150418
1.630000,0.479518,-0.530668,-0.432729
1.650000,0.619534,-0.652175,-0.716705
1.670000,0.456592,-0.345016,-0.739123
1.690000,0.250707,-0.269478,-0.700806
1.711000,0.237353,-0.230012,-0.648831
1.731000,0.203785,-0.187286,-0.543693
1.751000,0.146180,-0.175926,-0.422974
1.771000,0.192787,-0.158791,-0.377214
1.791000,0.215985,-0.149147,-0.359825
1.811000,0.153761,-0.152873,-0.357421
1.831000,0.086905,-0.148629,-0.341094
1.851000,0.085997,-0.126513,-0.304238
1.871000,0.128855,-0.106266,-0.277186
1.891000,0.120080,-0.099229,-0.277203
1.911000,0.055300,-0.106029,-0.270794
1.931000,0.024115,-0.108338,-0.260382
1.951000,0.030127,-0.103760,-0.252420
1.971000,0.035575,-0.096885,-0.245998
1.991000,0.035036,-0.086952,-0.237478
2.011000,0.028965,-0.078564,-0.227689
2.031000,0.017338,-0.071266,-0.220892
2.051000,0.009201,-0.064184,-0.215140
