accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.420000,-5.748478,-1.199495,2.674323
0.440000,-7.183803,-0.946907,2.343924
0.460000,-9.009764,-1.059422,1.846875
0.480000,-10.824395,-1.334071,1.389621
0.500000,-12.687398,-1.710993,1.151165
0.520000,-14.596987,-2.737194,1.031217
0.540000,-15.843408,-4.184182,1.027424
0.560000,-16.339659,-5.378335,1.169590
0.580000,-16.374640,-6.084771,1.464025
0.600000,-16.182728,-6.459282,1.870661
0.620000,-15.861430,-6.839641,2.321583
0.640000,-15.412422,-7.306883,2.753180
0.660000,-14.815532,-7.757339,3.088038
0.680000,-14.108768,-8.039676,3.350527
0.700000,-13.412399,-8.230254,3.594210
0.720000,-12.840371,-8.507351,3.789787
0.740000,-12.315926,-8.845634,3.937303
0.760000,-11.769625,-9.245876,4.053048
0.780000,-11.236300,-9.815971,4.137654
0.800000,-10.744414,-10.587249,4.191672
0.820000,-10.370327,-11.354485,4.197366
0.840000,-10.227213,-11.940536,4.196525
0.860000,-10.291522,-12.424107,4.177510
0.880000,-10.429403,-12.840774,4.103299
0.900000,-10.529326,-13.041297,3.976831
0.920000,-10.641341,-13.084515,3.860845
0.940000,-10.774325,-13.120819,3.775490
0.960000,-10.898349,-13.151872,3.674735
0.980000,-11.020609,-13.106676,3.546987
1.000000,-11.180260,-12.986956,3.405451
1.020000,-11.361438,-12.848334,3.261715
1.040000,-11.520773,-12.676625,3.094206
1.060000,-11.635544,-12.427962,2.926541
1.080000,-11.683819,-12.130986,2.760813
1.100000,-11.625333,-11.862510,2.591676
1.120000,-11.421255,-11.574185,2.411236
1.140000,-11.066919,-11.203279,2.262193
1.160000,-10.572696,-10.739255,2.161859
1.180000,-9.989810,-10.175591,2.057507
1.200000,-9.425816,-9.588718,1.936398
1.220000,-8.931376,-9.031250,1.798796
1.240000,-8.455696,-8.422104,1.656627
1.260000,-8.057888,-7.741789,1.512550
1.280000,-7.808289,-7.029222,1.378318
1.300000,-7.662868,-6.354277,1.282294
1.320000,-7.550799,-5.741695,1.244897
1.340000,-7.505909,-5.228978,1.250451
1.360000,-7.535357,-4.824399,1.274899
1.380000,-7.553493,-4.510236,1.327332
1.400000,-7.548403,-4.241431,1.440351
1.420000,-7.601226,-3.957259,1.643525
1.440000,-7.889922,-3.849806,1.987982
1.460000,-8.353687,-4.056818,2.383811
1.480000,-8.879626,-4.569909,2.760232
1.500000,-9.547609,-5.552244,3.294183
1.520000,-10.282584,-7.045097,3.877481
1.540000,-10.856545,-8.309714,4.445974
1.560000,-11.186868,-8.981115,4.975639
1.580000,-11.332840,-9.509010,5.389834
1.600000,-11.327099,-10.126651,5.640212
1.620000,-11.199579,-10.603992,5.757351
1.640000,-10.942421,-10.748919,5.765544
1.660000,-10.566622,-10.672385,5.686165
1.680000,-10.096200,-10.489722,5.537621
1.700000,-9.580140,-10.281981,5.326462
1.720000,-9.079837,-10.058955,5.084038
1.740000,-8.606615,-9.859920,4.806498
1.760000,-8.172151,-9.723701,4.524100
1.780000,-7.823494,-9.703609,4.198793
1.800000,-7.579422,-9.757792,3.852087
1.820000,-7.423631,-9.814765,3.538815
1.840000,-7.401672,-9.934731,3.299611
1.860000,-7.515347,-10.228361,3.049521
1.880000,-7.707221,-10.709679,2.801836
1.900000,-7.920470,-11.361567,2.563495
1.920000,-8.152997,-12.062440,2.332633
1.940000,-8.485580,-12.665514,2.122575
1.960000,-8.796660,-12.991892,1.914438
1.980000,-8.992291,-12.953000,1.732632
2.000000,-9.087947,-12.605689,1.578633
2.020000,-9.088747,-12.016979,1.439305
2.040000,-8.999212,-11.209749,1.290771
2.060000,-8.843946,-10.195726,1.146257
2.080000,-8.638662,-9.003613,1.015258
2.100000,-8.399288,-7.653806,0.900473
2.120000,-8.158094,-6.171001,0.806771
2.140000,-7.939087,-4.664040,0.734995
2.160000,-7.742509,-3.320830,0.694417
2.180000,-7.588267,-2.234933,0.688945
2.200000,-7.506953,-1.452809,0.718873
2.220000,-7.491818,-0.930628,0.768937
2.240000,-7.533180,-0.725205,0.859855
2.260000,-7.675191,-0.907497,0.971735
2.280000,-7.979389,-1.479174,1.086064
2.300000,-8.456044,-2.578661,1.260283
2.320000,-9.056911,-4.614141,1.476327
2.340000,-9.590035,-7.296891,1.707663
2.360000,-9.902455,-9.566584,1.983901
2.380000,-10.054734,-11.129234,2.286670
2.400000,-10.105852,-12.252762,2.582047
2.437000,-9.927609,-12.657388,2.808602
2.457000,-9.631199,-12.609913,2.990266
2.477000,-9.211889,-12.309477,3.134357
2.497000,-8.675373,-11.952921,3.241793
2.517000,-8.041832,-11.565652,3.336634
2.537000,-7.337951,-11.171972,3.422950
2.557000,-6.575939,-10.785321,3.475185
2.577000,-5.796518,-10.408148,3.473426
2.597000,-5.126234,-10.016306,3.483966
2.617000,-4.636141,-9.715125,3.522075
2.637000,-4.350235,-9.733718,3.542949
2.657000,-4.285878,-10.091706,3.508633
2.677000,-4.588250,-10.774135,3.454175
2.697000,-5.298280,-11.677471,3.374462
2.717000,-6.248893,-12.967694,3.250519
2.737000,-7.450939,-14.514917,3.071990
2.757000,-8.766507,-15.538429,2.864074
2.777000,-9.727958,-15.747385,2.664638
2.797000,-10.294444,-15.387108,2.493898
2.817000,-10.535456,-14.669882,2.338467
2.837000,-10.466076,-13.670593,2.191414
2.857000,-10.174572,-12.419888,2.043311
2.877000,-9.795890,-11.013823,1.899170
2.897000,-9.427229,-9.475297,1.770104
2.917000,-9.042068,-7.783360,1.637215
2.937000,-8.590235,-5.986085,1.497108
2.957000,-8.122050,-4.175131,1.356017
2.977000,-7.750698,-2.543597,1.234254
2.997000,-7.490799,-1.301819,1.150562
3.017000,-7.278798,-0.512405,1.101608
3.037000,-7.100895,-0.111212,1.075365
3.057000,-6.994757,0.048272,1.068637
3.077000,-7.023415,0.088282,1.091449
3.097000,-7.255983,-0.178938,1.145376
3.117000,-7.643557,-0.808538,1.207756
3.137000,-8.161560,-2.049625,1.312736
3.157000,-8.795039,-4.195752,1.409996
3.177000,-9.288239,-7.062201,1.533616
