gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.420000,0.105786,2.282784,1.756521
0.440000,-0.249742,2.483031,2.253473
0.460000,-0.893727,2.643412,2.712332
0.480000,-1.679070,2.745842,3.145768
0.500000,-2.287788,2.793045,3.410071
0.520000,-2.700849,2.778608,3.585732
0.540000,-2.986714,2.742460,3.709940
0.560000,-2.990448,2.708344,3.801925
0.580000,-2.931563,2.677392,3.872521
0.600000,-2.905186,2.633229,3.928255
0.620000,-2.883738,2.555044,3.958711
0.640000,-2.824182,2.433817,3.917173
0.660000,-2.718976,2.278681,3.824261
0.680000,-2.593909,2.104537,3.698383
0.700000,-2.490432,1.924575,3.549636
0.720000,-2.407221,1.745125,3.386094
0.740000,-2.326430,1.567877,3.211234
0.760000,-2.257239,1.405604,3.022966
0.780000,-2.179991,1.266093,2.817217
0.800000,-2.055759,1.151775,2.575752
0.820000,-1.856994,1.067334,2.288075
0.840000,-1.595601,1.009058,1.950766
0.860000,-1.317752,0.964757,1.557791
0.880000,-1.045662,0.924753,1.107235
0.900000,-0.776603,0.887410,0.592873
0.920000,-0.519178,0.851807,0.059061
0.940000,-0.282246,0.818374,-0.446385
0.960000,-0.052022,0.791502,-0.909111
0.980000,0.194107,0.768228,-1.321783
1.000000,0.443710,0.742132,-1.682937
1.020000,0.673238,0.708538,-1.995100
1.040000,0.876887,0.668771,-2.262985
1.060000,1.059429,0.624514,-2.492140
1.080000,1.190431,0.582787,-2.688114
1.100000,1.278684,0.547597,-2.856012
1.120000,1.371778,0.521448,-3.000311
1.140000,1.503665,0.500807,-3.124830
1.160000,1.652050,0.478950,-3.232766
1.180000,1.761073,0.456122,-3.200746
1.200000,1.770746,0.437476,-3.032308
1.220000,1.674059,0.426951,-2.765703
1.240000,1.509923,0.428528,-2.421263
1.260000,1.296325,0.447956,-2.006696
1.280000,1.045651,0.480720,-1.523443
1.300000,0.771497,0.522693,-0.954540
1.320000,0.512897,0.576317,-0.367305
1.340000,0.308254,0.646049,0.192864
1.360000,0.174739,0.726281,0.706793
1.380000,0.114882,0.811485,1.164180
1.400000,0.120990,0.906740,1.562448
1.420000,0.163348,1.016043,1.904322
1.440000,0.172589,1.134763,2.195416
1.460000,0.105728,1.245649,2.442420
1.480000,0.037845,1.333544,2.651992
1.500000,0.022304,1.391792,2.830199
1.520000,0.061889,1.418115,2.982295
1.540000,0.152443,1.409410,2.998004
1.560000,0.198414,1.380881,2.880898
1.580000,0.181299,1.341864,2.679415
1.600000,0.162019,1.300379,2.440599
1.620000,0.180713,1.259916,2.183085
1.640000,0.232970,1.223046,1.901072
1.660000,0.303980,1.194399,1.584831
1.680000,0.380379,1.174922,1.242297
1.700000,0.452924,1.165056,0.889785
1.720000,0.511055,1.161033,0.525213
1.740000,0.561569,1.158388,0.158126
1.760000,0.618727,1.154901,-0.207814
1.780000,0.670599,1.152974,-0.595284
1.800000,0.718585,1.154989,-0.992107
1.820000,0.764518,1.161044,-1.353950
1.840000,0.804160,1.169689,-1.677968
1.860000,0.821961,1.181488,-1.964346
1.880000,0.836492,1.197542,-2.215262
1.900000,0.870525,1.214627,-2.433977
1.920000,0.938234,1.230852,-2.624168
1.940000,1.020905,1.241402,-2.789507
1.960000,1.109301,1.240272,-2.933416
1.980000,1.196812,1.229373,-3.049803
2.000000,1.274870,1.211697,-3.095907
2.020000,1.336546,1.189038,-3.076278
2.040000,1.379170,1.164521,-3.000636
2.060000,1.400596,1.143888,-2.871908
2.080000,1.400475,1.129575,-2.698054
2.100000,1.383129,1.123234,-2.484885
2.120000,1.350138,1.125240,-2.231606
2.140000,1.301032,1.132797,-1.930901
2.160000,1.229415,1.144700,-1.590278
2.180000,1.134196,1.161509,-1.206662
2.200000,1.020342,1.181894,-0.783585
2.220000,0.898917,1.201933,-0.325494
2.240000,0.772529,1.220614,0.148804
2.260000,0.628369,1.238287,0.607084
2.280000,0.464112,1.254224,1.028531
2.300000,0.295183,1.263586,1.407055
2.320000,0.137841,1.269403,1.741176
2.340000,0.061840,1.271869,2.032643
2.360000,0.042711,1.275437,2.201810
2.380000,0.015115,1.281756,2.251619
2.400000,-0.009323,1.288874,2.225989
2.437000,0.017006,1.287238,2.130380
2.457000,0.048509,1.280245,2.005414
2.477000,0.071783,1.268729,1.852574
2.497000,0.090785,1.254501,1.680762
2.517000,0.114090,1.239531,1.494549
2.537000,0.144276,1.223093,1.290130
2.557000,0.175913,1.203359,1.068390
2.577000,0.201723,1.181960,0.832586
2.597000,0.224733,1.158881,0.594936
2.617000,0.243608,1.133856,0.341353
2.637000,0.239603,1.108429,0.044711
2.657000,0.232274,1.084661,-0.281338
2.677000,0.243664,1.066078,-0.641254
2.697000,0.265752,1.049649,-0.990187
2.717000,0.308414,1.034846,-1.315780
2.737000,0.393827,1.024959,-1.614116
2.757000,0.518843,1.011741,-1.883638
