accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.410000,-14.513651,-10.548853,1.788469
0.430000,-13.377602,-10.201694,1.824382
0.450000,-12.476523,-9.741414,1.951335
0.470000,-11.846344,-9.275175,2.127869
0.490000,-11.334011,-8.861775,2.308584
0.510000,-10.824581,-8.519934,2.465612
0.530000,-10.301225,-8.269042,2.587561
0.550000,-9.782375,-8.112153,2.664103
0.570000,-9.289268,-8.021454,2.701943
0.590000,-8.850606,-7.958697,2.717084
0.610000,-8.495494,-7.902434,2.722707
0.630000,-8.252376,-7.832450,2.713659
0.650000,-8.164054,-7.753166,2.680739
0.670000,-8.258034,-7.700378,2.652519
0.690000,-8.534951,-7.702222,2.637592
0.710000,-8.954901,-7.745019,2.582358
0.730000,-9.445557,-7.761965,2.458540
0.750000,-9.894860,-7.712071,2.299596
0.770000,-10.240141,-7.601491,2.150614
0.790000,-10.548014,-7.475492,2.028461
0.810000,-10.868713,-7.324708,1.910950
0.830000,-11.184443,-7.122226,1.788758
0.850000,-11.465327,-6.873263,1.680211
0.870000,-11.684499,-6.611282,1.602927
0.890000,-11.821482,-6.375490,1.547736
0.910000,-11.891748,-6.190537,1.508735
0.930000,-11.872054,-6.041488,1.484719
0.950000,-11.772717,-5.907226,1.471669
0.970000,-11.633306,-5.782444,1.452845
0.990000,-11.457858,-5.660363,1.422101
1.010000,-11.241691,-5.539877,1.380383
1.030000,-10.994418,-5.421201,1.332173
1.050000,-10.731858,-5.305639,1.283265
1.070000,-10.465987,-5.190436,1.240023
1.090000,-10.193633,-5.071014,1.205397
1.110000,-9.918036,-4.948584,1.180565
1.130000,-9.640914,-4.822529,1.162624
1.150000,-9.366388,-4.698157,1.149395
1.170000,-9.097513,-4.578766,1.139661
1.190000,-8.843102,-4.468723,1.134746
1.210000,-8.611252,-4.370503,1.135676
1.230000,-8.412881,-4.284821,1.145137
1.250000,-8.253412,-4.207384,1.157267
1.270000,-8.132380,-4.127864,1.163638
1.290000,-8.090266,-4.045566,1.160357
1.310000,-8.146896,-3.967623,1.153356
1.330000,-8.279395,-3.901823,1.152821
1.350000,-8.475052,-3.867230,1.167309
1.370000,-8.696562,-3.875488,1.200228
1.390000,-8.937344,-3.920367,1.263291
1.410000,-9.172739,-3.965160,1.340946
1.430000,-9.336339,-3.984349,1.407143
1.450000,-9.442869,-3.992523,1.446854
1.470000,-9.571567,-4.011908,1.467237
1.490000,-9.764812,-4.040107,1.489063
1.510000,-10.011908,-4.066093,1.532118
1.530000,-10.262110,-4.075620,1.601947
1.550000,-10.441442,-4.079363,1.683397
1.570000,-10.514733,-4.099822,1.754585
1.590000,-10.495720,-4.133810,1.806867
1.610000,-10.406992,-4.175678,1.844164
1.630000,-10.268453,-4.222181,1.872995
1.650000,-10.101146,-4.275054,1.894546
1.670000,-9.925211,-4.335089,1.910019
1.690000,-9.754477,-4.399179,1.922764
1.710000,-9.597359,-4.461112,1.935816
1.730000,-9.452898,-4.514101,1.951743
1.750000,-9.323012,-4.554779,1.973483
1.770000,-9.213152,-4.579216,2.000193
1.790000,-9.133898,-4.594110,2.029145
1.810000,-9.085688,-4.606137,2.054786
1.830000,-9.063843,-4.613119,2.072363
1.850000,-9.063774,-4.627819,2.079432
1.870000,-9.084681,-4.660351,2.077081
1.890000,-9.119880,-4.700160,2.070165
1.910000,-9.164465,-4.733059,2.053432
1.930000,-9.251369,-4.756496,2.033534
1.950000,-9.411420,-4.783142,2.017761
1.970000,-9.614882,-4.816940,2.008708
1.990000,-9.797105,-4.848743,2.005792
2.010000,-9.923579,-4.866482,2.001278
2.030000,-10.002132,-4.866921,1.990044
2.050000,-10.041760,-4.855595,1.970963
2.070000,-10.053254,-4.833781,1.945965
2.090000,-10.067460,-4.801201,1.917195
2.110000,-10.099530,-4.764263,1.884712
2.130000,-10.141562,-4.728158,1.852596
2.150000,-10.175765,-4.693077,1.822234
2.170000,-10.199836,-4.658813,1.794836
2.190000,-10.205849,-4.630285,1.769921
2.210000,-10.181994,-4.607996,1.745108
2.230000,-10.129047,-4.585051,1.717314
2.250000,-10.051614,-4.554623,1.687277
2.270000,-9.948032,-4.516634,1.656833
2.290000,-9.820402,-4.473591,1.626282
2.310000,-9.680800,-4.430793,1.596093
2.330000,-9.539700,-4.390711,1.566780
2.350000,-9.401302,-4.354190,1.540225
2.370000,-9.268776,-4.318580,1.517183
2.390000,-9.143994,-4.282046,1.498172
2.432000,-9.038601,-4.244251,1.488226
2.452000,-8.943877,-4.208613,1.481697
2.472000,-8.858700,-4.176429,1.475944
2.492000,-8.787858,-4.148204,1.470610
2.512000,-8.740597,-4.121736,1.466118
