gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,-1.989542,1.453153,4.365588
0.430000,-2.347335,1.545815,4.250810
0.450000,-2.623509,1.562242,3.990090
0.470000,-2.865857,1.528576,3.668947
0.490000,-3.128001,1.471508,3.308606
0.510000,-3.349720,1.396619,2.935016
0.530000,-3.509300,1.299896,2.573771
0.550000,-3.628812,1.190604,2.235188
0.570000,-3.676349,1.088224,1.918796
0.590000,-3.665826,1.005649,1.622956
0.610000,-3.621385,0.942121,1.340056
0.630000,-3.547613,0.887212,1.059988
0.650000,-3.431542,0.841174,0.779027
0.670000,-3.267143,0.804471,0.493000
0.690000,-3.073699,0.771076,0.191337
0.710000,-2.864613,0.736087,-0.129036
0.730000,-2.632415,0.695524,-0.459321
0.750000,-2.370152,0.648524,-0.789944
0.770000,-2.080664,0.594761,-1.107061
0.790000,-1.768923,0.532623,-1.398192
0.810000,-1.439037,0.457590,-1.652167
0.830000,-1.099557,0.369348,-1.858787
0.850000,-0.766514,0.272602,-2.010278
0.870000,-0.462924,0.172206,-2.107055
0.890000,-0.203394,0.072340,-2.156303
0.910000,0.005232,-0.025715,-2.168897
0.930000,0.160097,-0.118196,-2.154159
0.950000,0.263091,-0.201663,-2.119988
0.970000,0.320493,-0.271727,-2.071187
0.990000,0.342617,-0.328997,-2.009113
1.010000,0.339490,-0.375268,-1.934275
1.030000,0.318401,-0.409879,-1.846448
1.050000,0.285340,-0.430911,-1.743988
1.070000,0.246087,-0.437664,-1.624721
1.090000,0.207096,-0.432716,-1.486772
1.110000,0.171992,-0.420801,-1.329520
1.130000,0.138853,-0.402371,-1.153493
1.150000,0.104235,-0.372472,-0.954307
1.170000,0.061032,-0.332980,-0.725975
1.190000,0.002136,-0.289665,-0.470993
1.210000,-0.075681,-0.241676,-0.189053
1.230000,-0.171845,-0.189323,0.115980
1.250000,-0.281260,-0.136728,0.430840
1.270000,-0.398104,-0.087811,0.737545
1.290000,-0.517395,-0.042045,1.022382
1.310000,-0.628409,0.002267,1.279413
1.330000,-0.717399,0.044088,1.506838
1.350000,-0.779846,0.080695,1.705406
1.370000,-0.825982,0.110349,1.872680
1.390000,-0.874643,0.132249,2.007292
1.410000,-0.940695,0.145385,2.108196
1.430000,-1.027683,0.150219,2.172429
1.450000,-1.131086,0.148464,2.194188
1.470000,-1.246189,0.141626,2.173932
1.490000,-1.358290,0.133058,2.124847
1.510000,-1.451156,0.124796,2.054254
1.530000,-1.515638,0.118429,1.968513
1.550000,-1.551722,0.114625,1.872225
1.570000,-1.561412,0.113379,1.770801
1.590000,-1.545943,0.114475,1.668160
1.610000,-1.508122,0.117160,1.565923
1.630000,-1.452138,0.121124,1.464569
1.650000,-1.383046,0.126736,1.362744
1.670000,-1.309326,0.133872,1.257018
1.690000,-1.239610,0.142282,1.145027
1.710000,-1.175676,0.151694,1.024872
1.730000,-1.113533,0.162208,0.895451
1.750000,-1.048903,0.173841,0.756788
1.770000,-0.981698,0.187320,0.609989
1.790000,-0.907445,0.204261,0.460576
1.810000,-0.815794,0.221110,0.312359
1.830000,-0.699071,0.232845,0.168768
1.850000,-0.560572,0.237678,0.029457
1.870000,-0.410247,0.238000,-0.113239
1.890000,-0.255704,0.234599,-0.263809
1.910000,-0.103240,0.226260,-0.422718
1.930000,0.040686,0.213377,-0.587227
1.950000,0.171506,0.197666,-0.752056
1.970000,0.287504,0.179987,-0.909889
1.990000,0.388008,0.160840,-1.052491
2.010000,0.473853,0.140182,-1.172925
2.030000,0.542278,0.117841,-1.267637
2.050000,0.589392,0.094373,-1.337649
2.070000,0.615909,0.070926,-1.386908
2.090000,0.627602,0.048388,-1.419371
2.110000,0.631934,0.027202,-1.437684
2.130000,0.634680,0.007709,-1.443492
2.150000,0.638367,-0.009649,-1.438929
2.170000,0.642794,-0.024363,-1.425307
2.190000,0.645641,-0.035800,-1.402886
2.210000,0.644397,-0.043582,-1.370845
2.230000,0.637362,-0.047456,-1.328256
2.250000,0.621961,-0.047581,-1.273798
2.270000,0.596427,-0.044227,-1.206356
2.290000,0.559793,-0.037541,-1.125396
2.310000,0.512099,-0.027842,-1.030454
2.330000,0.457026,-0.016180,-0.921377
2.350000,0.399701,-0.003444,-0.798830
2.370000,0.342852,0.011676,-0.661812
2.390000,0.284071,0.030642,-0.504679
2.443000,0.196318,0.050564,-0.291745
2.463000,0.099199,0.069145,-0.057382
2.483000,-0.000978,0.083995,0.184879
2.503000,-0.097552,0.095389,0.418773
2.523000,-0.185749,0.105928,0.629403
2.543000,-0.257714,0.117335,0.808239
2.563000,-0.303400,0.129818,0.957906
2.583000,-0.321838,0.141924,1.082387
2.603000,-0.327345,0.151655,1.179222
2.623000,-0.339727,0.155995,1.250251
2.643000,-0.370498,0.154765,1.299150
2.663000,-0.415986,0.150792,1.322718
2.683000,-0.465214,0.145675,1.320890
2.703000,-0.510780,0.140521,1.298771
2.723000,-0.548104,0.136338,1.262425
2.743000,-0.572349,0.133352,1.215764
2.763000,-0.580031,0.131389,1.162440
2.783000,-0.571477,0.130276,1.104940
2.803000,-0.550718,0.130011,1.045366
2.823000,-0.521048,0.130529,0.984902
2.843000,-0.484119,0.131730,0.922878
2.863000,-0.441078,0.133364,0.858126
2.883000,-0.393216,0.134774,0.789017
2.903000,-0.343900,0.135836,0.713932
2.923000,-0.294735,0.136944,0.631747
2.943000,-0.243581,0.138106,0.541979
2.963000,-0.188515,0.139212,0.444737
2.983000,-0.130482,0.140994,0.341599
3.003000,-0.068882,0.142956,0.235371
3.023000,0.001756,0.142040,0.129820
3.043000,0.082750,0.135451,0.026139
3.063000,0.167803,0.124890,-0.079527
3.083000,0.251052,0.112565,-0.192678
3.103000,0.331797,0.097997,-0.315683
3.123000,0.409241,0.080931,-0.446532
3.143000,0.481417,0.061910,-0.580837
3.163000,0.543928,0.041116,-0.712926
3.183000,0.596765,0.018613,-0.836641
3.203000,0.642455,-0.005121,-0.944880
3.223000,0.680378,-0.029858,-1.034037
3.243000,0.706700,-0.055224,-1.104341
3.263000,0.718414,-0.081164,-1.158451
3.283000,0.715395,-0.106986,-1.199456
3.303000,0.700500,-0.131998,-1.229839
3.323000,0.677515,-0.155446,-1.251290
3.343000,0.649504,-0.176417,-1.264932
3.363000,0.618725,-0.193926,-1.270815
3.383000,0.587022,-0.207378,-1.268288
3.403000,0.555464,-0.216550,-1.256726
3.423000,0.524151,-0.221338,-1.234976
3.443000,0.492725,-0.221806,-1.202486
3.463000,0.459715,-0.217444,-1.156316
3.483000,0.424087,-0.208721,-1.095992
3.503000,0.384354,-0.195716,-1.018598
3.523000,0.339646,-0.178975,-0.922286
3.543000,0.291012,-0.159184,-0.804442
3.563000,0.238826,-0.136292,-0.663398
3.583000,0.181297,-0.110625,-0.497935
3.603000,0.115877,-0.085099,-0.308199
3.623000,0.037736,-0.059450,-0.094548
3.643000,-0.060067,-0.030280,0.143130
3.663000,-0.181919,0.000344,0.399116
3.683000,-0.327371,0.026131,0.668179
3.703000,-0.486665,0.045347,0.938297
3.723000,-0.638079,0.058619,1.187672
3.743000,-0.757397,0.065381,1.389470
3.763000,-0.838610,0.067633,1.537716
3.783000,-0.890687,0.068044,1.637597
3.803000,-0.928738,0.067549,1.694644
3.823000,-0.972899,0.065984,1.716633
3.843000,-1.040988,0.061177,1.714266
3.863000,-1.139901,0.050401,1.699721
3.883000,-1.267909,0.033480,1.679037
3.903000,-1.419270,0.011536,1.648442
3.923000,-1.577156,-0.013372,1.604365
3.943000,-1.733142,-0.037320,1.544442
3.963000,-1.885635,-0.056250,1.466836
3.983000,-2.013908,-0.067824,1.373508
4.003000,-2.083084,-0.072089,1.270740
4.023000,-2.082762,-0.070558,1.165965
4.043000,-2.026242,-0.063726,1.064941
4.063000,-1.931472,-0.051644,0.969147
4.083000,-1.812543,-0.035080,0.876864
4.103000,-1.680874,-0.015173,0.785381
4.123000,-1.545383,0.007053,0.693449
4.143000,-1.406742,0.030988,0.599977
4.163000,-1.266319,0.056614,0.502828
4.183000,-1.140873,0.083555,0.398672
4.203000,-1.037436,0.111591,0.289973
4.223000,-0.936337,0.142086,0.180668
4.243000,-0.809148,0.174511,0.075994
4.263000,-0.634101,0.205054,-0.021874
4.283000,-0.407739,0.230506,-0.114428
4.303000,-0.139743,0.249517,-0.207832
4.323000,0.161200,0.261297,-0.308049
4.343000,0.481098,0.264850,-0.418813
4.363000,0.796511,0.260829,-0.538682
4.383000,1.100523,0.249824,-0.669462
4.403000,1.387791,0.232215,-0.807988
4.423000,1.642347,0.208232,-0.946352
4.450000,1.816623,0.175854,-1.071049
4.470000,1.923032,0.139302,-1.173521
4.490000,1.961969,0.099773,-1.247548
4.510000,1.941677,0.059631,-1.290296
4.530000,1.873295,0.020428,-1.304375
4.550000,1.764018,-0.016498,-1.294953
4.570000,1.621573,-0.050464,-1.266788
4.590000,1.454300,-0.081033,-1.224196
4.610000,1.273443,-0.107940,-1.169891
4.630000,1.089118,-0.130541,-1.105863
4.650000,0.906359,-0.148029,-1.032766
4.670000,0.727692,-0.159964,-0.949961
4.690000,0.555376,-0.165900,-0.855484
4.710000,0.391961,-0.165569,-0.746076
