accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.410000,0.749385,-0.979228,9.935937
0.430000,0.715866,-1.013944,9.957485
0.450000,0.650395,-1.118939,10.078826
0.470000,0.599633,-1.215358,10.187679
0.490000,0.546100,-1.241052,10.327298
0.510000,0.460658,-1.126557,10.532847
0.530000,0.342878,-1.088688,10.707263
0.550000,0.312133,-1.278932,10.613888
0.570000,0.260703,-1.562173,10.680873
0.590000,0.259023,-1.532194,10.782669
0.610000,0.241721,-1.541539,10.773908
0.630000,0.239497,-1.591931,10.699728
0.650000,0.241175,-1.622367,10.704532
0.670000,0.249553,-1.650690,10.728211
0.690000,0.265717,-1.622391,10.710438
0.710000,0.295378,-1.558196,10.671871
0.730000,0.290441,-1.529264,10.676229
0.750000,0.265443,-1.602059,10.658862
0.770000,0.271648,-1.587802,10.710811
0.790000,0.220161,-1.612258,10.754138
0.810000,0.208047,-1.677992,10.780561
0.830000,0.206148,-1.691491,10.754062
0.850000,0.233099,-1.659050,10.673562
0.870000,0.253124,-1.638793,10.639214
0.890000,0.232936,-1.619060,10.680655
0.910000,0.244628,-1.600385,10.693105
0.930000,0.254615,-1.601496,10.690084
0.950000,0.259232,-1.615378,10.703661
0.970000,0.268700,-1.637207,10.730008
0.990000,0.266510,-1.668327,10.765257
1.010000,0.270601,-1.678547,10.790026
1.030000,0.281389,-1.667429,10.803347
1.050000,0.297681,-1.654078,10.772225
1.070000,0.314751,-1.647464,10.697677
1.090000,0.335216,-1.657551,10.591415
1.110000,0.314899,-1.671566,10.585114
1.130000,0.261112,-1.671483,10.685005
1.150000,0.246814,-1.627046,10.761662
1.170000,0.241528,-1.602854,10.776103
1.190000,0.241471,-1.596350,10.768016
1.210000,0.245285,-1.593373,10.772343
1.230000,0.245937,-1.594545,10.775380
1.250000,0.251503,-1.611788,10.757129
1.270000,0.256984,-1.629426,10.726981
1.290000,0.249640,-1.634336,10.738755
1.310000,0.235673,-1.612635,10.753395
1.330000,0.235427,-1.627118,10.728896
1.350000,0.237959,-1.642980,10.736624
1.370000,0.225775,-1.634761,10.761406
1.390000,0.214212,-1.626832,10.787700
1.410000,0.213725,-1.604128,10.785145
1.430000,0.223024,-1.600330,10.741853
1.450000,0.237327,-1.635978,10.692279
1.470000,0.225791,-1.673753,10.671800
1.490000,0.216339,-1.658140,10.730159
1.510000,0.195170,-1.641147,10.764309
1.530000,0.191008,-1.635324,10.774669
1.550000,0.195778,-1.629184,10.763116
1.570000,0.204241,-1.628244,10.751647
1.590000,0.203018,-1.631459,10.755835
1.610000,0.191234,-1.634740,10.781074
1.630000,0.183324,-1.622507,10.799177
1.650000,0.184887,-1.619364,10.792971
1.670000,0.189180,-1.633452,10.774122
1.690000,0.195412,-1.650249,10.760004
1.710000,0.198133,-1.649976,10.748737
1.730000,0.203229,-1.650269,10.724322
1.750000,0.203313,-1.643665,10.704697
1.770000,0.185888,-1.639833,10.736395
1.790000,0.162176,-1.665095,10.794230
1.810000,0.154479,-1.679094,10.817122
1.830000,0.157692,-1.684778,10.802685
1.850000,0.162744,-1.695715,10.784087
1.870000,0.166156,-1.704903,10.774196
1.890000,0.174979,-1.714975,10.757436
1.910000,0.185525,-1.728962,10.737910
1.930000,0.198659,-1.727344,10.720113
1.950000,0.209203,-1.714087,10.704884
1.970000,0.209727,-1.718860,10.697590
1.990000,0.209282,-1.735144,10.706888
2.010000,0.192770,-1.749480,10.717697
2.030000,0.184387,-1.759439,10.742213
2.050000,0.174854,-1.772982,10.751529
2.070000,0.174033,-1.786963,10.749047
2.090000,0.177952,-1.793066,10.738212
2.110000,0.182406,-1.795418,10.725566
2.130000,0.187741,-1.803781,10.718708
2.150000,0.192951,-1.809721,10.717006
2.170000,0.197685,-1.799904,10.717270
2.190000,0.198499,-1.789821,10.716065
2.210000,0.192780,-1.799958,10.715996
2.230000,0.190696,-1.809478,10.728520
2.250000,0.188848,-1.820540,10.732254
2.270000,0.185330,-1.835779,10.724710
2.290000,0.187349,-1.839009,10.716562
2.310000,0.183713,-1.837626,10.715379
2.330000,0.184463,-1.831415,10.718466
2.350000,0.184961,-1.839806,10.713660
2.370000,0.183880,-1.832674,10.724422
2.390000,0.180500,-1.832438,10.730677
2.437000,0.180574,-1.837116,10.724372
2.457000,0.179691,-1.833575,10.722447
2.477000,0.182858,-1.833856,10.719611
2.497000,0.184915,-1.837188,10.714291
2.517000,0.184772,-1.829983,10.721267
2.537000,0.181961,-1.823808,10.731408
2.557000,0.174872,-1.841907,10.734794
2.577000,0.178412,-1.864347,10.732809
2.597000,0.179402,-1.875346,10.720606
2.617000,0.184111,-1.882035,10.703735
2.637000,0.189960,-1.885225,10.692351
2.657000,0.191528,-1.895313,10.684487
2.677000,0.184794,-1.915565,10.686999
2.697000,0.186268,-1.912102,10.706803
2.717000,0.179528,-1.913216,10.717751
2.737000,0.179855,-1.923356,10.714710
2.757000,0.182592,-1.925953,10.707568
2.777000,0.183253,-1.931301,10.701405
2.797000,0.182334,-1.940406,10.704423
2.817000,0.181481,-1.944993,10.706872
