gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.415000,0.018386,0.771809,-0.238617
0.435000,0.028245,0.816907,-0.158678
0.455000,-0.011607,0.851855,-0.125530
0.475000,-0.062015,0.859685,-0.123315
0.495000,-0.187724,0.835892,-0.121320
0.515000,-0.278825,0.759867,-0.136905
0.535000,-0.284042,0.673062,-0.171436
0.555000,-0.237017,0.598592,-0.166439
0.575000,-0.171504,0.525487,-0.158383
0.595000,-0.103742,0.451496,-0.155083
0.615000,-0.049629,0.379050,-0.156455
0.635000,-0.022697,0.313018,-0.158854
0.655000,-0.007284,0.260052,-0.159348
0.675000,-0.004149,0.222432,-0.157011
0.695000,-0.010649,0.194211,-0.153057
0.715000,-0.015635,0.179184,-0.146362
0.735000,-0.020297,0.181079,-0.134430
0.755000,-0.021598,0.193545,-0.119503
0.775000,-0.008087,0.206794,-0.106175
0.795000,0.008351,0.220711,-0.095434
0.815000,-0.003053,0.235034,-0.090020
0.835000,-0.028451,0.238384,-0.083133
0.855000,-0.035539,0.230291,-0.081150
0.875000,-0.032585,0.219709,-0.083338
0.895000,-0.044692,0.207923,-0.085890
0.915000,-0.056316,0.193978,-0.085716
0.935000,-0.046985,0.178365,-0.084289
0.955000,-0.024786,0.165876,-0.075085
0.975000,-0.009805,0.156007,-0.065752
0.995000,-0.014681,0.147424,-0.059639
1.015000,-0.031888,0.140902,-0.056368
1.035000,-0.045739,0.135994,-0.051906
1.055000,-0.054065,0.130509,-0.048267
1.075000,-0.041394,0.127365,-0.043963
1.095000,-0.005311,0.126864,-0.036853
1.115000,0.033466,0.125072,-0.026155
1.135000,0.043156,0.119709,-0.019989
1.155000,0.015534,0.111450,-0.017383
1.175000,-0.026908,0.104083,-0.019071
1.195000,-0.053757,0.097337,-0.021338
1.215000,-0.060199,0.095010,-0.019617
1.235000,-0.052253,0.095971,-0.014746
1.255000,-0.032792,0.097323,-0.008626
1.275000,-0.017433,0.098086,-0.003761
1.295000,-0.022664,0.098464,-0.000666
1.315000,-0.039666,0.094054,-0.002343
1.335000,-0.045287,0.087212,-0.005569
1.355000,-0.030892,0.084867,-0.005616
1.375000,-0.014402,0.081759,-0.004758
1.395000,-0.006822,0.077476,-0.005440
1.415000,-0.013167,0.074945,-0.006801
1.435000,-0.029475,0.072684,-0.010366
1.455000,-0.047165,0.071772,-0.012310
1.475000,-0.058641,0.069790,-0.015299
1.495000,-0.055353,0.069143,-0.014035
1.515000,-0.040574,0.071760,-0.009282
1.535000,-0.028059,0.076488,-0.002016
1.555000,-0.025976,0.081241,0.004138
1.575000,-0.035875,0.086245,0.010269
1.595000,-0.060131,0.092407,0.017491
1.615000,-0.080241,0.096773,0.026511
1.635000,-0.085807,0.105401,0.038369
1.655000,-0.094999,0.112487,0.051060
1.675000,-0.118948,0.117667,0.062029
1.695000,-0.145809,0.120471,0.071325
1.715000,-0.162790,0.123000,0.079604
1.735000,-0.164924,0.125635,0.089225
1.755000,-0.152763,0.129141,0.097966
1.775000,-0.139498,0.132295,0.103192
1.795000,-0.141546,0.133571,0.103454
1.815000,-0.147937,0.131115,0.100417
1.835000,-0.136071,0.127544,0.099662
1.855000,-0.113331,0.122403,0.098541
1.875000,-0.098271,0.116510,0.096460
1.895000,-0.096708,0.109479,0.095281
1.915000,-0.104909,0.101122,0.093471
1.935000,-0.116519,0.092736,0.091717
1.955000,-0.128490,0.085802,0.090309
1.975000,-0.141666,0.080131,0.088075
1.995000,-0.149965,0.075491,0.086299
2.015000,-0.146290,0.071640,0.085851
2.035000,-0.138636,0.070357,0.084867
2.055000,-0.137377,0.072861,0.083875
2.075000,-0.144493,0.077637,0.080691
2.095000,-0.149568,0.080404,0.076039
2.115000,-0.137268,0.083061,0.072656
2.135000,-0.116985,0.087585,0.069728
2.155000,-0.103544,0.088743,0.068430
2.175000,-0.103978,0.085853,0.067682
2.195000,-0.118762,0.080706,0.066427
2.215000,-0.137770,0.074639,0.063426
2.235000,-0.148348,0.068266,0.060315
2.255000,-0.142860,0.062599,0.058763
2.275000,-0.130710,0.058608,0.058642
2.295000,-0.121181,0.057269,0.059273
2.315000,-0.118587,0.056497,0.058220
2.335000,-0.120572,0.054521,0.055932
2.355000,-0.119099,0.052447,0.053583
2.375000,-0.109866,0.052219,0.052164
2.395000,-0.092535,0.052003,0.052355
2.447000,-0.103583,0.047089,0.050528
2.467000,-0.119815,0.040916,0.046022
2.487000,-0.127870,0.034288,0.041110
2.507000,-0.125633,0.027156,0.036462
2.527000,-0.116424,0.020051,0.032059
2.547000,-0.103849,0.014390,0.028307
2.567000,-0.089929,0.010819,0.025890
2.587000,-0.084016,0.007877,0.022876
2.607000,-0.086396,0.005207,0.018679
2.627000,-0.089159,0.004361,0.014535
2.647000,-0.088538,0.006208,0.012161
2.667000,-0.086437,0.009011,0.009439
