accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.410000,7.709330,-6.916849,0.651223
0.430000,7.714118,-6.780379,0.669179
0.450000,7.695761,-6.762789,0.648824
0.470000,7.688376,-6.776788,0.626066
0.490000,7.702152,-6.809170,0.593707
0.510000,7.723722,-6.825568,0.554118
0.530000,7.732629,-6.823552,0.520996
0.550000,7.724610,-6.823843,0.503959
0.570000,7.733843,-6.807796,0.520959
0.590000,7.731864,-6.809130,0.540827
0.610000,7.733521,-6.810220,0.557748
0.630000,7.721494,-6.805323,0.572656
0.650000,7.712603,-6.796189,0.601830
0.670000,7.709618,-6.801239,0.622728
0.690000,7.709599,-6.802888,0.642475
0.710000,7.709582,-6.802076,0.659006
0.730000,7.710416,-6.797115,0.679334
0.750000,7.710222,-6.792705,0.694030
0.770000,7.713337,-6.800923,0.705249
0.790000,7.693177,-6.796996,0.717670
0.810000,7.687516,-6.802630,0.721085
0.830000,7.691370,-6.805999,0.719394
0.850000,7.696046,-6.812014,0.725733
0.870000,7.693280,-6.811388,0.725721
0.890000,7.695187,-6.813325,0.724534
0.910000,7.693596,-6.815578,0.736709
0.930000,7.688093,-6.817484,0.759349
0.950000,7.690331,-6.821240,0.769545
0.970000,7.698927,-6.827157,0.766615
0.990000,7.702595,-6.829132,0.753271
1.010000,7.698194,-6.829729,0.750347
1.030000,7.699230,-6.832104,0.754647
1.050000,7.697111,-6.833969,0.755307
1.070000,7.695688,-6.837934,0.756800
1.090000,7.695320,-6.841466,0.762161
1.110000,7.693892,-6.841836,0.767980
1.130000,7.690572,-6.845072,0.772883
1.150000,7.681089,-6.847564,0.775244
1.170000,7.680264,-6.853356,0.775320
1.190000,7.684053,-6.853814,0.776507
1.210000,7.680871,-6.852112,0.784095
1.230000,7.675162,-6.851708,0.788792
1.250000,7.671249,-6.854551,0.791018
1.270000,7.668180,-6.857044,0.791730
1.290000,7.664975,-6.859697,0.793457
1.310000,7.663989,-6.860857,0.796511
1.330000,7.664299,-6.861708,0.796739
1.350000,7.664392,-6.863489,0.795923
1.370000,7.664330,-6.867489,0.795851
1.390000,7.664075,-6.867714,0.797070
1.410000,7.664454,-6.866493,0.791047
1.430000,7.665809,-6.866965,0.786106
1.450000,7.666834,-6.865850,0.789143
1.470000,7.665824,-6.863057,0.793359
1.490000,7.664406,-6.862366,0.793977
1.510000,7.663476,-6.860389,0.795641
1.530000,7.663138,-6.856677,0.797858
1.550000,7.662855,-6.854483,0.798278
1.570000,7.662125,-6.854360,0.797330
1.590000,7.662971,-6.856941,0.794296
1.610000,7.664030,-6.861654,0.791646
1.630000,7.665569,-6.863880,0.788074
1.650000,7.667526,-6.864080,0.784851
1.670000,7.669002,-6.865314,0.783214
1.690000,7.669449,-6.864159,0.782053
1.710000,7.668357,-6.863113,0.780928
1.730000,7.669205,-6.862504,0.779388
1.750000,7.672123,-6.863254,0.778889
1.770000,7.673819,-6.862339,0.778478
1.790000,7.674692,-6.861133,0.775897
1.810000,7.675853,-6.860690,0.773387
1.830000,7.677256,-6.859678,0.771608
1.850000,7.677134,-6.858930,0.769913
1.870000,7.678182,-6.858737,0.768773
1.890000,7.679628,-6.858120,0.767296
1.910000,7.681459,-6.857716,0.764568
1.930000,7.682731,-6.856681,0.761615
1.950000,7.683083,-6.855229,0.758864
1.970000,7.683707,-6.854283,0.757076
1.990000,7.684779,-6.853207,0.755933
2.010000,7.686038,-6.851577,0.754382
2.030000,7.686090,-6.849594,0.753824
2.050000,7.686796,-6.848343,0.752916
2.070000,7.687544,-6.847240,0.751788
2.090000,7.688099,-6.845901,0.750063
2.110000,7.687750,-6.844505,0.748025
2.130000,7.688006,-6.844283,0.746645
2.150000,7.689156,-6.844094,0.744749
2.170000,7.690391,-6.844356,0.742753
2.190000,7.691104,-6.843950,0.740406
2.210000,7.691610,-6.843144,0.738611
2.230000,7.691890,-6.841628,0.737022
2.250000,7.691818,-6.841826,0.735630
2.270000,7.692537,-6.842258,0.734539
2.290000,7.693945,-6.842314,0.732748
2.310000,7.694499,-6.842447,0.730462
2.330000,7.695475,-6.841707,0.729091
2.350000,7.695596,-6.841843,0.727930
2.370000,7.695965,-6.841977,0.726638
2.390000,7.696525,-6.842033,0.725142
2.432000,7.696239,-6.841646,0.722663
2.452000,7.697709,-6.841899,0.720304
2.472000,7.698766,-6.841064,0.718862
2.492000,7.698536,-6.840313,0.718782
2.512000,7.698788,-6.839211,0.718826
2.532000,7.698439,-6.839485,0.718311
2.552000,7.698500,-6.838319,0.718527
2.572000,7.697722,-6.838147,0.717973
2.592000,7.698173,-6.838982,0.717665
2.612000,7.698596,-6.839784,0.718629
2.632000,7.698105,-6.841680,0.720205
2.652000,7.696445,-6.843150,0.721431
2.672000,7.695784,-6.844031,0.724320
2.692000,7.695728,-6.843993,0.727707
2.712000,7.695002,-6.844194,0.732042
2.732000,7.693805,-6.843053,0.736668
2.752000,7.693553,-6.842259,0.740435
2.772000,7.694333,-6.842813,0.743661
2.792000,7.693789,-6.843674,0.748411
2.812000,7.690185,-6.846728,0.750791
2.832000,7.691119,-6.849584,0.751184
2.852000,7.691588,-6.850496,0.753799
2.872000,7.689874,-6.849603,0.757203
2.892000,7.685759,-6.848432,0.762368
2.912000,7.682690,-6.848183,0.767553
2.932000,7.683028,-6.850832,0.770987
2.952000,7.684728,-6.854007,0.771082
2.972000,7.684279,-6.855234,0.769476
2.992000,7.682806,-6.855515,0.770113
3.012000,7.681371,-6.856655,0.771702
3.032000,7.681411,-6.858430,0.773538
3.052000,7.680948,-6.860044,0.776073
3.072000,7.679197,-6.862144,0.777746
3.092000,7.678493,-6.863697,0.779042
3.112000,7.677556,-6.863845,0.781355
3.132000,7.676629,-6.863657,0.784412
3.152000,7.672215,-6.871658,0.787006
3.172000,7.673783,-6.867920,0.790485
3.192000,7.671026,-6.868673,0.793090
3.212000,7.668536,-6.872626,0.794832
3.232000,7.669614,-6.873356,0.796724
3.252000,7.669341,-6.873336,0.799195
3.272000,7.669406,-6.872574,0.802839
3.292000,7.668608,-6.870790,0.806878
3.312000,7.666669,-6.871323,0.811235
3.332000,7.665108,-6.874507,0.815261
3.352000,7.664042,-6.877086,0.818433
3.372000,7.663920,-6.877531,0.822100
3.392000,7.663441,-6.876727,0.825156
3.412000,7.662726,-6.877296,0.828013
3.432000,7.662402,-6.878649,0.831680
3.452000,7.661459,-6.879223,0.835981
3.472000,7.659735,-6.881395,0.839113
3.492000,7.660111,-6.884000,0.841520
3.512000,7.659526,-6.884376,0.845195
3.532000,7.658851,-6.883384,0.849983
3.552000,7.658302,-6.885059,0.854652
3.572000,7.657807,-6.886263,0.855730
3.592000,7.658945,-6.889226,0.851745
3.612000,7.661627,-6.891131,0.846700
3.632000,7.663852,-6.894716,0.842422
3.652000,7.665552,-6.898361,0.839816
3.672000,7.666564,-6.901635,0.837619
3.692000,7.667950,-6.904373,0.835683
3.712000,7.668459,-6.908831,0.837454
3.732000,7.667456,-6.911521,0.846940
3.752000,7.663637,-6.911430,0.863921
3.772000,7.656911,-6.911796,0.884156
3.792000,7.649127,-6.910577,0.906558
3.812000,7.642426,-6.907671,0.931802
3.832000,7.634429,-6.905823,0.963137
3.852000,7.624715,-6.905574,0.996889
3.872000,7.617157,-6.907100,1.028771
3.892000,7.613243,-6.902768,1.060070
3.912000,7.604771,-6.905902,1.087944
3.932000,7.598203,-6.901989,1.118221
3.952000,7.588779,-6.901874,1.151547
3.972000,7.578948,-6.899989,1.186910
3.992000,7.569501,-6.901737,1.225583
4.012000,7.558187,-6.889008,1.273669
4.032000,7.544255,-6.877578,1.326353
4.052000,7.533672,-6.866550,1.382220
4.072000,7.522308,-6.854532,1.440084
4.092000,7.512351,-6.844955,1.500325
4.112000,7.503044,-6.834996,1.563062
4.132000,7.494214,-6.825424,1.625048
4.152000,7.485303,-6.817671,1.683975
4.172000,7.477991,-6.811312,1.740648
4.192000,7.472427,-6.807508,1.797518
4.212000,7.466368,-6.803286,1.852817
4.232000,7.461926,-6.798843,1.907015
4.252000,7.454033,-6.793343,1.963038
4.272000,7.447800,-6.785528,2.022341
4.292000,7.441078,-6.777624,2.081897
4.312000,7.436338,-6.772001,2.140147
4.332000,7.430114,-6.767105,2.200318
4.352000,7.422730,-6.760605,2.262093
4.372000,7.417528,-6.754794,2.319512
4.392000,7.413263,-6.748250,2.375278
4.412000,7.406887,-6.742035,2.432294
