gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,-0.531193,-0.173334,0.027712
0.430000,-0.537721,-0.176398,0.029844
0.450000,-0.527948,-0.172712,0.031087
0.470000,-0.507558,-0.164371,0.032709
0.490000,-0.485902,-0.156189,0.032962
0.510000,-0.460819,-0.148306,0.034197
0.530000,-0.428760,-0.139771,0.036583
0.550000,-0.387642,-0.128901,0.037907
0.570000,-0.342478,-0.118692,0.039336
0.590000,-0.301604,-0.110033,0.041187
0.610000,-0.266548,-0.099458,0.041950
0.630000,-0.234020,-0.086959,0.041340
0.650000,-0.206635,-0.074852,0.038729
0.670000,-0.185207,-0.063426,0.035927
0.690000,-0.167637,-0.053134,0.032703
0.710000,-0.151974,-0.043980,0.030231
0.730000,-0.138740,-0.036515,0.027718
0.750000,-0.127835,-0.029832,0.025900
0.770000,-0.119114,-0.023816,0.024478
0.790000,-0.112523,-0.018856,0.022936
0.813000,-0.108252,-0.014660,0.021215
0.833000,-0.104888,-0.010905,0.019283
0.853000,-0.102658,-0.007282,0.017367
0.873000,-0.102732,-0.003721,0.014695
0.893000,-0.104307,-0.000691,0.012030
0.913000,-0.103696,0.002200,0.010035
0.933000,-0.101401,0.004879,0.008341
0.953000,-0.098441,0.006884,0.007029
0.973000,-0.097070,0.008515,0.006069
0.993000,-0.096619,0.009661,0.004745
1.013000,-0.095607,0.010825,0.003716
1.033000,-0.094387,0.011931,0.002844
1.053000,-0.092445,0.013183,0.002407
1.073000,-0.090185,0.014413,0.002056
1.093000,-0.088013,0.015643,0.001544
1.113000,-0.085564,0.016772,0.001146
1.133000,-0.083482,0.017716,0.000730
1.153000,-0.081579,0.018375,0.000618
1.173000,-0.080589,0.018993,0.000348
1.193000,-0.080342,0.019490,0.000292
1.213000,-0.080269,0.019921,0.000166
1.233000,-0.080214,0.020212,0.000178
1.253000,-0.080282,0.020505,0.000278
1.273000,-0.080843,0.020980,0.000357
1.293000,-0.081116,0.021494,0.000448
1.313000,-0.080402,0.022051,0.000459
1.333000,-0.079131,0.022608,0.000136
1.353000,-0.077115,0.023141,-0.000166
1.373000,-0.074611,0.023728,-0.000562
1.393000,-0.071650,0.024092,-0.001233
1.413000,-0.069548,0.024556,-0.001580
1.433000,-0.067632,0.024988,-0.001934
1.453000,-0.066139,0.025346,-0.002058
1.473000,-0.065367,0.025486,-0.002232
1.493000,-0.065260,0.025533,-0.002536
1.513000,-0.065405,0.025689,-0.002835
1.533000,-0.065614,0.025887,-0.003108
1.553000,-0.065867,0.026055,-0.003287
1.573000,-0.066058,0.026306,-0.003533
1.593000,-0.066162,0.026615,-0.003751
1.613000,-0.065933,0.027009,-0.004009
1.633000,-0.065150,0.027436,-0.004137
1.653000,-0.064192,0.027790,-0.004346
1.673000,-0.063017,0.027991,-0.004554
1.693000,-0.061875,0.028163,-0.004694
1.713000,-0.061166,0.028133,-0.004748
1.733000,-0.060971,0.027896,-0.004709
1.753000,-0.061086,0.027420,-0.004527
1.773000,-0.061572,0.026611,-0.004352
1.793000,-0.062640,0.025491,-0.004215
1.813000,-0.063736,0.024175,-0.003956
1.833000,-0.064405,0.022644,-0.003561
1.853000,-0.064667,0.020858,-0.003101
1.873000,-0.064319,0.019209,-0.003018
1.893000,-0.062544,0.017646,-0.002139
1.913000,-0.059829,0.016267,-0.001370
1.933000,-0.056960,0.014905,-0.000672
1.953000,-0.055021,0.013761,-0.000408
1.973000,-0.053677,0.012922,-0.000211
1.993000,-0.052283,0.012370,-0.000021
2.013000,-0.050916,0.012053,0.000146
2.033000,-0.049937,0.011847,0.000142
2.053000,-0.049388,0.011686,0.000058
2.073000,-0.049115,0.011624,0.000080
2.093000,-0.048617,0.011672,0.000187
2.113000,-0.048110,0.011687,0.000262
2.133000,-0.047687,0.011780,0.000328
2.153000,-0.047438,0.011968,0.000459
2.173000,-0.047330,0.012171,0.000786
2.193000,-0.047085,0.012464,0.001244
2.213000,-0.046680,0.012889,0.001916
2.233000,-0.046297,0.013529,0.002712
2.253000,-0.046364,0.014287,0.003709
2.273000,-0.047067,0.015093,0.005160
2.293000,-0.048409,0.016084,0.007229
2.313000,-0.050564,0.017299,0.010201
2.333000,-0.053736,0.018741,0.014515
2.353000,-0.057939,0.020390,0.019989
2.373000,-0.061389,0.022393,0.027030
2.393000,-0.063055,0.025008,0.035459
