accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.006000,-0.287500,0.060000,8.917500
0.026000,-0.512500,0.267500,8.607500
0.046000,-0.222500,0.320000,8.207500
0.066000,-0.332500,0.387500,7.892500
0.086000,-0.632500,0.500000,7.742500
0.106000,-0.815000,0.540000,7.720000
0.126000,-1.065000,0.525000,7.657500
0.146000,-1.355000,0.522500,7.565000
0.166000,-1.670000,0.532500,7.567500
0.186000,-2.080000,0.495000,7.620000
0.206000,-2.532500,0.432500,7.635000
0.226000,-2.940000,0.380000,7.615000
0.246000,-3.395000,0.255000,7.682500
0.266000,-3.937500,0.005000,7.777500
0.286000,-4.450000,-0.252500,7.842500
0.306000,-4.837500,-0.417500,7.867500
0.326000,-5.155000,-0.502500,7.877500
0.346000,-5.500000,-0.622500,7.912500
0.366000,-5.850000,-0.747500,7.947500
0.386000,-6.122500,-0.840000,7.960000
0.406000,-6.310000,-0.917500,7.935000
0.426000,-6.445000,-0.992500,7.882500
0.446000,-6.555000,-1.052500,7.825000
0.466000,-6.652500,-1.105000,7.762500
0.486000,-6.740000,-1.162500,7.692500
0.506000,-6.822500,-1.240000,7.622500
0.526000,-6.910000,-1.337500,7.555000
0.546000,-6.982500,-1.445000,7.487500
0.566000,-7.047500,-1.550000,7.422500
0.586000,-7.112500,-1.647500,7.362500
0.606000,-7.175000,-1.745000,7.302500
0.626000,-7.225000,-1.835000,7.252500
0.646000,-7.257500,-1.912500,7.210000
0.666000,-7.282500,-1.972500,7.167500
0.686000,-7.310000,-2.020000,7.125000
0.706000,-7.330000,-2.060000,7.087500
0.726000,-7.332500,-2.092500,7.055000
0.746000,-7.327500,-2.115000,7.027500
0.766000,-7.322500,-2.130000,7.002500
0.786000,-7.317500,-2.142500,6.972500
0.806000,-7.307500,-2.150000,6.950000
0.826000,-7.295000,-2.152500,6.925000
0.846000,-7.285000,-2.147500,6.902500
0.866000,-7.272500,-2.140000,6.880000
0.886000,-7.252500,-2.127500,6.857500
