gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.016000,0.017000,0.243000,0.229000
0.036000,0.023000,0.236000,0.223000
0.056000,0.042000,0.217000,0.244000
0.076000,0.003000,0.190000,0.246000
0.096000,-0.061000,0.201000,0.262000
0.116000,-0.111000,0.213000,0.302000
0.136000,-0.126000,0.227000,0.341000
0.156000,-0.094000,0.254000,0.390000
0.176000,-0.045000,0.292000,0.449000
0.196000,-0.024000,0.330000,0.507000
0.216000,-0.036000,0.365000,0.566000
0.236000,-0.069000,0.399000,0.631000
0.256000,-0.109000,0.433000,0.699000
0.276000,-0.162000,0.465000,0.766000
0.296000,-0.208000,0.485000,0.833000
0.316000,-0.212000,0.493000,0.908000
0.336000,-0.181000,0.498000,0.989000
0.356000,-0.136000,0.506000,1.067000
0.376000,-0.089000,0.515000,1.146000
0.396000,-0.053000,0.523000,1.224000
0.416000,-0.040000,0.530000,1.295000
0.436000,-0.047000,0.536000,1.360000
0.456000,-0.053000,0.540000,1.421000
0.476000,-0.047000,0.539000,1.480000
0.496000,-0.043000,0.533000,1.530000
0.516000,-0.052000,0.523000,1.571000
0.536000,-0.069000,0.510000,1.606000
0.556000,-0.084000,0.496000,1.635000
0.576000,-0.094000,0.480000,1.659000
0.596000,-0.103000,0.463000,1.677000
0.616000,-0.117000,0.444000,1.690000
0.636000,-0.140000,0.424000,1.695000
0.656000,-0.161000,0.402000,1.694000
0.676000,-0.175000,0.376000,1.687000
0.696000,-0.182000,0.349000,1.676000
0.716000,-0.186000,0.323000,1.661000
0.736000,-0.187000,0.294000,1.643000
0.756000,-0.188000,0.259000,1.621000
0.776000,-0.192000,0.220000,1.594000
0.796000,-0.192000,0.180000,1.565000
0.816000,-0.185000,0.140000,1.535000
0.836000,-0.170000,0.100000,1.504000
0.856000,-0.156000,0.060000,1.472000
0.876000,-0.146000,0.018000,1.438000
0.896000,-0.143000,-0.025000,1.401000
0.916000,-0.148000,-0.061000,1.361000
0.936000,-0.162000,-0.090000,1.321000
0.956000,-0.194000,-0.114000,1.279000
0.976000,-0.247000,-0.135000,1.236000
0.996000,-0.324000,-0.153000,1.195000
1.016000,-0.422000,-0.165000,1.156000
1.036000,-0.543000,-0.179000,1.113000
1.056000,-0.655000,-0.198000,1.063000
1.076000,-0.703000,-0.200000,0.989000
1.096000,-0.704000,-0.162000,0.896000
1.116000,-0.718000,-0.080000,0.792000
1.136000,-0.709000,0.031000,0.720000
1.156000,-0.716000,0.182000,0.698000
1.176000,-0.667000,0.327000,0.707000
1.196000,-0.496000,0.145000,0.756000
1.216000,-0.306000,-0.068000,0.754000
1.236000,-0.177000,-0.294000,0.599000
1.256000,-0.261000,-0.530000,0.505000
1.276000,-0.455000,-0.657000,0.515000
1.296000,-0.658000,-0.883000,0.531000
1.316000,-0.838000,-1.115000,0.650000
1.336000,-0.801000,-1.278000,0.794000
1.356000,-0.608000,-1.233000,0.819000
1.376000,-0.376000,-0.993000,0.760000
1.396000,-0.214000,-0.643000,0.694000
1.416000,-0.121000,-0.287000,0.637000
1.436000,-0.046000,0.038000,0.610000
1.456000,0.070000,0.313000,0.618000
1.476000,0.176000,0.610000,0.634000
1.496000,0.249000,0.951000,0.641000
1.516000,0.363000,1.222000,0.656000
1.536000,0.475000,1.265000,0.662000
1.556000,0.449000,1.113000,0.645000
1.576000,0.398000,0.895000,0.589000
1.596000,0.394000,0.695000,0.554000
1.616000,0.418000,0.528000,0.524000
1.636000,0.425000,0.387000,0.501000
1.656000,0.383000,0.302000,0.488000
1.676000,0.288000,0.282000,0.476000
1.696000,0.173000,0.297000,0.468000
1.716000,0.072000,0.322000,0.462000
1.736000,0.010000,0.336000,0.460000
1.756000,-0.005000,0.339000,0.453000
1.776000,0.034000,0.328000,0.438000
1.796000,0.090000,0.306000,0.417000
1.816000,0.129000,0.288000,0.393000
1.836000,0.140000,0.273000,0.369000
1.856000,0.142000,0.258000,0.346000
1.876000,0.155000,0.251000,0.326000
1.896000,0.182000,0.251000,0.311000
1.916000,0.212000,0.251000,0.299000
1.936000,0.225000,0.244000,0.289000
1.956000,0.215000,0.233000,0.278000
1.976000,0.190000,0.226000,0.270000
1.996000,0.160000,0.221000,0.261000
2.016000,0.133000,0.214000,0.253000
2.036000,0.107000,0.203000,0.245000
2.056000,0.091000,0.193000,0.236000
2.076000,0.088000,0.185000,0.225000
2.096000,0.095000,0.179000,0.214000
2.116000,0.104000,0.172000,0.202000
2.136000,0.113000,0.166000,0.192000
2.156000,0.125000,0.162000,0.184000
2.176000,0.137000,0.159000,0.179000
2.196000,0.144000,0.155000,0.174000
2.216000,0.140000,0.150000,0.170000
2.236000,0.128000,0.146000,0.166000
2.256000,0.113000,0.142000,0.162000
2.276000,0.100000,0.139000,0.159000
