gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.006000,0.001000,-0.036000,0.058000
0.026000,0.085000,-0.037000,0.048000
0.046000,0.129000,-0.034000,0.051000
0.066000,0.120000,-0.027000,0.049000
0.086000,0.080000,-0.022000,0.052000
0.106000,0.035000,-0.014000,0.053000
0.126000,0.001000,-0.001000,0.054000
0.146000,-0.016000,0.020000,0.062000
0.166000,-0.037000,0.034000,0.073000
0.186000,-0.053000,0.046000,0.083000
0.206000,-0.061000,0.059000,0.094000
0.226000,-0.066000,0.075000,0.106000
0.246000,-0.076000,0.095000,0.125000
0.266000,-0.091000,0.121000,0.152000
0.286000,-0.108000,0.153000,0.188000
0.306000,-0.115000,0.200000,0.241000
0.326000,-0.122000,0.253000,0.312000
0.346000,-0.146000,0.310000,0.384000
0.366000,-0.181000,0.380000,0.457000
0.386000,-0.220000,0.463000,0.538000
0.406000,-0.254000,0.555000,0.627000
0.426000,-0.286000,0.653000,0.723000
0.446000,-0.320000,0.761000,0.825000
0.466000,-0.364000,0.878000,0.933000
0.486000,-0.422000,1.003000,1.048000
0.506000,-0.497000,1.134000,1.166000
0.526000,-0.594000,1.271000,1.285000
0.546000,-0.712000,1.408000,1.404000
0.566000,-0.852000,1.539000,1.520000
0.586000,-1.011000,1.656000,1.630000
0.606000,-1.183000,1.750000,1.728000
0.626000,-1.357000,1.813000,1.813000
0.646000,-1.520000,1.846000,1.880000
0.666000,-1.664000,1.852000,1.926000
0.686000,-1.787000,1.836000,1.944000
0.706000,-1.883000,1.805000,1.941000
0.726000,-1.948000,1.762000,1.919000
0.746000,-1.993000,1.708000,1.885000
0.766000,-2.039000,1.643000,1.840000
0.786000,-2.088000,1.573000,1.788000
0.806000,-2.134000,1.502000,1.734000
0.826000,-2.171000,1.430000,1.682000
0.846000,-2.200000,1.358000,1.632000
0.866000,-2.216000,1.287000,1.585000
0.886000,-2.216000,1.218000,1.543000
0.906000,-2.199000,1.155000,1.504000
0.926000,-2.168000,1.096000,1.468000
0.946000,-2.131000,1.041000,1.432000
0.966000,-2.087000,0.989000,1.393000
0.986000,-2.037000,0.939000,1.353000
1.006000,-1.990000,0.892000,1.307000
1.026000,-1.943000,0.847000,1.256000
1.046000,-1.884000,0.804000,1.199000
1.066000,-1.805000,0.761000,1.139000
1.086000,-1.715000,0.717000,1.072000
1.106000,-1.618000,0.670000,0.994000
1.126000,-1.502000,0.617000,0.907000
1.146000,-1.362000,0.553000,0.810000
1.166000,-1.206000,0.478000,0.701000
1.186000,-1.036000,0.391000,0.581000
1.206000,-0.853000,0.295000,0.457000
1.226000,-0.672000,0.196000,0.328000
1.246000,-0.503000,0.089000,0.197000
1.266000,-0.352000,-0.026000,0.071000
1.286000,-0.223000,-0.147000,-0.051000
1.306000,-0.108000,-0.268000,-0.172000
1.326000,0.001000,-0.390000,-0.290000
1.346000,0.110000,-0.505000,-0.404000
1.366000,0.225000,-0.612000,-0.521000
1.386000,0.351000,-0.714000,-0.640000
1.406000,0.478000,-0.820000,-0.765000
1.426000,0.608000,-0.937000,-0.894000
1.446000,0.755000,-1.064000,-1.011000
1.466000,0.901000,-1.192000,-1.117000
1.486000,0.995000,-1.317000,-1.213000
1.506000,1.013000,-1.434000,-1.295000
1.526000,1.000000,-1.545000,-1.347000
1.546000,1.008000,-1.613000,-1.357000
1.566000,1.016000,-1.632000,-1.322000
1.586000,0.983000,-1.626000,-1.249000
1.606000,0.917000,-1.619000,-1.144000
1.626000,0.828000,-1.578000,-1.025000
1.646000,0.707000,-1.422000,-0.895000
1.666000,0.557000,-1.190000,-0.751000
1.686000,0.468000,-0.930000,-0.616000
1.706000,0.536000,-0.661000,-0.375000
1.726000,0.399000,-0.914000,-0.387000
1.746000,0.216000,-1.163000,-0.600000
1.766000,0.256000,-1.160000,-0.653000
1.786000,0.485000,-0.997000,-0.878000
1.806000,0.362000,-0.840000,-1.070000
1.826000,0.074000,-0.710000,-1.088000
1.846000,-0.224000,-0.670000,-0.981000
1.866000,-0.310000,-0.665000,-0.891000
1.886000,-0.152000,-0.655000,-0.826000
1.906000,-0.053000,-0.638000,-0.779000
1.926000,-0.060000,-0.613000,-0.752000
1.946000,-0.057000,-0.573000,-0.720000
1.966000,-0.053000,-0.519000,-0.671000
1.986000,-0.089000,-0.486000,-0.632000
2.006000,-0.117000,-0.459000,-0.596000
2.026000,-0.125000,-0.436000,-0.566000
2.046000,-0.122000,-0.416000,-0.542000
2.066000,-0.121000,-0.397000,-0.518000
2.086000,-0.123000,-0.381000,-0.496000
2.106000,-0.119000,-0.360000,-0.472000
2.126000,-0.117000,-0.342000,-0.453000
2.146000,-0.119000,-0.326000,-0.436000
2.166000,-0.124000,-0.311000,-0.419000
2.186000,-0.128000,-0.297000,-0.402000
2.206000,-0.129000,-0.286000,-0.389000
2.226000,-0.130000,-0.277000,-0.379000
2.246000,-0.127000,-0.271000,-0.373000
2.266000,-0.118000,-0.261000,-0.366000
2.286000,-0.113000,-0.253000,-0.359000
2.306000,-0.109000,-0.247000,-0.352000
2.326000,-0.108000,-0.240000,-0.342000
2.346000,-0.108000,-0.232000,-0.333000
2.366000,-0.110000,-0.227000,-0.325000
2.386000,-0.111000,-0.223000,-0.319000
2.406000,-0.111000,-0.217000,-0.312000
2.426000,-0.110000,-0.211000,-0.304000
2.446000,-0.109000,-0.204000,-0.295000
2.466000,-0.109000,-0.198000,-0.288000
2.486000,-0.108000,-0.191000,-0.280000
2.506000,-0.105000,-0.184000,-0.273000
2.526000,-0.101000,-0.178000,-0.265000
2.546000,-0.099000,-0.171000,-0.258000
2.566000,-0.099000,-0.166000,-0.251000
2.586000,-0.098000,-0.160000,-0.244000
2.606000,-0.097000,-0.154000,-0.237000
2.626000,-0.098000,-0.149000,-0.232000
2.646000,-0.098000,-0.144000,-0.226000
2.666000,-0.098000,-0.139000,-0.221000
2.686000,-0.097000,-0.135000,-0.216000
2.706000,-0.096000,-0.131000,-0.211000
2.726000,-0.096000,-0.128000,-0.207000
2.746000,-0.095000,-0.124000,-0.202000
2.766000,-0.095000,-0.121000,-0.198000
2.786000,-0.094000,-0.118000,-0.194000
2.806000,-0.094000,-0.115000,-0.191000
2.826000,-0.094000,-0.111000,-0.187000
