accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.011000,0.557500,-2.065000,8.550000
0.031000,0.640000,-1.875000,8.230000
0.051000,0.680000,-1.545000,7.890000
0.071000,0.605000,-1.140000,7.577500
0.091000,0.472500,-0.865000,7.262500
0.111000,0.295000,-0.737500,6.960000
0.131000,0.127500,-0.705000,6.680000
0.151000,-0.135000,-0.592500,6.432500
0.171000,-0.452500,-0.522500,6.195000
0.191000,-0.810000,-0.515000,5.995000
0.211000,-1.300000,-0.585000,5.845000
0.231000,-1.942500,-0.650000,5.727500
0.251000,-2.625000,-0.702500,5.592500
0.271000,-3.320000,-0.770000,5.420000
0.291000,-4.095000,-0.850000,5.220000
0.311000,-5.025000,-0.947500,5.017500
0.331000,-6.107500,-1.060000,4.845000
0.351000,-7.267500,-1.190000,4.710000
0.371000,-8.380000,-1.342500,4.625000
0.391000,-9.312500,-1.510000,4.577500
0.411000,-10.012500,-1.687500,4.547500
0.431000,-10.487500,-1.850000,4.522500
0.451000,-10.787500,-1.985000,4.500000
0.471000,-10.955000,-2.097500,4.480000
0.491000,-11.022500,-2.182500,4.467500
0.511000,-11.015000,-2.237500,4.445000
0.531000,-10.947500,-2.282500,4.410000
0.551000,-10.835000,-2.330000,4.372500
0.571000,-10.692500,-2.387500,4.337500
0.591000,-10.535000,-2.460000,4.312500
0.611000,-10.360000,-2.530000,4.290000
0.631000,-10.182500,-2.607500,4.272500
0.651000,-10.002500,-2.682500,4.257500
0.671000,-9.827500,-2.757500,4.247500
0.691000,-9.670000,-2.822500,4.245000
0.711000,-9.547500,-2.862500,4.252500
0.731000,-9.442500,-2.887500,4.247500
0.751000,-9.350000,-2.915000,4.240000
0.771000,-9.280000,-2.945000,4.250000
0.791000,-9.235000,-2.965000,4.260000
0.811000,-9.192500,-2.977500,4.265000
0.831000,-9.157500,-2.985000,4.277500
0.851000,-9.132500,-2.987500,4.300000
0.871000,-9.117500,-2.977500,4.330000
0.891000,-9.112500,-2.965000,4.367500
0.911000,-9.110000,-2.960000,4.407500
0.931000,-9.100000,-2.947500,4.452500
0.951000,-9.100000,-2.932500,4.512500
0.971000,-9.110000,-2.932500,4.580000
0.991000,-9.107500,-2.950000,4.642500
1.011000,-9.067500,-2.955000,4.707500
1.031000,-9.010000,-2.960000,4.780000
1.051000,-8.962500,-2.985000,4.857500
1.071000,-8.902500,-3.005000,4.935000
1.091000,-8.800000,-3.020000,5.010000
1.111000,-8.665000,-3.045000,5.070000
1.131000,-8.492500,-3.070000,5.122500
1.151000,-8.255000,-3.085000,5.162500
1.171000,-7.950000,-3.090000,5.185000
1.191000,-7.607500,-3.087500,5.185000
1.211000,-7.247500,-3.077500,5.160000
1.231000,-6.835000,-3.062500,5.102500
1.251000,-6.367500,-3.052500,5.012500
1.271000,-5.880000,-3.045000,4.890000
1.291000,-5.435000,-3.030000,4.752500
1.311000,-5.027500,-3.000000,4.612500
1.331000,-4.610000,-2.955000,4.487500
1.351000,-4.225000,-2.920000,4.377500
1.371000,-3.897500,-2.892500,4.292500
1.391000,-3.522500,-2.857500,4.210000
1.411000,-3.215000,-2.827500,4.132500
1.431000,-3.150000,-2.815000,4.080000
1.451000,-3.355000,-2.790000,4.052500
1.471000,-3.635000,-2.712500,4.015000
1.491000,-3.842500,-2.607500,3.885000
1.511000,-4.037500,-2.572500,3.737500
1.531000,-4.895000,-2.570000,3.650000
1.551000,-6.745000,-3.075000,4.510000
1.571000,-12.772500,-3.062500,8.085000
1.591000,-15.687500,-3.262500,12.000000
1.611000,-9.590000,-4.540000,7.020000
1.631000,-11.627500,-3.822500,0.895000
1.651000,-8.895000,-1.097500,6.867500
1.671000,-6.517500,0.945000,9.750000
1.691000,-5.050000,0.220000,9.225000
1.711000,-4.350000,-2.595000,8.702500
1.731000,-4.350000,-3.860000,8.067500
1.751000,-3.752500,-4.122500,8.362500
1.771000,-2.940000,-3.777500,8.642500
1.791000,-2.205000,-3.297500,8.762500
1.811000,-1.957500,-2.792500,9.155000
1.831000,-1.772500,-2.812500,9.310000
1.851000,-1.612500,-2.782500,9.265000
1.871000,-1.510000,-3.125000,9.292500
1.891000,-1.447500,-3.257500,9.455000
1.911000,-1.365000,-3.227500,9.570000
1.931000,-1.310000,-3.235000,9.530000
1.951000,-1.227500,-3.235000,9.570000
1.971000,-1.145000,-3.202500,9.705000
1.991000,-1.045000,-3.215000,9.717500
2.011000,-0.945000,-3.307500,9.760000
2.031000,-0.910000,-3.320000,9.832500
2.051000,-0.910000,-3.280000,9.905000
2.071000,-0.875000,-3.267500,9.917500
2.091000,-0.845000,-3.290000,9.937500
2.111000,-0.772500,-3.305000,9.957500
2.131000,-0.722500,-3.320000,9.950000
2.151000,-0.620000,-3.317500,9.932500
2.171000,-0.552500,-3.312500,9.955000
2.191000,-0.497500,-3.327500,9.967500
2.211000,-0.420000,-3.335000,9.917500
2.231000,-0.377500,-3.325000,9.947500
2.251000,-0.352500,-3.330000,9.967500
2.271000,-0.327500,-3.345000,9.975000
2.291000,-0.292500,-3.350000,9.977500
2.311000,-0.270000,-3.355000,9.995000
2.331000,-0.247500,-3.355000,10.005000
2.351000,-0.217500,-3.362500,10.002500
