accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.085000,8.322500,-4.310000,4.887500
0.105000,8.250000,-4.412500,4.925000
0.125000,8.225000,-4.552500,4.895000
0.145000,8.195000,-4.640000,4.830000
0.165000,8.182500,-4.687500,4.760000
0.185000,8.205000,-4.690000,4.702500
0.205000,8.230000,-4.655000,4.667500
0.225000,8.260000,-4.627500,4.635000
0.245000,8.285000,-4.605000,4.607500
0.265000,8.305000,-4.577500,4.575000
0.285000,8.307500,-4.570000,4.587500
0.305000,8.272500,-4.620000,4.652500
0.325000,8.225000,-4.682500,4.727500
0.345000,8.195000,-4.732500,4.785000
0.365000,8.170000,-4.775000,4.822500
0.385000,8.147500,-4.830000,4.872500
0.405000,8.122500,-4.880000,4.942500
0.425000,8.090000,-4.925000,5.000000
0.445000,8.050000,-4.967500,5.037500
0.465000,7.997500,-5.012500,5.090000
0.485000,7.950000,-5.057500,5.127500
0.505000,7.907500,-5.090000,5.165000
0.525000,7.867500,-5.115000,5.202500
0.545000,7.832500,-5.142500,5.227500
0.565000,7.800000,-5.175000,5.235000
0.585000,7.777500,-5.197500,5.237500
0.605000,7.757500,-5.210000,5.235000
0.625000,7.740000,-5.212500,5.240000
0.645000,7.722500,-5.212500,5.247500
0.665000,7.710000,-5.217500,5.255000
0.685000,7.697500,-5.225000,5.260000
0.705000,7.690000,-5.235000,5.262500
0.725000,7.685000,-5.240000,5.265000
0.745000,7.677500,-5.250000,5.270000
0.765000,7.670000,-5.262500,5.270000
0.785000,7.665000,-5.272500,5.262500
0.805000,7.660000,-5.275000,5.257500
0.825000,7.642500,-5.282500,5.260000
0.845000,7.625000,-5.297500,5.260000
0.865000,7.612500,-5.305000,5.255000
0.885000,7.600000,-5.307500,5.247500
0.905000,7.587500,-5.317500,5.237500
0.925000,7.575000,-5.332500,5.217500
0.945000,7.560000,-5.350000,5.195000
0.965000,7.535000,-5.367500,5.172500
0.985000,7.510000,-5.390000,5.150000
1.005000,7.490000,-5.412500,5.132500
1.025000,7.470000,-5.442500,5.110000
1.045000,7.452500,-5.472500,5.080000
1.065000,7.432500,-5.515000,5.037500
1.085000,7.407500,-5.565000,4.992500
1.105000,7.387500,-5.620000,4.942500
1.125000,7.370000,-5.680000,4.890000
1.145000,7.347500,-5.740000,4.835000
1.165000,7.325000,-5.795000,4.777500
1.185000,7.300000,-5.845000,4.725000
1.205000,7.272500,-5.892500,4.677500
1.225000,7.245000,-5.945000,4.622500
1.245000,7.222500,-6.002500,4.562500
1.265000,7.195000,-6.065000,4.487500
1.285000,7.172500,-6.132500,4.405000
1.305000,7.155000,-6.197500,4.310000
1.325000,7.142500,-6.255000,4.207500
1.345000,7.135000,-6.310000,4.100000
1.365000,7.127500,-6.352500,3.997500
1.385000,7.112500,-6.390000,3.887500
1.405000,7.092500,-6.425000,3.767500
1.425000,7.075000,-6.465000,3.650000
1.445000,7.060000,-6.502500,3.530000
1.465000,7.045000,-6.542500,3.410000
1.485000,7.030000,-6.592500,3.285000
1.505000,7.015000,-6.640000,3.167500
1.525000,7.002500,-6.680000,3.062500
1.545000,6.987500,-6.717500,2.967500
1.565000,6.970000,-6.757500,2.880000
1.585000,6.952500,-6.805000,2.795000
1.605000,6.935000,-6.857500,2.705000
1.625000,6.917500,-6.910000,2.622500
1.645000,6.900000,-6.957500,2.545000
1.665000,6.880000,-7.002500,2.467500
1.685000,6.860000,-7.045000,2.400000
1.705000,6.837500,-7.085000,2.345000
1.725000,6.820000,-7.125000,2.300000
1.745000,6.802500,-7.162500,2.255000
1.765000,6.787500,-7.207500,2.205000
1.785000,6.770000,-7.247500,2.157500
1.805000,6.760000,-7.285000,2.110000
1.825000,6.750000,-7.325000,2.065000
1.845000,6.742500,-7.355000,2.030000
1.865000,6.735000,-7.367500,2.010000
1.885000,6.727500,-7.382500,2.000000
1.905000,6.717500,-7.400000,1.987500
1.925000,6.712500,-7.420000,1.975000
1.945000,6.707500,-7.437500,1.970000
1.965000,6.702500,-7.455000,1.955000
1.985000,6.702500,-7.470000,1.932500
2.005000,6.702500,-7.472500,1.920000
2.025000,6.705000,-7.467500,1.920000
2.045000,6.705000,-7.450000,1.922500
2.065000,6.707500,-7.435000,1.917500
2.087000,6.712500,-7.420000,1.917500
2.107000,6.722500,-7.410000,1.922500
2.127000,6.730000,-7.402500,1.925000
2.147000,6.740000,-7.397500,1.925000
2.167000,6.750000,-7.382500,1.927500
2.187000,6.760000,-7.362500,1.937500
2.207000,6.775000,-7.350000,1.947500
2.227000,6.792500,-7.330000,1.955000
2.247000,6.805000,-7.305000,1.957500
2.267000,6.820000,-7.282500,1.962500
2.287000,6.835000,-7.255000,1.970000
2.307000,6.852500,-7.230000,1.972500
2.327000,6.870000,-7.202500,1.975000
2.347000,6.885000,-7.172500,1.985000
