gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.025000,-0.099000,0.079000,0.205000
0.045000,-0.157000,0.065000,0.203000
0.065000,-0.173000,0.053000,0.207000
0.085000,-0.156000,0.038000,0.215000
0.105000,-0.138000,0.018000,0.215000
0.125000,-0.131000,0.000000,0.210000
0.145000,-0.125000,-0.008000,0.199000
0.165000,-0.113000,-0.011000,0.194000
0.185000,-0.118000,-0.010000,0.200000
0.205000,-0.151000,0.000000,0.213000
0.225000,-0.200000,0.019000,0.221000
0.245000,-0.266000,0.046000,0.268000
0.265000,-0.352000,0.084000,0.357000
0.285000,-0.458000,0.131000,0.451000
0.305000,-0.606000,0.182000,0.565000
0.325000,-0.785000,0.249000,0.702000
0.345000,-0.961000,0.340000,0.875000
0.365000,-1.114000,0.451000,1.086000
0.385000,-1.261000,0.571000,1.320000
0.405000,-1.458000,0.697000,1.532000
0.425000,-1.654000,0.806000,1.730000
0.445000,-1.789000,0.885000,1.896000
0.465000,-1.945000,0.935000,1.990000
0.485000,-2.122000,0.954000,1.999000
0.505000,-2.209000,0.941000,1.949000
0.525000,-2.135000,0.917000,1.819000
0.545000,-1.946000,0.892000,1.599000
0.565000,-1.713000,0.861000,1.291000
0.585000,-1.461000,0.822000,0.893000
0.605000,-1.176000,0.770000,0.456000
0.625000,-0.869000,0.703000,0.014000
0.645000,-0.545000,0.624000,-0.418000
0.665000,-0.220000,0.538000,-0.825000
0.685000,0.079000,0.457000,-1.201000
0.705000,0.340000,0.384000,-1.540000
0.725000,0.548000,0.317000,-1.806000
0.745000,0.680000,0.254000,-1.888000
0.765000,0.720000,0.196000,-1.835000
0.785000,0.679000,0.147000,-1.694000
0.805000,0.602000,0.111000,-1.479000
0.825000,0.508000,0.094000,-1.188000
0.845000,0.378000,0.106000,-0.817000
0.865000,0.207000,0.149000,-0.337000
0.885000,0.040000,0.218000,0.136000
0.905000,-0.111000,0.309000,0.587000
0.925000,-0.273000,0.420000,1.003000
0.945000,-0.453000,0.535000,1.379000
0.965000,-0.629000,0.644000,1.713000
0.985000,-0.802000,0.732000,2.004000
1.005000,-0.960000,0.781000,2.258000
1.025000,-1.101000,0.798000,2.477000
1.045000,-1.224000,0.803000,2.642000
1.065000,-1.250000,0.800000,2.735000
1.085000,-1.165000,0.789000,2.746000
1.105000,-1.053000,0.776000,2.675000
1.125000,-0.964000,0.765000,2.536000
1.145000,-0.904000,0.756000,2.341000
1.165000,-0.873000,0.743000,2.106000
1.185000,-0.859000,0.727000,1.823000
1.205000,-0.854000,0.716000,1.482000
1.225000,-0.864000,0.715000,1.077000
1.245000,-0.869000,0.725000,0.615000
1.265000,-0.821000,0.743000,0.115000
1.285000,-0.687000,0.759000,-0.366000
1.305000,-0.485000,0.766000,-0.815000
1.325000,-0.267000,0.761000,-1.221000
1.345000,-0.066000,0.744000,-1.581000
1.365000,0.142000,0.722000,-1.896000
1.385000,0.378000,0.692000,-2.169000
1.405000,0.622000,0.659000,-2.405000
1.425000,0.849000,0.628000,-2.608000
1.445000,1.058000,0.597000,-2.783000
1.465000,1.230000,0.558000,-2.853000
1.485000,1.315000,0.511000,-2.736000
1.505000,1.315000,0.471000,-2.501000
1.525000,1.280000,0.444000,-2.156000
1.545000,1.219000,0.431000,-1.716000
1.565000,1.105000,0.439000,-1.179000
1.585000,0.928000,0.464000,-0.590000
1.605000,0.720000,0.497000,-0.019000
1.625000,0.515000,0.536000,0.513000
1.645000,0.321000,0.581000,0.992000
1.665000,0.126000,0.627000,1.413000
1.685000,-0.055000,0.676000,1.776000
1.705000,-0.242000,0.721000,2.085000
1.725000,-0.443000,0.752000,2.349000
1.745000,-0.595000,0.771000,2.572000
1.765000,-0.646000,0.784000,2.762000
1.785000,-0.564000,0.801000,2.924000
1.805000,-0.453000,0.816000,3.023000
1.825000,-0.400000,0.817000,2.985000
1.845000,-0.407000,0.801000,2.844000
1.865000,-0.431000,0.779000,2.623000
1.885000,-0.439000,0.757000,2.324000
1.905000,-0.418000,0.733000,1.964000
1.925000,-0.378000,0.703000,1.558000
1.945000,-0.344000,0.668000,1.101000
1.965000,-0.317000,0.636000,0.579000
1.985000,-0.274000,0.609000,0.037000
2.005000,-0.195000,0.581000,-0.474000
2.029000,-0.089000,0.549000,-0.939000
2.049000,0.016000,0.515000,-1.353000
2.069000,0.120000,0.483000,-1.713000
2.089000,0.259000,0.452000,-2.024000
2.109000,0.448000,0.420000,-2.290000
2.129000,0.665000,0.384000,-2.517000
2.149000,0.888000,0.340000,-2.710000
2.169000,1.103000,0.294000,-2.876000
2.189000,1.265000,0.246000,-2.929000
2.209000,1.354000,0.198000,-2.836000
2.229000,1.328000,0.163000,-2.624000
2.249000,1.199000,0.149000,-2.321000
2.269000,1.049000,0.151000,-1.925000
2.289000,0.932000,0.164000,-1.416000
2.309000,0.846000,0.190000,-0.826000
2.329000,0.744000,0.229000,-0.243000
2.349000,0.599000,0.282000,0.308000
2.369000,0.433000,0.342000,0.810000
2.389000,0.262000,0.405000,1.255000
2.409000,0.085000,0.468000,1.641000
2.429000,-0.103000,0.527000,1.971000
2.449000,-0.258000,0.565000,2.252000
2.469000,-0.393000,0.586000,2.490000
2.489000,-0.517000,0.593000,2.693000
2.509000,-0.555000,0.583000,2.865000
2.529000,-0.548000,0.575000,2.967000
2.549000,-0.560000,0.571000,2.946000
2.569000,-0.575000,0.559000,2.831000
2.589000,-0.588000,0.539000,2.636000
2.609000,-0.605000,0.521000,2.367000
2.629000,-0.624000,0.507000,2.033000
2.649000,-0.636000,0.493000,1.644000
2.669000,-0.634000,0.477000,1.211000
2.689000,-0.619000,0.460000,0.738000
2.709000,-0.597000,0.446000,0.224000
2.729000,-0.558000,0.433000,-0.289000
2.749000,-0.495000,0.420000,-0.764000
2.769000,-0.412000,0.403000,-1.192000
2.789000,-0.324000,0.382000,-1.568000
2.809000,-0.238000,0.360000,-1.895000
2.829000,-0.132000,0.339000,-2.177000
2.849000,0.018000,0.314000,-2.418000
2.869000,0.201000,0.280000,-2.624000
2.889000,0.384000,0.244000,-2.800000
2.909000,0.538000,0.209000,-2.909000
2.929000,0.652000,0.173000,-2.835000
2.949000,0.693000,0.135000,-2.607000
2.969000,0.612000,0.104000,-2.275000
2.989000,0.444000,0.088000,-1.854000
3.009000,0.263000,0.082000,-1.341000
3.029000,0.121000,0.090000,-0.746000
3.049000,0.026000,0.114000,-0.162000
3.069000,-0.045000,0.152000,0.387000
3.089000,-0.101000,0.206000,0.883000
