accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.021000,1.157500,2.327500,8.085000
0.041000,1.362500,0.470000,9.255000
0.061000,0.982500,-1.437500,10.245000
0.081000,0.445000,-3.272500,10.457500
0.101000,-0.032500,-4.612500,10.347500
0.121000,-0.470000,-5.190000,10.072500
0.141000,-1.000000,-5.215000,9.602500
0.161000,-1.725000,-4.892500,9.035000
0.181000,-2.562500,-4.405000,8.320000
0.201000,-3.515000,-3.977500,7.425000
0.221000,-4.500000,-3.720000,6.375000
0.241000,-5.400000,-3.605000,5.310000
0.261000,-6.160000,-3.540000,4.392500
0.281000,-6.825000,-3.505000,3.675000
0.301000,-7.420000,-3.497500,3.095000
0.321000,-8.000000,-3.497500,2.660000
0.341000,-8.612500,-3.525000,2.460000
0.361000,-9.160000,-3.615000,2.432500
0.381000,-9.595000,-3.802500,2.455000
0.401000,-10.010000,-4.142500,2.502500
0.421000,-10.455000,-4.620000,2.535000
0.441000,-10.832500,-5.107500,2.590000
0.461000,-11.122500,-5.557500,2.742500
0.481000,-11.292500,-6.167500,2.905000
0.501000,-11.290000,-6.995000,3.045000
0.521000,-11.172500,-7.890000,3.197500
0.541000,-11.052500,-8.645000,3.380000
0.561000,-10.955000,-9.255000,3.552500
0.581000,-10.825000,-9.835000,3.660000
0.601000,-10.615000,-10.292500,3.715000
0.621000,-10.325000,-10.510000,3.760000
0.641000,-9.960000,-10.642500,3.835000
0.661000,-9.635000,-10.887500,3.902500
0.681000,-9.502500,-11.282500,3.922500
0.701000,-9.585000,-11.675000,3.895000
0.721000,-9.867500,-12.057500,3.875000
0.741000,-10.330000,-12.412500,3.832500
0.761000,-10.875000,-12.650000,3.742500
0.781000,-11.485000,-12.750000,3.612500
0.801000,-12.065000,-12.802500,3.430000
0.821000,-12.437500,-12.755000,3.205000
0.841000,-12.557500,-12.582500,2.997500
0.861000,-12.537500,-12.297500,2.832500
0.881000,-12.367500,-11.917500,2.677500
0.901000,-12.107500,-11.445000,2.520000
0.921000,-11.765000,-10.865000,2.385000
0.941000,-11.385000,-10.155000,2.245000
0.961000,-10.995000,-9.320000,2.065000
0.981000,-10.602500,-8.342500,1.877500
1.001000,-10.185000,-7.205000,1.707500
1.021000,-9.795000,-5.965000,1.540000
1.041000,-9.587500,-4.800000,1.350000
1.061000,-9.542500,-3.892500,1.137500
1.081000,-9.580000,-3.287500,0.942500
1.101000,-9.710000,-2.897500,0.780000
1.121000,-9.965000,-2.722500,0.675000
1.141000,-10.407500,-2.840000,0.632500
1.161000,-10.900000,-3.165000,0.650000
1.181000,-11.475000,-3.665000,0.767500
1.201000,-12.165000,-4.677500,0.920000
1.221000,-12.752500,-6.227500,1.047500
1.241000,-13.155000,-7.547500,1.250000
1.261000,-13.627500,-8.592500,1.567500
1.281000,-14.000000,-10.097500,1.942500
1.301000,-14.085000,-11.902500,2.290000
1.321000,-13.935000,-13.437500,2.610000
1.341000,-13.637500,-14.332500,2.930000
1.361000,-13.232500,-14.747500,3.240000
1.381000,-12.750000,-14.910000,3.482500
1.401000,-12.232500,-14.897500,3.652500
1.421000,-11.705000,-14.742500,3.757500
1.441000,-11.222500,-14.507500,3.807500
1.461000,-10.895000,-14.250000,3.845000
1.481000,-10.735000,-13.970000,3.867500
1.501000,-10.695000,-13.720000,3.867500
1.521000,-10.817500,-13.640000,3.852500
1.541000,-11.117500,-13.767500,3.785000
1.561000,-11.450000,-13.807500,3.680000
1.581000,-11.717500,-13.612500,3.557500
1.601000,-11.865000,-13.345000,3.425000
1.621000,-11.810000,-13.087500,3.290000
1.641000,-11.592500,-12.815000,3.187500
1.661000,-11.262500,-12.455000,3.115000
1.681000,-10.990000,-12.017500,3.000000
1.701000,-10.777500,-11.532500,2.820000
1.721000,-10.502500,-10.947500,2.640000
1.741000,-10.212500,-10.212500,2.470000
1.761000,-9.942500,-9.307500,2.277500
1.781000,-9.682500,-8.297500,2.080000
1.801000,-9.447500,-7.280000,1.887500
1.821000,-9.292500,-6.275000,1.700000
1.841000,-9.210000,-5.365000,1.542500
1.861000,-9.212500,-4.635000,1.422500
1.881000,-9.317500,-4.070000,1.335000
1.901000,-9.522500,-3.732500,1.322500
1.921000,-9.842500,-3.742500,1.390000
1.941000,-10.190000,-4.047500,1.475000
1.961000,-10.502500,-4.437500,1.590000
1.981000,-10.947500,-5.040000,1.785000
2.001000,-11.507500,-6.135000,2.022500
2.022000,-12.002500,-7.417500,2.282500
2.042000,-12.490000,-8.635000,2.667500
2.062000,-12.815000,-10.012500,3.125000
2.082000,-12.865000,-11.250000,3.520000
2.102000,-12.712500,-12.025000,3.862500
2.122000,-12.435000,-12.387500,4.187500
2.142000,-12.062500,-12.557500,4.455000
2.162000,-11.625000,-12.597500,4.622500
2.182000,-11.132500,-12.527500,4.727500
2.202000,-10.627500,-12.400000,4.802500
2.222000,-10.217500,-12.325000,4.877500
2.242000,-9.975000,-12.277500,4.925000
2.262000,-9.830000,-12.162500,4.925000
2.282000,-9.767500,-12.000000,4.902500
2.302000,-9.817500,-11.887500,4.865000
2.322000,-9.957500,-11.867500,4.790000
2.342000,-10.132500,-11.862500,4.677500
2.362000,-10.272500,-11.782500,4.522500
2.382000,-10.352500,-11.652500,4.367500
2.402000,-10.385000,-11.495000,4.262500
2.422000,-10.320000,-11.302500,4.170000
2.442000,-10.177500,-11.045000,4.075000
2.462000,-10.032500,-10.710000,3.980000
2.482000,-9.912500,-10.290000,3.862500
2.502000,-9.790000,-9.792500,3.712500
2.522000,-9.610000,-9.265000,3.552500
2.542000,-9.380000,-8.687500,3.417500
2.562000,-9.160000,-8.037500,3.312500
2.582000,-8.985000,-7.327500,3.202500
2.602000,-8.860000,-6.627500,3.065000
2.622000,-8.757500,-6.020000,2.915000
2.642000,-8.692500,-5.520000,2.780000
2.662000,-8.660000,-5.037500,2.685000
2.682000,-8.680000,-4.635000,2.622500
2.702000,-8.800000,-4.497500,2.597500
2.722000,-8.967500,-4.655000,2.575000
2.742000,-9.147500,-5.072500,2.592500
2.762000,-9.405000,-5.855000,2.697500
2.782000,-9.667500,-7.140000,2.807500
2.802000,-9.837500,-8.722500,2.920000
2.822000,-9.997500,-10.277500,3.075000
2.842000,-10.047500,-11.735000,3.282500
2.862000,-9.995000,-13.185000,3.460000
2.882000,-9.875000,-14.452500,3.582500
2.902000,-9.707500,-15.215000,3.677500
2.922000,-9.505000,-15.440000,3.775000
2.942000,-9.295000,-15.362500,3.850000
2.962000,-9.097500,-15.170000,3.892500
2.982000,-8.910000,-14.907500,3.917500
3.002000,-8.787500,-14.650000,3.947500
3.022000,-8.760000,-14.437500,3.962500
3.042000,-8.790000,-14.220000,3.937500
3.062000,-8.840000,-13.935000,3.892500
3.082000,-8.917500,-13.602500,3.822500
3.102000,-9.005000,-13.285000,3.717500
3.122000,-9.027500,-12.920000,3.570000
3.142000,-8.957500,-12.427500,3.430000
3.162000,-8.825000,-11.775000,3.352500
3.182000,-8.662500,-11.112500,3.320000
3.202000,-8.507500,-10.585000,3.282500
3.222000,-8.387500,-10.125000,3.212500
3.242000,-8.322500,-9.675000,3.145000
3.262000,-8.287500,-9.205000,3.055000
3.282000,-8.227500,-8.720000,2.930000
3.302000,-8.120000,-8.197500,2.815000
3.322000,-7.990000,-7.647500,2.740000
3.342000,-7.880000,-7.082500,2.690000
3.362000,-7.795000,-6.490000,2.637500
3.382000,-7.727500,-5.890000,2.587500
3.402000,-7.690000,-5.320000,2.552500
3.422000,-7.685000,-4.827500,2.510000
3.442000,-7.710000,-4.485000,2.475000
3.462000,-7.760000,-4.297500,2.462500
3.482000,-7.835000,-4.222500,2.477500
3.502000,-7.990000,-4.355000,2.482500
3.522000,-8.315000,-4.967500,2.432500
3.542000,-8.792500,-6.247500,2.370000
3.562000,-9.185000,-8.042500,2.370000
3.582000,-9.517500,-9.790000,2.447500
3.602000,-9.820000,-11.235000,2.535000
3.622000,-10.032500,-12.422500,2.597500
3.642000,-10.090000,-13.267500,2.637500
3.662000,-10.007500,-13.682500,2.680000
3.682000,-9.847500,-13.860000,2.730000
3.702000,-9.652500,-13.930000,2.770000
3.722000,-9.430000,-13.870000,2.800000
3.742000,-9.205000,-13.737500,2.830000
3.762000,-9.040000,-13.600000,2.857500
3.782000,-8.970000,-13.487500,2.857500
3.802000,-8.965000,-13.340000,2.837500
3.822000,-9.017500,-13.142500,2.820000
3.842000,-9.115000,-12.892500,2.777500
3.862000,-9.180000,-12.557500,2.690000
3.882000,-9.190000,-12.150000,2.580000
3.902000,-9.182500,-11.737500,2.500000
3.922000,-9.167500,-11.300000,2.440000
3.942000,-9.010000,-10.795000,2.405000
3.962000,-8.760000,-10.255000,2.405000
3.982000,-8.607500,-9.690000,2.397500
4.002000,-8.585000,-9.107500,2.342500
4.023000,-8.555000,-8.525000,2.242500
4.043000,-8.492500,-7.895000,2.152500
4.063000,-8.437500,-7.207500,2.102500
4.083000,-8.407500,-6.492500,2.082500
4.103000,-8.417500,-5.900000,2.065000
4.123000,-8.447500,-5.490000,2.027500
4.143000,-8.497500,-5.195000,1.987500
4.163000,-8.557500,-4.942500,1.957500
4.183000,-8.637500,-4.785000,1.965000
4.203000,-8.795000,-4.880000,2.015000
4.223000,-8.975000,-5.112500,2.055000
4.243000,-9.122500,-5.387500,2.087500
4.263000,-9.292500,-5.772500,2.130000
4.283000,-9.535000,-6.297500,2.187500
4.303000,-9.765000,-6.835000,2.265000
4.323000,-9.945000,-7.365000,2.372500
4.343000,-10.107500,-8.077500,2.500000
4.363000,-10.212500,-8.957500,2.585000
4.383000,-10.252500,-9.867500,2.637500
4.403000,-10.197500,-10.642500,2.675000
4.423000,-10.085000,-11.170000,2.725000
4.443000,-9.975000,-11.437500,2.777500
4.463000,-9.857500,-11.515000,2.810000
4.483000,-9.712500,-11.517500,2.830000
4.503000,-9.570000,-11.505000,2.842500
4.523000,-9.485000,-11.497500,2.840000
4.543000,-9.477500,-11.432500,2.822500
4.563000,-9.520000,-11.332500,2.805000
4.583000,-9.615000,-11.272500,2.785000
4.603000,-9.757500,-11.272500,2.742500
4.623000,-9.925000,-11.265000,2.680000
4.643000,-10.065000,-11.205000,2.617500
4.663000,-10.172500,-11.122500,2.572500
4.683000,-10.215000,-10.940000,2.532500
4.703000,-10.152500,-10.647500,2.500000
4.723000,-10.052500,-10.245000,2.460000
4.743000,-9.937500,-9.725000,2.395000
4.763000,-9.765000,-9.092500,2.297500
4.783000,-9.540000,-8.365000,2.197500
4.803000,-9.332500,-7.597500,2.140000
4.823000,-9.152500,-6.817500,2.105000
4.843000,-9.000000,-6.050000,2.062500
4.863000,-8.875000,-5.315000,2.007500
4.883000,-8.807500,-4.655000,1.957500
4.903000,-8.805000,-4.087500,1.920000
4.923000,-8.842500,-3.652500,1.915000
4.943000,-8.980000,-3.405000,1.955000
4.963000,-9.225000,-3.435000,2.022500
4.983000,-9.507500,-3.705000,2.090000
5.003000,-9.787500,-4.205000,2.155000
5.023000,-10.080000,-4.957500,2.227500
5.043000,-10.395000,-5.767500,2.322500
5.063000,-10.727500,-6.495000,2.462500
5.083000,-10.990000,-7.250000,2.637500
5.103000,-11.132500,-8.130000,2.787500
5.123000,-11.197500,-8.985000,2.902500
5.143000,-11.222500,-9.607500,3.007500
5.163000,-11.170000,-10.037500,3.092500
5.183000,-11.032500,-10.337500,3.137500
5.203000,-10.837500,-10.452500,3.177500
5.223000,-10.605000,-10.422500,3.230000
5.243000,-10.380000,-10.390000,3.282500
5.263000,-10.207500,-10.412500,3.315000
5.283000,-10.122500,-10.492500,3.340000
5.303000,-10.137500,-10.587500,3.337500
5.323000,-10.247500,-10.635000,3.312500
5.343000,-10.410000,-10.587500,3.282500
5.363000,-10.587500,-10.535000,3.250000
5.383000,-10.772500,-10.512500,3.200000
5.403000,-10.905000,-10.410000,3.150000
5.423000,-10.942500,-10.185000,3.105000
5.443000,-10.847500,-9.857500,3.057500
5.463000,-10.645000,-9.432500,3.030000
5.483000,-10.445000,-8.875000,3.022500
5.503000,-10.262500,-8.197500,2.985000
5.523000,-10.030000,-7.470000,2.895000
5.543000,-9.750000,-6.752500,2.785000
5.563000,-9.515000,-6.057500,2.680000
5.583000,-9.377500,-5.412500,2.602500
5.603000,-9.257500,-4.850000,2.540000
5.623000,-9.137500,-4.405000,2.482500
5.643000,-9.077500,-4.045000,2.425000
5.663000,-9.067500,-3.745000,2.372500
5.683000,-9.095000,-3.485000,2.327500
5.703000,-9.202500,-3.380000,2.307500
5.723000,-9.410000,-3.472500,2.307500
5.743000,-9.642500,-3.600000,2.337500
5.763000,-9.935000,-3.880000,2.410000
5.783000,-10.305000,-4.372500,2.485000
5.803000,-10.707500,-4.842500,2.555000
5.823000,-11.092500,-5.142500,2.657500
5.843000,-11.450000,-5.427500,2.822500
5.863000,-11.777500,-5.845000,3.002500
5.883000,-12.045000,-6.370000,3.157500
5.903000,-12.195000,-6.897500,3.302500
5.923000,-12.215000,-7.357500,3.437500
5.943000,-12.127500,-7.727500,3.580000
5.963000,-11.955000,-7.985000,3.712500
5.983000,-11.742500,-8.140000,3.815000
6.003000,-11.525000,-8.185000,3.897500
