gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.020000,-0.363000,0.136000,0.893000
0.040000,-0.395000,0.152000,1.002000
0.060000,-0.318000,0.288000,1.280000
0.080000,-0.400000,0.449000,1.563000
0.100000,-0.605000,0.615000,1.754000
0.120000,-0.887000,0.784000,1.962000
0.140000,-1.177000,0.941000,2.168000
0.160000,-1.430000,1.059000,2.363000
0.180000,-1.665000,1.130000,2.561000
0.200000,-1.934000,1.182000,2.752000
0.220000,-2.215000,1.240000,2.930000
0.240000,-2.454000,1.294000,3.080000
0.260000,-2.658000,1.314000,3.207000
0.280000,-2.833000,1.315000,3.315000
0.300000,-2.970000,1.325000,3.407000
0.320000,-3.085000,1.345000,3.478000
0.340000,-3.187000,1.367000,3.519000
0.360000,-3.276000,1.390000,3.534000
0.380000,-3.341000,1.409000,3.532000
0.400000,-3.378000,1.421000,3.519000
0.420000,-3.382000,1.425000,3.494000
0.440000,-3.349000,1.420000,3.457000
0.460000,-3.277000,1.403000,3.408000
0.480000,-3.169000,1.377000,3.345000
0.500000,-3.029000,1.345000,3.266000
0.520000,-2.865000,1.310000,3.165000
0.540000,-2.685000,1.274000,3.041000
0.560000,-2.500000,1.239000,2.894000
0.580000,-2.314000,1.208000,2.722000
0.600000,-2.132000,1.181000,2.527000
0.620000,-1.954000,1.154000,2.311000
0.640000,-1.781000,1.127000,2.076000
0.660000,-1.610000,1.100000,1.826000
0.680000,-1.442000,1.073000,1.560000
0.700000,-1.273000,1.042000,1.284000
0.720000,-1.094000,1.006000,1.002000
0.740000,-0.907000,0.968000,0.720000
0.760000,-0.708000,0.927000,0.444000
0.780000,-0.489000,0.882000,0.184000
0.800000,-0.249000,0.825000,-0.053000
0.820000,0.000000,0.753000,-0.265000
0.840000,0.239000,0.669000,-0.450000
0.860000,0.451000,0.577000,-0.614000
0.880000,0.624000,0.481000,-0.763000
0.900000,0.752000,0.385000,-0.896000
0.920000,0.835000,0.292000,-1.016000
0.940000,0.881000,0.204000,-1.123000
0.960000,0.899000,0.122000,-1.215000
0.980000,0.900000,0.049000,-1.287000
1.000000,0.893000,-0.014000,-1.337000
1.020000,0.889000,-0.066000,-1.362000
1.040000,0.889000,-0.108000,-1.363000
1.060000,0.891000,-0.140000,-1.343000
1.080000,0.889000,-0.162000,-1.306000
1.100000,0.879000,-0.174000,-1.252000
1.120000,0.859000,-0.177000,-1.183000
1.140000,0.826000,-0.169000,-1.101000
1.160000,0.778000,-0.153000,-1.006000
1.180000,0.714000,-0.129000,-0.898000
1.200000,0.636000,-0.100000,-0.777000
1.220000,0.550000,-0.066000,-0.641000
1.240000,0.458000,-0.027000,-0.489000
1.260000,0.364000,0.016000,-0.317000
1.280000,0.266000,0.062000,-0.123000
1.300000,0.161000,0.114000,0.092000
1.320000,0.047000,0.169000,0.330000
1.340000,-0.078000,0.227000,0.585000
1.360000,-0.211000,0.283000,0.845000
1.380000,-0.352000,0.335000,1.094000
1.400000,-0.496000,0.382000,1.317000
1.420000,-0.631000,0.427000,1.502000
1.440000,-0.738000,0.466000,1.645000
1.460000,-0.807000,0.496000,1.752000
1.480000,-0.841000,0.517000,1.827000
1.500000,-0.856000,0.528000,1.868000
1.520000,-0.868000,0.530000,1.877000
1.540000,-0.882000,0.526000,1.857000
1.560000,-0.899000,0.518000,1.813000
1.580000,-0.912000,0.507000,1.747000
1.600000,-0.919000,0.495000,1.665000
1.620000,-0.916000,0.480000,1.571000
1.640000,-0.905000,0.466000,1.468000
1.660000,-0.882000,0.453000,1.357000
1.680000,-0.848000,0.441000,1.239000
1.700000,-0.803000,0.430000,1.116000
1.720000,-0.746000,0.418000,0.988000
1.740000,-0.679000,0.406000,0.854000
1.760000,-0.603000,0.393000,0.712000
1.780000,-0.517000,0.380000,0.563000
1.800000,-0.420000,0.367000,0.408000
1.820000,-0.310000,0.352000,0.246000
1.840000,-0.188000,0.334000,0.080000
1.860000,-0.061000,0.313000,-0.088000
1.880000,0.065000,0.286000,-0.254000
1.900000,0.186000,0.255000,-0.414000
1.920000,0.299000,0.221000,-0.562000
1.940000,0.404000,0.182000,-0.695000
1.960000,0.498000,0.140000,-0.809000
1.980000,0.582000,0.096000,-0.902000
2.000000,0.654000,0.050000,-0.973000
2.020000,0.715000,0.002000,-1.022000
2.040000,0.761000,-0.046000,-1.054000
2.060000,0.789000,-0.093000,-1.072000
2.080000,0.799000,-0.140000,-1.081000
2.100000,0.791000,-0.184000,-1.086000
2.120000,0.769000,-0.225000,-1.089000
2.140000,0.737000,-0.261000,-1.090000
2.160000,0.698000,-0.290000,-1.091000
2.180000,0.658000,-0.312000,-1.087000
2.200000,0.621000,-0.326000,-1.079000
2.220000,0.591000,-0.332000,-1.064000
2.240000,0.567000,-0.331000,-1.041000
2.260000,0.546000,-0.324000,-1.009000
2.280000,0.526000,-0.312000,-0.968000
2.300000,0.502000,-0.294000,-0.919000
2.320000,0.473000,-0.272000,-0.861000
2.340000,0.438000,-0.246000,-0.796000
2.360000,0.397000,-0.217000,-0.723000
2.380000,0.351000,-0.184000,-0.644000
2.400000,0.301000,-0.150000,-0.555000
2.420000,0.245000,-0.113000,-0.455000
2.440000,0.184000,-0.074000,-0.343000
2.460000,0.118000,-0.032000,-0.218000
2.480000,0.047000,0.012000,-0.080000
2.500000,-0.029000,0.060000,0.071000
2.520000,-0.110000,0.110000,0.231000
2.540000,-0.198000,0.161000,0.396000
2.560000,-0.291000,0.211000,0.562000
2.580000,-0.386000,0.260000,0.719000
2.600000,-0.476000,0.306000,0.860000
2.620000,-0.551000,0.348000,0.982000
2.640000,-0.601000,0.385000,1.080000
2.660000,-0.626000,0.413000,1.156000
2.680000,-0.632000,0.433000,1.207000
2.700000,-0.632000,0.444000,1.232000
2.720000,-0.630000,0.448000,1.233000
2.740000,-0.626000,0.448000,1.213000
2.760000,-0.619000,0.444000,1.178000
2.780000,-0.608000,0.435000,1.130000
2.800000,-0.594000,0.424000,1.072000
2.820000,-0.573000,0.411000,1.006000
2.840000,-0.543000,0.397000,0.934000
2.860000,-0.503000,0.383000,0.858000
2.880000,-0.453000,0.368000,0.778000
2.900000,-0.394000,0.352000,0.692000
2.920000,-0.329000,0.333000,0.602000
2.940000,-0.259000,0.314000,0.507000
2.960000,-0.184000,0.292000,0.407000
2.980000,-0.103000,0.268000,0.303000
3.000000,-0.016000,0.243000,0.197000
3.020000,0.076000,0.214000,0.091000
3.040000,0.172000,0.180000,-0.013000
3.060000,0.265000,0.139000,-0.114000
3.080000,0.352000,0.091000,-0.214000
3.100000,0.427000,0.037000,-0.314000
3.120000,0.488000,-0.021000,-0.414000
3.140000,0.535000,-0.083000,-0.514000
3.160000,0.572000,-0.147000,-0.610000
3.180000,0.601000,-0.211000,-0.700000
3.200000,0.623000,-0.274000,-0.779000
3.220000,0.640000,-0.336000,-0.847000
3.240000,0.652000,-0.396000,-0.904000
3.260000,0.656000,-0.451000,-0.949000
3.280000,0.654000,-0.501000,-0.986000
3.300000,0.645000,-0.543000,-1.016000
3.320000,0.632000,-0.577000,-1.040000
3.340000,0.614000,-0.603000,-1.058000
3.360000,0.592000,-0.619000,-1.069000
3.380000,0.566000,-0.627000,-1.071000
3.400000,0.536000,-0.624000,-1.063000
3.420000,0.503000,-0.613000,-1.044000
3.440000,0.468000,-0.596000,-1.015000
3.460000,0.431000,-0.571000,-0.974000
3.480000,0.391000,-0.538000,-0.921000
3.500000,0.348000,-0.498000,-0.855000
3.520000,0.304000,-0.452000,-0.776000
3.540000,0.257000,-0.397000,-0.683000
3.560000,0.208000,-0.337000,-0.573000
3.580000,0.156000,-0.272000,-0.445000
3.600000,0.099000,-0.201000,-0.298000
3.620000,0.036000,-0.122000,-0.131000
3.640000,-0.034000,-0.039000,0.056000
3.660000,-0.111000,0.044000,0.260000
3.680000,-0.195000,0.127000,0.473000
3.700000,-0.286000,0.211000,0.688000
3.720000,-0.378000,0.292000,0.893000
3.740000,-0.461000,0.368000,1.080000
3.760000,-0.522000,0.437000,1.241000
3.780000,-0.553000,0.496000,1.373000
3.800000,-0.559000,0.540000,1.473000
3.820000,-0.554000,0.569000,1.533000
3.840000,-0.547000,0.584000,1.555000
3.860000,-0.543000,0.587000,1.541000
3.880000,-0.541000,0.582000,1.498000
3.900000,-0.541000,0.570000,1.434000
3.920000,-0.541000,0.552000,1.353000
3.940000,-0.540000,0.530000,1.261000
3.960000,-0.534000,0.506000,1.161000
3.980000,-0.521000,0.480000,1.056000
4.000000,-0.499000,0.454000,0.949000
4.020000,-0.467000,0.427000,0.842000
4.040000,-0.425000,0.398000,0.735000
4.060000,-0.376000,0.368000,0.627000
4.080000,-0.321000,0.337000,0.519000
4.100000,-0.260000,0.304000,0.408000
4.120000,-0.194000,0.270000,0.294000
4.140000,-0.123000,0.235000,0.176000
4.160000,-0.046000,0.199000,0.059000
4.180000,0.035000,0.160000,-0.056000
4.200000,0.116000,0.115000,-0.167000
4.220000,0.193000,0.067000,-0.272000
4.240000,0.268000,0.016000,-0.368000
4.260000,0.341000,-0.042000,-0.457000
4.280000,0.408000,-0.105000,-0.540000
4.300000,0.467000,-0.169000,-0.619000
4.320000,0.516000,-0.235000,-0.695000
4.340000,0.554000,-0.301000,-0.767000
4.360000,0.581000,-0.369000,-0.832000
4.380000,0.598000,-0.435000,-0.890000
4.400000,0.603000,-0.499000,-0.942000
4.420000,0.597000,-0.557000,-0.987000
4.440000,0.582000,-0.608000,-1.027000
4.460000,0.561000,-0.650000,-1.059000
4.480000,0.536000,-0.681000,-1.084000
4.500000,0.506000,-0.701000,-1.100000
4.520000,0.473000,-0.709000,-1.105000
4.540000,0.439000,-0.706000,-1.098000
4.560000,0.405000,-0.691000,-1.078000
4.580000,0.372000,-0.667000,-1.046000
4.600000,0.343000,-0.634000,-0.999000
4.620000,0.313000,-0.593000,-0.939000
4.640000,0.283000,-0.544000,-0.866000
4.660000,0.250000,-0.486000,-0.779000
4.680000,0.216000,-0.421000,-0.678000
4.700000,0.181000,-0.348000,-0.561000
4.720000,0.143000,-0.268000,-0.427000
4.740000,0.102000,-0.183000,-0.272000
4.760000,0.056000,-0.093000,-0.097000
4.780000,0.002000,0.001000,0.096000
4.800000,-0.058000,0.098000,0.305000
4.820000,-0.126000,0.193000,0.524000
4.840000,-0.200000,0.280000,0.741000
4.860000,-0.280000,0.357000,0.942000
4.880000,-0.365000,0.425000,1.112000
4.900000,-0.449000,0.484000,1.241000
4.920000,-0.526000,0.533000,1.328000
4.940000,-0.589000,0.571000,1.376000
4.960000,-0.639000,0.598000,1.392000
4.980000,-0.681000,0.613000,1.381000
5.000000,-0.717000,0.618000,1.351000
5.020000,-0.747000,0.613000,1.307000
5.040000,-0.770000,0.603000,1.254000
5.060000,-0.783000,0.589000,1.195000
5.080000,-0.782000,0.571000,1.131000
5.100000,-0.768000,0.551000,1.063000
5.120000,-0.742000,0.530000,0.992000
5.140000,-0.706000,0.509000,0.917000
5.160000,-0.662000,0.488000,0.838000
