accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.020000,-6.310000,-5.215000,6.407500
0.040000,-6.247500,-5.475000,6.565000
0.060000,-6.457500,-5.695000,6.732500
0.080000,-6.667500,-5.675000,6.720000
0.100000,-6.745000,-5.687500,6.580000
0.120000,-6.780000,-5.780000,6.447500
0.140000,-6.867500,-5.830000,6.387500
0.160000,-7.007500,-5.872500,6.392500
0.180000,-7.180000,-5.912500,6.362500
0.200000,-7.402500,-6.025000,6.272500
0.220000,-7.595000,-6.200000,6.207500
0.240000,-7.795000,-6.392500,6.215000
0.260000,-7.957500,-6.432500,6.217500
0.280000,-8.170000,-6.520000,6.142500
0.300000,-8.417500,-6.550000,6.040000
0.320000,-8.675000,-6.590000,5.937500
0.340000,-8.877500,-6.580000,5.835000
0.360000,-9.022500,-6.530000,5.715000
0.380000,-9.120000,-6.450000,5.572500
0.400000,-9.172500,-6.342500,5.422500
0.420000,-9.182500,-6.205000,5.282500
0.440000,-9.152500,-6.052500,5.155000
0.460000,-9.090000,-5.892500,5.032500
0.480000,-8.992500,-5.732500,4.905000
0.500000,-8.867500,-5.572500,4.775000
0.520000,-8.720000,-5.407500,4.642500
0.540000,-8.560000,-5.240000,4.515000
0.560000,-8.392500,-5.072500,4.397500
0.580000,-8.217500,-4.900000,4.282500
0.600000,-8.045000,-4.730000,4.165000
0.620000,-7.887500,-4.565000,4.050000
0.640000,-7.752500,-4.402500,3.937500
0.660000,-7.642500,-4.252500,3.825000
0.680000,-7.555000,-4.112500,3.715000
0.700000,-7.502500,-3.985000,3.595000
0.720000,-7.500000,-3.865000,3.462500
0.740000,-7.525000,-3.752500,3.325000
0.760000,-7.572500,-3.652500,3.182500
0.780000,-7.665000,-3.567500,3.030000
0.800000,-7.812500,-3.497500,2.880000
0.820000,-8.005000,-3.445000,2.730000
0.840000,-8.247500,-3.402500,2.580000
0.860000,-8.570000,-3.377500,2.427500
0.880000,-8.990000,-3.365000,2.270000
0.900000,-9.490000,-3.367500,2.107500
0.920000,-10.050000,-3.385000,1.947500
0.940000,-10.640000,-3.422500,1.802500
0.960000,-11.182500,-3.467500,1.692500
0.980000,-11.622500,-3.525000,1.615000
1.000000,-11.937500,-3.597500,1.560000
1.020000,-12.130000,-3.690000,1.510000
1.040000,-12.200000,-3.807500,1.460000
1.060000,-12.155000,-3.947500,1.402500
1.080000,-12.015000,-4.107500,1.342500
1.100000,-11.800000,-4.280000,1.277500
1.120000,-11.532500,-4.455000,1.215000
1.140000,-11.235000,-4.620000,1.162500
1.160000,-10.927500,-4.760000,1.130000
1.180000,-10.630000,-4.867500,1.112500
1.200000,-10.345000,-4.937500,1.115000
1.220000,-10.090000,-4.975000,1.122500
1.240000,-9.880000,-4.997500,1.132500
1.260000,-9.730000,-5.020000,1.137500
1.280000,-9.635000,-5.047500,1.137500
1.300000,-9.597500,-5.087500,1.127500
