accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.011000,1.307500,1.970000,10.690000
0.031000,1.242500,2.477500,10.607500
0.051000,1.137500,2.567500,10.510000
0.071000,1.130000,2.697500,10.537500
0.091000,1.172500,2.962500,10.570000
0.111000,1.222500,3.207500,10.602500
0.131000,1.267500,3.260000,10.607500
0.151000,1.265000,3.135000,10.587500
0.171000,1.210000,2.897500,10.597500
0.191000,1.147500,2.617500,10.627500
0.211000,1.117500,2.305000,10.650000
0.231000,1.097500,1.960000,10.660000
0.251000,1.087500,1.652500,10.665000
0.271000,1.067500,1.402500,10.697500
0.291000,1.055000,1.172500,10.722500
0.311000,1.050000,0.987500,10.737500
0.331000,1.032500,0.890000,10.757500
0.351000,1.002500,0.835000,10.767500
0.371000,0.985000,0.817500,10.792500
0.391000,0.990000,0.845000,10.797500
0.411000,0.992500,0.880000,10.792500
0.431000,0.997500,0.935000,10.795000
0.451000,1.007500,1.017500,10.775000
0.471000,1.027500,1.120000,10.737500
0.491000,1.060000,1.232500,10.697500
0.511000,1.097500,1.320000,10.665000
0.531000,1.130000,1.380000,10.640000
0.551000,1.155000,1.440000,10.620000
0.571000,1.167500,1.535000,10.617500
0.591000,1.177500,1.647500,10.625000
0.611000,1.165000,1.720000,10.635000
0.631000,1.155000,1.745000,10.647500
0.651000,1.150000,1.775000,10.662500
0.671000,1.147500,1.837500,10.665000
0.691000,1.140000,1.880000,10.655000
0.711000,1.137500,1.895000,10.650000
0.731000,1.145000,1.897500,10.645000
0.751000,1.152500,1.887500,10.645000
0.771000,1.160000,1.880000,10.642500
0.791000,1.165000,1.890000,10.637500
0.811000,1.170000,1.910000,10.640000
0.831000,1.167500,1.920000,10.642500
0.851000,1.162500,1.917500,10.642500
0.871000,1.160000,1.902500,10.650000
0.891000,1.155000,1.900000,10.657500
0.911000,1.150000,1.920000,10.665000
0.931000,1.145000,1.937500,10.667500
0.951000,1.145000,1.945000,10.660000
0.971000,1.147500,1.942500,10.647500
0.991000,1.152500,1.937500,10.640000
1.011000,1.165000,1.942500,10.637500
1.031000,1.165000,1.947500,10.635000
1.051000,1.165000,1.950000,10.635000
1.071000,1.170000,1.960000,10.635000
1.091000,1.172500,1.975000,10.640000
1.111000,1.167500,1.995000,10.645000
1.131000,1.162500,2.012500,10.642500
1.151000,1.157500,2.010000,10.645000
1.171000,1.157500,2.005000,10.647500
1.191000,1.160000,2.015000,10.647500
1.211000,1.157500,2.027500,10.647500
1.231000,1.160000,2.030000,10.640000
1.251000,1.162500,2.027500,10.635000
1.271000,1.165000,2.027500,10.632500
1.291000,1.167500,2.030000,10.632500
1.311000,1.165000,2.030000,10.630000
1.331000,1.160000,2.035000,10.635000
1.351000,1.162500,2.045000,10.645000
1.371000,1.160000,2.055000,10.645000
1.391000,1.155000,2.050000,10.645000
1.411000,1.155000,2.047500,10.647500
1.431000,1.155000,2.057500,10.647500
1.451000,1.155000,2.080000,10.647500
1.471000,1.160000,2.102500,10.637500
1.491000,1.167500,2.115000,10.625000
1.511000,1.172500,2.120000,10.617500
1.531000,1.177500,2.130000,10.612500
1.551000,1.177500,2.137500,10.610000
1.571000,1.172500,2.140000,10.610000
1.591000,1.170000,2.135000,10.615000
1.611000,1.165000,2.125000,10.620000
1.631000,1.157500,2.122500,10.630000
1.651000,1.147500,2.120000,10.640000
1.671000,1.137500,2.100000,10.642500
1.691000,1.132500,2.070000,10.642500
1.711000,1.127500,2.057500,10.645000
1.731000,1.120000,2.057500,10.655000
1.751000,1.117500,2.057500,10.657500
1.771000,1.115000,2.050000,10.655000
1.791000,1.112500,2.045000,10.647500
1.811000,1.115000,2.047500,10.647500
1.831000,1.115000,2.047500,10.647500
1.851000,1.117500,2.045000,10.647500
1.871000,1.115000,2.050000,10.642500
1.891000,1.112500,2.067500,10.640000
1.911000,1.112500,2.090000,10.637500
1.931000,1.112500,2.100000,10.637500
1.951000,1.110000,2.105000,10.637500
1.971000,1.107500,2.112500,10.640000
1.991000,1.105000,2.130000,10.637500
2.013000,1.102500,2.147500,10.637500
2.033000,1.102500,2.162500,10.637500
2.053000,1.102500,2.175000,10.637500
2.073000,1.102500,2.187500,10.635000
2.093000,1.100000,2.200000,10.630000
2.113000,1.097500,2.207500,10.630000
2.133000,1.097500,2.212500,10.630000
2.153000,1.097500,2.215000,10.630000
2.173000,1.095000,2.212500,10.630000
2.193000,1.095000,2.215000,10.635000
2.213000,1.092500,2.212500,10.635000
2.233000,1.092500,2.200000,10.635000
2.253000,1.095000,2.185000,10.632500
2.273000,1.095000,2.180000,10.630000
2.293000,1.095000,2.180000,10.627500
2.313000,1.097500,2.177500,10.625000
2.333000,1.100000,2.175000,10.622500
2.353000,1.100000,2.177500,10.620000
2.373000,1.100000,2.180000,10.622500
2.393000,1.097500,2.182500,10.627500
2.413000,1.097500,2.192500,10.627500
2.433000,1.097500,2.202500,10.625000
2.453000,1.097500,2.207500,10.620000
2.473000,1.100000,2.202500,10.620000
2.493000,1.100000,2.200000,10.617500
2.513000,1.100000,2.207500,10.622500
2.533000,1.097500,2.222500,10.622500
2.553000,1.097500,2.227500,10.622500
2.573000,1.095000,2.222500,10.622500
2.593000,1.095000,2.217500,10.617500
2.613000,1.095000,2.215000,10.617500
2.633000,1.097500,2.215000,10.620000
2.653000,1.097500,2.215000,10.622500
2.673000,1.095000,2.220000,10.620000
2.693000,1.095000,2.225000,10.620000
2.713000,1.092500,2.225000,10.620000
2.733000,1.092500,2.225000,10.620000
2.753000,1.090000,2.225000,10.617500
2.773000,1.090000,2.222500,10.617500
2.793000,1.087500,2.217500,10.617500
2.813000,1.085000,2.220000,10.622500
2.833000,1.085000,2.222500,10.627500
2.853000,1.082500,2.220000,10.627500
2.873000,1.082500,2.220000,10.625000
2.893000,1.077500,2.220000,10.622500
2.913000,1.077500,2.222500,10.625000
2.933000,1.077500,2.220000,10.625000
2.953000,1.075000,2.222500,10.627500
2.973000,1.072500,2.222500,10.627500
2.993000,1.070000,2.222500,10.627500
3.013000,1.070000,2.220000,10.625000
3.033000,1.070000,2.217500,10.627500
3.053000,1.070000,2.217500,10.627500
3.073000,1.067500,2.220000,10.625000
3.093000,1.062500,2.217500,10.627500
3.113000,1.065000,2.217500,10.627500
3.133000,1.065000,2.217500,10.625000
3.153000,1.062500,2.222500,10.627500
3.173000,1.060000,2.222500,10.627500
3.193000,1.060000,2.220000,10.627500
3.213000,1.057500,2.217500,10.630000
3.233000,1.057500,2.217500,10.630000
3.253000,1.057500,2.217500,10.627500
3.273000,1.057500,2.217500,10.625000
3.293000,1.055000,2.215000,10.627500
3.313000,1.052500,2.217500,10.630000
3.333000,1.052500,2.220000,10.632500
3.353000,1.052500,2.222500,10.635000
3.373000,1.050000,2.222500,10.632500
3.393000,1.047500,2.222500,10.630000
3.413000,1.047500,2.222500,10.630000
3.433000,1.045000,2.227500,10.632500
3.453000,1.045000,2.232500,10.635000
3.473000,1.042500,2.240000,10.637500
3.493000,1.045000,2.245000,10.635000
3.513000,1.045000,2.247500,10.632500
3.533000,1.045000,2.247500,10.632500
3.553000,1.047500,2.247500,10.635000
3.573000,1.050000,2.245000,10.632500
3.593000,1.052500,2.240000,10.630000
3.613000,1.052500,2.235000,10.625000
3.633000,1.052500,2.232500,10.625000
3.653000,1.057500,2.225000,10.625000
3.673000,1.057500,2.215000,10.622500
3.693000,1.057500,2.207500,10.625000
3.713000,1.057500,2.202500,10.627500
3.733000,1.055000,2.197500,10.630000
3.753000,1.055000,2.192500,10.632500
3.773000,1.055000,2.190000,10.632500
3.793000,1.055000,2.192500,10.630000
3.813000,1.055000,2.195000,10.630000
3.833000,1.052500,2.190000,10.635000
3.853000,1.055000,2.187500,10.635000
3.873000,1.055000,2.190000,10.632500
3.893000,1.055000,2.197500,10.630000
3.913000,1.060000,2.197500,10.630000
3.933000,1.062500,2.200000,10.627500
3.953000,1.062500,2.207500,10.627500
3.973000,1.062500,2.212500,10.625000
3.993000,1.062500,2.215000,10.622500
