gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.310000,-0.095127,-1.821537,1.106485
0.330000,-0.026180,-1.800554,1.154649
0.350000,-0.004292,-1.767907,1.196809
0.370000,-0.030090,-1.729011,1.228791
0.390000,-0.090180,-1.682379,1.248316
0.410000,-0.168930,-1.633274,1.254593
0.430000,-0.252483,-1.584165,1.248577
0.450000,-0.330342,-1.534855,1.230777
0.470000,-0.397075,-1.484297,1.202512
0.490000,-0.452501,-1.431651,1.165957
0.510000,-0.496155,-1.376810,1.123183
0.530000,-0.527369,-1.319956,1.076530
0.550000,-0.548487,-1.261819,1.027462
0.570000,-0.563976,-1.202292,0.976689
0.590000,-0.577825,-1.142159,0.924067
0.610000,-0.591724,-1.083036,0.869980
0.630000,-0.606344,-1.024980,0.814635
0.650000,-0.622029,-0.967692,0.758451
0.670000,-0.636087,-0.912267,0.703097
0.690000,-0.644656,-0.858334,0.650047
0.710000,-0.649786,-0.805493,0.599411
0.730000,-0.653683,-0.754515,0.552973
0.750000,-0.650211,-0.706561,0.515087
0.770000,-0.635524,-0.659822,0.484873
0.790000,-0.612318,-0.615304,0.462134
0.810000,-0.584857,-0.574411,0.446398
0.830000,-0.556593,-0.535198,0.433059
0.850000,-0.528368,-0.498380,0.421755
0.870000,-0.501280,-0.465088,0.411236
0.890000,-0.475478,-0.434153,0.399378
0.910000,-0.452168,-0.404609,0.385519
0.930000,-0.430361,-0.377553,0.371306
0.950000,-0.406714,-0.352528,0.358703
0.970000,-0.380197,-0.329494,0.349518
0.990000,-0.353930,-0.310299,0.344317
1.010000,-0.329610,-0.295531,0.342677
1.030000,-0.303608,-0.283749,0.344465
1.050000,-0.273241,-0.275016,0.349649
1.070000,-0.242596,-0.269602,0.357199
1.090000,-0.217899,-0.267129,0.365640
1.110000,-0.200317,-0.266079,0.374235
1.130000,-0.183783,-0.265515,0.382771
1.150000,-0.163088,-0.265503,0.390669
1.170000,-0.136223,-0.264802,0.397621
1.190000,-0.105124,-0.262832,0.402597
1.210000,-0.075721,-0.259913,0.403434
1.230000,-0.050842,-0.256469,0.399782
1.250000,-0.030733,-0.251873,0.390117
1.270000,-0.009141,-0.246635,0.373089
1.290000,0.018187,-0.242977,0.348872
1.310000,0.046037,-0.240695,0.316842
1.330000,0.068066,-0.239811,0.275970
1.350000,0.093290,-0.241053,0.225687
1.370000,0.130582,-0.246747,0.160219
1.390000,0.169494,-0.260733,0.074369
1.410000,0.198591,-0.285538,-0.034859
1.430000,0.238171,-0.315628,-0.163125
1.452000,0.299179,-0.349319,-0.299165
1.472000,0.368835,-0.384942,-0.437567
1.492000,0.425380,-0.422473,-0.583282
1.512000,0.461959,-0.524391,-0.741773
1.532000,0.403852,-0.635215,-0.922934
1.552000,0.541103,-0.754482,-1.061436
1.572000,0.605351,-0.787036,-1.132747
1.592000,0.422533,-0.780515,-1.233615
1.612000,0.348314,-0.771385,-1.355101
1.632000,0.471958,-0.767516,-1.345204
1.652000,0.415916,-0.797677,-1.325267
1.672000,0.195140,-0.838670,-1.324934
1.692000,0.100356,-0.837927,-1.251932
1.712000,0.111457,-0.815814,-1.232107
1.732000,0.132843,-0.791908,-1.235990
1.752000,0.106597,-0.785084,-1.214729
1.772000,0.034573,-0.785914,-1.175678
1.792000,-0.025457,-0.783561,-1.090255
1.812000,-0.049348,-0.764272,-1.019548
1.832000,0.047311,-0.729995,-0.969101
1.852000,0.218637,-0.697632,-0.918251
1.872000,0.311499,-0.686497,-0.868264
1.892000,0.342875,-0.672717,-0.807675
1.912000,0.337169,-0.646004,-0.758265
1.932000,0.234273,-0.619476,-0.694332
1.952000,0.091105,-0.598542,-0.648536
1.972000,0.125704,-0.576065,-0.621406
1.992000,0.303229,-0.538176,-0.586380
2.012000,0.428461,-0.502663,-0.555731
2.032000,0.417749,-0.490907,-0.544212
2.052000,0.390582,-0.482824,-0.530794
2.072000,0.417477,-0.457835,-0.505240
2.092000,0.436004,-0.430505,-0.476776
2.112000,0.398356,-0.412346,-0.455808
2.132000,0.368167,-0.398707,-0.436410
2.152000,0.386328,-0.380415,-0.416324
2.172000,0.411408,-0.362543,-0.398696
2.192000,0.416418,-0.349343,-0.386355
2.212000,0.410660,-0.337301,-0.373687
2.232000,0.397671,-0.325667,-0.359647
2.252000,0.371052,-0.317274,-0.347164
2.272000,0.344730,-0.311578,-0.337669
2.292000,0.335121,-0.303510,-0.327670
2.339000,0.317485,-0.296230,-0.319004
2.359000,0.304569,-0.287908,-0.309569
2.379000,0.290984,-0.279430,-0.299663
2.399000,0.271585,-0.272787,-0.290874
2.419000,0.252067,-0.267468,-0.284125
2.439000,0.238149,-0.262112,-0.277136
2.459000,0.228438,-0.256273,-0.269702
2.479000,0.218820,-0.250439,-0.262488
2.499000,0.210319,-0.244831,-0.255852
2.519000,0.205377,-0.239025,-0.249531
2.539000,0.201557,-0.232927,-0.243154
2.559000,0.195832,-0.227264,-0.237088
2.579000,0.187829,-0.221865,-0.231625
2.599000,0.175973,-0.217110,-0.226141
2.619000,0.154843,-0.214299,-0.221166
2.639000,0.122045,-0.213065,-0.216448
2.659000,0.085548,-0.213090,-0.212179
2.679000,0.058708,-0.212954,-0.207029
2.699000,0.042659,-0.211116,-0.200697
2.719000,0.030219,-0.208263,-0.194766
2.739000,0.023689,-0.204530,-0.189454
2.759000,0.029412,-0.199375,-0.184814
2.779000,0.048152,-0.192653,-0.179338
2.799000,0.072465,-0.185775,-0.174415
