accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.305000,-9.593566,-3.169923,1.297657
0.325000,-9.436746,-3.633201,0.905008
0.345000,-9.278793,-4.080990,0.533498
0.365000,-9.143100,-4.467854,0.240185
0.385000,-9.020016,-4.781106,0.032431
0.405000,-8.910758,-5.002927,-0.084031
0.425000,-8.836777,-5.128155,-0.111777
0.445000,-8.794417,-5.137561,-0.082697
0.465000,-8.736570,-5.036078,-0.015997
0.485000,-8.649395,-4.870448,0.061226
0.505000,-8.555432,-4.697279,0.132810
0.525000,-8.464180,-4.566627,0.197088
0.545000,-8.392800,-4.506501,0.247681
0.565000,-8.340485,-4.497949,0.278875
0.585000,-8.296340,-4.515527,0.291483
0.605000,-8.245114,-4.540747,0.293087
0.626000,-8.191379,-4.563328,0.300512
0.646000,-8.148515,-4.586719,0.318164
0.666000,-8.120419,-4.603640,0.346929
0.686000,-8.093657,-4.611101,0.385970
0.706000,-8.069989,-4.609035,0.428339
0.726000,-8.055655,-4.599974,0.471593
0.746000,-8.049212,-4.594952,0.525518
0.766000,-8.052851,-4.592491,0.586285
0.786000,-8.056694,-4.582818,0.654570
0.806000,-8.066319,-4.560039,0.729932
0.826000,-8.087226,-4.521468,0.811054
0.846000,-8.112043,-4.475841,0.892908
0.866000,-8.133940,-4.423769,0.974952
0.886000,-8.153702,-4.364612,1.054719
0.906000,-8.174531,-4.298573,1.133395
0.926000,-8.196670,-4.228986,1.210548
0.946000,-8.221364,-4.163863,1.282739
0.966000,-8.248277,-4.108068,1.348320
0.986000,-8.270786,-4.053550,1.407057
1.006000,-8.287074,-3.993074,1.460784
1.026000,-8.302042,-3.927168,1.510723
1.046000,-8.321737,-3.868912,1.556140
1.066000,-8.343794,-3.827333,1.589340
1.086000,-8.362574,-3.786077,1.618762
1.106000,-8.372437,-3.732858,1.645360
1.126000,-8.378919,-3.676883,1.670302
1.146000,-8.383574,-3.628740,1.691015
1.166000,-8.384025,-3.589057,1.706652
1.186000,-8.384036,-3.549117,1.718685
1.206000,-8.382185,-3.505598,1.728458
1.226000,-8.376215,-3.460668,1.737923
1.246000,-8.369227,-3.417387,1.746134
1.266000,-8.364665,-3.378015,1.754189
1.286000,-8.360618,-3.339171,1.762039
1.306000,-8.354802,-3.297967,1.772893
1.326000,-8.345161,-3.250676,1.785562
1.346000,-8.332397,-3.198329,1.799884
1.366000,-8.318095,-3.143407,1.812928
1.386000,-8.300154,-3.090849,1.826608
1.406000,-8.276953,-3.036409,1.842653
1.426000,-8.247138,-2.976906,1.861818
1.446000,-8.211579,-2.913228,1.882429
1.466000,-8.170400,-2.847926,1.904751
1.486000,-8.124146,-2.782059,1.928782
1.506000,-8.072175,-2.713432,1.955094
1.526000,-8.018449,-2.642091,1.983070
1.546000,-7.968588,-2.569210,2.013793
1.566000,-7.924191,-2.494593,2.044497
1.586000,-7.884998,-2.415751,2.073683
1.606000,-7.841532,-2.325192,2.104821
1.626000,-7.791786,-2.220693,2.141605
1.646000,-7.742054,-2.106061,2.183752
1.666000,-7.698014,-1.995090,2.226865
1.686000,-7.662652,-1.894604,2.263452
1.706000,-7.634943,-1.793471,2.297576
1.726000,-7.613869,-1.678543,2.334100
1.746000,-7.617947,-1.560712,2.369907
1.766000,-7.657766,-1.453141,2.405840
1.786000,-7.733289,-1.335123,2.442441
1.806000,-7.803581,-1.195367,2.480986
1.826000,-7.814993,-1.042640,2.506176
1.846000,-7.790887,-0.886664,2.514217
1.866000,-7.780658,-0.711611,2.504730
1.886000,-7.783185,-0.511882,2.476941
1.906000,-7.745512,-0.281125,2.428707
1.926000,-7.630125,-0.060846,2.360172
1.946000,-7.436781,0.101891,2.247541
1.966000,-7.207369,0.188553,1.975493
1.986000,-7.177067,0.074164,1.597768
2.006000,-7.618006,-0.383195,1.126842
2.026000,-9.932564,-2.737734,4.026156
2.046000,-9.471358,-11.496113,0.518972
2.066000,-9.252369,-4.151321,-6.719742
2.086000,-7.649234,19.761602,-5.936703
2.106000,-9.168477,14.145979,3.980772
2.126000,-7.343680,-0.080451,5.310322
2.146000,-6.865410,0.128155,2.176616
2.166000,-6.833166,0.005312,3.102308
2.186000,-5.899937,-7.168127,4.079965
2.206000,-5.343669,-8.839130,4.970078
2.226000,-6.499848,-9.013258,4.170642
2.246000,-5.974234,-8.232702,2.477431
2.266000,-2.157892,-7.565812,0.464560
2.286000,4.273872,-7.699659,-0.744325
2.328000,0.549393,-8.202262,-0.954721
2.348000,-1.609866,-9.252193,-1.423656
2.368000,0.245099,-9.221916,-1.790281
2.388000,2.224380,-8.123661,-1.813022
2.408000,2.067396,-6.775941,-1.301882
2.428000,1.252093,-6.036632,-0.978726
2.448000,1.799801,-8.515085,-1.140436
2.468000,1.501736,-8.609519,-1.402632
2.488000,1.322110,-9.244985,-1.491679
2.508000,0.945643,-9.868880,-1.472858
2.528000,1.186887,-9.880042,-1.498563
2.548000,1.522121,-9.665880,-1.613163
2.568000,1.748320,-9.246127,-1.792142
2.588000,1.855083,-8.961311,-2.084911
2.608000,1.908946,-8.864987,-2.447600
2.628000,1.925819,-8.763337,-2.740820
2.648000,1.981023,-8.757795,-2.950629
2.668000,2.124330,-8.660276,-3.148421
2.688000,2.239656,-8.548593,-3.392720
2.708000,2.259326,-8.334995,-3.639164
2.728000,2.258565,-8.201166,-3.843729
2.748000,2.333386,-8.200824,-3.998812
2.768000,2.479844,-8.159253,-4.095669
2.788000,2.621185,-7.682253,-4.081265
2.808000,2.689064,-7.687578,-4.127162
2.828000,2.727706,-7.839781,-4.186649
2.848000,2.815022,-7.724475,-4.243887
2.868000,2.906760,-7.406991,-4.264288
2.888000,2.925066,-7.266521,-4.246592
2.908000,2.896499,-7.222594,-4.240816
2.928000,2.878135,-7.195395,-4.270326
2.948000,2.880658,-7.139552,-4.334466
2.968000,2.888235,-7.149229,-4.440977
2.988000,2.893617,-7.302664,-4.566153
3.008000,2.932866,-7.199212,-4.656281
3.028000,2.922321,-7.208610,-4.722847
3.048000,2.916283,-7.227755,-4.785949
3.068000,2.903500,-7.286472,-4.852627
3.088000,2.888232,-7.326480,-4.888377
3.108000,2.877056,-7.348605,-4.892289
3.128000,2.870721,-7.357297,-4.887771
3.148000,2.869050,-7.348106,-4.874766
3.168000,2.863755,-7.343522,-4.866682
3.188000,2.858150,-7.344217,-4.884461
3.208000,2.856815,-7.337746,-4.924479
3.228000,2.859617,-7.320064,-4.971296
3.248000,2.861913,-7.295448,-5.021391
3.268000,2.860224,-7.264708,-5.071030
3.288000,2.860884,-7.226306,-5.121131
3.308000,2.864695,-7.183475,-5.178454
3.328000,2.868501,-7.139892,-5.237971
3.348000,2.872576,-7.102126,-5.294394
3.368000,2.876849,-7.067367,-5.343206
3.388000,2.881101,-7.040360,-5.382223
3.408000,2.876627,-7.016379,-5.407099
3.428000,2.869970,-7.004326,-5.430562
3.448000,2.863566,-7.000536,-5.452566
3.468000,2.858082,-7.000960,-5.469617
3.488000,2.838353,-6.993208,-5.480718
3.508000,2.830631,-6.993099,-5.488472
3.528000,2.827084,-6.992659,-5.497963
3.548000,2.819873,-6.984509,-5.508633
3.568000,2.814302,-6.976588,-5.526497
3.588000,2.811136,-6.968672,-5.549230
3.608000,2.809517,-6.955627,-5.571434
3.628000,2.807527,-6.942141,-5.594100
3.648000,2.805941,-6.928380,-5.617641
3.668000,2.805072,-6.914851,-5.641353
3.688000,2.804436,-6.901834,-5.663630
3.708000,2.804142,-6.886701,-5.681957
3.728000,2.803818,-6.874103,-5.702404
3.748000,2.801719,-6.863424,-5.725654
3.768000,2.799647,-6.854120,-5.747364
3.788000,2.796054,-6.847685,-5.762373
3.808000,2.792008,-6.844171,-5.770193
3.828000,2.788369,-6.843876,-5.776250
3.848000,2.785592,-6.843593,-5.783591
3.868000,2.782428,-6.842253,-5.790676
3.888000,2.778998,-6.840203,-5.796243
3.908000,2.776078,-6.837396,-5.801798
3.928000,2.773856,-6.834151,-5.809633
3.948000,2.771763,-6.830127,-5.818782
3.968000,2.768549,-6.825871,-5.827135
3.988000,2.766479,-6.820574,-5.837730
4.008000,2.764857,-6.814969,-5.850239
4.028000,2.762855,-6.808154,-5.861866
4.048000,2.761576,-6.801186,-5.873420
4.068000,2.760867,-6.794329,-5.884986
4.088000,2.760550,-6.786660,-5.897048
4.108000,2.759902,-6.779476,-5.910072
4.128000,2.759636,-6.772401,-5.921823
4.148000,2.758896,-6.767071,-5.930965
4.168000,2.757876,-6.762125,-5.939825
