gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.315000,0.720381,-2.097593,0.180928
0.335000,0.762616,-2.061420,0.195317
0.355000,0.795935,-2.010786,0.202293
0.375000,0.823976,-1.955932,0.205715
0.395000,0.835777,-1.893808,0.204834
0.415000,0.825029,-1.832474,0.197645
0.435000,0.805262,-1.771057,0.192086
0.455000,0.789824,-1.709289,0.190370
0.475000,0.788758,-1.647609,0.189927
0.495000,0.801187,-1.584045,0.189706
0.515000,0.809416,-1.522486,0.186915
0.535000,0.811813,-1.466185,0.184621
0.555000,0.812382,-1.415442,0.184202
0.575000,0.807419,-1.369220,0.181657
0.595000,0.802748,-1.326084,0.178825
0.615000,0.798695,-1.286301,0.173357
0.635000,0.791479,-1.249656,0.165658
0.655000,0.780213,-1.217483,0.155878
0.675000,0.767389,-1.188368,0.143620
0.695000,0.753356,-1.160770,0.129090
0.715000,0.739840,-1.133279,0.113912
0.735000,0.727852,-1.106377,0.099324
0.755000,0.715320,-1.081200,0.085584
0.775000,0.700392,-1.057102,0.072512
0.795000,0.685107,-1.032849,0.060687
0.815000,0.671787,-1.008296,0.050191
0.835000,0.659795,-0.984137,0.041753
0.855000,0.649096,-0.960590,0.035567
0.875000,0.637812,-0.937130,0.031318
0.895000,0.620528,-0.913896,0.027452
0.915000,0.597648,-0.890349,0.023676
0.935000,0.573912,-0.865713,0.020281
0.955000,0.553087,-0.839856,0.017535
0.975000,0.534064,-0.813126,0.015087
0.995000,0.513866,-0.785526,0.012604
1.015000,0.491552,-0.756421,0.009645
1.035000,0.471303,-0.725387,0.006550
1.055000,0.455033,-0.692916,0.004073
1.075000,0.441790,-0.660423,0.002386
1.095000,0.428440,-0.628448,0.001482
1.115000,0.412978,-0.596908,0.001200
1.135000,0.395997,-0.565440,0.001269
1.155000,0.381214,-0.534275,0.002422
1.175000,0.369753,-0.503949,0.005127
1.195000,0.358730,-0.474882,0.008918
1.215000,0.345912,-0.446860,0.013006
1.235000,0.332645,-0.419555,0.017169
1.255000,0.321024,-0.392687,0.021426
