accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.310000,0.038307,-4.153940,11.051635
0.330000,0.070629,-4.129998,11.121067
0.350000,0.079811,-3.953568,11.205741
0.370000,0.114943,-3.654621,11.302741
0.390000,0.191193,-3.373888,11.394257
0.410000,0.285047,-3.209601,11.434046
0.430000,0.383367,-3.125987,11.424822
0.450000,0.464349,-3.115301,11.422144
0.470000,0.550234,-3.152161,11.402639
0.490000,0.670609,-3.211332,11.350575
0.510000,0.820546,-3.264441,11.270157
0.530000,0.992204,-3.313221,11.163054
0.550000,1.187952,-3.375291,11.028707
0.570000,1.393636,-3.443553,10.888894
0.590000,1.607912,-3.519613,10.743336
0.610000,1.831684,-3.586764,10.604505
0.630000,2.067015,-3.618640,10.466749
0.650000,2.308072,-3.606402,10.345716
0.670000,2.553440,-3.568986,10.245093
0.690000,2.796383,-3.522546,10.152194
0.710000,3.020365,-3.476414,10.070611
0.730000,3.218689,-3.437326,9.995928
0.750000,3.397774,-3.409844,9.921808
0.770000,3.557084,-3.396932,9.854833
0.790000,3.682185,-3.393314,9.792962
0.810000,3.780569,-3.388698,9.729137
0.834000,3.879368,-3.357050,9.648953
0.854000,3.980021,-3.310246,9.552576
0.874000,4.075845,-3.261698,9.461644
0.894000,4.169784,-3.208055,9.385591
0.914000,4.264461,-3.153849,9.322356
0.934000,4.357296,-3.101619,9.262400
0.954000,4.446593,-3.058284,9.208622
0.974000,4.534773,-3.012782,9.168208
0.994000,4.626399,-2.953333,9.134352
1.014000,4.722965,-2.879292,9.104182
1.034000,4.813745,-2.793149,9.079578
1.054000,4.893276,-2.707305,9.058447
1.074000,4.968888,-2.622901,9.035168
1.094000,5.042542,-2.534121,9.010131
1.114000,5.105694,-2.447435,8.992844
1.134000,5.153877,-2.372507,8.974978
1.154000,5.201707,-2.298862,8.953476
1.174000,5.253612,-2.218642,8.925761
1.194000,5.303073,-2.130088,8.892613
1.214000,5.349440,-2.043693,8.859120
1.234000,5.398572,-1.962392,8.824951
1.254000,5.454468,-1.897272,8.788674
1.274000,5.511456,-1.845706,8.750947
1.294000,5.564979,-1.792953,8.712578
1.314000,5.619306,-1.731775,8.667488
1.334000,5.676530,-1.665400,8.616032
1.354000,5.735321,-1.600840,8.556490
1.374000,5.787524,-1.544298,8.489525
1.394000,5.834903,-1.488106,8.409962
1.414000,5.873736,-1.421555,8.313643
1.434000,5.891841,-1.355834,8.200424
1.454000,5.883951,-1.297560,8.077275
1.474000,5.845217,-1.252845,7.944763
1.494000,5.769481,-1.230091,7.808031
1.514000,5.661457,-1.232966,7.677859
1.534000,5.525909,-1.258109,7.570834
1.554000,5.375231,-1.294698,7.484693
1.574000,5.228220,-1.341403,7.419807
1.594000,5.093710,-1.401980,7.373878
1.614000,4.963422,-1.466608,7.355046
1.634000,4.842935,-1.538738,7.366803
1.654000,4.766661,-1.596682,7.392684
1.674000,4.740097,-1.610840,7.435646
1.694000,4.741685,-1.584716,7.497649
1.714000,4.759191,-1.559034,7.548430
1.734000,4.788617,-1.542940,7.568810
