gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,-0.679213,-0.050095,0.308963
0.430000,-0.635247,-0.019119,0.314959
0.450000,-0.621188,0.019989,0.315003
0.470000,-0.627849,0.067187,0.312693
0.490000,-0.649125,0.110372,0.309308
0.510000,-0.675737,0.137769,0.303895
0.530000,-0.694986,0.148848,0.297568
0.550000,-0.711525,0.146141,0.296825
0.570000,-0.724550,0.133646,0.298014
0.590000,-0.734728,0.115157,0.296494
0.610000,-0.744186,0.094200,0.290624
0.630000,-0.751365,0.071152,0.281110
0.650000,-0.756851,0.046556,0.271657
0.670000,-0.761724,0.021352,0.264122
0.690000,-0.765780,-0.004177,0.257249
0.710000,-0.766428,-0.029071,0.248567
0.730000,-0.761341,-0.051505,0.238721
0.750000,-0.751092,-0.071820,0.227475
0.770000,-0.738243,-0.090610,0.213221
0.790000,-0.723170,-0.106392,0.199896
0.810000,-0.707009,-0.118705,0.189002
0.830000,-0.692984,-0.127490,0.178976
0.850000,-0.684564,-0.131697,0.169038
0.870000,-0.682704,-0.130425,0.158617
0.890000,-0.686386,-0.124139,0.148510
0.910000,-0.695037,-0.113390,0.136087
0.930000,-0.703994,-0.098688,0.126617
0.950000,-0.705711,-0.079624,0.116075
0.970000,-0.695286,-0.057088,0.107408
0.990000,-0.676523,-0.034787,0.103828
1.010000,-0.654092,-0.013738,0.103519
1.030000,-0.631335,0.007885,0.105466
1.050000,-0.609068,0.029084,0.108480
1.070000,-0.590104,0.047374,0.113477
1.090000,-0.576932,0.064016,0.117023
1.110000,-0.569143,0.079181,0.120741
1.130000,-0.563596,0.091807,0.124246
1.150000,-0.557992,0.101779,0.126365
1.170000,-0.553668,0.109023,0.126315
1.190000,-0.549092,0.113687,0.125313
1.210000,-0.541287,0.116801,0.123996
1.230000,-0.533672,0.118725,0.123630
1.250000,-0.529671,0.119331,0.124703
1.270000,-0.529101,0.119211,0.124585
1.290000,-0.530395,0.119330,0.124332
1.310000,-0.532564,0.120569,0.124937
1.330000,-0.528573,0.123710,0.127668
1.350000,-0.524791,0.126749,0.136928
1.370000,-0.532868,0.126045,0.146705
1.390000,-0.546401,0.127248,0.158757
1.410000,-0.556603,0.130872,0.170909
1.430000,-0.562311,0.132260,0.181336
1.452000,-0.565267,0.129878,0.188682
1.472000,-0.566018,0.124986,0.194283
1.492000,-0.564020,0.118221,0.198944
1.512000,-0.562323,0.110405,0.201777
1.532000,-0.564568,0.101551,0.202341
1.552000,-0.571082,0.091740,0.200276
1.572000,-0.580004,0.081510,0.195393
1.592000,-0.588834,0.071221,0.188149
1.612000,-0.593643,0.061045,0.179080
1.632000,-0.591762,0.050800,0.168260
1.652000,-0.582977,0.040166,0.154796
1.672000,-0.569253,0.028524,0.138265
1.692000,-0.553056,0.015419,0.118667
