accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.410000,-5.075707,-6.871359,1.838747
0.430000,-5.391742,-7.930793,1.928530
0.450000,-5.671476,-8.660593,1.899365
0.470000,-5.779762,-8.845879,1.833830
0.490000,-5.718228,-8.695168,1.800224
0.510000,-5.590875,-8.492869,1.811480
0.530000,-5.495501,-8.398402,1.817109
0.550000,-5.491120,-8.429849,1.731785
0.570000,-5.468216,-8.481413,1.546607
0.590000,-5.395055,-8.612846,1.323780
0.610000,-5.299586,-8.856109,1.083843
0.630000,-5.236067,-9.128335,0.851205
0.650000,-5.169439,-9.323524,0.654743
0.670000,-5.092231,-9.425221,0.517182
0.690000,-5.027730,-9.439956,0.430905
0.710000,-5.009879,-9.441484,0.372126
0.730000,-5.104626,-9.512712,0.293372
0.750000,-5.313643,-9.657184,0.171356
0.770000,-5.531286,-9.824389,0.043999
0.790000,-5.712505,-9.960980,-0.039597
0.810000,-5.885303,-10.031810,-0.063956
0.830000,-6.017215,-10.007041,-0.040500
0.850000,-6.086165,-9.902587,0.007084
0.870000,-6.165893,-9.751875,0.066198
0.890000,-6.309857,-9.565379,0.144080
0.910000,-6.507821,-9.331350,0.219909
0.930000,-6.708773,-9.036602,0.278427
0.950000,-6.842861,-8.696088,0.304567
0.970000,-6.866154,-8.338602,0.302559
0.990000,-6.793649,-7.983824,0.290114
1.010000,-6.662313,-7.652205,0.288072
1.030000,-6.490909,-7.357277,0.303746
1.050000,-6.286511,-7.132523,0.328411
1.070000,-6.057708,-6.983198,0.349187
1.090000,-5.807527,-6.892313,0.359426
1.110000,-5.538701,-6.870072,0.359810
1.130000,-5.260513,-6.946479,0.360169
1.150000,-4.998128,-7.131712,0.367748
1.170000,-4.773694,-7.395114,0.381212
1.190000,-4.575315,-7.680619,0.396331
1.210000,-4.379470,-7.972757,0.412717
1.230000,-4.225294,-8.329463,0.433833
1.250000,-4.131526,-8.747006,0.448510
1.270000,-4.066658,-9.202589,0.440788
1.290000,-4.031784,-9.727839,0.407499
1.310000,-4.121181,-10.348269,0.357546
1.330000,-4.370492,-11.001902,0.295831
1.350000,-4.707702,-11.493880,0.236538
1.370000,-5.047113,-11.654143,0.186012
1.390000,-5.302612,-11.510971,0.127573
1.410000,-5.400823,-11.181097,0.052918
1.430000,-5.376364,-10.753885,-0.009908
1.450000,-5.323945,-10.297947,-0.042848
1.470000,-5.278148,-9.837445,-0.059128
1.490000,-5.216852,-9.332331,-0.073025
1.510000,-5.136328,-8.752799,-0.087784
1.530000,-5.042322,-8.094909,-0.100828
1.550000,-4.934271,-7.377167,-0.108856
1.570000,-4.820325,-6.634767,-0.105558
1.590000,-4.723306,-5.923390,-0.087152
1.610000,-4.648813,-5.318315,-0.050204
1.630000,-4.622468,-4.909695,-0.013455
1.650000,-4.677025,-4.775826,0.005822
1.670000,-4.822529,-5.033345,0.013910
1.690000,-5.108148,-5.795693,0.046299
1.710000,-5.568177,-6.927043,0.113550
1.730000,-6.134763,-8.162643,0.219212
1.750000,-6.553084,-9.169791,0.339893
1.770000,-6.671524,-9.777493,0.464475
1.790000,-6.620203,-10.048863,0.583109
1.810000,-6.475868,-10.076309,0.686643
1.830000,-6.243540,-9.955070,0.772246
1.850000,-5.934213,-9.759844,0.838198
1.870000,-5.579068,-9.509534,0.891279
1.890000,-5.189271,-9.194530,0.939084
1.910000,-4.765908,-8.799432,0.979288
1.930000,-4.328454,-8.370930,1.008405
1.950000,-3.892792,-7.962936,1.023874
1.970000,-3.410945,-7.619885,1.019266
1.990000,-2.830287,-7.486102,0.996366
2.010000,-2.255227,-7.757814,0.982632
2.030000,-2.256244,-8.727015,1.041652
2.050000,-3.176039,-10.565228,1.027094
2.070000,-4.064810,-13.108826,0.939147
2.090000,-5.102980,-15.276972,0.815091
2.110000,-5.851260,-15.598870,0.687703
2.130000,-6.065826,-14.757735,0.554990
2.150000,-6.008203,-13.529598,0.442385
2.170000,-5.817735,-12.300018,0.345074
2.190000,-5.607564,-11.344772,0.242917
2.210000,-5.463096,-10.529001,0.125524
2.230000,-5.400567,-9.623498,0.005385
2.250000,-5.404656,-8.601794,-0.100251
2.270000,-5.436578,-7.479282,-0.182193
2.290000,-5.439106,-6.307015,-0.237095
2.310000,-5.384449,-5.127293,-0.267467
2.330000,-5.300140,-4.009851,-0.278732
2.350000,-5.222961,-3.048318,-0.282251
2.370000,-5.183590,-2.469139,-0.297641
2.390000,-5.227659,-2.590949,-0.350201
2.467000,-5.353571,-4.204817,-0.275357
2.487000,-5.421412,-5.540536,-0.181302
2.507000,-5.403192,-6.485861,-0.112366
2.527000,-5.308142,-7.066724,-0.085396
2.547000,-5.158527,-7.351765,-0.082490
2.567000,-4.977952,-7.434435,-0.083331
2.587000,-4.781723,-7.321498,-0.066523
2.607000,-4.559887,-7.009821,-0.033508
2.627000,-4.295151,-6.571138,-0.004359
2.647000,-3.990804,-6.214120,0.001031
2.667000,-3.682169,-6.153680,-0.027117
2.687000,-3.395597,-6.394729,-0.088894
2.708000,-3.159697,-6.855047,-0.191580
2.728000,-2.988208,-7.323745,-0.320366
2.748000,-2.881345,-7.685786,-0.473136
2.768000,-2.833868,-7.981397,-0.647879
2.788000,-2.863099,-8.367768,-0.847850
2.808000,-2.998329,-8.963986,-1.082816
2.828000,-3.223921,-9.695482,-1.337699
2.848000,-3.479427,-10.323286,-1.570371
2.868000,-3.739202,-10.643870,-1.752338
2.888000,-3.945036,-10.643561,-1.882318
2.908000,-4.042122,-10.403828,-1.974806
2.928000,-4.041432,-10.013750,-2.042604
2.948000,-3.989634,-9.540118,-2.077864
2.968000,-3.926059,-9.029097,-2.072903
2.988000,-3.884883,-8.506650,-2.028986
3.008000,-3.873010,-7.970989,-1.947959
3.028000,-3.871467,-7.406760,-1.852478
3.048000,-3.872536,-6.800683,-1.767957
3.068000,-3.875850,-6.129233,-1.706672
3.088000,-3.886916,-5.416101,-1.657969
3.108000,-3.931915,-4.785081,-1.591873
3.128000,-4.050977,-4.446874,-1.528123
3.148000,-4.311731,-4.547625,-1.567662
3.168000,-4.738204,-5.128502,-1.737250
3.188000,-5.224180,-6.160693,-1.914422
3.208000,-5.636783,-7.405234,-1.994032
3.228000,-5.969734,-8.829632,-2.052031
3.248000,-6.173661,-10.267105,-2.138196
3.268000,-6.173589,-11.285943,-2.219462
3.288000,-6.026176,-11.668808,-2.273902
3.308000,-5.781515,-11.674802,-2.304858
3.328000,-5.455521,-11.565175,-2.321806
3.348000,-5.053331,-11.380835,-2.328338
3.368000,-4.583774,-11.104362,-2.318587
3.388000,-4.071470,-10.717093,-2.284588
3.408000,-3.545491,-10.265751,-2.238924
3.428000,-3.029148,-9.838568,-2.194697
3.448000,-2.528891,-9.486190,-2.153100
3.468000,-2.055514,-9.210790,-2.108022
3.488000,-1.609980,-8.997086,-2.071838
3.508000,-1.192048,-8.857443,-2.062174
3.528000,-0.802937,-8.846679,-2.088556
3.548000,-0.494319,-9.074900,-2.166034
3.568000,-0.485398,-9.737453,-2.299366
3.588000,-1.179354,-11.017659,-2.523380
3.608000,-2.142210,-12.490468,-2.758507
3.628000,-3.021291,-13.342887,-2.882832
