gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,0.394231,0.675482,0.160677
0.430000,0.541252,0.667355,0.131632
0.450000,0.704118,0.648430,0.105444
0.470000,0.831432,0.646163,0.112343
0.490000,0.923166,0.628153,0.144562
0.510000,0.985503,0.604161,0.181701
0.530000,1.001202,0.570100,0.201202
0.550000,0.948160,0.523152,0.186229
0.570000,0.882564,0.468713,0.134582
0.590000,0.809647,0.417170,0.059034
0.610000,0.727662,0.373245,-0.037647
0.630000,0.653182,0.336484,-0.144267
0.650000,0.591504,0.310439,-0.252228
0.670000,0.546384,0.298085,-0.350610
0.690000,0.523319,0.299256,-0.428120
0.710000,0.527986,0.311884,-0.476754
0.730000,0.558829,0.330950,-0.495182
0.750000,0.606580,0.350459,-0.489992
0.770000,0.655905,0.364327,-0.473950
0.790000,0.687777,0.367625,-0.458924
0.810000,0.690937,0.359850,-0.452630
0.830000,0.669020,0.346167,-0.454500
0.850000,0.629363,0.332721,-0.463394
0.870000,0.577550,0.324946,-0.475223
0.890000,0.522696,0.323285,-0.486578
0.910000,0.473273,0.326849,-0.494363
0.930000,0.429589,0.334346,-0.494889
0.950000,0.387613,0.345068,-0.488190
0.970000,0.348943,0.355853,-0.474928
0.990000,0.317299,0.364788,-0.454932
1.010000,0.290964,0.370914,-0.427902
1.030000,0.267673,0.373066,-0.394411
1.050000,0.245733,0.370995,-0.355670
1.070000,0.224765,0.364963,-0.312696
1.090000,0.204129,0.357383,-0.263435
1.110000,0.181876,0.350716,-0.205337
1.130000,0.163452,0.341662,-0.139139
1.150000,0.154245,0.322484,-0.070461
1.170000,0.133620,0.304661,-0.013621
1.190000,0.096062,0.287886,0.024883
1.210000,0.052818,0.272905,0.046872
1.230000,0.006143,0.257453,0.057577
1.250000,-0.029831,0.242111,0.062751
1.270000,-0.044969,0.224207,0.068295
1.290000,-0.042940,0.202432,0.076800
1.310000,-0.038058,0.177137,0.089979
1.330000,-0.044439,0.149536,0.108692
1.350000,-0.070245,0.121205,0.133072
1.370000,-0.116703,0.093067,0.162709
1.390000,-0.182090,0.066212,0.195089
1.410000,-0.257491,0.041949,0.226174
1.430000,-0.332632,0.021336,0.251481
1.450000,-0.399942,0.006320,0.267237
1.470000,-0.452219,-0.001127,0.273119
1.490000,-0.485220,-0.001029,0.271488
1.512000,-0.495913,0.006828,0.265410
1.532000,-0.488690,0.019975,0.259485
1.552000,-0.466039,0.037537,0.255936
1.572000,-0.432378,0.058604,0.255793
1.592000,-0.390686,0.082552,0.258869
1.612000,-0.342740,0.108517,0.264106
1.632000,-0.289320,0.135489,0.269979
1.652000,-0.230441,0.162406,0.274851
1.672000,-0.165609,0.188446,0.277439
1.692000,-0.094046,0.212525,0.276776
1.712000,-0.016466,0.234152,0.272906
1.732000,0.064653,0.253498,0.266852
1.752000,0.151548,0.266587,0.259462
1.772000,0.246662,0.269968,0.250085
1.792000,0.338840,0.265913,0.234203
1.812000,0.414061,0.255715,0.208328
1.832000,0.464284,0.242054,0.171151
1.852000,0.488270,0.226720,0.122370
1.872000,0.493965,0.210822,0.063173
1.892000,0.489743,0.195424,-0.004593
1.912000,0.485096,0.181865,-0.077390
1.932000,0.488412,0.170441,-0.149553
1.952000,0.502872,0.161122,-0.213827
1.972000,0.529977,0.153192,-0.262735
1.992000,0.570516,0.145216,-0.291740
2.012000,0.621390,0.136420,-0.301464
2.032000,0.675378,0.126601,-0.297485
2.052000,0.724308,0.115770,-0.286949
2.072000,0.759177,0.104245,-0.275269
2.092000,0.773798,0.092868,-0.266130
2.112000,0.766903,0.082518,-0.261726
2.132000,0.745137,0.073755,-0.262382
2.152000,0.716006,0.066742,-0.266962
2.172000,0.686316,0.061680,-0.274142
2.192000,0.660727,0.058505,-0.282789
2.212000,0.640603,0.057213,-0.291795
2.232000,0.625086,0.057785,-0.299964
2.252000,0.612903,0.060039,-0.305810
2.272000,0.602771,0.063421,-0.307892
2.292000,0.594742,0.067384,-0.305429
2.312000,0.588085,0.071859,-0.298140
2.332000,0.579242,0.076973,-0.285187
2.352000,0.564853,0.081178,-0.267747
2.372000,0.540467,0.085112,-0.247851
2.392000,0.500798,0.090894,-0.227002
2.429000,0.440697,0.100655,-0.204099
2.449000,0.381945,0.111524,-0.179395
2.469000,0.334814,0.123190,-0.154172
2.489000,0.308837,0.135183,-0.129557
2.509000,0.303303,0.147267,-0.105979
2.529000,0.309328,0.159907,-0.083480
2.549000,0.320673,0.172683,-0.060873
2.569000,0.332990,0.184901,-0.036705
2.589000,0.342851,0.195875,-0.010155
2.609000,0.348411,0.204525,0.018434
2.629000,0.348907,0.210313,0.047588
2.649000,0.342999,0.213326,0.074942
2.669000,0.330723,0.214471,0.099220
2.689000,0.314082,0.214311,0.119684
2.709000,0.294074,0.212902,0.136528
2.729000,0.271759,0.210248,0.149987
2.749000,0.248149,0.206453,0.160288
2.769000,0.223861,0.202094,0.167501
2.789000,0.199881,0.197807,0.171800
2.809000,0.178023,0.194111,0.173583
2.829000,0.160723,0.191368,0.173439
2.849000,0.150582,0.189549,0.171724
2.869000,0.149598,0.188510,0.168312
2.889000,0.158374,0.188061,0.162756
2.909000,0.175908,0.187987,0.154612
2.929000,0.198215,0.188150,0.144078
2.949000,0.219782,0.189778,0.134000
2.969000,0.241088,0.190541,0.128151
2.989000,0.263556,0.185958,0.125883
3.009000,0.282124,0.176476,0.122708
3.029000,0.286661,0.165621,0.110323
3.049000,0.277368,0.155996,0.085487
3.069000,0.262787,0.148269,0.049700
3.089000,0.247716,0.141958,0.003723
3.109000,0.235909,0.137111,-0.051145
3.129000,0.230018,0.134046,-0.111669
3.149000,0.231910,0.132475,-0.173055
3.169000,0.242103,0.131872,-0.229478
3.189000,0.260843,0.131482,-0.275907
3.209000,0.287304,0.130603,-0.310289
3.229000,0.318167,0.129262,-0.333935
3.249000,0.349981,0.127405,-0.350451
3.269000,0.376492,0.125434,-0.363643
3.289000,0.392205,0.123786,-0.376110
3.309000,0.394582,0.122909,-0.388757
3.329000,0.384745,0.123119,-0.401332
3.349000,0.369092,0.124453,-0.412666
3.369000,0.354597,0.126645,-0.421579
3.389000,0.346592,0.129516,-0.427758
3.409000,0.347687,0.132701,-0.431060
3.429000,0.356967,0.135907,-0.431726
3.449000,0.373931,0.138810,-0.429978
3.469000,0.397928,0.140889,-0.426012
3.489000,0.425140,0.142747,-0.417472
3.509000,0.451917,0.143095,-0.402814
3.529000,0.471955,0.141354,-0.381706
3.549000,0.476260,0.138158,-0.356332
3.569000,0.457757,0.134817,-0.329620
3.589000,0.412822,0.131837,-0.303852
3.609000,0.341849,0.130141,-0.280624
3.629000,0.252476,0.129903,-0.258444
3.649000,0.160824,0.131041,-0.235592
3.669000,0.088949,0.132870,-0.209242
3.689000,0.055004,0.134289,-0.177233
3.709000,0.059309,0.134086,-0.138773
3.729000,0.082749,0.132208,-0.095498
3.749000,0.109472,0.128442,-0.048483
3.769000,0.123925,0.122351,0.000436
3.789000,0.113676,0.113986,0.049105
3.809000,0.072305,0.103326,0.096055
3.829000,-0.005110,0.090118,0.139720
3.849000,-0.120739,0.074000,0.179210
3.869000,-0.268527,0.054271,0.213952
3.889000,-0.428016,0.030981,0.242648
3.909000,-0.597648,0.004206,0.264287
3.929000,-0.775383,-0.025317,0.278026
3.949000,-0.958811,-0.056459,0.284005
3.969000,-1.145303,-0.088194,0.283790
3.989000,-1.332184,-0.119477,0.279915
4.009000,-1.516902,-0.149182,0.275050
4.029000,-1.661899,-0.176253,0.271544
4.049000,-1.736341,-0.200419,0.271067
4.069000,-1.750775,-0.221154,0.274531
4.089000,-1.730259,-0.238216,0.281632
4.109000,-1.694748,-0.251711,0.291543
4.129000,-1.657577,-0.262077,0.303044
4.149000,-1.627691,-0.269405,0.314887
4.169000,-1.610853,-0.272995,0.327269
4.189000,-1.604778,-0.273386,0.342035
4.209000,-1.595501,-0.273346,0.360572
4.229000,-1.576004,-0.272674,0.381741
4.249000,-1.549830,-0.271442,0.402396
4.269000,-1.519898,-0.269737,0.420028
4.289000,-1.492308,-0.267545,0.433374
4.309000,-1.472565,-0.264918,0.442041
4.329000,-1.461270,-0.262422,0.446600
4.349000,-1.458371,-0.260726,0.447948
4.369000,-1.465672,-0.259965,0.446634
4.389000,-1.484768,-0.259999,0.443509
4.409000,-1.514399,-0.260441,0.439597
4.436000,-1.552701,-0.261185,0.436947
4.456000,-1.590153,-0.261798,0.437151
4.476000,-1.620974,-0.262308,0.441167
4.496000,-1.642044,-0.262826,0.449214
4.516000,-1.653469,-0.263251,0.460740
4.536000,-1.658804,-0.263465,0.474556
4.556000,-1.662780,-0.263472,0.488953
4.576000,-1.667627,-0.263411,0.502113
4.596000,-1.674214,-0.263289,0.511988
4.616000,-1.683163,-0.263043,0.516841
4.636000,-1.694887,-0.262507,0.515843
4.656000,-1.707320,-0.261432,0.509852
4.676000,-1.716858,-0.259662,0.500706
4.696000,-1.718961,-0.257235,0.490620
4.716000,-1.709071,-0.254253,0.481381
4.736000,-1.688416,-0.251020,0.473693
4.756000,-1.659460,-0.247380,0.467444
4.776000,-1.624352,-0.243365,0.462086
4.796000,-1.586599,-0.238942,0.456959
4.816000,-1.547670,-0.234014,0.451782
4.836000,-1.507536,-0.228792,0.446572
4.856000,-1.465714,-0.223477,0.441272
4.876000,-1.420941,-0.218229,0.435733
4.896000,-1.371922,-0.213250,0.429688
4.916000,-1.318059,-0.208702,0.422948
4.936000,-1.261335,-0.204302,0.415800
4.956000,-1.205382,-0.199639,0.409576
4.976000,-1.149193,-0.195633,0.404977
4.996000,-1.093970,-0.192669,0.400721
5.016000,-1.046308,-0.189802,0.394306
5.036000,-1.008503,-0.186681,0.384087
5.056000,-0.974833,-0.183513,0.370268
5.076000,-0.936397,-0.180472,0.353056
5.096000,-0.880368,-0.177921,0.332990
5.116000,-0.801910,-0.176774,0.310026
5.136000,-0.706633,-0.177545,0.283303
5.156000,-0.604099,-0.180594,0.252492
5.176000,-0.507272,-0.185735,0.218033
5.196000,-0.426155,-0.192569,0.181374
5.216000,-0.363700,-0.200920,0.144625
5.236000,-0.319922,-0.210807,0.110131
5.256000,-0.294153,-0.222471,0.079550
5.276000,-0.287748,-0.235930,0.052644
5.296000,-0.302944,-0.250774,0.027301
5.316000,-0.340094,-0.265620,0.000940
5.336000,-0.394153,-0.279209,-0.028754
5.356000,-0.454746,-0.290890,-0.061606
5.376000,-0.510594,-0.300037,-0.096856
5.396000,-0.548910,-0.306787,-0.132398
5.416000,-0.562141,-0.312124,-0.165624
5.436000,-0.556287,-0.316550,-0.193974
5.456000,-0.540432,-0.320005,-0.214998
5.476000,-0.523476,-0.322591,-0.226567
5.496000,-0.512141,-0.323985,-0.227717
5.516000,-0.507978,-0.323863,-0.218679
5.536000,-0.509825,-0.322032,-0.201345
5.556000,-0.517544,-0.318542,-0.177079
5.576000,-0.530381,-0.313273,-0.147568
5.596000,-0.543315,-0.306372,-0.114004
5.616000,-0.549138,-0.298133,-0.078629
5.636000,-0.542979,-0.289009,-0.043544
5.656000,-0.523246,-0.278506,-0.007295
5.676000,-0.491970,-0.266143,0.030784
5.696000,-0.447915,-0.252874,0.070378
5.716000,-0.386512,-0.240110,0.110796
5.736000,-0.311825,-0.229080,0.147953
5.756000,-0.230256,-0.220811,0.177695
5.776000,-0.151399,-0.215732,0.199077
5.796000,-0.084678,-0.213450,0.210181
5.816000,-0.034692,-0.213242,0.210997
5.836000,-0.002099,-0.214526,0.202431
5.856000,0.015742,-0.216477,0.186400
5.876000,0.027326,-0.218372,0.166224
5.896000,0.041192,-0.220067,0.144969
5.916000,0.062639,-0.221524,0.125648
5.936000,0.093413,-0.222393,0.110884
5.956000,0.131341,-0.222720,0.102507
5.976000,0.170025,-0.222903,0.100143
5.996000,0.198251,-0.223234,0.101406
6.016000,0.205236,-0.224051,0.102717
6.036000,0.188477,-0.224284,0.101250
6.056000,0.153863,-0.223450,0.095224
6.076000,0.113152,-0.221802,0.084845
6.096000,0.083189,-0.218015,0.072980
6.116000,0.072594,-0.213207,0.060371
6.136000,0.081964,-0.207615,0.048848
6.156000,0.100215,-0.201152,0.038894
6.176000,0.116095,-0.194037,0.032477
6.196000,0.120600,-0.186827,0.028657
6.216000,0.115271,-0.180332,0.027564
6.236000,0.111663,-0.174502,0.029373
6.256000,0.112706,-0.169431,0.034066
6.276000,0.106140,-0.164024,0.040662
6.296000,0.096764,-0.159224,0.047694
6.316000,0.088730,-0.155316,0.055462
6.336000,0.079986,-0.151575,0.063439
6.356000,0.074870,-0.148060,0.072074
6.376000,0.073466,-0.144683,0.080785
6.396000,0.075456,-0.140608,0.090059
6.416000,0.080064,-0.135756,0.100966
