accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.411000,-8.113950,-2.964022,1.568202
0.431000,-8.135498,-3.009511,1.602918
0.451000,-8.187387,-3.030274,1.653619
0.471000,-8.271497,-3.013695,1.707163
0.493000,-8.386475,-2.965392,1.772457
0.513000,-8.499986,-2.910326,1.837712
0.533000,-8.605575,-2.858541,1.886811
0.553000,-8.704791,-2.823865,1.903412
0.573000,-8.799308,-2.806283,1.897230
0.593000,-8.881269,-2.811092,1.880208
0.613000,-8.942814,-2.832819,1.853314
0.633000,-9.064465,-2.850933,1.789287
0.653000,-9.364007,-2.913239,1.728450
0.673000,-9.546422,-3.045034,1.693588
0.693000,-9.526570,-3.206534,1.652354
0.713000,-9.417815,-3.371033,1.589334
0.733000,-9.272488,-3.512003,1.514085
0.753000,-9.167086,-3.633664,1.451303
0.773000,-9.119839,-3.755476,1.413390
0.793000,-9.104617,-3.868372,1.395410
0.813000,-9.083344,-3.949512,1.387553
0.833000,-9.026469,-3.996358,1.385988
0.853000,-8.933478,-4.027966,1.401213
0.873000,-8.818198,-4.071443,1.424234
0.893000,-8.717976,-4.136269,1.445518
0.913000,-8.662353,-4.218664,1.467125
0.933000,-8.657970,-4.300112,1.495281
0.953000,-8.691698,-4.374889,1.534510
0.973000,-8.750783,-4.428149,1.589793
0.993000,-8.820914,-4.443540,1.654824
1.013000,-8.893869,-4.412911,1.720699
1.033000,-8.960203,-4.341613,1.785818
1.053000,-9.025786,-4.253884,1.852668
1.073000,-9.083063,-4.167520,1.919579
1.093000,-9.127333,-4.096712,1.976867
1.113000,-9.162710,-4.046045,2.022585
1.133000,-9.188936,-4.011909,2.056022
1.153000,-9.204780,-3.986631,2.080776
1.173000,-9.212587,-3.962942,2.098567
1.193000,-9.210234,-3.934689,2.114282
1.213000,-9.199521,-3.898366,2.132132
1.233000,-9.179196,-3.857525,2.151554
1.253000,-9.149096,-3.810254,2.170956
1.273000,-9.113235,-3.757906,2.191276
1.293000,-9.079154,-3.696698,2.207898
1.313000,-9.070513,-3.626549,2.221881
1.333000,-9.088368,-3.554504,2.237584
1.353000,-9.105515,-3.478443,2.256993
1.373000,-9.110209,-3.396321,2.282264
1.393000,-9.106896,-3.312770,2.314619
1.413000,-9.099261,-3.242510,2.345707
1.433000,-9.087824,-3.197918,2.369886
