accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.425000,-1.000776,-5.032612,9.684546
0.445000,-1.011550,-4.894945,9.841366
0.465000,-1.031106,-4.789005,10.007317
0.485000,-1.057056,-4.730573,10.077838
0.505000,-1.083183,-4.734497,10.057465
0.525000,-1.117806,-4.789605,10.090489
0.545000,-1.135011,-4.826957,10.127157
0.565000,-1.094718,-4.797060,10.116030
0.585000,-1.028508,-4.745881,10.069832
0.605000,-0.944089,-4.716974,10.006169
0.625000,-0.865104,-4.693099,9.943056
0.645000,-0.804289,-4.664700,9.886815
0.665000,-0.743024,-4.602810,9.834374
0.685000,-0.676908,-4.506079,9.768346
0.705000,-0.609756,-4.404574,9.653407
0.725000,-0.577151,-4.379049,9.588515
0.745000,-0.610451,-4.448216,9.623449
0.766000,-0.667915,-4.533104,9.662925
0.786000,-0.692516,-4.575003,9.692057
0.806000,-0.704691,-4.573863,9.716311
0.826000,-0.706224,-4.581628,9.712868
0.846000,-0.713140,-4.552587,9.699201
0.866000,-0.731539,-4.559450,9.686763
0.886000,-0.759056,-4.548092,9.699739
0.906000,-0.788882,-4.546798,9.715523
0.926000,-0.805944,-4.584632,9.707375
0.946000,-0.814610,-4.612658,9.701462
0.966000,-0.825285,-4.577903,9.716760
0.986000,-0.847651,-4.518627,9.733811
1.006000,-0.860412,-4.495582,9.725396
1.026000,-0.875073,-4.497057,9.706141
1.046000,-0.897588,-4.479157,9.695379
1.066000,-0.926389,-4.428103,9.699158
1.086000,-0.954368,-4.384865,9.696127
1.106000,-0.976948,-4.370700,9.694599
1.126000,-0.994359,-4.375918,9.696720
1.146000,-1.002334,-4.389656,9.693117
1.166000,-1.000759,-4.390335,9.691463
1.186000,-0.992851,-4.382961,9.694549
1.206000,-0.978633,-4.388638,9.691091
1.226000,-0.956015,-4.409039,9.667387
1.246000,-0.929714,-4.416402,9.637572
1.266000,-0.904827,-4.399716,9.615854
1.286000,-0.887658,-4.369304,9.614408
1.306000,-0.876414,-4.350461,9.627430
1.326000,-0.869214,-4.355235,9.642921
1.346000,-0.866959,-4.365857,9.664961
1.366000,-0.863059,-4.362107,9.687963
1.386000,-0.859388,-4.353654,9.707206
1.406000,-0.856850,-4.338641,9.726394
1.426000,-0.858762,-4.337660,9.743889
1.446000,-0.862976,-4.359190,9.750654
1.466000,-0.861581,-4.380101,9.746254
1.486000,-0.849835,-4.413738,9.724939
1.506000,-0.847286,-4.421211,9.706985
1.526000,-0.852345,-4.407554,9.697598
1.546000,-0.865165,-4.398553,9.693306
1.566000,-0.879997,-4.394874,9.686220
1.586000,-0.895711,-4.397630,9.678590
1.606000,-0.912737,-4.412782,9.678335
1.626000,-0.930315,-4.418604,9.685294
1.646000,-0.939788,-4.415598,9.693805
1.666000,-0.944759,-4.415900,9.695087
1.686000,-0.947823,-4.416192,9.691134
1.706000,-0.948898,-4.407478,9.685482
1.726000,-0.948169,-4.394833,9.682024
1.746000,-0.943906,-4.384963,9.680332
1.766000,-0.936312,-4.383810,9.670035
1.786000,-0.926484,-4.379769,9.654228
1.806000,-0.920669,-4.364236,9.654335
1.826000,-0.920372,-4.356258,9.669173
1.846000,-0.920318,-4.364964,9.684329
1.866000,-0.916380,-4.381074,9.695496
1.886000,-0.912332,-4.388597,9.704576
1.906000,-0.906469,-4.402917,9.709658
1.926000,-0.901021,-4.410873,9.716060
1.946000,-0.897964,-4.417552,9.722846
1.966000,-0.898535,-4.428409,9.729674
1.986000,-0.900358,-4.435428,9.740431
2.006000,-0.901886,-4.436107,9.749608
2.026000,-0.900249,-4.429176,9.753102
2.046000,-0.897742,-4.421919,9.753962
2.066000,-0.898446,-4.420605,9.754240
2.086000,-0.903621,-4.419820,9.754442
2.106000,-0.907335,-4.421686,9.753455
2.126000,-0.907529,-4.420428,9.747123
2.146000,-0.906730,-4.416711,9.737068
2.166000,-0.908251,-4.417186,9.724357
2.186000,-0.909019,-4.416497,9.711413
2.206000,-0.910351,-4.415989,9.699086
2.226000,-0.914144,-4.413925,9.689412
2.246000,-0.918004,-4.411090,9.679832
2.266000,-0.920794,-4.409575,9.667873
2.286000,-0.924438,-4.407633,9.655294
2.306000,-0.927477,-4.404607,9.643468
2.326000,-0.928943,-4.399591,9.639703
2.346000,-0.932525,-4.396842,9.639068
2.366000,-0.926490,-4.392017,9.635631
2.386000,-0.922343,-4.393211,9.632272
2.406000,-0.920377,-4.389835,9.634452
2.448000,-0.918232,-4.388810,9.637571
2.468000,-0.918190,-4.388835,9.637263
2.488000,-0.923304,-4.394557,9.638900
2.508000,-0.926225,-4.403422,9.636171
2.528000,-0.927377,-4.414716,9.631978
2.548000,-0.929749,-4.421180,9.635713
2.568000,-0.933961,-4.419197,9.647965
2.588000,-0.938776,-4.420025,9.656672
2.608000,-0.941075,-4.424688,9.661500
2.628000,-0.945460,-4.432605,9.670059
2.648000,-0.952088,-4.439517,9.668421
2.668000,-0.959708,-4.454407,9.684484
