gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,-0.316557,-0.134963,0.040902
0.430000,-0.288512,-0.187656,-0.013523
0.450000,-0.194323,-0.186032,-0.041986
0.470000,-0.154815,-0.165703,-0.051541
0.491000,-0.107331,-0.152476,-0.024905
0.511000,-0.028171,-0.131234,0.026854
0.531000,-0.011899,-0.120423,0.057694
0.551000,-0.036546,-0.116110,0.078794
0.571000,-0.077829,-0.116132,0.083757
0.591000,-0.090367,-0.113735,0.090579
0.611000,-0.093634,-0.109115,0.082061
0.631000,-0.106947,-0.105835,0.075061
0.651000,-0.116523,-0.100177,0.066005
0.671000,-0.117355,-0.092950,0.061698
0.691000,-0.120201,-0.088071,0.057327
0.711000,-0.134168,-0.082889,0.054316
0.731000,-0.163459,-0.075426,0.049603
0.751000,-0.193884,-0.068667,0.036409
0.771000,-0.213475,-0.060537,0.023149
0.791000,-0.227193,-0.052548,0.010513
0.811000,-0.231403,-0.049352,0.000718
0.831000,-0.240198,-0.051155,-0.006651
0.851000,-0.242877,-0.056966,-0.009759
0.871000,-0.231623,-0.061613,-0.006809
0.891000,-0.214608,-0.065797,-0.002325
0.911000,-0.198735,-0.066810,0.000710
0.931000,-0.191260,-0.063064,0.001842
0.951000,-0.187176,-0.057368,0.001065
0.971000,-0.172002,-0.050684,0.000805
0.991000,-0.150282,-0.043424,-0.002247
1.011000,-0.117994,-0.038555,-0.002500
1.031000,-0.088234,-0.035767,-0.001691
1.051000,-0.075610,-0.037153,-0.000869
1.071000,-0.078460,-0.041699,0.000115
1.091000,-0.082414,-0.046291,0.002453
1.111000,-0.078886,-0.047961,0.006567
1.131000,-0.077108,-0.048833,0.009982
1.151000,-0.080737,-0.050314,0.013239
1.171000,-0.093486,-0.051413,0.014723
1.191000,-0.106677,-0.051350,0.017464
1.211000,-0.113397,-0.051122,0.016806
1.231000,-0.126027,-0.051672,0.012524
1.251000,-0.135679,-0.050964,0.011514
1.271000,-0.128561,-0.048889,0.018450
1.291000,-0.115131,-0.047786,0.027369
1.311000,-0.119649,-0.049908,0.032806
1.331000,-0.140380,-0.053198,0.037640
1.351000,-0.155106,-0.055266,0.042612
1.371000,-0.160357,-0.055760,0.046138
1.391000,-0.163272,-0.054871,0.047681
1.411000,-0.166455,-0.053402,0.047756
1.431000,-0.165377,-0.050883,0.047541
1.451000,-0.157055,-0.048153,0.045862
1.471000,-0.143351,-0.044891,0.044529
1.491000,-0.134100,-0.041267,0.041380
