gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.425000,-0.038770,0.013989,-0.013323
0.445000,-0.049096,0.008527,-0.012724
0.465000,-0.066267,0.003418,-0.013856
0.485000,-0.081232,0.000964,-0.018653
0.505000,-0.090938,-0.000482,-0.022305
0.525000,-0.096740,-0.000802,-0.026341
0.545000,-0.100712,0.000037,-0.029815
0.565000,-0.102904,0.001332,-0.031871
0.585000,-0.105173,0.002591,-0.033529
0.605000,-0.109007,0.003466,-0.034175
0.625000,-0.112401,0.004557,-0.033586
0.645000,-0.112494,0.006112,-0.032606
0.665000,-0.107999,0.007797,-0.030914
0.685000,-0.101251,0.009137,-0.029129
0.705000,-0.094085,0.009933,-0.027127
0.725000,-0.087053,0.010839,-0.025642
0.745000,-0.080472,0.011992,-0.024489
0.765000,-0.075117,0.012653,-0.023516
0.785000,-0.072977,0.013202,-0.022970
0.805000,-0.073237,0.013917,-0.022592
0.825000,-0.074046,0.014443,-0.022888
0.845000,-0.074626,0.014823,-0.023334
0.865000,-0.074937,0.015165,-0.023805
0.885000,-0.076125,0.015763,-0.024655
0.905000,-0.078615,0.016564,-0.025705
0.925000,-0.082119,0.017417,-0.026896
0.945000,-0.086162,0.018356,-0.028208
0.965000,-0.088376,0.019171,-0.029494
0.985000,-0.085737,0.020813,-0.030812
1.005000,-0.082109,0.020897,-0.031008
1.025000,-0.079972,0.020655,-0.031114
1.045000,-0.077732,0.020969,-0.030998
1.065000,-0.076451,0.021427,-0.030519
1.085000,-0.076573,0.022151,-0.029961
1.105000,-0.077141,0.022848,-0.029147
1.125000,-0.077183,0.023484,-0.028147
1.145000,-0.075879,0.024116,-0.027243
1.165000,-0.073285,0.024707,-0.026380
1.185000,-0.070130,0.025181,-0.025571
1.205000,-0.066973,0.025366,-0.024974
1.225000,-0.063717,0.025943,-0.024384
1.245000,-0.060875,0.027159,-0.023976
1.265000,-0.059267,0.028410,-0.023762
1.285000,-0.058327,0.029388,-0.023399
1.305000,-0.058269,0.030125,-0.022965
1.325000,-0.059234,0.030727,-0.022382
1.345000,-0.060402,0.031091,-0.021649
1.365000,-0.061922,0.031194,-0.020901
1.385000,-0.064481,0.031191,-0.020205
1.405000,-0.069131,0.031364,-0.019754
1.425000,-0.075492,0.031758,-0.019395
1.445000,-0.079689,0.030441,-0.019068
1.465000,-0.079214,0.029376,-0.018748
1.485000,-0.076210,0.029181,-0.018748
1.505000,-0.073638,0.028638,-0.018774
1.525000,-0.072383,0.027863,-0.018963
1.545000,-0.071931,0.027245,-0.019354
1.565000,-0.071667,0.026628,-0.019631
1.585000,-0.071391,0.026035,-0.019932
1.605000,-0.070940,0.025537,-0.020124
1.625000,-0.070433,0.025069,-0.020196
1.645000,-0.069824,0.024693,-0.020177
1.665000,-0.069344,0.024467,-0.020324
1.685000,-0.069602,0.024370,-0.020567
1.705000,-0.071098,0.024307,-0.020985
1.725000,-0.074200,0.024230,-0.021674
1.745000,-0.080276,0.024128,-0.022871
1.765000,-0.089929,0.023976,-0.024334
1.785000,-0.101759,0.023688,-0.026029
1.805000,-0.113281,0.023268,-0.027760
1.825000,-0.122325,0.022671,-0.029265
1.845000,-0.126342,0.022129,-0.030271
1.865000,-0.123200,0.021613,-0.030697
1.885000,-0.112884,0.021084,-0.030482
1.905000,-0.096659,0.020474,-0.029778
1.925000,-0.076847,0.019837,-0.028737
1.945000,-0.056713,0.019330,-0.027539
1.965000,-0.039152,0.019094,-0.026392
1.985000,-0.025857,0.018958,-0.025504
2.005000,-0.018101,0.018963,-0.024761
2.025000,-0.016038,0.019127,-0.024342
2.045000,-0.017264,0.019430,-0.024035
2.065000,-0.018628,0.019796,-0.023544
2.085000,-0.019759,0.020135,-0.023345
2.105000,-0.020287,0.020443,-0.023283
2.125000,-0.018592,0.020554,-0.023116
2.145000,-0.014087,0.020460,-0.022909
2.165000,-0.008008,0.020227,-0.022656
2.185000,-0.002177,0.019861,-0.022407
2.205000,0.001636,0.019406,-0.022273
2.225000,0.002695,0.018949,-0.022331
2.245000,0.000486,0.018543,-0.022442
2.265000,-0.004281,0.018150,-0.022704
2.285000,-0.010315,0.017693,-0.023112
2.305000,-0.017644,0.017198,-0.023648
2.325000,-0.026776,0.016784,-0.024275
2.345000,-0.036483,0.016449,-0.024870
2.365000,-0.044340,0.016227,-0.025387
2.385000,-0.048157,0.016153,-0.025650
2.405000,-0.047451,0.016207,-0.025651
2.457000,-0.041154,0.016262,-0.025283
2.477000,-0.034450,0.016339,-0.024811
2.497000,-0.027955,0.016455,-0.024308
2.517000,-0.022394,0.016646,-0.023809
2.537000,-0.017797,0.016933,-0.023332
2.557000,-0.013572,0.017247,-0.022841
2.577000,-0.009666,0.017560,-0.022398
2.597000,-0.006469,0.017901,-0.022032
2.617000,-0.004468,0.018175,-0.021776
2.637000,-0.004129,0.018338,-0.021588
2.657000,-0.006197,0.018421,-0.021636
2.677000,-0.010659,0.018424,-0.021852
2.697000,-0.016453,0.018299,-0.022159
2.717000,-0.022242,0.018042,-0.022570
2.737000,-0.027085,0.017692,-0.022933
2.757000,-0.030573,0.017201,-0.023247
2.777000,-0.033395,0.016597,-0.023589
2.797000,-0.036843,0.015962,-0.023998
2.817000,-0.041286,0.015368,-0.024473
2.837000,-0.046186,0.014844,-0.025013
2.859000,-0.051003,0.014419,-0.025575
2.879000,-0.056546,0.014051,-0.026257
2.899000,-0.064340,0.013685,-0.027016
2.919000,-0.074180,0.013353,-0.027740
2.939000,-0.084012,0.013081,-0.028463
2.959000,-0.091127,0.012863,-0.028950
2.979000,-0.093759,0.012663,-0.029089
2.999000,-0.091556,0.012537,-0.028889
3.019000,-0.086095,0.012505,-0.028550
3.039000,-0.078843,0.012634,-0.027975
3.059000,-0.071404,0.012839,-0.027422
3.079000,-0.065397,0.013167,-0.026826
3.099000,-0.061476,0.013619,-0.026336
3.119000,-0.059340,0.014010,-0.025913
3.139000,-0.058575,0.014375,-0.025596
3.159000,-0.058852,0.014745,-0.025346
3.179000,-0.059570,0.015015,-0.025190
3.199000,-0.060167,0.015302,-0.025000
3.219000,-0.060402,0.015544,-0.024906
3.239000,-0.060485,0.015664,-0.024824
3.259000,-0.060505,0.015660,-0.024705
3.279000,-0.061220,0.015517,-0.024683
3.299000,-0.062913,0.015295,-0.024842
3.319000,-0.065177,0.014938,-0.025149
3.339000,-0.066915,0.014610,-0.025278
3.359000,-0.067030,0.014396,-0.025347
3.379000,-0.065580,0.014270,-0.025322
3.399000,-0.063723,0.014203,-0.025316
3.419000,-0.061762,0.014157,-0.025296
3.439000,-0.059539,0.014184,-0.025226
3.459000,-0.056938,0.014336,-0.025044
3.479000,-0.053971,0.014544,-0.024819
3.499000,-0.050892,0.014778,-0.024402
3.519000,-0.048675,0.015070,-0.024144
3.539000,-0.047509,0.015451,-0.024004
3.559000,-0.046712,0.015845,-0.023759
3.579000,-0.045652,0.016237,-0.023284
3.599000,-0.044296,0.016649,-0.022763
3.619000,-0.043556,0.017056,-0.022313
3.639000,-0.043732,0.017454,-0.021884
3.659000,-0.044109,0.017923,-0.021488
3.679000,-0.044294,0.018416,-0.021149
3.699000,-0.044746,0.018998,-0.020951
3.719000,-0.045397,0.019508,-0.020782
3.739000,-0.046118,0.019963,-0.020730
3.759000,-0.046931,0.020375,-0.020787
3.779000,-0.047627,0.020761,-0.020854
3.799000,-0.047882,0.021065,-0.020957
3.819000,-0.047563,0.021314,-0.021036
3.839000,-0.046998,0.021506,-0.021038
3.859000,-0.046748,0.021583,-0.021139
3.879000,-0.046997,0.021567,-0.021125
3.899000,-0.046979,0.021623,-0.021039
3.919000,-0.046670,0.021612,-0.020861
3.939000,-0.046539,0.021553,-0.020572
3.959000,-0.046783,0.021509,-0.020280
3.979000,-0.046881,0.021438,-0.019938
3.999000,-0.046245,0.021518,-0.019373
4.019000,-0.045646,0.021735,-0.019023
4.039000,-0.046100,0.022022,-0.018688
4.059000,-0.047032,0.022392,-0.018361
4.079000,-0.047540,0.022692,-0.018161
4.099000,-0.047081,0.022867,-0.017753
4.119000,-0.045836,0.022917,-0.017139
4.139000,-0.045124,0.022917,-0.016517
4.159000,-0.046094,0.022883,-0.016250
4.179000,-0.047002,0.022899,-0.016091
4.199000,-0.047054,0.022838,-0.015796
4.219000,-0.047240,0.022636,-0.015708
4.239000,-0.049370,0.022440,-0.016215
4.259000,-0.051592,0.022201,-0.016718
4.279000,-0.051382,0.022071,-0.017166
4.299000,-0.049267,0.022012,-0.017482
4.319000,-0.047391,0.021891,-0.017698
4.339000,-0.047296,0.021752,-0.017973
4.359000,-0.047803,0.021623,-0.018094
4.379000,-0.047569,0.021541,-0.018066
4.399000,-0.046834,0.021563,-0.017906
4.419000,-0.045771,0.021695,-0.017639
4.439000,-0.042495,0.022092,-0.017115
4.476000,-0.026188,0.023514,-0.015611
4.496000,-0.002838,0.025063,-0.013776
4.516000,0.023327,0.026193,-0.011236
4.536000,0.044755,0.026893,-0.009038
4.556000,0.055836,0.027423,-0.007340
4.576000,0.055151,0.028019,-0.006424
4.596000,0.046224,0.028838,-0.006258
4.616000,0.033729,0.029547,-0.006218
4.636000,0.021152,0.030105,-0.006400
4.656000,0.010836,0.030547,-0.006666
4.676000,0.004114,0.030696,-0.006861
4.696000,0.001423,0.030535,-0.007020
4.716000,0.002016,0.030081,-0.007192
4.736000,0.003873,0.029472,-0.007484
4.756000,0.004709,0.028779,-0.007881
4.776000,0.003805,0.028108,-0.008484
4.796000,0.002008,0.027599,-0.009032
4.816000,0.000258,0.027175,-0.009575
4.836000,-0.001402,0.026717,-0.009984
4.856000,-0.002949,0.026287,-0.010199
4.876000,-0.004183,0.025921,-0.010274
4.896000,-0.005063,0.025727,-0.010369
4.916000,-0.005298,0.025713,-0.010284
4.936000,-0.005186,0.025713,-0.010211
4.956000,-0.005359,0.025875,-0.010056
4.976000,-0.006143,0.026133,-0.010048
4.996000,-0.006764,0.026409,-0.009901
5.016000,-0.006809,0.026635,-0.009758
5.036000,-0.006285,0.026806,-0.009537
5.056000,-0.005580,0.026971,-0.009336
5.076000,-0.004857,0.027121,-0.009187
5.096000,-0.004498,0.027184,-0.009144
5.116000,-0.004437,0.027120,-0.009089
5.136000,-0.005079,0.027138,-0.009150
5.156000,-0.006224,0.027034,-0.009218
5.176000,-0.007766,0.026852,-0.009555
5.196000,-0.009343,0.026638,-0.009803
5.216000,-0.011124,0.026522,-0.010319
5.236000,-0.012371,0.026452,-0.010878
5.256000,-0.012340,0.026463,-0.011389
5.276000,-0.011496,0.026533,-0.011653
5.296000,-0.010972,0.026570,-0.011857
5.316000,-0.011562,0.026730,-0.012054
5.336000,-0.012939,0.027033,-0.012205
5.356000,-0.014072,0.027550,-0.012203
5.376000,-0.014892,0.028193,-0.012105
5.396000,-0.015921,0.028977,-0.011911
5.416000,-0.017907,0.029902,-0.011745
5.436000,-0.020644,0.030949,-0.011531
5.456000,-0.023746,0.032139,-0.011342
5.476000,-0.026858,0.033450,-0.011051
5.496000,-0.029384,0.034728,-0.010659
5.516000,-0.031270,0.035972,-0.010257
5.536000,-0.032940,0.037182,-0.009852
5.556000,-0.034676,0.038357,-0.009495
5.576000,-0.036218,0.039460,-0.009211
5.596000,-0.037340,0.040413,-0.009080
5.616000,-0.038087,0.041121,-0.009033
5.636000,-0.038715,0.041637,-0.009079
5.656000,-0.039643,0.041968,-0.009240
5.676000,-0.039750,0.041587,-0.009177
5.696000,-0.039179,0.041338,-0.009074
5.716000,-0.039363,0.041464,-0.009362
5.736000,-0.040459,0.041690,-0.009756
5.756000,-0.042311,0.041893,-0.010103
5.776000,-0.044822,0.042167,-0.010613
5.796000,-0.047331,0.042457,-0.011075
5.816000,-0.049449,0.042215,-0.011400
5.836000,-0.051453,0.041811,-0.011647
5.856000,-0.053255,0.041434,-0.011986
5.876000,-0.054320,0.041313,-0.012369
5.896000,-0.055232,0.041374,-0.012745
5.916000,-0.055985,0.041138,-0.013188
5.936000,-0.056495,0.040813,-0.013582
5.956000,-0.057153,0.040678,-0.014116
5.976000,-0.057664,0.040643,-0.014528
5.996000,-0.057918,0.039991,-0.014219
6.016000,-0.059105,0.040090,-0.014083
6.036000,-0.059626,0.040664,-0.014859
6.056000,-0.058593,0.041159,-0.014767
6.076000,-0.057783,0.041167,-0.014816
6.096000,-0.056849,0.041119,-0.014597
6.116000,-0.055687,0.040856,-0.014106
6.136000,-0.054658,0.040312,-0.013464
6.156000,-0.053697,0.039561,-0.012715
6.176000,-0.052737,0.038964,-0.011819
6.196000,-0.055536,0.038702,-0.010767
6.216000,-0.059865,0.038578,-0.012362
6.236000,-0.060363,0.038957,-0.012381
6.256000,-0.059085,0.039201,-0.012681
6.276000,-0.057483,0.039197,-0.012701
6.296000,-0.056965,0.039245,-0.012727
6.316000,-0.056927,0.039461,-0.012936
6.336000,-0.056522,0.039603,-0.013247
