accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.415000,4.134786,-7.723695,-4.036624
0.435000,4.181473,-7.669826,-4.042609
0.455000,4.202635,-7.646266,-4.032633
0.475000,4.224600,-7.639878,-4.045007
0.495000,4.245933,-7.646114,-4.073994
0.515000,4.260159,-7.652667,-4.104530
0.535000,4.273065,-7.659745,-4.133567
0.555000,4.279141,-7.656061,-4.152960
0.575000,4.276128,-7.648133,-4.161360
0.595000,4.272758,-7.643949,-4.163262
0.615000,4.271747,-7.640743,-4.164598
0.635000,4.270706,-7.640673,-4.167315
0.655000,4.275550,-7.638029,-4.171833
0.675000,4.272669,-7.638163,-4.174501
0.695000,4.269372,-7.636039,-4.176493
0.715000,4.264234,-7.637331,-4.174625
0.735000,4.254183,-7.643694,-4.175525
0.755000,4.241895,-7.652691,-4.178196
0.775000,4.228854,-7.664549,-4.178433
0.795000,4.217581,-7.671624,-4.171669
0.815000,4.207946,-7.672284,-4.163365
0.835000,4.203366,-7.676831,-4.157562
0.855000,4.202138,-7.681719,-4.158453
0.875000,4.201317,-7.685698,-4.159772
0.895000,4.198914,-7.689455,-4.160406
0.915000,4.197162,-7.689669,-4.161362
0.935000,4.195362,-7.692463,-4.164570
0.955000,4.194037,-7.695663,-4.169447
0.975000,4.191885,-7.697057,-4.171241
0.995000,4.189150,-7.692470,-4.168000
1.015000,4.189799,-7.684973,-4.161222
1.035000,4.195711,-7.680967,-4.155691
1.055000,4.203478,-7.683237,-4.153946
1.075000,4.211945,-7.690232,-4.156158
1.095000,4.219942,-7.699479,-4.154915
1.115000,4.227304,-7.708027,-4.150707
1.135000,4.231233,-7.714411,-4.141273
1.155000,4.234633,-7.723173,-4.128591
1.175000,4.237293,-7.729802,-4.111494
1.195000,4.240126,-7.732352,-4.095594
1.215000,4.241683,-7.737660,-4.082633
1.235000,4.243866,-7.748002,-4.073562
1.255000,4.244176,-7.760767,-4.067796
1.275000,4.242130,-7.776104,-4.062517
1.295000,4.239466,-7.792108,-4.054526
1.315000,4.234835,-7.803393,-4.041097
1.335000,4.230868,-7.811273,-4.025028
1.355000,4.227269,-7.818359,-4.007385
1.375000,4.225275,-7.827594,-3.986773
1.395000,4.225433,-7.838103,-3.961186
1.415000,4.228437,-7.847374,-3.931018
1.435000,4.237543,-7.856847,-3.902896
1.455000,4.251616,-7.870634,-3.883768
1.475000,4.265759,-7.890089,-3.869185
1.495000,4.274948,-7.911764,-3.853821
1.515000,4.281315,-7.930485,-3.836394
1.535000,4.283966,-7.943403,-3.816779
1.555000,4.281860,-7.952282,-3.795799
1.575000,4.282313,-7.956156,-3.773815
1.595000,4.285572,-7.954370,-3.750334
1.615000,4.290714,-7.948709,-3.726818
1.635000,4.298230,-7.941638,-3.705521
1.655000,4.306656,-7.935981,-3.684975
1.675000,4.316081,-7.930043,-3.663483
1.695000,4.326748,-7.920859,-3.637954
1.715000,4.339365,-7.910102,-3.609075
1.735000,4.356092,-7.898547,-3.581697
1.755000,4.376006,-7.890300,-3.557990
1.775000,4.395691,-7.887864,-3.537994
1.795000,4.415573,-7.889596,-3.521986
1.815000,4.434392,-7.894153,-3.511214
1.835000,4.448658,-7.901801,-3.502144
1.855000,4.459882,-7.912207,-3.494498
1.875000,4.467238,-7.923847,-3.491243
1.895000,4.473511,-7.933596,-3.486565
1.915000,4.477417,-7.936056,-3.479142
1.935000,4.479078,-7.937581,-3.468717
1.955000,4.480121,-7.946920,-3.460684
1.975000,4.486309,-7.959005,-3.456417
1.995000,4.494677,-7.967054,-3.448939
2.015000,4.504269,-7.967066,-3.434683
2.035000,4.512211,-7.959924,-3.416748
2.055000,4.519531,-7.951897,-3.399779
2.075000,4.531635,-7.945092,-3.383007
2.095000,4.544311,-7.941243,-3.364658
2.115000,4.558287,-7.939435,-3.344525
2.135000,4.574979,-7.936696,-3.326507
2.155000,4.591218,-7.929005,-3.307753
2.175000,4.607438,-7.922400,-3.289679
2.195000,4.623806,-7.922083,-3.273314
2.215000,4.642204,-7.925121,-3.263613
2.235000,4.662567,-7.927531,-3.259371
2.255000,4.681161,-7.929332,-3.256760
