accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.205,-0.466869,-0.162806,10.60871
0.225,-0.45849,-0.214281,10.5704
0.245,-0.491613,-0.23225,10.59835
0.265,-0.526756,-0.128003,10.69021
0.285,-0.544979,-0.057099,10.74787
0.305,-0.569925,-0.039489,10.76909
0.325,-0.582263,-0.034844,10.76806
0.345,-0.592415,-0.04702,10.75947
0.365,-0.593634,-0.063711,10.74129
0.385,-0.58836,-0.061635,10.72747
0.405,-0.586668,-0.053149,10.71156
0.425,-0.580854,-0.037843,10.70473
0.445,-0.573345,-0.018759,10.71084
0.465,-0.567595,0.000551,10.71107
0.485,-0.562931,0.011009,10.70017
0.505,-0.552382,0.014403,10.68988
0.525,-0.550862,0.016824,10.69103
0.545,-0.549245,0.007938,10.69809
0.565,-0.527379,-0.042893,10.70009
0.585,-0.527346,-0.164351,10.71881
0.605,-0.537561,-0.231799,10.78315
0.625,-0.542346,-0.306816,10.87073
0.645,-0.555878,-0.388657,10.98448
0.665,-0.574985,-0.464561,11.12642
0.685,-0.598569,-0.544064,11.26714
0.705,-0.657749,-0.637499,11.3924
0.725,-0.73908,-0.717499,11.51352
0.745,-0.805291,-0.735449,11.65225
0.765,-0.864859,-0.691133,11.78093
0.785,-0.930761,-0.610758,11.8853
0.805,-0.996713,-0.525796,11.9831
0.825,-1.032716,-0.442142,12.08544
0.845,-1.061675,-0.371153,12.15865
0.865,-1.115433,-0.317555,12.20656
0.885,-1.185894,-0.289584,12.23876
0.905,-1.256726,-0.272506,12.27187
0.925,-1.309121,-0.252131,12.30687
0.945,-1.376543,-0.246516,12.31667
0.965,-1.462566,-0.253926,12.29506
0.985,-1.541961,-0.270461,12.25854
1.005,-1.607034,-0.300693,12.21696
1.025,-1.66875,-0.338662,12.16063
1.045,-1.735272,-0.372338,12.08011
1.065,-1.806077,-0.390349,11.97731
1.085,-1.883528,-0.381486,11.86262
1.105,-1.964607,-0.354217,11.73154
1.125,-2.046198,-0.337797,11.58148
1.145,-2.133312,-0.335267,11.41105
1.165,-2.220821,-0.336742,11.22103
1.185,-2.300929,-0.342226,10.9997
1.205,-2.388883,-0.358897,10.76217
1.225,-2.491574,-0.370553,10.52037
1.245,-2.583681,-0.364058,10.2895
1.265,-2.665341,-0.347479,10.06511
1.285,-2.762738,-0.341032,9.841452
1.305,-2.852729,-0.335979,9.614911
1.325,-2.925071,-0.342204,9.381432
1.345,-3.010468,-0.360944,9.141697
1.365,-3.11133,-0.384343,8.908477
1.385,-3.196747,-0.405312,8.688966
1.405,-3.278529,-0.424528,8.490859
1.425,-3.367463,-0.444021,8.312673
1.445,-3.457742,-0.46832,8.125875
1.465,-3.55951,-0.4975,7.942571
1.485,-3.677418,-0.520849,7.766312
1.505,-3.795464,-0.530944,7.612256
1.525,-3.897436,-0.532743,7.464681
1.545,-4.01967,-0.536137,7.302301
1.565,-4.142017,-0.539726,7.132712
1.585,-4.251358,-0.544838,6.960745
1.605,-4.372037,-0.549206,6.793054
1.625,-4.501375,-0.551697,6.62906
1.645,-4.628754,-0.552317,6.472135
1.665,-4.746911,-0.554253,6.316509
1.685,-4.870177,-0.557687,6.168467
1.705,-4.998044,-0.561782,6.034264
1.725,-5.11153,-0.567667,5.904535
1.745,-5.214624,-0.573143,5.787636
1.765,-5.322932,-0.57305,5.699456
1.785,-5.426787,-0.573113,5.628987
1.805,-5.522624,-0.578451,5.570146
1.825,-5.615115,-0.585093,5.521481
1.845,-5.709486,-0.587472,5.482088
1.865,-5.794965,-0.588657,5.445075
1.885,-5.87511,-0.595035,5.406898
1.905,-5.95634,-0.604404,5.370275
1.925,-6.029719,-0.614612,5.333653
1.945,-6.100056,-0.62334,5.30011
1.965,-6.172562,-0.627962,5.272997
1.985,-6.23999,-0.630551,5.247264
2.005,-6.300429,-0.63341,5.219923
2.025,-6.36804,-0.637329,5.192481
2.045,-6.431431,-0.640326,5.16718
2.065,-6.482903,-0.643118,5.145083
2.085,-6.534164,-0.645485,5.125492
2.105,-6.582483,-0.646868,5.107221
2.125,-6.6219,-0.649004,5.08998
2.145,-6.657342,-0.65224,5.073244
2.165,-6.696166,-0.655247,5.056276
2.185,-6.736729,-0.657086,5.036397
2.297,-6.761168,-0.655867,5.019595
2.317,-6.7897,-0.653037,5.002925
2.337,-6.810147,-0.648175,4.98827
2.357,-6.822826,-0.643501,4.974472
2.377,-6.834716,-0.641447,4.957145
2.397,-6.843789,-0.641019,4.935002
2.417,-6.84789,-0.639521,4.913947
2.437,-6.847995,-0.636484,4.895459
2.457,-6.848324,-0.632368,4.876304
2.477,-6.839546,-0.627365,4.850873
2.497,-6.822052,-0.623635,4.821001
2.517,-6.805535,-0.621174,4.789031
2.537,-6.793345,-0.619787,4.757124
2.557,-6.781359,-0.619524,4.721973
2.577,-6.762006,-0.618738,4.683103
2.597,-6.735067,-0.615878,4.64289
2.617,-6.703765,-0.611544,4.600414
2.637,-6.664762,-0.607569,4.550813
2.657,-6.615295,-0.606706,4.491964
2.677,-6.556612,-0.610923,4.430136
2.697,-6.48858,-0.619017,4.364797
2.717,-6.41435,-0.624271,4.290835
2.737,-6.335824,-0.618713,4.207532
2.757,-6.252749,-0.6012,4.10664
2.777,-6.159405,-0.578231,3.985121
2.797,-6.052445,-0.565438,3.84035
2.817,-5.931445,-0.573895,3.650273
2.837,-5.795743,-0.583434,3.369911
2.857,-5.65515,-0.587163,3.043118
2.877,-5.494574,-0.590802,2.748769
2.897,-5.396937,-0.589485,2.514862
2.917,-5.343064,-0.575329,2.36547
2.937,-5.124408,-0.548195,2.344651
2.957,-4.655519,-0.497586,2.502339
2.977,-4.010306,-0.413633,2.845523
2.997,-3.300497,-0.349448,2.986444
3.017,-2.024777,-0.336983,3.064234
3.037,0.459163,-0.335075,3.485677
3.057,4.389989,-0.304289,3.872921
3.077,7.733746,-0.200954,4.121561
3.097,19.9931,0.899609,6.517298
3.117,-13.28136,0.444856,10.41755
3.137,-20.71146,-0.503584,4.962714
3.157,-7.921835,-1.361329,10.7154
3.177,-0.855345,-2.787224,9.374231
3.197,-5.102966,-0.37154,8.715996
3.217,-0.587777,4.155684,8.647398
3.237,0.144279,4.165055,8.337621
3.257,1.330692,1.477404,8.776269
3.277,1.178858,-1.040905,9.307437
3.297,1.122759,-1.308301,9.60484
3.317,0.955779,0.381906,9.837074
3.337,0.847436,1.730495,9.779091
3.357,0.815859,1.841486,9.742781
3.377,0.811603,1.393619,9.701612
3.397,0.867381,1.009346,9.583898
3.417,0.891427,1.731753,9.405512
3.437,0.732315,3.181792,9.230234
3.457,0.576369,4.206232,8.945766
3.477,0.349373,4.483842,8.670622
3.497,0.288597,5.047098,8.597003
3.517,0.317767,5.652529,8.591167
3.537,0.305807,5.935853,8.546828
3.557,0.286037,6.070227,8.523123
3.577,0.273918,6.11723,8.526021
3.597,0.247489,6.034436,8.536625
3.617,0.222351,5.912183,8.549771
3.637,0.196636,5.925095,8.560993
3.657,0.169644,6.042459,8.553708
3.677,0.138588,6.15216,8.541807
3.697,0.132361,6.194338,8.540098
3.717,0.138136,6.13787,8.543997
3.737,0.135093,6.070535,8.557625
3.757,0.128151,6.013198,8.571961
