gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.38,-1.709224,1.848983,0.998568
0.4,-1.370949,1.907072,1.089832
0.42,-1.131413,1.997303,1.165207
0.44,-1.039408,2.101401,1.211409
0.46,-1.042222,2.187577,1.237009
0.48,-1.099784,2.249961,1.257424
0.5,-1.193702,2.298825,1.27938
0.52,-1.270319,2.338088,1.308367
0.54,-1.275094,2.357846,1.349933
0.56,-1.227393,2.346357,1.403116
0.58,-1.189758,2.311101,1.450007
0.6,-1.173421,2.258881,1.480214
0.62,-1.15614,2.171055,1.491249
0.64,-1.148757,2.031055,1.489589
0.66,-1.171499,1.848505,1.471852
0.68,-1.200171,1.633192,1.43835
0.7,-1.197775,1.383324,1.398795
0.72,-1.161826,1.105216,1.358066
0.74,-1.10715,0.805222,1.316381
0.76,-1.037315,0.486056,1.274842
0.78,-0.957915,0.155588,1.232296
0.8,-0.875249,-0.178677,1.188187
0.82,-0.793136,-0.510083,1.142081
0.84,-0.718407,-0.830972,1.092995
0.86,-0.65221,-1.130407,1.040117
0.88,-0.590942,-1.407112,0.984135
0.9,-0.535753,-1.662287,0.925131
0.92,-0.487658,-1.888052,0.862338
0.94,-0.440142,-2.075416,0.798009
0.96,-0.388654,-2.222924,0.735774
0.98,-0.336883,-2.334044,0.677574
1,-0.292903,-2.41398,0.62279
1.02,-0.261565,-2.464198,0.568918
1.04,-0.23981,-2.48908,0.515502
1.06,-0.224767,-2.494495,0.463138
1.08,-0.213988,-2.482811,0.412038
1.1,-0.20544,-2.457762,0.363175
1.12,-0.198553,-2.421573,0.31759
1.14,-0.192955,-2.374617,0.2758
1.16,-0.18598,-2.319853,0.238204
1.18,-0.177989,-2.258494,0.204969
1.2,-0.171867,-2.19023,0.175758
1.22,-0.167606,-2.117392,0.149315
1.24,-0.164518,-2.042804,0.124967
1.26,-0.161074,-1.966054,0.103431
1.28,-0.15573,-1.887672,0.085039
1.3,-0.149125,-1.80804,0.06916
1.32,-0.141383,-1.725965,0.055771
1.34,-0.132524,-1.642322,0.044376
1.36,-0.123532,-1.560147,0.034478
1.38,-0.116171,-1.479844,0.025608
1.4,-0.110705,-1.400435,0.017798
1.42,-0.106759,-1.322508,0.010451
1.44,-0.103922,-1.246522,0.003375
1.46,-0.101822,-1.173157,-0.003686
1.48,-0.098875,-1.102423,-0.009986
1.5,-0.09464,-1.034689,-0.014954
1.52,-0.090107,-0.970341,-0.018987
1.54,-0.085724,-0.908394,-0.021954
1.56,-0.081727,-0.848077,-0.024002
1.58,-0.078523,-0.790799,-0.025639
1.6,-0.076205,-0.73659,-0.026954
1.62,-0.074353,-0.684949,-0.027997
1.64,-0.073071,-0.635937,-0.029143
1.66,-0.072702,-0.589694,-0.030579
1.68,-0.07316,-0.545266,-0.031546
1.7,-0.073843,-0.502643,-0.031629
1.72,-0.07474,-0.463661,-0.031781
1.74,-0.075664,-0.428039,-0.032005
1.76,-0.076187,-0.396074,-0.03257
1.78,-0.076787,-0.367346,-0.033552
1.8,-0.07775,-0.341076,-0.03446
1.82,-0.07952,-0.319197,-0.035905
1.84,-0.082648,-0.301565,-0.037922
1.86,-0.08731,-0.286444,-0.040339
1.88,-0.094026,-0.274433,-0.043347
1.9,-0.102788,-0.267359,-0.047525
1.92,-0.111918,-0.266524,-0.053217
1.94,-0.12037,-0.272755,-0.061199
1.96,-0.129016,-0.283691,-0.071482
1.98,-0.13791,-0.29625,-0.083846
2,-0.145874,-0.310889,-0.099101
2.02,-0.14831,-0.32866,-0.117068
2.04,-0.140884,-0.339536,-0.136877
2.06,-0.126452,-0.332132,-0.155231
2.08,-0.116344,-0.312355,-0.174236
2.1,-0.123464,-0.299752,-0.198594
2.12,-0.153903,-0.288423,-0.224006
2.14,-0.202376,-0.251625,-0.239482
2.16,-0.253527,-0.172826,-0.228323
2.18,-0.29879,-0.043445,-0.194888
2.2,-0.343813,0.107223,-0.155034
2.22,-0.388877,0.271091,-0.110064
2.24,-0.412667,0.446632,-0.050196
2.26,-0.405609,0.631742,0.016566
2.28,-0.418695,0.823842,0.053233
2.3,-0.442793,1.020044,0.067524
2.32,-0.330126,0.786101,0.10591
2.34,-0.309785,0.458755,-0.013783
2.36,-0.344389,0.737174,-0.14639
2.63,-0.365769,0.705866,-0.15383
2.65,-0.33626,0.677569,-0.144825
2.67,-0.285333,0.658414,-0.133099
2.69,-0.249347,0.633916,-0.125777
2.71,-0.251397,0.60039,-0.122054
2.73,-0.281979,0.556837,-0.123625
2.75,-0.312728,0.514711,-0.121227
2.77,-0.318676,0.483553,-0.111311
2.79,-0.290618,0.466353,-0.095333
2.81,-0.24254,0.457367,-0.076199
2.83,-0.190511,0.447516,-0.057251
2.85,-0.146117,0.43368,-0.041696
2.87,-0.118365,0.418041,-0.030664
2.89,-0.10933,0.401706,-0.023286
2.91,-0.111697,0.385683,-0.018264
2.93,-0.11511,0.371189,-0.015527
2.95,-0.116226,0.358197,-0.012865
2.97,-0.115546,0.34634,-0.009744
2.99,-0.113563,0.334675,-0.005722
3.01,-0.109929,0.324115,-0.001791
3.03,-0.105746,0.314486,0.001898
3.05,-0.101144,0.305389,0.004414
3.07,-0.097907,0.296329,0.005451
3.09,-0.097721,0.286507,0.005381
3.11,-0.100728,0.275972,0.004478
3.13,-0.105704,0.26514,0.00315
3.15,-0.110844,0.25451,0.001711
3.17,-0.114985,0.244585,0.000331
3.19,-0.118152,0.235343,-0.001229
3.21,-0.12199,0.226556,-0.00304
3.23,-0.127113,0.217686,-0.005238
3.25,-0.133593,0.209375,-0.00782
3.27,-0.141071,0.202205,-0.010369
3.29,-0.147549,0.195791,-0.012684
3.31,-0.152072,0.189984,-0.014592
3.33,-0.154994,0.184723,-0.016042
3.35,-0.156583,0.179944,-0.016982
3.37,-0.157051,0.175554,-0.017506
3.39,-0.156511,0.171403,-0.017682
3.41,-0.155254,0.167636,-0.017602
3.43,-0.153438,0.164289,-0.017257
3.45,-0.150767,0.161282,-0.01673
3.47,-0.147317,0.158575,-0.016059
3.49,-0.143602,0.156077,-0.015358
3.51,-0.140197,0.153578,-0.014759
3.53,-0.13774,0.151036,-0.014333
3.55,-0.135687,0.148596,-0.013984
3.57,-0.13326,0.146256,-0.013678
3.59,-0.130827,0.143984,-0.013454
3.61,-0.128997,0.141522,-0.013406
3.63,-0.127764,0.138939,-0.013507
3.65,-0.126732,0.136417,-0.013645
3.67,-0.125629,0.133976,-0.013765
3.69,-0.124559,0.131624,-0.013886
3.71,-0.123802,0.129328,-0.01405
3.73,-0.123389,0.127097,-0.014282
3.75,-0.12313,0.124946,-0.014518
3.77,-0.122672,0.122944,-0.014692
3.79,-0.121847,0.121121,-0.014758
3.81,-0.120787,0.119454,-0.014757
3.83,-0.119684,0.117891,-0.014742
3.85,-0.118668,0.116267,-0.014764
3.87,-0.117951,0.114604,-0.014852
3.89,-0.117414,0.112968,-0.014966
3.91,-0.116768,0.111423,-0.015046
3.93,-0.115863,0.109974,-0.015084
3.95,-0.114809,0.108573,-0.015098
3.97,-0.113896,0.107156,-0.015128
3.99,-0.113149,0.105788,-0.015144
4.01,-0.112232,0.104548,-0.015116
4.03,-0.111076,0.10343,-0.015038
4.05,-0.109822,0.102397,-0.014944
4.07,-0.108709,0.101308,-0.014864
4.09,-0.107762,0.100168,-0.014829
4.11,-0.106917,0.099027,-0.014793
4.13,-0.105998,0.097985,-0.014731
4.15,-0.10496,0.097,-0.014663
4.17,-0.104008,0.096037,-0.014626
4.19,-0.103371,0.09501,-0.014651
4.21,-0.102966,0.093948,-0.014707
4.23,-0.102417,0.092963,-0.014742
4.25,-0.101672,0.092048,-0.014753
4.27,-0.100991,0.09114,-0.014768
4.29,-0.100474,0.090197,-0.0148
4.31,-0.099921,0.089282,-0.014816
4.33,-0.099225,0.088437,-0.014805
4.35,-0.09846,0.087631,-0.014786
4.37,-0.097753,0.086853,-0.01477
4.39,-0.097082,0.086106,-0.014742
4.41,-0.096376,0.08532,-0.014735
4.43,-0.095779,0.084533,-0.014751
4.45,-0.095318,0.08375,-0.01479
4.47,-0.094888,0.083011,-0.014801
4.49,-0.09433,0.08233,-0.014785
4.51,-0.093629,0.081701,-0.014737
4.53,-0.093006,0.081066,-0.014711
4.55,-0.092553,0.080374,-0.014724
4.57,-0.092146,0.079681,-0.014738
4.59,-0.091575,0.079064,-0.014721
4.61,-0.090916,0.078476,-0.014695
5.442,-0.090461,0.07785,-0.014714
5.462,-0.08997,0.077247,-0.014716
5.482,-0.089468,0.076654,-0.014713
5.502,-0.089015,0.076054,-0.014717
5.522,-0.088545,0.075477,-0.014709
5.542,-0.088026,0.074925,-0.014699
5.562,-0.087486,0.074401,-0.014684
5.582,-0.086931,0.073885,-0.014649
5.602,-0.086409,0.073383,-0.01462
5.622,-0.085882,0.072899,-0.014601
5.642,-0.085347,0.072382,-0.014598
5.662,-0.084915,0.071848,-0.014622
5.682,-0.084533,0.071322,-0.014642
5.702,-0.084141,0.070822,-0.014666
5.722,-0.083768,0.070319,-0.014675
5.742,-0.083417,0.069846,-0.014674
5.762,-0.083045,0.06936,-0.014679
5.782,-0.082622,0.068875,-0.014677
5.802,-0.082176,0.068402,-0.014682
5.822,-0.081734,0.067953,-0.014678
5.842,-0.081296,0.067491,-0.014661
5.862,-0.080847,0.067034,-0.014658
5.882,-0.080417,0.06659,-0.01463
5.902,-0.079952,0.066174,-0.014597
5.922,-0.07945,0.065756,-0.014571
5.942,-0.078975,0.065331,-0.014561
5.962,-0.078585,0.06489,-0.014555
5.982,-0.078248,0.064446,-0.014559
6.002,-0.077911,0.064017,-0.014563
6.022,-0.077527,0.063614,-0.014561
6.042,-0.077132,0.063201,-0.014562
6.062,-0.076829,0.062771,-0.014581
6.082,-0.076589,0.062329,-0.014611
6.102,-0.076301,0.061907,-0.014632
6.122,-0.075931,0.061506,-0.014639
6.142,-0.075564,0.061095,-0.014643
6.162,-0.075218,0.060692,-0.014642
6.182,-0.074855,0.060303,-0.014641
6.202,-0.074448,0.059937,-0.014615
6.222,-0.07404,0.05957,-0.014601
6.242,-0.073676,0.059201,-0.014587
6.262,-0.073347,0.058825,-0.014586
6.282,-0.073027,0.058449,-0.01459
6.302,-0.072693,0.058085,-0.014588
6.322,-0.072367,0.057722,-0.014587
