gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.429,-2.540187,2.329149,2.882058
0.449,-2.646972,2.397429,2.98871
0.469,-2.787938,2.496715,3.094707
0.489,-2.950207,2.603382,3.191403
0.509,-3.123351,2.688022,3.276813
0.529,-3.296348,2.745453,3.35234
0.549,-3.451347,2.777317,3.415567
0.569,-3.565735,2.780157,3.460684
0.589,-3.613237,2.749507,3.481392
0.609,-3.576684,2.687349,3.47005
0.629,-3.458302,2.601105,3.422599
0.649,-3.272603,2.501247,3.335474
0.669,-3.034661,2.395375,3.210402
0.689,-2.765963,2.288908,3.052562
0.709,-2.493882,2.184623,2.869828
0.729,-2.251402,2.079518,2.67079
0.749,-2.054431,1.97,2.466853
0.769,-1.908461,1.851205,2.269956
0.789,-1.842987,1.721029,2.088301
0.809,-1.85552,1.587498,1.922094
0.829,-1.900769,1.45453,1.77036
0.849,-1.942958,1.321399,1.63256
0.869,-1.966875,1.191121,1.503968
0.889,-1.961664,1.066179,1.38098
0.909,-1.925084,0.949049,1.26489
0.929,-1.867648,0.839427,1.155305
0.949,-1.798547,0.736645,1.051456
0.969,-1.719576,0.642744,0.954816
0.989,-1.628276,0.558074,0.865838
1.009,-1.525791,0.477577,0.782488
1.029,-1.418761,0.398879,0.703281
1.049,-1.316364,0.323811,0.626372
1.069,-1.218793,0.254414,0.550818
1.089,-1.121574,0.190058,0.477372
1.109,-1.028643,0.129402,0.407046
1.129,-0.945466,0.07186,0.340763
1.149,-0.870029,0.017895,0.278873
1.169,-0.797926,-0.032898,0.22141
1.189,-0.731579,-0.080361,0.168672
1.209,-0.674091,-0.124562,0.120249
1.229,-0.623762,-0.165294,0.075322
1.249,-0.576298,-0.201766,0.033322
1.269,-0.53097,-0.233145,-0.0052
1.289,-0.488507,-0.260022,-0.040265
1.309,-0.448424,-0.283858,-0.071986
1.329,-0.411288,-0.305599,-0.100326
1.349,-0.378129,-0.323859,-0.124868
1.369,-0.350437,-0.338123,-0.14564
1.389,-0.327313,-0.350468,-0.163324
1.409,-0.306426,-0.361428,-0.178166
1.429,-0.287,-0.369363,-0.190432
1.449,-0.26777,-0.373543,-0.200529
1.469,-0.248232,-0.375974,-0.208586
1.489,-0.228583,-0.379257,-0.21489
1.509,-0.209462,-0.383766,-0.220396
1.529,-0.19278,-0.387805,-0.225843
1.549,-0.178211,-0.390303,-0.231062
1.569,-0.164083,-0.392423,-0.235548
1.589,-0.149789,-0.396532,-0.239631
1.609,-0.135703,-0.40296,-0.242848
1.629,-0.124685,-0.411424,-0.246069
1.649,-0.116828,-0.422,-0.250262
1.669,-0.108801,-0.435211,-0.256413
1.689,-0.097927,-0.450685,-0.26533
1.709,-0.083786,-0.4658,-0.276575
1.729,-0.067739,-0.479914,-0.289651
1.749,-0.051216,-0.493915,-0.304063
1.769,-0.032813,-0.508628,-0.31936
1.789,-0.010873,-0.523177,-0.334972
1.809,0.013991,-0.536421,-0.350191
1.829,0.038073,-0.549228,-0.363723
1.849,0.056383,-0.561208,-0.374417
1.869,0.063293,-0.572921,-0.381502
1.889,0.055108,-0.585096,-0.388908
1.909,0.036732,-0.589832,-0.396003
1.929,0.020011,-0.584869,-0.403529
1.949,0.011226,-0.591528,-0.412635
1.969,0.004726,-0.612078,-0.418025
1.989,0.003289,-0.640172,-0.422887
2.009,-0.00487,-0.671907,-0.444596
2.029,-0.014457,-0.697761,-0.489501
2.049,0.025779,-0.707501,-0.542875
2.069,0.099618,-0.679204,-0.602437
2.089,0.084495,-0.608483,-0.648935
2.109,0.017671,-0.507007,-0.620847
2.129,0.029681,-0.442555,-0.554541
2.149,0.034876,-0.434296,-0.498947
2.169,0.008623,-0.549932,-0.566619
2.189,0.127558,-0.675337,-0.68416
2.209,0.258579,-0.694545,-0.690935
2.229,0.358951,-0.678089,-0.522978
2.249,0.184668,-0.748927,-0.387623
2.269,-0.006121,-0.878585,-0.287205
2.289,-0.151168,-0.924279,-0.278009
2.309,-0.087684,-0.872158,-0.312005
2.329,-0.00475,-0.81647,-0.322633
2.349,-0.016283,-0.773108,-0.335538
2.369,-0.095038,-0.719687,-0.338845
2.389,-0.150452,-0.657019,-0.327809
2.409,-0.158109,-0.59204,-0.304704
2.739,-0.190395,-0.598712,-0.290185
2.759,-0.230445,-0.596929,-0.276805
2.779,-0.272913,-0.587411,-0.266607
