accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.432,-16.25184,-3.643975,5.853823
0.452,-16.49964,-4.225766,6.038177
0.472,-16.51606,-4.681165,6.170987
0.492,-16.33996,-4.926957,6.254311
0.512,-16.04365,-5.008722,6.340459
0.532,-15.65129,-4.928008,6.403982
0.552,-15.20794,-4.688672,6.421002
0.572,-14.72856,-4.365983,6.405303
0.592,-14.22997,-4.069203,6.370258
0.612,-13.73008,-3.841748,6.315059
0.632,-13.24286,-3.679902,6.282172
0.652,-12.79196,-3.542102,6.250897
0.672,-12.35023,-3.438855,6.180631
0.692,-11.89393,-3.40242,6.085445
0.712,-11.41061,-3.445275,6.005542
0.732,-10.92513,-3.538994,5.949476
0.752,-10.51393,-3.643523,5.958985
0.772,-10.18766,-3.692122,5.991477
0.792,-9.901754,-3.698361,6.017874
0.812,-9.694402,-3.713039,6.048944
0.832,-9.585157,-3.752201,6.104861
0.852,-9.537519,-3.782292,6.165506
0.872,-9.531636,-3.778702,6.213245
0.892,-9.568376,-3.760745,6.280787
0.912,-9.598683,-3.72072,6.361641
0.932,-9.579476,-3.649537,6.424045
0.952,-9.546496,-3.57014,6.476561
0.972,-9.525888,-3.496486,6.530638
0.992,-9.492576,-3.404163,6.596807
1.012,-9.44333,-3.300001,6.650007
1.032,-9.38834,-3.21314,6.688889
1.052,-9.315379,-3.141659,6.725136
1.072,-9.218934,-3.068035,6.756483
1.092,-9.118402,-2.995534,6.766265
1.112,-9.021009,-2.933796,6.763907
1.132,-8.901509,-2.884035,6.764447
1.152,-8.793758,-2.85091,6.786369
1.172,-8.712653,-2.823366,6.814869
1.192,-8.611063,-2.79047,6.82558
1.212,-8.479774,-2.761201,6.824387
1.232,-8.372233,-2.736832,6.82958
1.252,-8.305526,-2.711107,6.846866
1.272,-8.201447,-2.684545,6.862135
1.292,-8.053229,-2.663059,6.874814
1.312,-7.899434,-2.644423,6.886888
1.332,-7.756685,-2.618453,6.902143
1.352,-7.609539,-2.582486,6.912147
1.372,-7.440363,-2.544656,6.907191
1.392,-7.254365,-2.510507,6.887934
1.412,-7.063643,-2.477882,6.856038
1.432,-6.891201,-2.450707,6.819345
1.452,-6.722562,-2.427541,6.787725
1.472,-6.522803,-2.399823,6.757396
