accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.814,1.125275,-0.416591,10.80503
0.834,1.01993,-0.325611,10.78708
0.854,1.007143,-0.048343,10.78508
0.874,0.249757,0.664492,11.13012
0.894,0.245167,1.066357,11.40401
0.914,0.220894,1.447103,11.65801
0.934,0.081359,1.767562,11.86314
0.954,0.020761,1.990279,12.06022
0.974,-0.054709,2.183438,12.30136
0.994,-0.090092,2.352643,12.52455
1.014,-0.040055,2.45487,12.69592
1.034,0.071603,2.529303,12.88811
1.054,0.220237,2.619047,13.11595
1.074,0.341123,2.691062,13.3342
1.094,0.428633,2.67661,13.50462
1.114,0.559116,2.624146,13.632
1.134,0.726203,2.618867,13.70949
1.154,0.875544,2.640314,13.76467
1.174,0.961427,2.647234,13.78364
1.194,1.045413,2.623266,13.74369
1.214,1.15535,2.590127,13.65688
1.234,1.244817,2.559953,13.55298
1.254,1.275457,2.496697,13.43702
1.274,1.306678,2.408099,13.30236
1.294,1.363685,2.332981,13.1427
1.314,1.42143,2.274431,12.96034
1.334,1.473633,2.21131,12.75465
1.354,1.545613,2.149968,12.55315
1.374,1.632868,2.090027,12.34334
1.394,1.71842,2.018057,12.12468
1.414,1.814698,1.948874,11.89789
1.434,1.925684,1.892145,11.65525
1.454,2.044429,1.838384,11.39678
1.474,2.164392,1.788061,11.13795
1.494,2.300818,1.743732,10.87527
1.514,2.444227,1.708559,10.61486
1.534,2.583917,1.684494,10.35927
1.554,2.746818,1.669986,10.08841
1.574,2.922587,1.654119,9.80864
1.594,3.093099,1.634901,9.537361
1.614,3.263629,1.619948,9.279484
1.634,3.431676,1.607306,9.026806
1.654,3.599181,1.595205,8.769335
1.674,3.766313,1.579877,8.513621
1.694,3.940503,1.561672,8.270088
1.714,4.106052,1.549458,8.042332
1.734,4.251139,1.545006,7.822793
1.754,4.402256,1.540715,7.60807
1.774,4.56963,1.534397,7.399474
1.794,4.719159,1.527725,7.203288
1.814,4.858994,1.51945,7.020335
1.834,5.013751,1.505135,6.843802
1.854,5.165332,1.495965,6.684464
1.874,5.309727,1.500564,6.545073
1.894,5.461081,1.514065,6.419916
1.914,5.612073,1.530795,6.310675
1.934,5.75664,1.54994,6.217897
1.954,5.89737,1.568592,6.140207
1.974,6.024717,1.58515,6.071784
1.994,6.149203,1.601299,6.012649
2.014,6.261387,1.615625,5.965005
2.034,6.359217,1.626644,5.931353
2.054,6.450492,1.633345,5.902829
2.074,6.535453,1.636829,5.875276
2.094,6.62238,1.639952,5.85313
2.114,6.70379,1.64442,5.83685
2.134,6.767854,1.648686,5.826234
2.154,6.828969,1.653995,5.822629
2.174,6.889152,1.658215,5.815646
2.194,6.945102,1.660242,5.805818
2.214,6.986089,1.657995,5.8036
2.234,7.015578,1.652222,5.807838
2.254,7.036694,1.64426,5.80939
2.274,7.053406,1.636811,5.809564
2.294,7.073221,1.630214,5.804642
2.314,7.074668,1.620543,5.793602
2.334,7.050484,1.605563,5.775858
2.354,7.005648,1.586478,5.749151
2.374,6.941019,1.565153,5.713478
2.394,6.865278,1.542679,5.669142
2.414,6.778907,1.519711,5.619013
2.434,6.677012,1.497171,5.563803
2.454,6.561239,1.476511,5.500542
2.474,6.451875,1.457073,5.427319
2.494,6.380853,1.443109,5.357725
2.514,6.398296,1.433131,5.310035
2.534,6.488663,1.420778,5.28854
2.554,6.556918,1.402756,5.303125
2.574,6.565896,1.411992,5.320985
2.594,6.553732,1.475105,5.22781
2.614,6.653226,1.57576,5.045796
2.634,6.892713,1.648879,4.813271
2.654,6.984977,1.641408,4.715724
2.674,6.985531,1.584599,4.793739
2.694,7.108219,1.550505,4.913978
2.714,7.193009,1.553858,4.982647
2.734,7.153909,1.584337,5.001166
2.754,7.006116,1.602336,4.993669
2.774,6.756284,1.565635,4.994157
2.794,6.475292,1.501364,4.990112
3.026,5.473042,0.808234,6.461806
3.046,4.518413,1.578701,3.177954
3.066,5.223893,3.861864,1.423381
3.086,5.291542,3.558413,0.874206
3.106,4.96814,2.443588,2.306869
3.126,5.694829,2.283409,4.12328
3.146,5.09316,0.099512,4.924829
3.166,4.390138,-2.316664,5.385278
3.186,4.667177,-1.763797,5.539348
3.206,4.759303,-1.212016,5.436644
3.226,4.801382,-1.285031,5.738055
3.246,4.509789,-1.765254,6.102577
3.266,4.257605,-1.824425,6.380747
3.286,4.000389,-2.321994,6.669639
3.306,3.672569,-3.372406,6.819384
3.326,3.396448,-3.899042,6.943621
3.346,3.228471,-3.917018,7.114223
3.366,3.024727,-3.979952,7.26737
3.386,2.926651,-4.163527,7.36603
3.406,2.844858,-4.329548,7.499309
3.426,2.716605,-4.419693,7.647617
3.449,2.702689,-4.535706,7.737597
3.469,2.671657,-4.649851,7.804688
3.489,2.614973,-4.752327,7.87078
3.509,2.544814,-4.825721,7.942357
3.529,2.478405,-4.860025,8.019257
3.549,2.420936,-4.884227,8.082479
3.569,2.364438,-4.908631,8.13275
3.589,2.319308,-4.941463,8.158919
3.609,2.29418,-4.949945,8.181317
3.629,2.28754,-4.953677,8.211044
3.649,2.308441,-4.925212,8.235498
3.669,2.330898,-4.913915,8.26967
3.689,2.346326,-4.913297,8.305361
3.709,2.354446,-4.912081,8.34035
3.729,2.354017,-4.909975,8.375313
3.749,2.343074,-4.892736,8.415957
3.769,2.333226,-4.875115,8.456108
3.789,2.321691,-4.862399,8.493096
3.809,2.311646,-4.856673,8.526829
3.829,2.30408,-4.861814,8.552394
3.849,2.295844,-4.861321,8.577839
3.869,2.291122,-4.86179,8.599741
3.889,2.286325,-4.86474,8.619348
3.909,2.279645,-4.866645,8.636539
3.929,2.27335,-4.870754,8.654218
3.949,2.264789,-4.885315,8.670217
3.969,2.252295,-4.899505,8.686807
3.989,2.23913,-4.91452,8.703058
4.009,2.226231,-4.927958,8.722009
4.029,2.216676,-4.941751,8.737597
4.049,2.208003,-4.954137,8.751888
4.069,2.199842,-4.962057,8.765435
4.089,2.191276,-4.968795,8.779736
4.109,2.18474,-4.976942,8.789897
4.129,2.177551,-4.984698,8.801363
4.149,2.171279,-4.988868,8.813184
4.169,2.165293,-4.990848,8.824639
4.189,2.160438,-4.994316,8.834051
4.209,2.156045,-4.996801,8.843771
4.229,2.151766,-4.999188,8.852605
4.249,2.147003,-5.000622,8.861809
4.269,2.142987,-5.002985,8.870522
4.289,2.138187,-5.006091,8.878966
4.309,2.133591,-5.008676,8.886819
4.329,2.129916,-5.01277,8.895148
4.349,2.125396,-5.016023,8.903049
4.369,2.121475,-5.019466,8.910725
4.389,2.117109,-5.022158,8.918458
4.409,2.11328,-5.025219,8.926024
4.429,2.109886,-5.028427,8.932159
4.449,2.106205,-5.030845,8.939434
4.469,2.102442,-5.033584,8.945754
4.489,2.098713,-5.035059,8.952926
4.509,2.095767,-5.036605,8.95884
4.529,2.092648,-5.03894,8.964492
4.549,2.089764,-5.040305,8.970012
