gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.315000,-4.365721,2.488493,4.365588
0.335000,-4.365721,2.225961,4.365588
0.355000,-4.271305,2.007860,4.229825
0.375000,-4.022380,1.821851,4.006889
0.395000,-3.712091,1.648145,3.743681
0.415000,-3.408360,1.494250,3.452115
0.435000,-3.158615,1.354079,3.141282
0.455000,-2.986395,1.212857,2.829836
0.475000,-2.892062,1.074791,2.533946
0.495000,-2.857289,0.951035,2.261961
0.515000,-2.855884,0.840645,2.017930
0.535000,-2.861937,0.738540,1.802631
0.555000,-2.851550,0.645580,1.616070
0.575000,-2.809656,0.566160,1.458411
0.595000,-2.733221,0.503403,1.325160
0.615000,-2.624536,0.456737,1.210515
0.635000,-2.493719,0.420527,1.110836
0.655000,-2.361057,0.392485,1.021631
0.675000,-2.238243,0.366342,0.935814
0.695000,-2.110707,0.335166,0.850293
0.715000,-1.957067,0.303295,0.758409
0.735000,-1.779922,0.273349,0.651046
0.755000,-1.578086,0.237305,0.523848
0.775000,-1.345640,0.192439,0.382111
0.795000,-1.095505,0.137626,0.225446
0.815000,-0.839094,0.066470,0.052841
0.835000,-0.588497,-0.020801,-0.125604
0.855000,-0.360697,-0.119863,-0.309654
0.875000,-0.152758,-0.232542,-0.494983
0.895000,0.054044,-0.361031,-0.668008
0.915000,0.231606,-0.504401,-0.825482
0.935000,0.353977,-0.657948,-0.972011
0.955000,0.447145,-0.813558,-1.098699
0.975000,0.523864,-0.964922,-1.198853
0.995000,0.569495,-1.111189,-1.280281
1.015000,0.588282,-1.249367,-1.345617
1.035000,0.601835,-1.374241,-1.393045
1.055000,0.619325,-1.481060,-1.426746
1.075000,0.634731,-1.567010,-1.449659
1.095000,0.646444,-1.630492,-1.463182
1.115000,0.657508,-1.674942,-1.467782
1.135000,0.664062,-1.707412,-1.467013
1.155000,0.658949,-1.729472,-1.464209
1.175000,0.638128,-1.739856,-1.460286
1.195000,0.606693,-1.737018,-1.454987
1.215000,0.571132,-1.724838,-1.447894
1.235000,0.536293,-1.706988,-1.437515
1.255000,0.505758,-1.683082,-1.425289
1.275000,0.480078,-1.654280,-1.413203
1.295000,0.459853,-1.622892,-1.401789
1.315000,0.440578,-1.590177,-1.390037
1.335000,0.419610,-1.557776,-1.377225
1.355000,0.402101,-1.527065,-1.362982
1.375000,0.395742,-1.493806,-1.345714
1.395000,0.389747,-1.457503,-1.325715
1.415000,0.370890,-1.424562,-1.306544
1.435000,0.351245,-1.393337,-1.285268
1.455000,0.345568,-1.357671,-1.261596
1.475000,0.348444,-1.314054,-1.231662
1.495000,0.341628,-1.264497,-1.195996
1.515000,0.321345,-1.209701,-1.151204
1.535000,0.301854,-1.145427,-1.090442
1.555000,0.290254,-1.058390,-1.007718
1.575000,0.286160,-0.923409,-0.890594
1.595000,0.299000,-0.704667,-0.717595
1.615000,0.344427,-0.455856,-0.501766
1.635000,0.430634,-0.186982,-0.266800
1.655000,0.553221,-0.447266,-0.013014
1.675000,0.383229,-0.711373,-0.277713
1.695000,0.541291,-0.864143,-0.548925
1.715000,0.326880,-0.627275,-0.333194
1.735000,0.107291,-0.525000,-0.571546
1.755000,0.144077,-0.449808,-0.498271
1.775000,0.250128,-0.329881,-0.493477
1.795000,0.238306,-0.220245,-0.357051
1.815000,0.189698,-0.193163,-0.298254
1.835000,0.174348,-0.195496,-0.288106
1.855000,0.164754,-0.189606,-0.267898
1.875000,0.173755,-0.166781,-0.247988
1.895000,0.172776,-0.151982,-0.239852
1.915000,0.166670,-0.139720,-0.233589
1.935000,0.159635,-0.129511,-0.225675
1.955000,0.150558,-0.109488,-0.207598
1.975000,0.140511,-0.097000,-0.197273
1.995000,0.127158,-0.091445,-0.192718
2.015000,0.115472,-0.087665,-0.189419
2.035000,0.124257,-0.076876,-0.183948
2.055000,0.140124,-0.069060,-0.186829
2.075000,0.119463,-0.054626,-0.176569
2.095000,0.064974,-0.042636,-0.153013
2.115000,0.050076,-0.037054,-0.152743
2.135000,0.071515,-0.024477,-0.148591
2.155000,0.098696,-0.014890,-0.149718
2.175000,0.099372,-0.012342,-0.149838
2.195000,0.078015,-0.014928,-0.141947
2.215000,0.061367,-0.022679,-0.133055
2.235000,0.060178,-0.027965,-0.124139
2.255000,0.067405,-0.030658,-0.115333
2.275000,0.074693,-0.032228,-0.108272
2.295000,0.079163,-0.032494,-0.103688
2.337000,0.072915,-0.033563,-0.102763
2.357000,0.070157,-0.033783,-0.099378
2.377000,0.072495,-0.032665,-0.093979
2.397000,0.075623,-0.031517,-0.087939
2.417000,0.077788,-0.030313,-0.083798
2.437000,0.082677,-0.026737,-0.079514
2.457000,0.088858,-0.021899,-0.073515
2.477000,0.091442,-0.020754,-0.072141
2.497000,0.088659,-0.020503,-0.071282
2.517000,0.084053,-0.019393,-0.069883
2.537000,0.080166,-0.017209,-0.065420
2.557000,0.074053,-0.017549,-0.062613
2.577000,0.066483,-0.018944,-0.059377
2.597000,0.058889,-0.020190,-0.056901
2.617000,0.050273,-0.019588,-0.054158
2.637000,0.046642,-0.019804,-0.052185
2.657000,0.048156,-0.018876,-0.051192
2.677000,0.052212,-0.016931,-0.050480
2.697000,0.056695,-0.015414,-0.050014
2.717000,0.059127,-0.014935,-0.049913
2.737000,0.059738,-0.015441,-0.050561
2.757000,0.059915,-0.015186,-0.050474
2.777000,0.057986,-0.014486,-0.049490
2.797000,0.054718,-0.014565,-0.049115
2.817000,0.050765,-0.014451,-0.048839
2.837000,0.047392,-0.013884,-0.048184
2.857000,0.044722,-0.012934,-0.047350
2.877000,0.042211,-0.012068,-0.047007
2.897000,0.039525,-0.011209,-0.046751
2.917000,0.037618,-0.010537,-0.046294
2.937000,0.036920,-0.009860,-0.045753
2.957000,0.036346,-0.008897,-0.045125
2.977000,0.034311,-0.008228,-0.044763
2.997000,0.030929,-0.007789,-0.044469
3.017000,0.027825,-0.007179,-0.043759
3.037000,0.027093,-0.006542,-0.042965
3.057000,0.027426,-0.005763,-0.042155
3.077000,0.026821,-0.005107,-0.041531
3.097000,0.025053,-0.004434,-0.040911
3.117000,0.023513,-0.003523,-0.040068
3.137000,0.023177,-0.002657,-0.039177
3.157000,0.024260,-0.001961,-0.038424
3.177000,0.025872,-0.000988,-0.037531
3.197000,0.026930,-0.000010,-0.036592
3.217000,0.027789,0.000627,-0.035614
3.237000,0.029441,0.001024,-0.034390
3.257000,0.032604,0.001365,-0.032768
3.277000,0.036536,0.001935,-0.030807
3.297000,0.040355,0.002663,-0.028546
3.317000,0.043354,0.003235,-0.026360
3.337000,0.045710,0.003290,-0.024684
3.357000,0.048166,0.003184,-0.023459
3.377000,0.050733,0.003216,-0.022533
3.397000,0.052719,0.003030,-0.021783
3.417000,0.055530,0.002675,-0.021018
3.437000,0.060484,0.003496,-0.019792
3.457000,0.066697,0.005059,-0.017922
3.477000,0.073950,0.005934,-0.016343
3.497000,0.082022,0.006526,-0.014818
3.517000,0.089085,0.007563,-0.012866
3.537000,0.094075,0.007602,-0.011418
3.557000,0.097954,0.005751,-0.011048
3.577000,0.103032,0.004180,-0.010934
3.597000,0.109795,0.003864,-0.010423
3.617000,0.116731,0.004073,-0.009534
3.637000,0.122625,0.004315,-0.008191
3.657000,0.129254,0.004484,-0.007190
3.677000,0.137810,0.004832,-0.006601
3.697000,0.146427,0.004720,-0.006603
3.717000,0.154607,0.004063,-0.006738
3.737000,0.162216,0.003582,-0.006378
3.757000,0.168283,0.003513,-0.005854
3.777000,0.172348,0.003042,-0.005697
3.797000,0.174865,0.002376,-0.005219
3.817000,0.176510,0.001885,-0.004512
3.837000,0.177404,0.001478,-0.003971
3.857000,0.176849,0.000921,-0.003762
3.877000,0.174248,0.000191,-0.003743
3.897000,0.172515,-0.000748,-0.003943
3.917000,0.173399,-0.001160,-0.003937
3.937000,0.174454,-0.001155,-0.003891
3.957000,0.174985,-0.001009,-0.003571
3.977000,0.177090,-0.000688,-0.002821
3.997000,0.181302,-0.000338,-0.001995
4.017000,0.183468,-0.000254,-0.001642
4.037000,0.182671,-0.000428,-0.001964
4.057000,0.182472,-0.000767,-0.002444
4.077000,0.182311,-0.001276,-0.003080
4.097000,0.179545,-0.002473,-0.004231
4.117000,0.176701,-0.003901,-0.006119
4.137000,0.175548,-0.004925,-0.008595
4.157000,0.174759,-0.005553,-0.011569
4.177000,0.175039,-0.006220,-0.014234
4.197000,0.175255,-0.006882,-0.016096
4.217000,0.173033,-0.007269,-0.017338
4.237000,0.170959,-0.006857,-0.018254
4.257000,0.168969,-0.006462,-0.018888
4.277000,0.166289,-0.006378,-0.019341
4.297000,0.163244,-0.006122,-0.019955
4.317000,0.161118,-0.005628,-0.020370
4.354000,0.158553,-0.005636,-0.020561
4.374000,0.156678,-0.005401,-0.021012
4.394000,0.155825,-0.004686,-0.020923
4.414000,0.153884,-0.004556,-0.021424
4.434000,0.151847,-0.004532,-0.021775
