accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.365,2.554613,0.069432,10.30943
0.385,2.523489,-0.071826,10.21486
0.405,2.465205,-0.308505,10.24403
0.425,2.419248,-0.47795,10.31556
0.445,2.417586,-0.572058,10.31914
0.465,2.442478,-0.616559,10.26267
0.485,2.442079,-0.713106,10.20129
0.505,2.453486,-0.866397,10.13643
0.525,2.518949,-1.066234,10.09529
0.545,2.590638,-1.275982,10.08204
0.565,2.623087,-1.466141,10.04184
0.585,2.645479,-1.632862,9.982322
0.605,2.685601,-1.779987,9.927057
0.625,2.714475,-1.922005,9.873032
0.645,2.732815,-2.057438,9.8005
0.665,2.766183,-2.170254,9.710314
0.685,2.805096,-2.254307,9.615214
0.705,2.805698,-2.309021,9.542543
0.725,2.768536,-2.329402,9.495794
0.745,2.719957,-2.331999,9.441297
0.765,2.654796,-2.326452,9.372925
0.785,2.546048,-2.321099,9.296126
0.805,2.387373,-2.321044,9.223566
0.825,2.20975,-2.354584,9.159026
0.845,2.033569,-2.414159,9.101485
0.865,1.854014,-2.472388,9.074214
0.885,1.654915,-2.520554,9.066608
0.905,1.429813,-2.571018,9.072167
0.925,1.191751,-2.630773,9.074863
0.945,0.974981,-2.681319,9.08268
0.965,0.7745,-2.726982,9.117035
0.985,0.56105,-2.774433,9.146737
1.005,0.333075,-2.836552,9.165218
1.025,0.132512,-2.918834,9.173081
1.045,-0.053631,-3.037766,9.171651
1.065,-0.239579,-3.189555,9.163443
1.085,-0.391703,-3.346628,9.164297
1.105,-0.522654,-3.485716,9.180191
1.125,-0.696035,-3.675563,9.214149
1.145,-0.898594,-3.979126,9.259495
1.165,-1.064416,-4.369807,9.29905
1.185,-1.157782,-4.803972,9.331182
1.205,-1.192729,-5.267824,9.366789
1.225,-1.182709,-5.754878,9.408135
1.245,-1.142486,-6.263628,9.430642
1.265,-1.056643,-6.726599,9.406427
1.285,-0.911852,-7.061272,9.343393
1.305,-0.733975,-7.265311,9.258163
1.325,-0.559685,-7.392797,9.154106
1.345,-0.402607,-7.526359,9.038381
1.365,-0.279026,-7.654422,8.910804
1.385,-0.219528,-7.749035,8.77733
1.405,-0.22837,-7.818554,8.653888
1.425,-0.302966,-7.892151,8.556128
1.445,-0.407904,-8.026541,8.461715
1.465,-0.538844,-8.293147,8.367423
1.485,-0.679161,-8.674293,8.271282
1.505,-0.831419,-9.133405,8.164614
1.525,-1.048324,-9.571527,8.069361
1.545,-1.278683,-9.898452,7.962234
1.565,-1.525284,-10.05118,7.844217
1.585,-1.753617,-9.985133,7.711828
1.605,-1.915266,-9.760149,7.538515
1.625,-2.0136,-9.457131,7.3177
1.645,-2.083539,-9.063609,7.06781
1.665,-2.162111,-8.55946,6.806295
1.685,-2.258186,-7.951527,6.555926
1.705,-2.308006,-7.329893,6.336353
1.725,-2.31448,-6.726161,6.166965
1.745,-2.337873,-6.2049,6.065366
1.765,-2.41622,-5.904527,6.024375
1.785,-2.510441,-5.853761,6.0679
1.805,-2.585506,-5.970963,6.179281
1.825,-2.627005,-6.184289,6.302734
1.845,-2.584035,-6.483688,6.421815
1.865,-2.468176,-6.973742,6.557936
1.885,-2.358417,-7.674443,6.705448
1.905,-2.259509,-8.556504,6.872263
1.925,-2.109355,-9.478842,7.023575
1.945,-1.891363,-10.29952,7.123167
1.965,-1.638889,-10.90221,7.1777
1.985,-1.369477,-11.22926,7.195343
2.005,-1.093684,-11.3419,7.182618
2.025,-0.878213,-11.40091,7.149898
2.045,-0.727164,-11.42096,7.103844
2.065,-0.635734,-11.41829,7.057519
2.085,-0.636878,-11.41228,7.013295
2.105,-0.692029,-11.37434,6.960196
2.125,-0.795856,-11.2839,6.903531
2.145,-0.953487,-11.21053,6.849852
2.165,-1.118779,-11.22022,6.794606
2.185,-1.285264,-11.26135,6.745134
2.205,-1.443207,-11.3193,6.695655
2.225,-1.560282,-11.39285,6.622063
2.245,-1.690742,-11.43668,6.527766
2.265,-1.859044,-11.403,6.421472
2.285,-2.005714,-11.26034,6.298511
2.305,-2.101296,-11.00161,6.168474
2.325,-2.174891,-10.64331,6.036053
2.345,-2.228025,-10.17778,5.895612
2.418,-2.291641,-9.697787,5.831893
2.438,-2.378977,-9.226938,5.809224
2.458,-2.455732,-8.829045,5.821013
2.478,-2.534104,-8.657106,5.878341
2.498,-2.607422,-8.708281,5.960663
2.518,-2.651821,-8.847222,6.053149
2.538,-2.669416,-9.063041,6.18296
2.558,-2.685121,-9.508311,6.356775
2.578,-2.685626,-10.13972,6.530747
2.598,-2.645517,-10.75136,6.682252
2.618,-2.553577,-11.20348,6.804372
2.638,-2.432079,-11.47587,6.905299
2.658,-2.284101,-11.61516,6.990917
2.678,-2.114662,-11.7541,7.042535
2.698,-1.942405,-11.91123,7.056667
2.718,-1.772679,-11.97228,7.044024
2.738,-1.617669,-11.87136,7.014594
2.758,-1.48546,-11.66839,6.980583
2.778,-1.398364,-11.463,6.934367
2.798,-1.369889,-11.29499,6.874343
2.818,-1.381292,-11.13107,6.798332
2.838,-1.416999,-11.03435,6.727837
2.858,-1.483159,-10.98814,6.675485
2.878,-1.581612,-10.87032,6.648452
2.898,-1.663248,-10.6977,6.647981
2.918,-1.737207,-10.58526,6.679686
2.938,-1.836423,-10.57331,6.71644
2.958,-1.995951,-10.61231,6.734299
2.978,-2.193067,-10.61185,6.71622
2.998,-2.366326,-10.48214,6.680087
3.018,-2.509849,-10.22442,6.63454
3.038,-2.616312,-9.872993,6.567348
3.058,-2.696173,-9.470713,6.482911
3.078,-2.768724,-9.047372,6.388966
3.098,-2.834093,-8.656841,6.294705
3.118,-2.88949,-8.307296,6.210892
3.138,-2.938714,-7.975004,6.164892
3.158,-2.999435,-7.74292,6.164386
3.178,-3.05191,-7.692873,6.1777
3.198,-3.071842,-7.767969,6.207144
3.218,-3.068617,-7.866894,6.261473
3.238,-3.043035,-8.032198,6.342057
3.258,-2.98914,-8.33375,6.439684
3.278,-2.916665,-8.821841,6.55135
3.298,-2.83666,-9.479384,6.687335
3.318,-2.747767,-10.14845,6.826061
3.338,-2.654757,-10.57713,6.965358
3.358,-2.558433,-10.76064,7.090654
3.378,-2.460761,-10.86114,7.181767
3.398,-2.351103,-10.946,7.230681
3.418,-2.238216,-10.96586,7.241916
3.438,-2.134614,-10.88651,7.2298
3.458,-2.063842,-10.73811,7.208156
3.478,-2.046212,-10.58493,7.180809
3.498,-2.065667,-10.45245,7.14196
3.518,-2.111108,-10.33799,7.109669
3.538,-2.176169,-10.29754,7.083165
3.558,-2.254736,-10.36004,7.05161
3.578,-2.33638,-10.43812,7.023363
3.598,-2.407046,-10.50639,6.993621
3.618,-2.494808,-10.55202,6.943197
3.638,-2.613337,-10.56162,6.862329
3.658,-2.722585,-10.46713,6.738632
3.678,-2.792091,-10.22907,6.589145
3.698,-2.837946,-9.852817,6.439625
3.718,-2.877408,-9.390001,6.304397
3.738,-2.917421,-8.895131,6.172514
3.758,-2.964472,-8.384448,6.03067
3.778,-3.012926,-7.814358,5.895529
3.798,-3.071798,-7.251919,5.800159
3.818,-3.165016,-6.817109,5.75703
3.838,-3.284989,-6.630976,5.772464
3.858,-3.417651,-6.808712,5.830444
3.878,-3.528196,-7.196542,5.911867
3.898,-3.568933,-7.603112,6.020534
3.918,-3.581618,-8.07118,6.178233
3.938,-3.593904,-8.700387,6.347394
3.958,-3.580098,-9.460918,6.53934
3.978,-3.527291,-10.28407,6.736242
3.998,-3.425845,-10.97365,6.893903
4.018,-3.290414,-11.34879,7.002868
4.038,-3.130671,-11.45841,7.070402
4.058,-2.956623,-11.42706,7.091929
4.078,-2.781883,-11.34147,7.086318
4.098,-2.626306,-11.25909,7.077136
4.118,-2.510504,-11.18083,7.071949
4.138,-2.429017,-11.04618,7.060776
4.158,-2.384409,-10.84919,7.042014
4.178,-2.396938,-10.69878,7.036287
4.198,-2.471419,-10.68142,7.039381
4.218,-2.587567,-10.74718,7.028558
4.238,-2.736264,-10.92277,7.009223
4.258,-2.91112,-11.15801,6.977746
4.278,-3.097346,-11.30164,6.940802
4.298,-3.280715,-11.3029,6.906672
4.318,-3.436371,-11.21623,6.852112
4.338,-3.563215,-11.05402,6.767991
4.358,-3.633099,-10.8008,6.659347
4.378,-3.653131,-10.44466,6.536121
4.398,-3.643443,-9.971648,6.404263
4.471,-3.616537,-9.345757,6.275613
4.491,-3.612889,-8.753116,6.173976
4.511,-3.636139,-8.308267,6.122512
4.531,-3.686681,-8.06507,6.115315
4.551,-3.74766,-7.986347,6.139791
4.571,-3.801889,-8.028091,6.199509
4.591,-3.834457,-8.221277,6.301919
4.611,-3.8416,-8.564876,6.423781
4.631,-3.832032,-9.078053,6.557426
4.651,-3.835139,-9.884888,6.723845
4.671,-3.802908,-10.78829,6.880805
4.691,-3.708793,-11.40471,7.019919
4.711,-3.565883,-11.65203,7.135747
4.731,-3.369426,-11.65716,7.196354
4.751,-3.127921,-11.54603,7.190865
4.771,-2.868731,-11.34805,7.148205
4.791,-2.617855,-11.10537,7.095559
4.811,-2.421259,-10.90916,7.052782
4.831,-2.311108,-10.77379,7.019878
4.851,-2.256663,-10.65665,6.98035
4.871,-2.246264,-10.5382,6.933043
4.891,-2.298769,-10.5499,6.894954
4.911,-2.417407,-10.75994,6.862361
4.931,-2.574017,-11.04076,6.812884
4.951,-2.748549,-11.26037,6.764649
4.971,-2.943745,-11.42301,6.711117
4.991,-3.155601,-11.49758,6.640687
5.011,-3.34026,-11.44095,6.561949
5.031,-3.484392,-11.24674,6.471343
5.051,-3.561413,-10.93017,6.357447
5.071,-3.576703,-10.49709,6.233854
5.091,-3.559475,-9.966393,6.117537
5.111,-3.534764,-9.376504,6.001241
5.131,-3.513637,-8.757833,5.873951
5.151,-3.488351,-8.109592,5.742067
5.171,-3.484532,-7.477807,5.650537
5.191,-3.514184,-6.97006,5.607391
5.211,-3.569613,-6.682645,5.592143
5.231,-3.661558,-6.668887,5.621185
5.251,-3.76646,-6.843123,5.685382
5.271,-3.850161,-7.105832,5.783818
5.291,-3.913842,-7.527904,5.914333
5.311,-3.962487,-8.189991,6.050177
5.331,-3.999734,-8.957473,6.205199
5.351,-4.003862,-9.64341,6.394476
5.371,-3.953582,-10.18456,6.582749
5.391,-3.835036,-10.56189,6.708292
5.411,-3.64783,-10.78976,6.775525
5.431,-3.402893,-10.89573,6.799644
5.451,-3.113364,-10.91669,6.773222
5.471,-2.796258,-10.84123,6.707309
5.491,-2.492646,-10.68444,6.636218
5.511,-2.239304,-10.4843,6.578767
5.531,-2.046697,-10.26433,6.5301
5.551,-1.924624,-10.04553,6.489104
5.571,-1.883436,-9.890464,6.486394
5.591,-1.912773,-9.912795,6.504641
5.611,-2.005842,-10.22124,6.511268
5.631,-2.176932,-10.79352,6.494577
5.651,-2.438454,-11.42776,6.460176
5.671,-2.830326,-11.86283,6.419742
5.691,-3.256422,-11.98223,6.346636
5.711,-3.612829,-11.82815,6.235399
5.731,-3.83749,-11.50644,6.098398
5.751,-3.933162,-11.09035,5.943693
5.771,-3.958545,-10.56509,5.792904
5.791,-3.96043,-9.925055,5.646406
5.811,-3.939494,-9.176702,5.487994
5.831,-3.899245,-8.321869,5.326813
5.851,-3.859391,-7.426347,5.200864
5.871,-3.857247,-6.649798,5.133283
5.891,-3.885009,-6.18422,5.117034
5.911,-3.938679,-6.060885,5.128292
5.931,-4.020871,-6.226498,5.179988
5.951,-4.085744,-6.520816,5.252443
5.971,-4.076478,-6.873431,5.342601
5.991,-4.04765,-7.4438,5.469376
6.011,-4.040612,-8.328233,5.619532
6.031,-4.010396,-9.285671,5.78707
6.051,-3.927124,-9.992483,5.947479
6.071,-3.808183,-10.36469,6.082398
6.091,-3.654302,-10.49714,6.169796
6.111,-3.455701,-10.51742,6.210155
6.131,-3.224073,-10.54292,6.233904
6.151,-2.989526,-10.60906,6.241687
6.171,-2.762244,-10.64232,6.228647
6.191,-2.542653,-10.57035,6.213345
6.211,-2.370993,-10.46356,6.209541
6.231,-2.268744,-10.40529,6.202128
6.251,-2.232461,-10.39815,6.198301
6.271,-2.297301,-10.48218,6.212496
6.291,-2.467406,-10.73562,6.230452
6.311,-2.65244,-11.10356,6.231508
6.331,-2.885921,-11.43401,6.234792
6.351,-3.220808,-11.66372,6.235988
6.371,-3.594032,-11.73674,6.211514
6.391,-3.943727,-11.63606,6.16046
6.411,-4.242358,-11.37668,6.078725
6.431,-4.433605,-10.99397,5.965168
6.451,-4.508152,-10.50365,5.844498
6.527,-4.469698,-9.808903,5.71274
6.547,-4.45299,-9.132212,5.614151
6.567,-4.487732,-8.583524,5.555496
6.587,-4.544778,-8.231188,5.523849
6.607,-4.599847,-8.082706,5.530067
6.627,-4.668457,-8.100677,5.574721
6.647,-4.723078,-8.163149,5.645786
6.667,-4.740308,-8.302226,5.739092
6.687,-4.742105,-8.66846,5.873429
6.707,-4.73161,-9.269324,6.046746
6.727,-4.681737,-9.897495,6.235209
6.747,-4.57411,-10.3544,6.428966
6.767,-4.428348,-10.65801,6.616402
6.787,-4.234951,-10.89144,6.744399
6.807,-3.965874,-11.07402,6.806676
6.827,-3.647393,-11.18432,6.818395
6.847,-3.344425,-11.21051,6.809022
6.867,-3.077368,-11.16794,6.797069
6.887,-2.860542,-11.06612,6.776704
6.907,-2.719979,-10.93036,6.751726
6.927,-2.674155,-10.80628,6.728892
6.947,-2.721058,-10.75476,6.716041
6.967,-2.827022,-10.77741,6.707442
6.987,-3.020541,-10.89991,6.726123
7.007,-3.275578,-11.14685,6.738396
7.027,-3.553039,-11.47178,6.730637
7.047,-3.915167,-11.69174,6.734341
7.067,-4.306672,-11.7234,6.713467
7.087,-4.654355,-11.56418,6.641902
7.107,-4.879186,-11.2251,6.527546
7.127,-4.943586,-10.74792,6.390008
7.147,-4.910525,-10.16269,6.256793
7.167,-4.852619,-9.50713,6.128968
7.187,-4.808251,-8.829938,5.978353
7.207,-4.775242,-8.136052,5.811298
7.227,-4.75062,-7.383957,5.652957
7.247,-4.761347,-6.686442,5.530879
7.267,-4.807932,-6.243273,5.477606
7.287,-4.863744,-6.067665,5.498076
7.307,-4.944539,-6.042759,5.560219
7.327,-5.029629,-6.127167,5.650624
7.347,-5.072952,-6.432419,5.773089
7.367,-5.086878,-7.022559,5.962986
7.387,-5.075771,-7.833362,6.203548
7.407,-5.023188,-8.685076,6.47438
7.427,-4.917671,-9.461823,6.776242
7.447,-4.791241,-10.115,7.10389
7.467,-4.637324,-10.51504,7.414754
7.487,-4.451828,-10.71712,7.632557
7.507,-4.23422,-10.79428,7.724904
7.527,-4.003295,-10.78658,7.753366
7.547,-3.798182,-10.75385,7.779599
7.567,-3.633265,-10.74197,7.784166
7.587,-3.495565,-10.66061,7.762672
7.607,-3.405975,-10.51419,7.748072
7.627,-3.403205,-10.38756,7.740393
7.647,-3.468237,-10.29774,7.723369
7.667,-3.560059,-10.23698,7.709256
7.687,-3.686694,-10.20352,7.734189
7.707,-3.861933,-10.26295,7.746819
7.727,-4.046053,-10.38287,7.738337
7.747,-4.261253,-10.3482,7.735006
7.767,-4.535472,-10.12154,7.711297
7.787,-4.772705,-9.760029,7.65132
7.807,-4.890462,-9.322436,7.570395
7.827,-4.924124,-8.876194,7.474183
7.847,-4.915123,-8.505074,7.383478
7.867,-4.886606,-8.254486,7.332735
7.887,-4.849252,-8.062305,7.307242
7.907,-4.777666,-7.852352,7.273458
7.927,-4.639464,-7.622617,7.244875
7.947,-4.446896,-7.373336,7.254018
7.967,-4.224461,-7.159229,7.295037
7.987,-3.959543,-7.043238,7.334772
8.007,-3.651052,-6.998187,7.390617
8.027,-3.344135,-6.916295,7.48994
8.047,-3.053042,-6.811325,7.61418
8.067,-2.743798,-6.759314,7.743757
8.087,-2.44197,-6.783589,7.905172
8.107,-2.16949,-6.84222,8.12079
8.127,-1.917497,-6.882121,8.343116
8.147,-1.686788,-6.886309,8.542557
8.167,-1.527049,-6.854745,8.73738
8.187,-1.475203,-6.819749,8.9174
8.207,-1.459706,-6.77749,9.022128
8.227,-1.402259,-6.704131,9.036332
8.247,-1.321723,-6.590619,8.989884
8.267,-1.252955,-6.444092,8.900985
8.287,-1.194187,-6.286218,8.750223
8.307,-1.21319,-6.168026,8.579545
8.327,-1.1435,-5.977612,8.4783
8.347,-1.126351,-5.819663,8.438082
8.367,-1.104734,-5.72969,8.397699
8.387,-1.080462,-5.681175,8.392288
8.407,-1.060726,-5.655174,8.45949
8.427,-1.054865,-5.674293,8.538279
8.447,-1.100914,-5.727323,8.607915
8.467,-1.133156,-5.783615,8.716921
8.487,-1.166262,-5.841841,8.862643
8.507,-1.190131,-5.903765,9.003966
