gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.501,-0.727309,-0.876395,-4.307366
0.521,-0.661626,-0.91783,-4.336544
0.541,-0.710874,-0.934067,-4.346281
0.561,-0.826913,-0.908297,-4.351149
0.581,-0.85618,-0.830192,-4.354068
0.601,-0.760767,-0.715151,-4.299379
0.621,-0.602096,-0.607052,-4.138266
0.641,-0.456874,-0.530947,-3.892984
0.661,-0.351172,-0.47238,-3.59125
0.681,-0.281239,-0.421149,-3.25081
0.701,-0.242293,-0.365523,-2.876591
0.721,-0.22124,-0.306037,-2.453377
0.741,-0.213878,-0.248614,-1.965308
0.761,-0.221382,-0.189514,-1.419697
0.781,-0.234004,-0.125649,-0.823914
0.801,-0.250227,-0.057282,-0.202802
0.821,-0.274226,0.011719,0.399591
0.841,-0.308948,0.072627,0.933123
0.861,-0.354616,0.11685,1.393151
0.881,-0.375746,0.145754,1.783064
0.901,-0.361519,0.160611,2.110486
0.921,-0.339541,0.16583,2.336621
0.941,-0.333355,0.183883,2.494355
0.961,-0.337158,0.209077,2.574408
0.981,-0.340002,0.229698,2.570853
1.001,-0.343588,0.246955,2.506409
1.021,-0.348325,0.260938,2.397488
1.041,-0.347686,0.265968,2.253553
1.061,-0.341619,0.262804,2.083548
1.081,-0.336346,0.25672,1.890487
1.101,-0.334141,0.25103,1.672871
1.121,-0.333996,0.247107,1.421375
1.141,-0.329146,0.243788,1.127093
1.161,-0.31514,0.238333,0.789321
1.181,-0.301966,0.231542,0.401781
1.201,-0.303058,0.224328,-0.031237
1.221,-0.316541,0.21773,-0.463569
1.241,-0.325124,0.213497,-0.870611
1.261,-0.327802,0.213356,-1.244251
1.281,-0.333886,0.216327,-1.580497
1.301,-0.320373,0.22171,-1.878706
1.321,-0.275754,0.227807,-2.140555
1.341,-0.215101,0.228394,-2.321613
1.361,-0.154219,0.221353,-2.378693
1.381,-0.10217,0.208435,-2.330219
1.401,-0.067495,0.19253,-2.200997
1.421,-0.051392,0.179637,-2.008532
1.441,-0.048497,0.170469,-1.758425
1.461,-0.059675,0.164074,-1.452631
1.481,-0.086822,0.161461,-1.097039
1.501,-0.118277,0.163,-0.692071
1.521,-0.139058,0.167206,-0.237913
1.541,-0.149991,0.174471,0.233378
1.565,-0.165806,0.182795,0.678928
1.585,-0.183723,0.18751,1.088185
1.605,-0.191047,0.189044,1.455718
1.625,-0.185261,0.183826,1.746947
1.645,-0.170436,0.173897,1.942048
1.665,-0.165484,0.166935,2.06803
1.685,-0.178858,0.16237,2.146295
1.705,-0.198832,0.158012,2.176588
1.725,-0.219704,0.153258,2.160217
1.745,-0.24201,0.150497,2.105521
1.765,-0.263622,0.150174,2.016204
1.785,-0.279539,0.149273,1.895934
1.805,-0.285914,0.147014,1.753404
1.825,-0.286252,0.145494,1.589061
1.845,-0.288464,0.146307,1.395372
1.865,-0.291496,0.148468,1.162485
1.885,-0.2882,0.151271,0.886497
1.905,-0.278417,0.155305,0.560069
1.925,-0.268151,0.160247,0.182243
1.945,-0.260754,0.164901,-0.222041
1.965,-0.257992,0.169159,-0.614763
1.985,-0.250125,0.173272,-0.985909
2.005,-0.233137,0.178251,-1.328686
2.025,-0.204775,0.1809,-1.639524
2.045,-0.165305,0.18077,-1.917546
2.065,-0.121401,0.178186,-2.133047
2.085,-0.081035,0.171631,-2.219921
2.105,-0.048024,0.160564,-2.187966
2.125,-0.027068,0.147814,-2.064453
2.145,-0.018093,0.137764,-1.870342
2.165,-0.013835,0.131889,-1.615578
2.185,-0.007402,0.128763,-1.29683
2.205,-0.002484,0.129586,-0.915794
2.225,-0.000322,0.135475,-0.481577
2.245,0.001633,0.145105,-0.007423
2.265,0.003279,0.156184,0.451152
2.285,-0.000658,0.167789,0.878753
2.305,-0.015271,0.179902,1.267315
2.325,-0.034852,0.190002,1.613533
2.345,-0.047472,0.194491,1.903592
2.365,-0.053126,0.195458,2.105523
2.385,-0.05401,0.194781,2.229481
2.405,-0.047864,0.193773,2.302033
2.425,-0.03652,0.194136,2.331158
2.445,-0.028695,0.195213,2.317051
2.465,-0.03076,0.195065,2.266378
2.485,-0.041854,0.193928,2.179052
2.845,-0.022378,0.18217,1.957556
2.865,-0.018025,0.170997,1.837582
2.885,-0.030532,0.163428,1.801381
2.905,-0.052871,0.159429,1.829751
2.925,-0.07599,0.158066,1.905887
2.945,-0.095609,0.159011,2.015852
2.965,-0.110079,0.162107,2.147124
2.985,-0.120619,0.167357,2.285383
3.005,-0.132931,0.173835,2.416157
3.025,-0.14941,0.180742,2.539138
3.045,-0.160657,0.185004,2.654235
3.065,-0.159159,0.185657,2.739461
3.085,-0.157485,0.183847,2.777195
3.105,-0.159305,0.17955,2.787296
3.125,-0.15693,0.175733,2.791016
3.145,-0.152583,0.176316,2.779627
3.165,-0.150909,0.1792,2.747694
3.185,-0.150196,0.179228,2.691807
3.205,-0.149111,0.178712,2.60405
3.225,-0.148626,0.178739,2.479653
3.245,-0.149272,0.178325,2.323508
3.265,-0.151603,0.177433,2.138836
3.285,-0.155294,0.176211,1.927934
3.305,-0.15926,0.175019,1.690112
3.325,-0.162946,0.174038,1.422491
3.345,-0.167963,0.173326,1.119047
3.365,-0.171997,0.172722,0.775971
3.385,-0.169523,0.171504,0.392266
3.405,-0.162543,0.169726,-0.027872
3.425,-0.15424,0.167675,-0.439725
3.445,-0.136987,0.164585,-0.831566
3.465,-0.111819,0.159904,-1.195048
3.485,-0.085721,0.154031,-1.525436
3.505,-0.065623,0.148153,-1.821137
3.525,-0.057973,0.142735,-2.031809
3.545,-0.062013,0.137283,-2.105297
3.566,-0.074194,0.131507,-2.046211
3.586,-0.089071,0.125538,-1.899969
3.606,-0.103313,0.120436,-1.684214
3.626,-0.111337,0.116944,-1.406349
3.646,-0.109202,0.114423,-1.064781
3.666,-0.097904,0.112364,-0.664091
3.686,-0.079992,0.112023,-0.222279
3.706,-0.059044,0.114348,0.238874
3.726,-0.040733,0.119483,0.678409
3.746,-0.031969,0.12736,1.083205
3.766,-0.031599,0.136058,1.44769
3.786,-0.03003,0.144082,1.770448
3.806,-0.025134,0.151917,2.037855
3.826,-0.020195,0.15846,2.214819
3.846,-0.01642,0.162838,2.330057
3.866,-0.014121,0.167014,2.385195
3.886,-0.012274,0.171605,2.37914
3.906,-0.009018,0.174872,2.320124
3.926,-0.004773,0.176666,2.215974
3.946,-0.002287,0.177166,2.07275
3.966,-0.004711,0.175716,1.895449
3.986,-0.011996,0.172723,1.690895
4.006,-0.021451,0.169416,1.462722
4.026,-0.029344,0.166559,1.208277
4.046,-0.033294,0.163874,0.921376
4.066,-0.032884,0.159659,0.593439
4.086,-0.029757,0.153772,0.223866
4.106,-0.026384,0.146832,-0.194071
4.126,-0.02174,0.138265,-0.600475
4.146,-0.010701,0.127843,-0.982761
4.166,0.005017,0.116243,-1.334062
4.186,0.018452,0.104162,-1.65103
4.206,0.030326,0.09403,-1.933166
4.226,0.0443,0.086076,-2.181953
4.246,0.058461,0.079276,-2.31281
4.266,0.069464,0.072633,-2.317254
4.286,0.073385,0.065453,-2.207789
4.306,0.069211,0.059238,-2.004335
4.326,0.059604,0.056686,-1.730336
4.346,0.051408,0.058714,-1.38984
4.366,0.047518,0.064714,-0.987293
4.386,0.047698,0.074446,-0.530265
4.406,0.051922,0.08832,-0.03853
4.426,0.056888,0.105814,0.436281
4.446,0.059136,0.1256,0.876708
4.466,0.060281,0.146169,1.274696
4.486,0.066254,0.165787,1.627353
4.506,0.081035,0.182851,1.935609
4.526,0.097349,0.197846,2.158877
4.546,0.106594,0.211067,2.292741
4.566,0.1076,0.222448,2.362847
4.586,0.105653,0.232594,2.389143
4.606,0.102077,0.24191,2.362164
4.626,0.098053,0.246315,2.290753
4.646,0.094004,0.245834,2.185965
4.666,0.088369,0.242601,2.048299
4.686,0.081307,0.236896,1.881641
4.706,0.07251,0.228851,1.69275
4.726,0.059721,0.219048,1.482381
4.746,0.038833,0.208391,1.243274
4.766,0.009413,0.197862,0.96697
4.786,-0.022785,0.188821,0.651425
4.806,-0.050679,0.182291,0.292036
4.826,-0.067996,0.177926,-0.117226
5.082,-0.078123,0.180914,0.174838
5.102,-0.08357,0.18749,0.516705
5.122,-0.086788,0.198817,0.889124
5.142,-0.089818,0.214425,1.238827
5.162,-0.095644,0.233156,1.557576
5.182,-0.10813,0.253371,1.843794
5.202,-0.128797,0.272584,2.098039
