gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.378,-2.623056,0.399827,0.213703
0.398,-1.993739,0.38677,0.161077
0.418,-1.753328,0.389303,0.0463
0.438,-1.720315,0.388569,-0.071199
0.458,-1.560244,0.380798,-0.151651
0.478,-1.234931,0.367697,-0.169121
0.498,-0.978254,0.358095,-0.185072
0.518,-1.113957,0.332451,-0.223827
0.538,-1.31598,0.337753,-0.26966
0.558,-1.216928,0.377755,-0.298662
0.578,-0.980443,0.408123,-0.30507
0.598,-0.873226,0.405233,-0.310459
0.618,-0.848641,0.396989,-0.316157
0.638,-0.828591,0.387828,-0.326319
0.658,-0.822384,0.37939,-0.341061
0.678,-0.802787,0.384116,-0.360521
0.699,-0.772401,0.394937,-0.379884
0.719,-0.732296,0.405145,-0.395405
0.739,-0.688925,0.416807,-0.410568
0.759,-0.639547,0.431263,-0.425845
0.779,-0.588069,0.444984,-0.436942
0.799,-0.549859,0.453653,-0.442779
0.819,-0.517505,0.459144,-0.4432
0.839,-0.50079,0.461618,-0.439703
0.859,-0.497878,0.460299,-0.43411
0.879,-0.485603,0.458134,-0.425902
0.899,-0.452589,0.460038,-0.418931
0.919,-0.408863,0.46488,-0.412032
0.939,-0.364325,0.471699,-0.407831
0.959,-0.327776,0.478927,-0.405875
0.979,-0.300132,0.484071,-0.404442
0.999,-0.287158,0.485861,-0.402058
1.019,-0.288083,0.484578,-0.397903
1.039,-0.29857,0.480908,-0.393146
1.059,-0.312585,0.475416,-0.387343
1.079,-0.320211,0.468394,-0.379487
1.099,-0.319177,0.461693,-0.369238
1.119,-0.313455,0.456136,-0.355228
1.139,-0.302573,0.451625,-0.336361
1.159,-0.284464,0.448281,-0.312153
1.179,-0.262074,0.446102,-0.282737
1.199,-0.24233,0.445274,-0.246235
1.219,-0.233687,0.445925,-0.202186
1.239,-0.236357,0.447362,-0.152308
1.259,-0.244149,0.44926,-0.0954
1.279,-0.255334,0.451426,-0.031444
1.299,-0.272292,0.453367,0.038936
1.319,-0.293609,0.454366,0.116473
1.339,-0.30954,0.454134,0.202118
1.359,-0.315462,0.451378,0.295341
1.379,-0.315541,0.446706,0.39567
1.399,-0.315278,0.441327,0.502756
1.419,-0.318014,0.434586,0.615676
1.439,-0.326325,0.426664,0.732908
1.459,-0.342358,0.419319,0.854581
1.479,-0.36692,0.413637,0.978916
1.499,-0.399318,0.408693,1.103379
1.519,-0.438754,0.404166,1.227109
1.539,-0.484654,0.400408,1.348656
1.559,-0.535769,0.396874,1.463673
1.579,-0.588483,0.392382,1.568717
1.599,-0.641046,0.386949,1.661975
1.619,-0.693525,0.381717,1.740425
1.639,-0.745677,0.376609,1.800565
1.659,-0.796003,0.371999,1.84215
1.679,-0.841922,0.36846,1.865996
1.699,-0.879723,0.366235,1.872732
1.719,-0.90718,0.364823,1.866773
1.739,-0.923404,0.3639,1.850424
1.759,-0.929536,0.363611,1.825663
1.779,-0.926892,0.364016,1.793039
1.799,-0.915746,0.36477,1.752552
1.819,-0.897131,0.365851,1.704136
1.839,-0.873029,0.367612,1.647657
1.859,-0.84486,0.370212,1.583198
1.879,-0.812033,0.373296,1.5108
1.899,-0.77324,0.376561,1.430606
1.919,-0.728149,0.380229,1.343126
1.939,-0.67676,0.384024,1.24871
1.959,-0.618938,0.387542,1.148073
1.979,-0.555178,0.390485,1.042229
1.999,-0.486407,0.392652,0.931502
