accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.425000,-9.986216,-7.817069,1.695095
0.445000,-9.574413,-7.471107,1.861492
0.465000,-9.100066,-7.245381,1.941078
0.485000,-8.765796,-7.103352,2.020519
0.505000,-8.839200,-7.146515,2.221306
0.525000,-9.127376,-7.411327,2.474492
0.545000,-9.238830,-7.774501,2.582306
0.565000,-9.142282,-8.082496,2.531021
0.585000,-9.008440,-8.226166,2.461438
0.605000,-8.910458,-8.175977,2.432262
0.625000,-8.835855,-7.989793,2.424426
0.645000,-8.804363,-7.751361,2.430051
0.665000,-8.881983,-7.528821,2.455426
0.685000,-9.096341,-7.333918,2.492458
0.705000,-9.440024,-7.175404,2.513536
0.725000,-9.885869,-7.052961,2.494394
0.745000,-10.384137,-6.948047,2.434718
0.765000,-10.835953,-6.828964,2.346448
0.785000,-11.170645,-6.679784,2.241742
0.805000,-11.370356,-6.491760,2.131455
0.825000,-11.455667,-6.274716,2.022801
0.845000,-11.443246,-6.050560,1.920935
0.865000,-11.362881,-5.838750,1.823281
0.885000,-11.238395,-5.649992,1.727438
0.905000,-11.085876,-5.480731,1.631704
0.925000,-10.911223,-5.330554,1.542386
0.945000,-10.717694,-5.198174,1.464788
0.965000,-10.507830,-5.076128,1.399021
0.985000,-10.288743,-4.959775,1.346136
1.005000,-10.060886,-4.840700,1.303669
1.025000,-9.822675,-4.718357,1.267843
1.045000,-9.572993,-4.593353,1.236857
1.065000,-9.310438,-4.470213,1.211079
1.085000,-9.040771,-4.350458,1.194130
1.105000,-8.778032,-4.233918,1.189428
1.125000,-8.543017,-4.112444,1.189200
1.145000,-8.363250,-3.975735,1.185043
1.165000,-8.285188,-3.843541,1.177629
1.185000,-8.301999,-3.726302,1.187739
1.205000,-8.380990,-3.642859,1.212589
1.225000,-8.476826,-3.608821,1.254142
1.245000,-8.560891,-3.612617,1.309984
1.265000,-8.622493,-3.625885,1.375076
1.285000,-8.662088,-3.632072,1.433815
1.305000,-8.708963,-3.624681,1.469298
1.325000,-8.823278,-3.612470,1.481972
1.345000,-9.039284,-3.618527,1.485722
1.365000,-9.355072,-3.653802,1.502990
1.385000,-9.738884,-3.713060,1.544781
1.405000,-10.088511,-3.791579,1.603148
1.425000,-10.314707,-3.892494,1.658103
1.445000,-10.408841,-4.008214,1.705893
1.465000,-10.384094,-4.125612,1.741389
