accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.415000,1.838747,0.909797,9.629479
0.435000,1.781286,1.130063,9.890448
0.455000,1.727774,1.221316,10.367791
0.475000,1.481540,1.099817,11.119027
0.495000,1.136435,0.992066,11.536672
0.515000,0.945426,0.734593,11.569548
0.535000,0.883440,0.259313,11.782783
0.555000,0.872342,0.079434,11.747057
0.575000,0.849827,0.020671,11.779306
0.595000,0.791091,-0.029968,11.855508
0.615000,0.802650,0.008623,11.829982
0.635000,0.855941,0.060387,11.751366
0.655000,0.904316,0.095237,11.647573
0.675000,0.946169,0.142695,11.511723
0.695000,0.977974,0.185083,11.338600
0.715000,1.054065,0.247367,11.137877
0.735000,1.137023,0.319851,10.937010
0.755000,1.148474,0.332797,10.843259
0.775000,1.093208,0.285406,10.864363
0.795000,1.060291,0.310189,10.889189
0.815000,1.023942,0.414545,10.866684
0.835000,0.922131,0.421943,10.880481
0.855000,0.851134,0.351075,10.944324
0.875000,0.810776,0.326905,10.976747
0.895000,0.804745,0.360410,10.990701
0.915000,0.784931,0.349597,11.012889
0.935000,0.779242,0.318765,11.038496
0.955000,0.785913,0.337242,11.052315
0.975000,0.783064,0.403187,11.058354
0.995000,0.779983,0.471117,11.061477
1.015000,0.773131,0.490635,11.053104
1.035000,0.768377,0.502754,11.034161
1.055000,0.764489,0.493935,10.990814
1.075000,0.789105,0.458602,10.947006
1.095000,0.784625,0.429316,10.967200
1.115000,0.751802,0.472178,11.017795
1.135000,0.735904,0.591947,11.053308
1.155000,0.723856,0.674328,11.053555
1.175000,0.709240,0.666427,11.029282
1.195000,0.701028,0.606342,10.985732
1.215000,0.722369,0.570544,10.940354
1.235000,0.721430,0.542805,10.917309
1.255000,0.699151,0.524413,10.942429
1.275000,0.678794,0.546959,10.982616
1.295000,0.646134,0.577733,11.004136
1.315000,0.609070,0.575786,11.003291
1.335000,0.615523,0.533450,10.993983
1.355000,0.620646,0.498955,11.000839
1.375000,0.598307,0.503163,11.008508
1.395000,0.598590,0.536880,11.007221
1.415000,0.593425,0.569340,10.988961
1.435000,0.584856,0.574108,10.970124
1.455000,0.571030,0.563353,10.952061
1.475000,0.558226,0.526886,10.929110
1.495000,0.556290,0.484774,10.903935
1.515000,0.557168,0.476778,10.873618
1.535000,0.551577,0.501149,10.843152
1.555000,0.537477,0.529620,10.832861
1.575000,0.527664,0.554430,10.825134
1.595000,0.516179,0.563893,10.781181
1.615000,0.519969,0.541670,10.735314
1.635000,0.513496,0.517258,10.726260
1.655000,0.495931,0.527725,10.743925
1.675000,0.484979,0.532343,10.772140
1.695000,0.461541,0.486956,10.787657
1.715000,0.459858,0.430665,10.778595
1.735000,0.465273,0.379829,10.778358
1.755000,0.463157,0.343744,10.809518
1.775000,0.442456,0.346756,10.869094
