gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,0.104986,0.051427,-0.102721
0.430000,-0.012923,0.103721,-0.138627
0.450000,-0.062276,0.090703,-0.140384
0.470000,0.023564,0.042829,-0.146697
0.490000,0.156276,0.013071,-0.141331
0.510000,0.298502,-0.000333,-0.117751
0.530000,0.409912,-0.003245,-0.109623
0.550000,0.460609,-0.004130,-0.108218
0.570000,0.472978,-0.005593,-0.115897
0.590000,0.473713,-0.006372,-0.113162
0.610000,0.467578,-0.005996,-0.109632
0.630000,0.421115,0.011186,-0.099497
0.650000,0.303771,0.022255,-0.108063
0.670000,0.154762,0.017820,-0.131783
0.690000,0.085983,0.008671,-0.140101
0.710000,0.132198,0.017222,-0.121072
0.730000,0.173130,0.032297,-0.099074
0.750000,0.134502,0.033313,-0.094897
0.770000,0.060603,0.024738,-0.102712
0.790000,0.018479,0.019772,-0.102734
0.810000,0.022402,0.022426,-0.092789
0.830000,0.031507,0.026385,-0.084174
0.850000,0.012429,0.029388,-0.080152
0.870000,-0.023265,0.032333,-0.080393
0.890000,-0.040141,0.032301,-0.078494
0.910000,-0.032784,0.036971,-0.070905
0.930000,-0.021481,0.045425,-0.065573
0.950000,-0.012954,0.051628,-0.063154
0.970000,0.013883,0.049683,-0.057387
0.990000,0.045925,0.046656,-0.049172
1.010000,0.045817,0.043079,-0.040046
1.030000,-0.010800,0.039944,-0.043033
1.050000,-0.107727,0.034197,-0.056692
1.070000,-0.188509,0.026812,-0.072934
1.090000,-0.212062,0.024776,-0.081670
1.110000,-0.183333,0.028937,-0.082870
1.130000,-0.131680,0.034799,-0.082577
1.150000,-0.090283,0.039325,-0.083100
1.170000,-0.061924,0.042554,-0.083101
1.190000,-0.038116,0.044201,-0.082034
1.210000,-0.019003,0.044880,-0.082396
1.230000,-0.003354,0.047427,-0.082305
1.250000,0.008877,0.047032,-0.081781
1.270000,0.025149,0.045399,-0.080233
1.290000,0.023709,0.042730,-0.079324
1.310000,-0.012658,0.039098,-0.080769
1.330000,-0.082317,0.035861,-0.091091
1.350000,-0.143046,0.031425,-0.103308
1.370000,-0.151302,0.030118,-0.108251
1.390000,-0.118320,0.031919,-0.107557
1.410000,-0.079215,0.034986,-0.105523
1.430000,-0.064434,0.039107,-0.104251
1.450000,-0.053990,0.042575,-0.101055
1.470000,-0.024182,0.048506,-0.096094
1.490000,0.018958,0.057064,-0.087564
1.510000,0.054254,0.066236,-0.079456
1.530000,0.064479,0.075490,-0.074246
1.550000,0.060590,0.084374,-0.071385
1.570000,0.057467,0.092322,-0.069254
1.590000,0.060349,0.098562,-0.067776
1.610000,0.061085,0.102668,-0.067393
1.630000,0.055468,0.104955,-0.068562
1.650000,0.046290,0.106487,-0.070599
1.670000,0.037049,0.107561,-0.072434
1.690000,0.030377,0.108770,-0.073369
1.710000,0.026311,0.108752,-0.072569
1.730000,0.022508,0.107178,-0.071086
1.750000,0.017995,0.104158,-0.068908
1.770000,0.014916,0.100061,-0.066150
1.790000,0.014406,0.095810,-0.062939
1.810000,0.004052,0.091776,-0.061483
1.830000,-0.016767,0.086968,-0.062186
1.850000,-0.026317,0.081618,-0.063595
1.870000,-0.021594,0.077138,-0.062968
1.890000,-0.011933,0.072554,-0.061932
1.910000,-0.007714,0.068294,-0.062101
1.930000,-0.009293,0.065247,-0.063417
1.950000,-0.014012,0.064111,-0.066315
1.970000,-0.018062,0.064526,-0.068761
1.990000,-0.019833,0.065575,-0.071308
2.010000,-0.021651,0.067501,-0.074188
2.030000,-0.026454,0.070460,-0.077552
2.050000,-0.027505,0.073005,-0.080994
2.070000,-0.021430,0.075163,-0.082447
2.090000,-0.017912,0.077813,-0.083162
2.110000,-0.027551,0.080865,-0.084828
2.130000,-0.037988,0.083739,-0.085952
2.150000,-0.038718,0.085456,-0.086373
2.170000,-0.039005,0.086822,-0.084917
2.190000,-0.038604,0.087739,-0.082689
2.210000,-0.038302,0.088563,-0.081155
2.230000,-0.043173,0.089081,-0.080304
2.250000,-0.050548,0.089692,-0.079876
2.270000,-0.057201,0.091109,-0.080010
2.290000,-0.059563,0.092021,-0.079722
2.310000,-0.056762,0.091906,-0.078614
2.330000,-0.052633,0.090307,-0.077165
2.350000,-0.049348,0.087382,-0.075875
2.370000,-0.053385,0.084508,-0.075655
2.390000,-0.062830,0.082614,-0.075841
2.432000,-0.056001,0.081388,-0.073659
2.452000,-0.048203,0.080442,-0.071376
2.472000,-0.046700,0.079150,-0.069814
2.492000,-0.053398,0.077315,-0.069181
2.512000,-0.057406,0.074025,-0.068065
2.532000,-0.048948,0.069401,-0.066221
2.552000,-0.039972,0.063922,-0.065209
2.572000,-0.039454,0.058451,-0.064421
2.592000,-0.043318,0.053926,-0.064193
2.612000,-0.043334,0.049042,-0.064040
2.632000,-0.038894,0.044588,-0.063340
2.652000,-0.035723,0.041183,-0.061633
2.672000,-0.033277,0.037981,-0.059795
2.692000,-0.033014,0.035417,-0.058344
2.712000,-0.033016,0.033938,-0.056770
2.732000,-0.029450,0.033091,-0.054402
2.752000,-0.023407,0.032444,-0.051630
2.772000,-0.019654,0.032211,-0.048639
2.792000,-0.018939,0.032288,-0.045588
2.812000,-0.017420,0.032424,-0.042258
2.832000,-0.015544,0.032520,-0.038665
2.852000,-0.017683,0.033211,-0.035511
2.872000,-0.023806,0.034607,-0.032770
2.892000,-0.024995,0.035416,-0.029613
2.912000,-0.017340,0.034889,-0.025749
2.932000,-0.007432,0.032081,-0.021186
2.952000,-0.004790,0.028395,-0.018201
2.972000,-0.013481,0.024018,-0.017506
2.992000,-0.028942,0.020003,-0.017579
3.012000,-0.044202,0.016990,-0.016788
3.032000,-0.052183,0.014043,-0.015936
3.052000,-0.050056,0.011933,-0.015379
3.072000,-0.045886,0.011468,-0.013390
3.092000,-0.043871,0.011246,-0.011527
3.112000,-0.043996,0.011045,-0.010556
3.132000,-0.044635,0.012058,-0.009689
3.152000,-0.044671,0.013565,-0.008936
3.172000,-0.040311,0.015144,-0.008153
3.192000,-0.030876,0.016725,-0.006306
3.212000,-0.018197,0.018448,-0.003854
3.232000,-0.010524,0.019394,-0.002871
3.252000,-0.009907,0.019685,-0.002526
3.272000,-0.014564,0.019496,-0.001900
3.292000,-0.020398,0.018595,-0.002338
3.312000,-0.027303,0.017689,-0.002079
3.332000,-0.034843,0.016460,-0.002601
3.352000,-0.039617,0.015413,-0.003238
3.372000,-0.039820,0.015085,-0.002998
3.392000,-0.037696,0.015747,-0.002033
3.412000,-0.036219,0.016989,-0.001281
3.432000,-0.035100,0.018264,-0.001204
3.452000,-0.032540,0.019685,-0.000978
3.472000,-0.029253,0.021010,-0.000652
3.492000,-0.027839,0.022271,-0.001124
3.512000,-0.027375,0.023275,-0.001929
3.532000,-0.024738,0.023571,-0.002151
3.552000,-0.021527,0.022310,-0.003076
3.572000,-0.017901,0.020557,-0.004037
3.592000,-0.014304,0.019112,-0.003977
3.612000,-0.015080,0.017564,-0.004282
3.632000,-0.021918,0.015234,-0.005995
3.652000,-0.030778,0.012435,-0.008504
3.672000,-0.037647,0.010210,-0.011282
3.692000,-0.041354,0.008783,-0.013430
3.712000,-0.041094,0.007847,-0.014735
3.732000,-0.035939,0.008015,-0.015314
3.752000,-0.031452,0.008943,-0.016214
3.772000,-0.030421,0.009900,-0.017246
3.792000,-0.033247,0.011180,-0.019028
3.812000,-0.037979,0.012978,-0.021217
3.832000,-0.040740,0.015028,-0.023186
3.852000,-0.041237,0.017619,-0.024562
3.872000,-0.040662,0.020274,-0.025228
3.892000,-0.038193,0.022843,-0.025453
3.912000,-0.034565,0.024656,-0.024940
3.932000,-0.029040,0.026106,-0.023591
3.952000,-0.027249,0.027466,-0.022392
3.972000,-0.030243,0.027566,-0.021867
3.992000,-0.034497,0.027751,-0.021025
4.012000,-0.040950,0.027848,-0.021006
