window_time,magnitude_avg,sma,max_accel,max_gyro,std_accel,jerk_peak,bpm,fsm_state,fall_detected
2.22,9.507249,4.916222,10.08202,1.297902,0.253692,5.29561,49,0,0
4.35,9.447062,4.659682,9.559837,0.701252,0.046246,1.161575,49,0,0
6.45,9.440475,4.617185,9.509212,0.53897,0.030562,0.755262,54,0,0
8.59,9.441649,4.592947,9.544441,0.537345,0.045481,1.242447,55,0,0
10.77,9.497828,4.588731,9.596611,0.556583,0.052439,1.121426,45,0,0
12.93,9.503884,4.60864,9.605377,0.558416,0.045912,1.057339,47,0,0
15.01,9.524778,4.633794,9.623535,0.691164,0.049564,0.898933,64,0,0
17.35,9.462804,4.601817,9.580403,0.624316,0.044998,1.28274,81,0,0
19.27,9.418636,4.574949,9.551583,0.51678,0.052531,1.384926,99,0,0
21.55,9.389503,4.644397,9.616465,0.8181,0.147292,1.937199,87,0,0
