gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.079,0.297372,0.425807,-0.053959
0.099,0.225361,0.427339,-0.03504
0.119,0.156614,0.450767,-0.055973
0.139,0.11253,0.466102,-0.053633
0.159,0.080226,0.482791,-0.046731
0.179,0.048914,0.513286,-0.027127
0.199,0.0178,0.554698,0.002593
0.219,-0.008942,0.596586,0.038967
0.239,-0.029969,0.634887,0.079793
0.259,-0.051326,0.674682,0.122654
0.279,-0.073982,0.71646,0.167928
0.318,-0.09687,0.756164,0.221926
0.338,-0.136016,0.794744,0.270073
0.358,-0.197653,0.834994,0.311365
0.378,-0.270144,0.869799,0.346907
0.398,-0.338711,0.893449,0.379293
0.418,-0.400542,0.909767,0.408263
0.438,-0.45797,0.923625,0.435049
0.458,-0.510529,0.935226,0.460015
0.478,-0.553046,0.941683,0.48409
0.498,-0.584134,0.941919,0.506945
0.518,-0.608046,0.938984,0.527286
0.538,-0.62735,0.935084,0.544145
0.558,-0.640495,0.929251,0.558442
0.578,-0.647465,0.921578,0.571475
0.598,-0.649759,0.913961,0.583244
0.637,-0.642016,0.90367,0.592881
0.657,-0.634396,0.893018,0.599774
0.677,-0.632558,0.882538,0.60272
0.697,-0.639394,0.870987,0.59978
0.717,-0.651351,0.857038,0.591769
0.737,-0.66683,0.84171,0.578486
0.757,-0.685766,0.826252,0.560526
0.777,-0.705809,0.81133,0.539715
0.797,-0.723392,0.798613,0.518451
0.817,-0.7357,0.78843,0.498234
0.837,-0.741586,0.779501,0.479897
0.857,-0.742334,0.771254,0.462192
0.877,-0.737396,0.763733,0.44469
0.897,-0.725465,0.757332,0.427119
0.917,-0.706311,0.75187,0.408918
0.937,-0.680902,0.747124,0.38999
0.976,-0.648348,0.745282,0.369201
0.996,-0.613889,0.745068,0.348217
1.016,-0.576307,0.745409,0.326813
1.036,-0.533924,0.745453,0.305012
1.056,-0.487201,0.745682,0.282954
1.076,-0.439802,0.74662,0.260156
1.096,-0.396176,0.747518,0.235592
1.116,-0.358335,0.748311,0.209689
1.136,-0.331497,0.748373,0.181526
1.156,-0.33243,0.745775,0.146642
1.176,-0.358435,0.739977,0.105832
1.196,-0.382862,0.730933,0.061139
1.216,-0.382035,0.718735,0.014559
1.236,-0.352883,0.70367,-0.034324
1.256,-0.305362,0.686505,-0.083281
1.276,-0.248917,0.667896,-0.130149
1.315,-0.193314,0.646106,-0.173766
1.335,-0.142431,0.622621,-0.214654
1.355,-0.094674,0.59737,-0.252411
1.375,-0.048452,0.570335,-0.287045
1.395,-0.004401,0.541494,-0.318828
1.415,0.036035,0.510822,-0.348215
1.435,0.071748,0.478947,-0.374385
1.455,0.100681,0.447228,-0.396654
1.475,0.11873,0.416861,-0.415096
1.495,0.124632,0.388287,-0.429701
1.515,0.124094,0.361647,-0.440243
1.535,0.124666,0.337409,-0.446012
1.555,0.129714,0.315659,-0.4469
1.575,0.137995,0.295778,-0.443325
1.595,0.145463,0.277399,-0.436243
1.634,0.143691,0.263587,-0.424395
1.654,0.138377,0.252981,-0.411082
1.674,0.132283,0.246194,-0.396351
1.694,0.127087,0.244102,-0.379753
1.714,0.123561,0.245912,-0.360846
