accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.194,4.651934,-7.560889,5.200206
0.214,4.630386,-7.614758,5.191827
0.234,4.63757,-7.599185,5.230537
0.254,4.620205,-7.496744,5.284058
0.274,4.538374,-7.350967,5.350772
0.294,4.399903,-7.327067,5.452267
0.314,4.286231,-7.439857,5.600304
0.334,4.224075,-7.559762,5.746488
0.354,4.170029,-7.631979,5.892847
0.374,4.108197,-7.697661,6.039196
0.394,4.056206,-7.723862,6.142812
0.414,4.041595,-7.701446,6.20891
0.435,4.021131,-7.689928,6.253243
0.455,3.942936,-7.72445,6.287664
0.475,3.807352,-7.755694,6.307065
0.495,3.726745,-7.798048,6.328858
0.515,3.661259,-7.83447,6.36856
0.535,3.596622,-7.871044,6.428517
0.555,3.524076,-7.875984,6.490279
0.575,3.463064,-7.851386,6.526752
0.595,3.412368,-7.82901,6.546431
0.615,3.38498,-7.827297,6.56801
0.635,3.380175,-7.832613,6.578547
0.655,3.37844,-7.82128,6.570076
0.675,3.392073,-7.812876,6.580069
0.695,3.422146,-7.818062,6.609583
0.715,3.449497,-7.837806,6.646243
0.735,3.486282,-7.861019,6.674343
0.755,3.55072,-7.879722,6.690155
0.775,3.627164,-7.909199,6.70322
0.795,3.699355,-7.94233,6.7111
0.815,3.768317,-7.964642,6.70594
0.835,3.834243,-7.965844,6.695173
0.855,3.908268,-7.951733,6.67937
0.875,3.99562,-7.939463,6.659236
0.895,4.079493,-7.92666,6.635231
0.915,4.144995,-7.906562,6.624552
0.935,4.208773,-7.867802,6.610834
0.955,4.281542,-7.797366,6.586745
0.975,4.345129,-7.70616,6.561123
0.995,4.401887,-7.6179,6.54924
1.015,4.464656,-7.542094,6.539926
1.035,4.521692,-7.477052,6.527123
1.055,4.566527,-7.397259,6.511544
1.075,4.624347,-7.299644,6.489196
1.095,4.695365,-7.199726,6.468225
1.115,4.757737,-7.103651,6.447742
1.135,4.81389,-6.9993,6.430762
1.155,4.882377,-6.880771,6.412317
1.175,4.960728,-6.766644,6.384692
1.195,5.031154,-6.663311,6.361348
1.215,5.089744,-6.577734,6.340176
1.235,5.138552,-6.487799,6.314605
1.255,5.187119,-6.383433,6.285091
1.275,5.242065,-6.262061,6.258306
1.295,5.292283,-6.131157,6.239959
1.315,5.359695,-6.016005,6.229498
1.335,5.650744,-5.988722,6.226162
1.355,5.680976,-5.919555,6.225491
1.375,5.635065,-5.80953,6.246596
1.395,5.688772,-5.697138,6.283562
1.415,5.77844,-5.591921,6.315382
1.435,5.864749,-5.51743,6.327492
1.455,5.928434,-5.448471,6.329394
1.475,5.987521,-5.371608,6.332711
1.495,6.04754,-5.299715,6.337141
1.515,6.108422,-5.242177,6.339572
1.535,6.158896,-5.187877,6.341123
1.555,6.203556,-5.122089,6.343529
1.575,6.237627,-5.05144,6.350163
1.595,6.263801,-4.995512,6.354863
1.615,6.288976,-4.966577,6.354769
1.635,6.313604,-4.975015,6.352273
1.655,6.33587,-5.027178,6.344318
1.675,6.356345,-5.111876,6.332861
1.695,6.375682,-5.20242,6.322249
1.715,6.395943,-5.288101,6.31592
1.735,6.422023,-5.363822,6.312037
1.755,6.445816,-5.420262,6.308041
1.775,6.467077,-5.452007,6.304347
1.795,6.48615,-5.460453,6.300721
1.815,6.503588,-5.446983,6.296759
1.835,6.523555,-5.412773,6.292474
1.855,6.546766,-5.362975,6.288269
1.875,6.571813,-5.305304,6.285476
1.895,6.596194,-5.245897,6.283106
1.915,6.619199,-5.181063,6.279669
1.935,6.641295,-5.109655,6.273612
1.955,6.660818,-5.049148,6.268569
1.975,6.67557,-5.030437,6.267964
1.995,6.690411,-5.044548,6.268718
2.015,6.705486,-5.064549,6.267028
2.035,6.716932,-5.089007,6.265444
2.055,6.727837,-5.12042,6.264942
2.075,6.740505,-5.147604,6.263829
