gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.665,-0.12617,-0.354129,-0.041035
0.685,-0.088199,-0.37378,-0.036505
0.705,-0.05702,-0.39487,-0.031708
0.725,-0.026278,-0.423045,-0.027376
0.745,0.031069,-0.458738,-0.02531
0.765,0.108968,-0.499274,-0.019821
0.785,0.182049,-0.542987,-0.016756
0.805,0.251555,-0.589426,-0.015325
0.825,0.325485,-0.635807,-0.013678
0.845,0.399042,-0.679626,-0.009984
0.865,0.462898,-0.718067,-0.002476
0.885,0.518764,-0.745744,0.009392
0.905,0.569323,-0.7631,0.024883
0.925,0.616505,-0.772545,0.043861
0.945,0.664345,-0.773208,0.068384
0.965,0.710876,-0.765713,0.097986
0.985,0.751775,-0.754417,0.130478
1.005,0.785257,-0.741415,0.16489
1.025,0.821113,-0.723641,0.202098
1.045,0.858748,-0.698269,0.239849
1.065,0.883897,-0.666748,0.275429
1.085,0.891767,-0.632771,0.307755
1.105,0.898713,-0.598592,0.337098
1.125,0.918293,-0.563295,0.364042
1.145,0.935468,-0.526253,0.388805
1.165,0.924196,-0.488719,0.409082
1.185,0.856971,-0.455554,0.423904
1.205,0.78893,-0.431893,0.432946
1.225,0.809837,-0.408568,0.438069
1.245,0.916982,-0.384524,0.441036
1.265,1.043765,-0.362662,0.441683
1.285,1.141144,-0.342434,0.437611
1.305,1.194263,-0.323723,0.430598
1.325,1.21333,-0.306398,0.423293
1.345,1.215991,-0.290714,0.417971
1.365,1.218278,-0.275929,0.412521
1.385,1.228279,-0.262094,0.406261
1.405,1.247003,-0.24896,0.399097
1.425,1.270018,-0.236621,0.391889
1.445,1.289023,-0.225325,0.384808
1.465,1.296669,-0.214742,0.377655
1.485,1.294147,-0.20481,0.369947
1.505,1.292762,-0.194732,0.362913
1.525,1.305104,-0.185108,0.358014
1.545,1.320779,-0.176383,0.354599
1.565,1.323271,-0.16901,0.351619
1.585,1.313208,-0.161941,0.34877
1.605,1.298862,-0.15381,0.346915
1.625,1.279803,-0.144099,0.346579
1.645,1.251882,-0.134148,0.346182
1.665,1.218513,-0.124136,0.344428
1.685,1.182351,-0.114478,0.341198
1.705,1.15159,-0.105056,0.339461
1.725,1.129013,-0.095495,0.3394
1.745,1.11171,-0.087486,0.340837
1.765,1.114743,-0.083111,0.343992
1.785,1.158952,-0.079599,0.351387
1.805,1.219176,-0.077271,0.358311
1.825,1.265518,-0.076311,0.362384
1.845,1.295553,-0.076601,0.364974
1.865,1.316548,-0.076963,0.365741
1.885,1.324492,-0.076644,0.365308
1.905,1.319801,-0.076022,0.36373
1.925,1.303574,-0.074949,0.360664
1.945,1.280403,-0.073772,0.356529
1.965,1.262312,-0.072355,0.353038
1.985,1.253767,-0.070975,0.350535
2.005,1.246007,-0.069933,0.348309
2.025,1.235527,-0.069111,0.346031
2.045,1.223412,-0.067256,0.343306
2.065,1.206207,-0.063843,0.339719
2.085,1.18249,-0.059147,0.335501
2.105,1.153092,-0.052896,0.330826
2.125,1.116469,-0.045388,0.325539
2.145,1.070354,-0.036947,0.31941
2.165,1.006777,-0.02833,0.312117
2.185,0.921461,-0.019737,0.303226
2.205,0.822095,-0.010695,0.293234
2.225,0.72971,-0.001341,0.284144
2.245,0.661336,0.008449,0.276876
2.265,0.614299,0.018473,0.271292
2.285,0.575397,0.027961,0.266833
2.305,0.540943,0.036732,0.262309
