accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.639,6.725313,-7.03177,5.612009
0.659,6.951565,-6.985084,5.505466
0.679,7.158501,-6.958332,5.425146
0.699,7.212793,-6.964727,5.396961
0.719,7.2125,-7.041424,5.389189
0.739,7.298226,-7.064651,5.34639
0.759,7.439387,-6.981235,5.256328
0.779,7.495651,-6.810285,5.182148
0.799,7.475916,-6.723485,5.145872
0.819,7.457489,-6.74456,5.101051
0.839,7.463742,-6.734503,5.067228
0.859,7.450857,-6.669526,5.011559
0.879,7.401343,-6.60337,4.943368
0.899,7.369614,-6.566144,4.862425
0.919,7.355844,-6.505546,4.782538
0.939,7.348727,-6.39824,4.719297
0.959,7.338417,-6.305806,4.689363
0.979,7.318487,-6.245667,4.694764
0.999,7.292487,-6.190124,4.691052
1.019,7.263739,-6.154741,4.664394
1.039,7.242862,-6.140523,4.617407
1.059,7.221271,-6.102855,4.608083
1.079,7.213237,-6.028418,4.622162
1.099,7.202357,-5.938488,4.648183
1.119,7.187768,-5.888613,4.671318
1.139,7.17555,-5.888454,4.702715
1.159,7.184625,-5.863203,4.746432
1.179,7.20869,-5.796627,4.80217
1.199,7.22865,-5.736113,4.865114
1.219,7.24782,-5.696208,4.928211
1.239,7.253441,-5.612234,5.012925
1.259,7.250149,-5.486931,5.124938
1.279,7.243765,-5.377067,5.251886
1.299,7.233298,-5.285954,5.387458
1.319,7.223719,-5.219727,5.513186
1.339,7.217004,-5.191738,5.619678
1.359,7.205026,-5.169155,5.708856
1.379,7.185354,-5.126115,5.787889
1.399,7.160251,-5.097388,5.862489
1.419,7.13859,-5.102743,5.933531
1.439,7.122967,-5.098803,6.009222
1.459,7.111787,-5.070082,6.102812
1.479,7.100214,-5.019948,6.202298
1.499,7.087736,-4.958726,6.295865
1.519,7.079365,-4.893908,6.380151
1.539,7.075369,-4.827977,6.464827
1.559,7.071217,-4.768514,6.547192
1.579,7.066372,-4.708763,6.612586
1.599,7.065489,-4.640883,6.658216
1.619,7.067427,-4.578563,6.701789
1.639,7.070775,-4.519891,6.749052
1.659,7.070609,-4.454169,6.793949
1.679,7.06334,-4.392251,6.822719
1.699,7.058185,-4.340606,6.833183
1.719,7.054653,-4.309354,6.842649
1.739,7.049427,-4.271518,6.867328
1.759,7.039411,-4.212586,6.902775
1.779,7.037221,-4.130989,6.934154
1.799,7.047611,-4.049818,6.952158
1.819,7.056488,-3.984549,6.967475
1.839,7.062431,-3.924144,6.985205
1.859,7.073924,-3.854188,7.000125
1.879,7.090382,-3.779939,7.013422
1.899,7.107553,-3.707959,7.028728
1.919,7.121254,-3.637954,7.048773
1.939,7.131904,-3.564312,7.070256
1.959,7.146142,-3.490353,7.086153
1.979,7.161682,-3.42602,7.092912
1.999,7.175316,-3.368832,7.095321
2.019,7.186573,-3.322501,7.099323
2.039,7.196943,-3.294939,7.099624
2.059,7.211892,-3.286644,7.093399
2.079,7.228829,-3.292697,7.077171
2.099,7.243546,-3.295537,7.061632
2.119,7.25286,-3.287615,7.056884
2.139,7.26045,-3.265003,7.056286
2.159,7.271298,-3.233751,7.053225
2.179,7.28237,-3.209053,7.049217
2.199,7.285414,-3.190674,7.048116
2.219,7.285708,-3.172499,7.046522
2.239,7.289552,-3.152179,7.038163
2.259,7.300073,-3.131939,7.029031
2.279,7.311029,-3.120714,7.022989
2.299,7.318705,-3.113926,7.016803
2.319,7.32509,-3.100153,7.008986
2.339,7.332006,-3.07962,7.001483
2.359,7.335325,-3.069098,6.998077
2.379,7.337584,-3.078616,6.995414
2.399,7.355618,-3.10807,6.991657
2.419,7.395968,-3.141455,6.98697
2.439,7.389777,-3.156644,6.988638
2.459,7.394146,-3.154918,6.986232
2.479,7.404239,-3.153815,6.980524
2.499,7.411035,-3.159277,6.967897
2.519,7.428156,-3.172854,6.944557
2.539,7.445623,-3.18807,6.920708
2.559,7.451042,-3.215732,6.900765
2.579,7.455303,-3.253912,6.879443
2.599,7.463684,-3.291816,6.85423
2.619,7.473802,-3.333674,6.82204
2.974,7.47691,-3.355625,6.807975
2.994,7.479787,-3.377698,6.793731
3.014,7.483122,-3.400598,6.780729
3.034,7.486961,-3.424489,6.76786
3.054,7.48914,-3.447795,6.754941
3.074,7.491357,-3.471177,6.741294
3.094,7.493375,-3.492093,6.729201
3.114,7.49699,-3.509684,6.718421
3.134,7.501167,-3.528019,6.707106
3.154,7.505345,-3.549071,6.692968
3.174,7.508494,-3.570947,6.67837
3.194,7.510813,-3.593013,6.664661
3.214,7.513867,-3.614894,6.650352
3.234,7.516636,-3.635599,6.635552
3.254,7.518935,-3.65465,6.621491
3.274,7.520941,-3.676468,6.609553
3.294,7.52204,-3.698731,6.600043
3.314,7.52333,-3.720091,6.591606
3.334,7.526737,-3.740236,6.58405
3.354,7.5274,-3.760799,6.57798
3.374,7.526178,-3.779845,6.570545
3.394,7.528534,-3.803083,6.561844
3.414,7.530462,-3.823367,6.551806
3.434,7.529063,-3.838616,6.542473
3.454,7.528644,-3.852123,6.53399
3.474,7.529351,-3.871847,6.525012
3.494,7.529085,-3.890161,6.515735
3.514,7.531209,-3.906538,6.506259
3.534,7.530736,-3.922865,6.497052
3.554,7.53008,-3.939878,6.489065
3.574,7.530268,-3.956915,6.482152
3.594,7.530024,-3.97261,6.475378
3.614,7.530596,-3.986151,6.469252
3.634,7.532383,-4.000026,6.46355
3.654,7.532453,-4.014041,6.457695
3.674,7.532282,-4.028049,6.451928
3.694,7.532712,-4.042272,6.445835
3.714,7.533568,-4.057734,6.440412
3.734,7.531734,-4.072522,6.435327
3.754,7.530397,-4.088316,6.429941
3.774,7.529122,-4.105214,6.42315
3.794,7.528315,-4.120358,6.416621
3.814,7.52864,-4.132768,6.41229
3.836,7.528244,-4.142384,6.408741
3.856,7.527134,-4.15139,6.403465
3.876,7.527903,-4.162782,6.395896
3.896,7.527754,-4.174386,6.388012
3.916,7.528445,-4.185057,6.378864
3.936,7.528697,-4.192548,6.373266
3.956,7.530288,-4.200614,6.368117
3.976,7.532079,-4.212754,6.361961
3.996,7.533396,-4.226172,6.354016
4.016,7.53324,-4.239348,6.347198
4.036,7.533301,-4.249921,6.341411
4.056,7.534391,-4.257104,6.335222
4.076,7.53638,-4.263668,6.32827
4.096,7.536625,-4.273275,6.320878
4.116,7.5367,-4.283629,6.314993
4.136,7.537541,-4.292919,6.309203
4.156,7.538181,-4.300491,6.302403
4.176,7.538911,-4.306924,6.295244
4.196,7.539753,-4.315106,6.289028
4.216,7.539558,-4.325596,6.283159
4.236,7.538718,-4.335029,6.278892
4.256,7.537742,-4.344411,6.275173
4.276,7.536298,-4.352638,6.271269
4.296,7.535514,-4.36132,6.269605
4.316,7.533901,-4.37282,6.269785
4.336,7.531274,-4.381532,6.26967
4.356,7.528434,-4.38632,6.268669
4.376,7.525167,-4.393247,6.267753
4.396,7.521861,-4.402266,6.267348
4.416,7.519594,-4.411071,6.267044
4.436,7.516607,-4.419812,6.266574
4.456,7.512932,-4.429222,6.267235
4.476,7.509485,-4.440398,6.269063
4.496,7.505785,-4.451264,6.27183
4.516,7.502625,-4.459566,6.273468
4.536,7.499449,-4.46594,6.273389
4.556,7.495419,-4.47254,6.273072
4.576,7.491477,-4.480101,6.273165
4.596,7.488101,-4.488465,6.273353
4.616,7.485309,-4.496243,6.273132
4.636,7.482306,-4.503331,6.273249
4.656,7.478974,-4.509908,6.274202
4.676,7.47534,-4.51504,6.276151
4.696,7.472173,-4.519583,6.277291
4.716,7.469541,-4.521666,6.276983
4.736,7.466648,-4.522785,6.277348
4.756,7.46285,-4.524256,6.279553
4.776,7.459305,-4.527153,6.282407
4.796,7.455915,-4.531703,6.284825
4.816,7.453086,-4.537661,6.284393
4.836,7.450645,-4.543808,6.281668
4.856,7.446935,-4.549109,6.27861
4.876,7.442951,-4.558433,6.276373
4.896,7.438648,-4.573435,6.274374
4.916,7.434244,-4.590115,6.273018
4.936,7.430147,-4.60342,6.272082
4.956,7.425278,-4.613573,6.270677
5.177,7.422276,-4.628244,6.26148
5.197,7.420526,-4.639894,6.252472
5.217,7.41932,-4.651993,6.243841
5.237,7.417049,-4.666625,6.233883
5.257,7.414321,-4.682687,6.220937
5.277,7.412531,-4.6966,6.208312
5.297,7.410423,-4.707263,6.198637
5.317,7.408337,-4.718825,6.190688
5.337,7.40663,-4.733676,6.180089
5.357,7.405587,-4.751761,6.165885
5.377,7.40532,-4.76902,6.150362
5.397,7.405463,-4.785006,6.134875
5.417,7.405557,-4.802244,6.11904
5.437,7.406871,-4.819053,6.10267
5.457,7.408076,-4.832071,6.086343
5.477,7.408862,-4.842623,6.07049
5.497,7.410262,-4.853065,6.054892
5.517,7.412104,-4.862805,6.039378
5.537,7.413136,-4.872414,6.025168
5.557,7.413537,-4.884953,6.011771
5.577,7.413526,-4.897275,5.998316
5.597,7.413898,-4.908227,5.984828
5.617,7.414913,-4.919393,5.969752
5.637,7.4152,-4.931738,5.954323
5.657,7.415843,-4.945585,5.940054
5.677,7.417964,-4.958951,5.928011
5.697,7.419584,-4.970784,5.913551
5.717,7.420949,-4.984203,5.894949
5.737,7.424145,-5.001582,5.875408
5.757,7.425728,-5.020342,5.856589
5.777,7.427127,-5.035604,5.840137
5.797,7.428489,-5.042591,5.82464
5.817,7.430339,-5.048348,5.810615
5.837,7.432243,-5.056086,5.796107
5.857,7.433362,-5.064699,5.782798
5.877,7.434446,-5.074984,5.769574
5.897,7.435303,-5.086394,5.756075
5.917,7.435554,-5.09759,5.743669
5.937,7.435586,-5.106006,5.732512
5.957,7.435331,-5.11462,5.721802
5.977,7.435509,-5.125315,5.711678
5.997,7.435518,-5.135933,5.700626
6.017,7.436245,-5.14674,5.690246
6.037,7.435744,-5.157444,5.680538
6.057,7.435894,-5.166749,5.67131
6.077,7.43554,-5.174953,5.662252
6.097,7.435213,-5.183408,5.652691
6.117,7.435608,-5.194917,5.644065
6.137,7.434946,-5.207401,5.635029
6.157,7.434002,-5.216034,5.626204
6.177,7.433643,-5.223502,5.616174
6.197,7.434006,-5.233204,5.606101
6.217,7.433599,-5.243567,5.596128
6.237,7.432598,-5.252532,5.586495
6.257,7.432133,-5.261068,5.577317
6.277,7.432032,-5.269386,5.566842
6.297,7.432195,-5.27808,5.556352
6.317,7.431494,-5.287071,5.546845
6.337,7.429149,-5.29682,5.540358
6.357,7.42721,-5.306913,5.534706
6.377,7.426991,-5.317657,5.528033
6.397,7.426343,-5.328694,5.518937
6.417,7.424791,-5.33805,5.509932
6.437,7.423088,-5.347496,5.502141
6.457,7.422503,-5.356929,5.493663
6.477,7.423192,-5.367165,5.482613
6.497,7.423899,-5.377666,5.469422
6.517,7.424574,-5.387747,5.456482
6.537,7.425387,-5.397153,5.443696
6.557,7.425952,-5.40553,5.431733
6.577,7.425529,-5.414179,5.422653
6.597,7.424585,-5.42302,5.415634
6.617,7.424296,-5.432231,5.408476
6.637,7.424297,-5.441181,5.400001
6.657,7.423964,-5.448964,5.391826
