gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.175,-0.930087,1.512041,1.193352
1.195,-0.761083,1.53569,1.251774
1.215,-0.545036,1.546158,1.307039
1.235,-0.330682,1.535949,1.358205
1.255,-0.156338,1.498687,1.397383
1.275,-0.02656,1.443044,1.416601
1.295,0.057673,1.377308,1.414582
1.315,0.081609,1.304825,1.391675
1.335,0.033017,1.226482,1.3465
1.355,-0.080521,1.141788,1.282462
1.375,-0.240875,1.053846,1.199703
1.395,-0.422587,0.968435,1.100265
1.415,-0.597132,0.889442,0.989594
1.435,-0.741142,0.818713,0.873109
1.455,-0.841255,0.756086,0.758963
1.475,-0.896325,0.701094,0.652981
1.495,-0.911705,0.652419,0.5589
1.515,-0.897493,0.608663,0.477742
1.535,-0.867417,0.568668,0.407161
1.555,-0.836591,0.532072,0.344692
1.575,-0.815056,0.499375,0.287986
1.595,-0.803383,0.471211,0.234486
1.615,-0.796888,0.447425,0.182019
1.635,-0.791579,0.428251,0.130065
1.655,-0.783437,0.414113,0.079422
1.675,-0.768256,0.404897,0.032046
1.695,-0.742833,0.398883,-0.009283
1.715,-0.707388,0.392513,-0.044823
1.735,-0.66522,0.384484,-0.07646
1.755,-0.618533,0.376104,-0.104807
1.775,-0.565873,0.368508,-0.129977
1.795,-0.509443,0.362793,-0.151986
1.815,-0.458217,0.35916,-0.169153
1.835,-0.417742,0.356023,-0.177756
1.855,-0.387277,0.350542,-0.177832
1.875,-0.363513,0.341269,-0.171888
1.895,-0.343444,0.329734,-0.162198
1.915,-0.32492,0.318929,-0.150202
1.935,-0.306318,0.309036,-0.136046
1.955,-0.288468,0.298521,-0.11999
1.975,-0.272242,0.287337,-0.102306
1.995,-0.256507,0.275269,-0.084217
2.015,-0.238701,0.261572,-0.067353
2.035,-0.217753,0.245441,-0.052934
2.055,-0.197257,0.229824,-0.039583
2.075,-0.183844,0.215443,-0.026035
2.095,-0.184382,0.200569,-0.011374
2.115,-0.202266,0.186558,0.003548
2.135,-0.235919,0.174916,0.014904
2.155,-0.280863,0.165526,0.021048
2.175,-0.330631,0.158937,0.02254
2.195,-0.375227,0.156817,0.020358
2.215,-0.400498,0.158885,0.015137
2.235,-0.394588,0.163834,0.008438
2.255,-0.357418,0.169233,0.002156
2.275,-0.299806,0.173012,-0.003316
2.295,-0.237124,0.174914,-0.007161
2.315,-0.184399,0.176201,-0.009474
2.335,-0.150256,0.177882,-0.011007
2.355,-0.135417,0.180524,-0.0123
2.375,-0.135388,0.183572,-0.013303
2.395,-0.143009,0.186541,-0.013515
2.415,-0.149316,0.189442,-0.012195
2.435,-0.1471,0.192387,-0.009423
2.455,-0.13544,0.195038,-0.005797
2.475,-0.11915,0.196982,-0.001925
2.495,-0.103292,0.197739,0.002135
2.515,-0.091751,0.197741,0.005508
2.535,-0.085522,0.197851,0.007708
2.555,-0.081239,0.198195,0.009127
2.575,-0.075011,0.198444,0.010316
2.595,-0.066194,0.198479,0.01183
2.615,-0.05474,0.198116,0.013889
2.635,-0.039788,0.197004,0.016721
2.655,-0.023529,0.195015,0.020696
2.675,-0.008879,0.192098,0.025012
2.695,0.004864,0.187958,0.029574
2.715,0.017569,0.182824,0.033859
2.735,0.029338,0.176828,0.037572
2.755,0.042003,0.169793,0.040917
2.775,0.056839,0.161312,0.043901
2.795,0.07463,0.151345,0.046679
2.815,0.097799,0.140155,0.050035
2.835,0.127583,0.127036,0.053992
2.855,0.160698,0.110786,0.058915
2.875,0.189343,0.091299,0.065734
2.895,0.206095,0.069148,0.07423
2.915,0.209087,0.043318,0.082575
2.935,0.205568,0.013338,0.089759
2.955,0.201928,-0.01979,0.095598
2.975,0.198308,-0.053824,0.09928
2.995,0.194617,-0.084799,0.101181
3.015,0.197813,-0.11257,0.101879
3.035,0.214099,-0.141084,0.100701
3.055,0.242555,-0.172387,0.097485
3.075,0.276642,-0.205931,0.091984
3.095,0.311103,-0.240815,0.085583
3.115,0.338999,-0.277659,0.083903
3.135,0.346929,-0.314595,0.084445
3.155,0.334431,-0.351829,0.085466
4.593,0.326394,-0.343205,0.084438
4.613,0.318703,-0.334425,0.083192
4.633,0.310941,-0.32612,0.081518
4.653,0.303657,-0.318634,0.07977
4.673,0.29713,-0.311734,0.077991
4.693,0.29133,-0.305342,0.076421
4.713,0.286891,-0.29887,0.074903
4.733,0.283716,-0.291822,0.073305
4.753,0.281118,-0.28443,0.071873
4.773,0.278208,-0.27717,0.070526
4.793,0.274224,-0.270346,0.069391
4.813,0.268737,-0.264002,0.068484
