accel_time_list,accel_x_list,accel_y_list,accel_z_list
1.352,-9.02614,-2.477999,2.925714
1.372,-8.954314,-2.430115,2.873042
1.392,-8.843276,-2.408553,2.845889
1.412,-8.736614,-2.412151,2.822124
1.432,-8.660462,-2.449775,2.804505
1.452,-8.628973,-2.497286,2.794758
1.472,-8.640664,-2.532309,2.78197
1.492,-8.670541,-2.536319,2.764575
1.512,-8.696465,-2.523649,2.762787
1.532,-8.735593,-2.503157,2.779617
1.552,-8.773387,-2.472127,2.800616
1.572,-8.793776,-2.437759,2.809703
1.592,-8.795846,-2.413841,2.817762
1.612,-8.789275,-2.399918,2.82174
1.632,-8.792994,-2.394666,2.822934
1.652,-8.813563,-2.387342,2.826993
1.672,-8.831161,-2.372874,2.831708
1.692,-8.83434,-2.35906,2.832279
1.712,-8.828447,-2.350546,2.828728
1.732,-8.804972,-2.341667,2.821431
1.752,-8.765371,-2.345266,2.810455
1.772,-8.713131,-2.358855,2.797933
1.792,-8.638609,-2.368936,2.785638
1.812,-8.549462,-2.368992,2.765743
1.832,-8.440836,-2.374331,2.746403
1.852,-8.29502,-2.381704,2.728682
1.872,-8.131722,-2.374553,2.709772
1.892,-7.981314,-2.349337,2.690488
1.912,-7.841523,-2.322932,2.678461
1.932,-7.732255,-2.306768,2.67451
1.952,-7.678796,-2.310186,2.683154
1.972,-7.663032,-2.333864,2.694678
1.992,-7.654771,-2.366543,2.700758
2.012,-7.655651,-2.411446,2.700755
2.032,-7.667643,-2.465336,2.690859
2.052,-7.677492,-2.525655,2.672559
2.072,-7.676948,-2.578548,2.656739
2.092,-7.665512,-2.628865,2.647676
2.112,-7.640178,-2.686042,2.636614
2.132,-7.611446,-2.747208,2.61875
2.152,-7.59654,-2.79198,2.601132
2.172,-7.583232,-2.800302,2.594526
2.192,-7.551604,-2.780351,2.599609
2.212,-7.529276,-2.788685,2.609871
2.232,-7.540862,-2.837186,2.617345
2.252,-7.565845,-2.876029,2.618397
2.272,-7.584907,-2.896353,2.61869
2.292,-7.614121,-2.941487,2.608704
2.312,-7.618885,-3.031435,2.600214
2.332,-7.553427,-3.147864,2.608778
2.352,-7.425486,-3.29667,2.616202
2.372,-7.249598,-3.47492,2.596679
2.392,-7.044703,-3.663994,2.557908
2.412,-6.829333,-3.866451,2.563309
2.432,-6.694146,-4.040825,2.632255
2.452,-6.658151,-4.146156,2.688239
2.472,-6.722129,-4.222387,2.658389
2.492,-6.88388,-4.33115,2.618187
2.512,-7.003002,-4.356399,2.693993
2.532,-7.090846,-4.238363,2.804599
2.552,-7.163869,-4.034513,2.870782
2.572,-7.211776,-3.775392,2.887255
2.592,-7.275127,-3.42522,2.854993
2.612,-7.417199,-0.884971,2.972504
2.632,-8.829432,5.739623,3.601855
2.652,-11.55241,-2.728779,3.997769
2.672,-13.6146,-6.931497,3.831667
2.692,-13.08055,-9.267418,3.780961
2.712,-11.16627,-7.399127,3.907877
2.732,-9.872457,-3.35492,4.096157
2.752,-8.417812,1.120611,4.185055
2.772,-6.692191,2.867217,4.132399
2.792,-5.363839,2.424978,3.963013
2.812,-4.812733,1.563594,3.741852
2.832,-4.649364,0.647538,3.570835
2.852,-4.498646,-0.05557,3.386014
2.872,-4.448432,-0.218699,3.247817
2.892,-4.675571,0.305444,3.256407
2.912,-6.351804,2.788944,3.890554
2.932,-8.197809,4.424655,4.578117
2.952,-8.581242,3.478446,4.544104
2.972,-8.412177,1.57921,4.490017
2.992,-8.122263,0.565824,4.553579
3.012,-7.896447,1.056234,4.661598
3.032,-7.562376,2.216604,4.790895
3.052,-7.171392,3.206242,4.876905
3.072,-6.837711,3.588345,4.869477
3.092,-6.593025,3.571096,4.791658
3.112,-6.459148,3.580322,4.705689
3.132,-6.433102,3.755327,4.651033
3.152,-6.496857,4.001773,4.637774
3.172,-6.608184,4.217598,4.644409
3.192,-6.716631,4.351554,4.651096
3.212,-6.788191,4.409926,4.64654
3.232,-6.809042,4.427758,4.642047
3.252,-6.786769,4.452247,4.653422
3.272,-6.764724,4.492387,4.683165
3.292,-6.75546,4.525297,4.71389
3.312,-6.754169,4.531814,4.72854
3.332,-6.760763,4.530719,4.732772
3.823,-6.770786,4.536688,4.734303
3.843,-6.781482,4.545029,4.735675
3.863,-6.794195,4.551558,4.738808
3.883,-6.805524,4.549384,4.74409
3.903,-6.814114,4.544025,4.751163
3.923,-6.821516,4.541178,4.758891
3.943,-6.825622,4.540652,4.765936
3.963,-6.830336,4.540518,4.771501
3.983,-6.834752,4.538522,4.776863
4.003,-6.837323,4.537155,4.781115
4.023,-6.838649,4.537389,4.785625
4.043,-6.83919,4.538608,4.790211
4.063,-6.838397,4.538782,4.795733
4.083,-6.838381,4.538005,4.801555
4.103,-6.838301,4.537625,4.806931
4.123,-6.839174,4.538358,4.812244
4.143,-6.839386,4.540046,4.817799
4.163,-6.840128,4.54074,4.822845
4.183,-6.840541,4.539635,4.827121
4.203,-6.841163,4.538831,4.830763
4.223,-6.843433,4.539504,4.833898
4.243,-6.846641,4.541078,4.836322
4.263,-6.84987,4.541152,4.838299
4.283,-6.852229,4.540276,4.840692
4.303,-6.853923,4.538949,4.843087
4.323,-6.855548,4.5388,4.845827
4.343,-6.857354,4.538604,4.848516
4.363,-6.859668,4.537652,4.850994
4.383,-6.862036,4.536639,4.85282
4.403,-6.865386,4.535471,4.854948
4.423,-6.868019,4.53507,4.856968
4.443,-6.870781,4.534543,4.858382
