gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.936,-0.209972,0.273923,-0.785665
0.956,-0.140892,0.263731,-0.802185
0.976,-0.075805,0.256734,-0.82605
0.996,-0.013315,0.251201,-0.853549
1.016,0.046047,0.243586,-0.877915
1.036,0.09535,0.23012,-0.893353
1.056,0.125414,0.210305,-0.897626
1.076,0.131604,0.186333,-0.891611
1.096,0.116276,0.160829,-0.876473
1.116,0.087404,0.135448,-0.854371
1.136,0.053719,0.111725,-0.826792
1.156,0.022779,0.090856,-0.794153
1.176,0.000533,0.073762,-0.755086
1.196,-0.009093,0.059607,-0.707519
1.216,-0.007392,0.045915,-0.650779
1.236,-0.00059,0.03051,-0.585192
1.256,0.003513,0.013231,-0.512517
1.276,-0.001498,-0.005673,-0.436098
1.296,-0.018651,-0.025416,-0.360494
1.316,-0.046975,-0.045474,-0.289457
1.336,-0.082923,-0.065785,-0.226186
1.356,-0.12199,-0.084783,-0.172755
1.376,-0.161789,-0.101343,-0.129212
1.396,-0.201747,-0.115169,-0.093734
1.416,-0.241499,-0.126241,-0.064107
1.436,-0.279689,-0.135308,-0.038475
1.459,-0.314691,-0.142732,-0.015606
1.479,-0.344639,-0.149108,0.005299
1.499,-0.367739,-0.154584,0.024368
1.519,-0.383636,-0.159553,0.040972
1.539,-0.394682,-0.16426,0.054365
1.559,-0.404308,-0.168886,0.063427
1.579,-0.414132,-0.173032,0.067272
1.599,-0.424783,-0.17558,0.066748
1.619,-0.436589,-0.176344,0.063652
1.639,-0.449855,-0.175992,0.059651
1.659,-0.46402,-0.175497,0.055962
1.679,-0.477523,-0.175489,0.053121
1.699,-0.487968,-0.175567,0.050939
1.719,-0.494148,-0.17541,0.049365
1.739,-0.496047,-0.174699,0.048292
1.759,-0.494415,-0.17369,0.047174
1.779,-0.490847,-0.17283,0.045147
1.799,-0.486081,-0.171581,0.041847
1.819,-0.479835,-0.169994,0.037363
1.839,-0.46972,-0.167485,0.031837
1.859,-0.453245,-0.163842,0.026411
1.879,-0.42955,-0.160242,0.021213
1.899,-0.402287,-0.157223,0.014879
1.919,-0.375292,-0.154091,0.006738
1.939,-0.349139,-0.150654,-0.002662
1.959,-0.321538,-0.147364,-0.014397
1.979,-0.288996,-0.144741,-0.028717
1.999,-0.250083,-0.142351,-0.046475
2.019,-0.207263,-0.13979,-0.068279
2.039,-0.16222,-0.137248,-0.092583
2.059,-0.112561,-0.135056,-0.118166
2.079,-0.054428,-0.132775,-0.144871
2.099,0.013447,-0.129517,-0.173097
2.119,0.088752,-0.125702,-0.201519
2.139,0.167074,-0.121609,-0.228548
2.159,0.246398,-0.116641,-0.252808
2.179,0.327104,-0.110611,-0.271485
2.199,0.397843,-0.104534,-0.28522
2.219,0.443313,-0.100325,-0.293823
2.239,0.46777,-0.098751,-0.295495
2.259,0.489504,-0.099619,-0.295822
2.279,0.525026,-0.103044,-0.297744
2.299,0.571577,-0.110533,-0.302517
2.319,0.613929,-0.124195,-0.310646
2.339,0.641596,-0.144278,-0.320427
2.359,0.657298,-0.169367,-0.330048
2.379,0.674982,-0.201134,-0.338123
2.399,0.699022,-0.245131,-0.343241
2.419,0.70779,-0.313774,-0.350381
2.439,0.67617,-0.401875,-0.352629
2.459,0.591401,-0.49893,-0.318735
2.479,0.417898,-0.604859,-0.262703
2.499,0.22541,-0.713243,-0.216333
2.519,0.015734,-0.748312,-0.192672
2.539,-0.20829,-0.690081,-0.183094
2.559,-0.058126,-0.575739,-0.205794
2.579,0.19912,-0.397371,-0.269885
2.599,0.464931,-0.197024,-0.372872
2.619,0.733647,0.01055,-0.487388
2.639,0.987151,0.20065,-0.611394
2.659,1.243766,0.391899,-0.744147
2.679,1.417375,0.589867,-0.884574
2.699,1.471462,0.823864,-1.005012
2.719,1.54273,1.060143,-1.05832
2.739,1.66547,1.292113,-0.90635
2.759,1.427913,1.451984,-0.874721
2.779,1.07694,1.342191,-0.98193
2.799,1.199409,1.427256,-0.728177
2.819,1.183313,1.477205,-0.648361
2.839,1.101127,1.471869,-0.514088
2.859,1.041397,1.426717,-0.388433
2.879,0.982738,1.346364,-0.318414
2.899,0.941638,1.232918,-0.258831
2.919,0.90664,1.099874,-0.217401
4.639,0.851216,1.03526,-0.205937
4.659,0.800533,0.976312,-0.19526
4.679,0.755206,0.922801,-0.185882
4.699,0.713701,0.873877,-0.177172
4.719,0.673898,0.828927,-0.169201
4.739,0.637155,0.787391,-0.161614
4.759,0.604569,0.749117,-0.154417
4.779,0.574006,0.713746,-0.148117
4.799,0.54616,0.680909,-0.143022
4.819,0.520409,0.650065,-0.137637
4.839,0.495191,0.621063,-0.132795
4.859,0.472168,0.593996,-0.128843
4.879,0.451081,0.568962,-0.12506
4.899,0.431394,0.54539,-0.121978
