accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.373,-10.37168,-3.70383,3.900155
0.393,-10.34056,-3.590106,3.915717
0.413,-10.35094,-3.504981,3.910528
0.433,-10.24953,-3.401745,3.857044
0.453,-10.15341,-3.274196,3.767809
0.473,-10.06144,-3.134886,3.668424
0.493,-9.956518,-3.013797,3.573708
0.513,-9.866007,-2.906517,3.454176
0.533,-9.794083,-2.828361,3.31752
0.553,-9.702862,-2.78113,3.179832
0.573,-9.601715,-2.762116,3.062591
0.593,-9.529477,-2.757038,2.962164
0.613,-9.49058,-2.742143,2.859818
0.633,-9.456958,-2.724307,2.755385
0.653,-9.420532,-2.717424,2.658165
0.673,-9.403775,-2.711575,2.574128
0.693,-9.40027,-2.688911,2.500947
0.713,-9.374343,-2.649854,2.445984
0.733,-9.316947,-2.610879,2.406939
0.753,-9.281847,-2.573942,2.375529
0.773,-9.285983,-2.523852,2.351164
0.793,-9.303895,-2.463029,2.337321
0.813,-9.323421,-2.41737,2.350505
0.833,-9.325945,-2.377911,2.385157
0.853,-9.28564,-2.333345,2.420497
0.873,-9.19637,-2.263513,2.449627
0.893,-9.100551,-2.182823,2.485434
0.913,-9.050084,-2.119187,2.539342
0.933,-9.052217,-2.07532,2.607695
0.953,-9.079923,-2.035207,2.676198
0.973,-9.097583,-1.976952,2.738171
0.993,-9.108197,-1.89953,2.802201
1.013,-9.120892,-1.817573,2.868136
1.033,-9.113725,-1.731265,2.929557
1.053,-9.086969,-1.644376,2.98338
1.073,-9.053414,-1.556293,3.02659
1.093,-9.004939,-1.469901,3.058465
1.113,-8.938297,-1.403734,3.078437
1.133,-8.867315,-1.367499,3.085791
1.153,-8.79999,-1.35526,3.080382
1.173,-8.735114,-1.355179,3.065192
1.193,-8.678231,-1.356372,3.044698
1.213,-8.644812,-1.359161,3.021245
1.233,-8.648767,-1.361577,2.994604
1.253,-8.692223,-1.365636,2.96547
1.273,-8.741147,-1.373607,2.936174
1.293,-8.759454,-1.383898,2.901968
1.313,-8.758575,-1.397494,2.859308
1.333,-8.75479,-1.412009,2.810258
1.353,-8.761311,-1.42739,2.768267
1.373,-8.77669,-1.447898,2.737613
1.393,-8.780643,-1.475809,2.714606
1.413,-8.766583,-1.508502,2.69014
1.433,-8.748415,-1.541003,2.664392
1.453,-8.732173,-1.567232,2.641371
1.473,-8.706048,-1.587966,2.624922
1.493,-8.669749,-1.607315,2.612356
1.513,-8.631507,-1.628297,2.597143
1.533,-8.601151,-1.651606,2.584324
1.553,-8.580648,-1.673484,2.579793
1.573,-8.561745,-1.69367,2.581081
1.593,-8.540382,-1.707651,2.582778
1.613,-8.513875,-1.721073,2.58925
1.633,-8.487593,-1.742247,2.607718
1.653,-8.465256,-1.78245,2.61609
1.673,-8.450893,-1.801216,2.644028
1.693,-8.443472,-1.784106,2.692308
1.713,-8.435597,-1.758617,2.745324
1.733,-8.417714,-1.758494,2.778692
1.753,-8.382786,-1.799656,2.793228
1.773,-8.330905,-1.855581,2.795976
1.793,-8.265207,-1.90114,2.806807
1.813,-8.190054,-1.926294,2.838066
1.833,-8.116493,-1.952302,2.883466
1.853,-8.04483,-1.997669,2.930549
1.873,-7.976276,-2.049875,2.967282
1.893,-7.930305,-2.095675,2.996178
1.913,-7.926274,-2.134383,3.025376
1.933,-7.917295,-2.164488,3.021015
1.953,-7.838529,-2.213534,3.009073
1.973,-7.764847,-2.31247,3.002661
1.993,-7.938783,-2.435071,2.924156
2.013,-8.445778,-2.438201,2.712795
2.033,-8.74024,-2.359452,2.453654
2.053,-8.182535,-2.286999,2.110032
2.073,-6.952478,-2.776227,2.105811
2.093,-6.021981,-3.826901,2.604876
2.113,-5.867723,-4.089194,3.175541
2.133,-5.513154,-3.13614,3.388371
2.153,-5.176387,-1.344037,3.801437
2.173,-5.561989,0.738401,4.372039
2.193,-5.921059,1.78222,4.782726
2.213,-6.894536,2.483402,6.066989
2.233,-11.20632,8.838062,8.221533
2.253,-9.325934,12.80733,8.870157
2.273,-8.097573,9.747808,8.013075
2.293,-7.675615,5.438608,6.635801
2.313,-7.098535,2.635182,5.544574
2.333,-6.582275,1.035698,4.743638
2.353,-6.280845,-0.157514,4.22089
4.145,-6.329351,0.45483,4.449373
4.165,-6.368327,0.901111,4.634293
4.185,-6.400534,1.243666,4.791348
4.205,-6.427432,1.51018,4.923578
4.225,-6.452275,1.724473,5.036431
4.245,-6.473076,1.900489,5.131858
4.265,-6.492739,2.049301,5.214715
4.285,-6.508892,2.173212,5.28767
4.305,-6.521713,2.280312,5.351609
4.325,-6.534058,2.372003,5.408813
4.345,-6.545874,2.450354,5.458662
4.365,-6.55553,2.516136,5.505598
4.385,-6.563679,2.573789,5.549168
4.405,-6.570973,2.62464,5.589466
4.425,-6.578268,2.670719,5.623701
4.445,-6.585462,2.712608,5.654584
4.465,-6.591784,2.749143,5.683252
4.485,-6.597522,2.782128,5.710474
4.505,-6.602742,2.815032,5.735919
4.525,-6.60741,2.84411,5.757967
4.545,-6.612347,2.870459,5.779729
4.565,-6.616214,2.895111,5.799454
4.585,-6.620703,2.918458,5.81751
4.605,-6.62414,2.938158,5.835229
4.625,-6.627366,2.956249,5.853868
4.645,-6.630835,2.972626,5.869949
4.665,-6.634104,2.987716,5.884456
4.685,-6.6376,3.000555,5.898869
4.705,-6.640506,3.012974,5.912614
4.725,-6.643128,3.025565,5.926031
4.745,-6.645235,3.038088,5.938868
4.765,-6.646988,3.049432,5.950763
4.785,-6.648354,3.059765,5.962381
4.805,-6.649595,3.068603,5.973485
4.825,-6.651006,3.078268,5.98411
4.845,-6.652408,3.088631,5.994105
4.865,-6.65424,3.098203,6.003331
4.885,-6.65583,3.106847,6.01154
4.905,-6.65688,3.115004,6.019554
4.925,-6.658296,3.123749,6.027781
4.945,-6.659654,3.130888,6.035487
4.965,-6.661104,3.136879,6.043521
4.985,-6.66211,3.14277,6.051064
5.005,-6.663172,3.147894,6.058564
5.025,-6.664472,3.152189,6.065507
5.045,-6.665494,3.156838,6.072432
5.065,-6.666614,3.162398,6.078892
5.085,-6.667649,3.167888,6.085206
5.105,-6.668691,3.1726,6.090997
5.125,-6.669271,3.177276,6.096859
5.145,-6.67004,3.182113,6.10172
5.165,-6.670906,3.187729,6.10627
5.185,-6.671663,3.19276,6.11111
5.205,-6.672434,3.19696,6.116049
5.225,-6.673259,3.2011,6.120952
5.245,-6.674366,3.204914,6.125949
5.265,-6.675438,3.208286,6.130615
5.285,-6.676254,3.211151,6.134756
5.305,-6.67745,3.213491,6.138272
5.325,-6.678247,3.214995,6.142041
5.345,-6.678736,3.217234,6.145812
5.365,-6.679492,3.219807,6.150056
5.385,-6.680017,3.222137,6.153632
5.405,-6.681248,3.224197,6.157484
5.425,-6.682952,3.225259,6.16096
5.445,-6.684043,3.227628,6.164186
5.465,-6.684281,3.232188,6.167211
5.485,-6.684319,3.236658,6.170077
5.505,-6.683745,3.238906,6.173614
5.525,-6.683345,3.240908,6.177514
5.545,-6.682268,3.243068,6.181798
5.565,-6.68094,3.245449,6.18649
5.585,-6.679095,3.24773,6.191268
5.605,-6.677294,3.250981,6.196805
5.625,-6.675446,3.254997,6.20144
5.645,-6.673522,3.259248,6.20626
5.665,-6.672285,3.263227,6.210573
5.685,-6.670875,3.267338,6.213941
5.705,-6.669839,3.272099,6.216555
5.725,-6.669222,3.276232,6.218787
5.745,-6.668508,3.279854,6.221779
5.765,-6.66745,3.283643,6.224794
5.785,-6.666443,3.287905,6.227554
5.805,-6.665783,3.292289,6.229948
5.825,-6.665378,3.296421,6.232045
5.845,-6.664452,3.300675,6.233886
5.865,-6.662444,3.305377,6.236302
5.885,-6.662867,3.309265,6.239187
5.905,-6.665851,3.30985,6.241261
5.925,-6.667888,3.309428,6.243032
5.945,-6.667331,3.311152,6.244624
5.965,-6.665659,3.314748,6.246236
5.985,-6.665086,3.317564,6.248172
6.005,-6.665533,3.317545,6.250642
6.025,-6.66614,3.315781,6.253495
6.045,-6.666278,3.313699,6.255673
6.065,-6.666341,3.312176,6.258579
6.085,-6.666452,3.310713,6.26362
6.105,-6.666395,3.307788,6.269622
6.125,-6.665284,3.303943,6.275267
7.831,-6.664927,3.299068,6.280844
7.851,-6.66486,3.293704,6.286176
7.871,-6.665321,3.288299,6.291471
7.891,-6.665682,3.283524,6.296604
7.911,-6.665464,3.278958,6.30145
7.931,-6.665201,3.274367,6.306569
7.951,-6.665179,3.269626,6.311832
7.971,-6.665206,3.264862,6.316463
7.991,-6.66449,3.259752,6.32107
8.011,-6.663805,3.254076,6.325675
8.031,-6.66296,3.248188,6.330894
8.051,-6.6632,3.243373,6.336497
8.071,-6.664564,3.239905,6.341022
8.091,-6.664836,3.236277,6.343956
8.111,-6.665489,3.231816,6.347702
8.131,-6.666877,3.22656,6.351286
8.151,-6.667701,3.222211,6.355218
8.171,-6.66957,3.217426,6.359302
8.191,-6.672139,3.209625,6.363944
8.211,-6.674203,3.20013,6.369353
8.231,-6.676438,3.189078,6.374899
8.251,-6.677071,3.176388,6.381085
8.271,-6.67614,3.163538,6.389435
8.291,-6.676081,3.14986,6.398205
8.311,-6.67698,3.134953,6.405809
8.331,-6.677655,3.120144,6.412165
8.351,-6.677917,3.107,6.418863
8.371,-6.676571,3.097391,6.426333
8.391,-6.674808,3.090844,6.433609
8.411,-6.674666,3.08424,6.439542
8.431,-6.675724,3.076014,6.444052
8.451,-6.676627,3.066681,6.448254
8.471,-6.677545,3.056651,6.453443
8.491,-6.678788,3.046407,6.459394
8.511,-6.680019,3.035224,6.46574
8.531,-6.679898,3.022689,6.47231
8.551,-6.678963,3.011018,6.478743
8.571,-6.679259,3.00143,6.48401
8.591,-6.68118,2.993491,6.488099
8.611,-6.683657,2.985166,6.491189
