gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.473,-0.736902,-0.01692,0.252207
0.493,-0.710655,-0.001998,0.273391
0.513,-0.667265,0.021553,0.294414
0.533,-0.617507,0.044056,0.314848
0.553,-0.565897,0.067014,0.332386
0.573,-0.512596,0.090315,0.344087
0.593,-0.466366,0.114759,0.349552
0.613,-0.433154,0.142686,0.352693
0.633,-0.408468,0.172387,0.354626
0.653,-0.387182,0.201146,0.357338
0.673,-0.371012,0.228712,0.361177
0.693,-0.361523,0.258311,0.367842
0.713,-0.35367,0.290286,0.378739
0.733,-0.339137,0.319905,0.393497
0.753,-0.315974,0.344597,0.410431
0.773,-0.288904,0.364855,0.425755
0.793,-0.265699,0.383058,0.438313
0.813,-0.25026,0.40012,0.448502
0.833,-0.240534,0.413581,0.456824
0.853,-0.235891,0.423246,0.462406
0.873,-0.234835,0.431508,0.464712
0.893,-0.237657,0.439434,0.4648
0.913,-0.244478,0.445761,0.462992
0.933,-0.252375,0.44917,0.459252
0.953,-0.258798,0.450839,0.453117
0.973,-0.261663,0.451727,0.44379
0.993,-0.261039,0.451873,0.431971
1.013,-0.258407,0.451342,0.418477
1.033,-0.254716,0.449483,0.404833
1.053,-0.252052,0.445794,0.39252
1.073,-0.252545,0.441057,0.382871
1.093,-0.257286,0.435765,0.375765
1.113,-0.266404,0.428908,0.370241
1.133,-0.279699,0.41954,0.364822
1.153,-0.295671,0.4093,0.359144
1.173,-0.311639,0.399471,0.352818
1.193,-0.325954,0.389431,0.345404
1.213,-0.337977,0.378329,0.337929
1.233,-0.347358,0.366697,0.331327
1.253,-0.352756,0.356044,0.325853
1.273,-0.351541,0.34691,0.32155
1.293,-0.343206,0.338015,0.318306
1.313,-0.328819,0.328334,0.316299
1.333,-0.309479,0.318271,0.315292
1.353,-0.287372,0.308055,0.314267
1.373,-0.265247,0.297388,0.312299
1.393,-0.2453,0.285788,0.30874
1.413,-0.228794,0.27355,0.303451
1.433,-0.21462,0.261425,0.296822
1.453,-0.201603,0.248931,0.2886
1.473,-0.188778,0.234699,0.279101
1.493,-0.175852,0.218528,0.268705
1.513,-0.161677,0.201377,0.257411
1.533,-0.144662,0.183662,0.244746
1.553,-0.122373,0.164886,0.230709
1.573,-0.093421,0.143205,0.216287
1.593,-0.058187,0.118536,0.202285
1.613,-0.01801,0.090297,0.189114
1.633,0.025414,0.056323,0.175986
1.653,0.068897,0.015689,0.162643
1.673,0.110675,-0.030445,0.149961
1.693,0.147053,-0.081592,0.138457
1.713,0.174237,-0.139834,0.128725
