accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.381,-8.339005,-3.359065,4.024653
0.401,-8.311471,-3.345897,4.019865
0.421,-8.295105,-3.32235,4.023057
0.441,-8.277338,-3.292603,4.009688
0.461,-8.244145,-3.232544,3.980104
0.481,-8.224396,-3.196433,3.946372
0.501,-8.207541,-3.179907,3.918132
0.521,-8.182283,-3.161199,3.888517
0.541,-8.158343,-3.134871,3.853416
0.561,-8.141344,-3.106073,3.818292
0.581,-8.139274,-3.076113,3.787971
0.601,-8.151012,-3.046874,3.768538
0.621,-8.171897,-3.015005,3.75938
0.641,-8.194657,-2.980337,3.751713
0.661,-8.220391,-2.950555,3.744427
0.681,-8.243713,-2.922928,3.745497
0.701,-8.261744,-2.894908,3.758003
0.721,-8.272224,-2.854768,3.77493
0.741,-8.264238,-2.803597,3.790734
0.761,-8.246425,-2.753041,3.8079
0.781,-8.226787,-2.703821,3.833002
0.801,-8.211584,-2.657357,3.865267
0.821,-8.199191,-2.616083,3.891959
0.841,-8.186801,-2.58819,3.911644
0.861,-8.176682,-2.576749,3.928983
0.881,-8.171813,-2.573852,3.951529
0.901,-8.173446,-2.571564,3.977277
0.921,-8.172224,-2.567526,4.000362
0.941,-8.16879,-2.566697,4.019554
0.961,-8.167316,-2.5678,4.036306
0.981,-8.171193,-2.566606,4.055517
1.001,-8.176598,-2.561115,4.073076
1.021,-8.181599,-2.555042,4.086718
1.041,-8.189065,-2.556751,4.099102
1.061,-8.199502,-2.567074,4.109233
1.081,-8.208961,-2.579509,4.114501
1.101,-8.209185,-2.583001,4.112378
1.121,-8.196191,-2.579183,4.106247
1.141,-8.186386,-2.569749,4.097738
1.161,-8.183058,-2.550948,4.089983
1.181,-8.170137,-2.522221,4.07859
1.201,-8.152238,-2.492614,4.073207
1.221,-8.136967,-2.459655,4.068744
1.241,-8.114778,-2.420085,4.054334
1.261,-8.088487,-2.387266,4.040764
1.281,-8.073579,-2.364058,4.043723
1.301,-8.061308,-2.336287,4.053027
1.321,-8.034437,-2.300212,4.061458
1.341,-7.99646,-2.2711,4.061651
1.361,-7.95431,-2.259002,4.058602
1.381,-7.916072,-2.261686,4.058439
1.401,-7.888406,-2.26956,4.070399
1.421,-7.86692,-2.265257,4.092439
1.441,-7.838969,-2.250817,4.109915
1.461,-7.815722,-2.243007,4.121863
1.481,-7.811508,-2.239887,4.137647
1.501,-7.812226,-2.227541,4.165695
1.521,-7.812768,-2.19407,4.200235
1.541,-7.810784,-2.14178,4.229299
1.561,-7.812987,-2.089896,4.258011
1.581,-7.814643,-2.043689,4.288052
1.601,-7.79811,-2.006592,4.319414
1.621,-7.785616,-1.974277,4.353016
1.641,-7.781256,-1.934824,4.376153
1.661,-7.763848,-1.879529,4.392542
1.681,-7.739424,-1.813991,4.41036
1.701,-7.708697,-1.751545,4.420795
1.721,-7.653756,-1.698465,4.408649
1.741,-7.573781,-1.662388,4.379178
1.761,-7.482188,-1.646454,4.354447
1.781,-7.38609,-1.63309,4.343062
1.801,-7.284989,-1.599944,4.34699
1.821,-7.177315,-1.566669,4.352443
1.841,-7.055545,-1.564132,4.345706
1.861,-6.907411,-1.514794,4.29568
1.881,-6.653272,-1.362473,4.176254
1.901,-6.143358,-1.19796,4.033169
1.921,-5.469229,-1.215213,3.888224
1.941,-5.063509,-1.518262,3.62635
1.961,-5.064836,-2.139612,3.177109
1.981,-8.558389,-5.126642,5.638422
2.001,-13.82796,-10.39427,4.012204
2.021,-13.12157,6.333624,-4.642065
2.041,-7.417935,28.37645,12.66362
2.061,-5.577328,11.53636,14.83732
2.081,-3.587522,-7.542952,5.369137
2.101,-1.744758,-16.31322,4.282845
2.121,-3.022672,-14.04982,8.01826
2.141,-1.759479,-8.568762,11.42427
2.161,0.647163,-9.307615,7.587959
2.181,-2.397708,-15.09437,3.284709
2.201,1.896665,-13.19114,0.215357
2.221,3.286735,-13.57089,0.534057
2.241,1.080182,-11.75898,2.881035
2.261,1.258685,-9.529249,4.215033
2.281,1.950242,-8.08293,4.575303
2.301,2.067021,-6.704288,4.625464
2.321,2.371528,-5.620736,5.170485
2.341,2.278759,-5.677752,5.732227
2.361,1.890399,-6.176281,6.004364
3.17,1.841208,-5.634634,6.493536
3.19,1.789462,-5.152916,6.946393
3.21,1.747699,-4.75528,7.332356
3.23,1.716303,-4.470396,7.648688
3.25,1.689591,-4.252092,7.907702
3.27,1.66443,-4.051526,8.145723
3.29,1.653292,-3.867725,8.347878
3.31,1.652791,-3.717741,8.511139
3.33,1.649406,-3.616514,8.666931
3.35,1.638147,-3.544005,8.80275
3.37,1.636555,-3.452121,8.932384
3.39,1.636836,-3.349101,9.041767
3.41,1.639063,-3.263964,9.125873
3.43,1.639524,-3.202933,9.202057
3.45,1.635529,-3.159866,9.27841
3.47,1.640051,-3.116832,9.357631
3.49,1.642463,-3.068669,9.430443
3.51,1.642819,-3.025574,9.49781
3.53,1.641943,-2.993468,9.556614
3.55,1.643374,-2.963035,9.61069
3.57,1.656135,-2.917274,9.656207
3.59,1.660297,-2.865975,9.704852
3.61,1.659732,-2.829177,9.756178
3.63,1.661771,-2.803352,9.801027
3.65,1.665972,-2.779588,9.839778
3.67,1.673749,-2.751528,9.874508
3.69,1.684284,-2.727566,9.902292
3.71,1.692364,-2.706104,9.918735
