accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.579,-9.196129,-1.996764,2.449268
0.599,-9.208099,-2.042254,2.349909
0.619,-9.240826,-2.114124,2.250417
0.639,-9.27577,-2.197485,2.138755
0.659,-9.305865,-2.29808,2.024894
0.679,-9.373555,-2.416788,1.926247
0.699,-9.458156,-2.488364,1.832086
0.719,-9.508526,-2.504986,1.747323
0.739,-9.527529,-2.488707,1.682657
0.759,-9.554839,-2.452138,1.629928
0.779,-9.595948,-2.397859,1.585012
0.799,-9.631272,-2.329494,1.549248
0.819,-9.642216,-2.25911,1.521871
0.839,-9.632566,-2.199757,1.501977
0.859,-9.629101,-2.163442,1.489224
0.879,-9.619517,-2.135578,1.479331
0.899,-9.587955,-2.114698,1.465538
0.919,-9.546617,-2.101318,1.456318
0.939,-9.51543,-2.09333,1.461487
0.959,-9.507217,-2.071043,1.478602
0.979,-9.523135,-2.038004,1.498329
0.999,-9.517549,-2.001616,1.527097
1.019,-9.459455,-1.965766,1.571741
1.039,-9.371302,-1.926985,1.640238
1.059,-9.280416,-1.877363,1.717667
1.079,-9.205516,-1.816973,1.789629
1.099,-9.147109,-1.760463,1.850223
1.119,-9.109035,-1.712031,1.904188
1.139,-9.112224,-1.662481,1.958343
1.159,-9.145293,-1.601997,2.026827
1.179,-9.175387,-1.53562,2.110808
1.199,-9.174513,-1.481931,2.198042
1.219,-9.138809,-1.449079,2.2739
1.239,-9.079076,-1.428586,2.341912
1.259,-9.014271,-1.412396,2.410968
1.279,-8.957768,-1.394609,2.486558
1.299,-8.908998,-1.378234,2.564556
1.319,-8.863287,-1.367155,2.639151
1.339,-8.82731,-1.362253,2.708058
1.359,-8.824979,-1.370382,2.776909
1.379,-8.860689,-1.39418,2.856935
1.399,-8.87902,-1.421533,2.947151
1.419,-8.850028,-1.437135,3.026088
1.439,-8.7998,-1.439629,3.077897
1.459,-8.749741,-1.430953,3.100493
1.479,-8.717397,-1.415148,3.1146
1.499,-8.712856,-1.395527,3.137365
1.519,-8.739648,-1.374767,3.16279
1.539,-8.780695,-1.34925,3.17811
1.559,-8.815376,-1.316926,3.180735
1.579,-8.839026,-1.28762,3.176397
1.599,-8.845455,-1.267704,3.171254
1.619,-8.833277,-1.259189,3.160076
1.639,-8.80896,-1.257506,3.13994
1.659,-8.7789,-1.256695,3.113822
1.679,-8.758793,-1.251699,3.092547
1.699,-8.7498,-1.232798,3.07636
1.719,-8.742866,-1.202304,3.064594
1.739,-8.736325,-1.167405,3.052252
1.759,-8.729895,-1.131047,3.038195
1.779,-8.717818,-1.097579,3.022453
1.799,-8.699765,-1.070502,3.006125
1.819,-8.685602,-1.048866,2.990612
1.839,-8.673894,-1.026217,2.974883
1.859,-8.662156,-1.002772,2.960436
1.879,-8.651298,-0.981669,2.948635
1.899,-8.647882,-0.964943,2.93971
1.919,-8.649364,-0.946375,2.933129
1.939,-8.643104,-0.928398,2.924956
1.959,-8.625145,-0.911591,2.915505
1.979,-8.600484,-0.898157,2.906239
1.999,-8.570866,-0.879667,2.897101
2.019,-8.538922,-0.859262,2.887447
2.039,-8.506861,-0.842677,2.875188
2.059,-8.477637,-0.832455,2.862681
2.079,-8.446927,-0.810799,2.847432
2.099,-8.41526,-0.779793,2.831043
2.119,-8.392941,-0.747263,2.814705
2.139,-8.388013,-0.718706,2.803321
2.159,-8.391227,-0.687763,2.793617
2.179,-8.389792,-0.658584,2.781569
2.199,-8.385612,-0.639947,2.769025
2.219,-8.381482,-0.628432,2.75555
2.239,-8.363872,-0.609654,2.74611
2.259,-8.330115,-0.583152,2.742704
2.279,-8.298101,-0.562506,2.740747
2.299,-8.274437,-0.549363,2.730487
2.319,-8.252887,-0.541467,2.718796
2.339,-8.22782,-0.542197,2.70552
2.359,-8.198528,-0.544071,2.689898
2.379,-8.161723,-0.532326,2.672006
2.399,-8.115819,-0.511257,2.648079
2.419,-8.068256,-0.498819,2.62121
2.439,-8.013243,-0.498107,2.601702
2.459,-7.950304,-0.485947,2.594125
2.479,-7.884766,-0.462206,2.587936
2.499,-7.810205,-0.456364,2.565119
2.519,-7.737392,-0.469269,2.554848
2.539,-7.690298,-0.499853,2.557651
2.559,-7.58252,-0.540759,2.519943
2.695,-7.082229,0.174348,2.455161
2.715,-6.49882,0.32557,2.731393
2.735,-6.207501,-0.583926,2.743624
2.755,-5.97511,-2.065502,2.800101
2.775,-5.795102,-3.099748,2.994262
2.795,-5.38592,-4.060282,3.257906
2.815,-4.495912,-4.481475,3.290629
2.835,-4.635221,-4.597394,3.258878
2.855,-4.880627,-4.280011,3.432707
2.875,-4.909842,-3.875309,3.749866
2.895,-4.779891,-4.053609,3.942242
2.915,-4.306859,-4.421556,3.89167
2.935,-4.065273,-4.794471,3.866541
2.955,-3.873539,-5.222108,4.008409
2.975,-3.705418,-5.275128,4.215
2.995,-3.505561,-4.777386,4.385987
3.015,-3.278716,-4.407024,4.515968
3.035,-3.176771,-4.865276,4.558312
3.055,-3.096062,-5.638337,4.520373
3.075,-2.742513,-5.744962,4.5406
3.095,-2.376937,-5.408649,4.761281
3.115,-2.100113,-5.392136,5.055516
3.135,-1.910531,-5.646133,5.219868
3.155,-1.748983,-5.884803,5.242107
3.175,-1.59286,-5.942163,5.205168
3.195,-1.444736,-5.8866,5.199394
3.215,-1.312913,-5.977209,5.272452
3.235,-1.193207,-6.143553,5.416553
3.255,-1.116665,-6.263004,5.539289
3.275,-1.044236,-6.309678,5.613335
3.295,-0.966146,-6.319799,5.669338
3.315,-0.890386,-6.345529,5.713826
3.335,-0.823714,-6.387335,5.759776
3.355,-0.792287,-6.446022,5.807523
3.375,-0.782782,-6.520073,5.841433
3.395,-0.767733,-6.602683,5.846305
3.415,-0.734524,-6.709289,5.826857
3.435,-0.733927,-6.85961,5.807158
3.455,-0.706856,-6.965343,5.797554
3.475,-0.673608,-7.011761,5.803944
3.495,-0.649756,-7.053893,5.818365
3.515,-0.622984,-7.098195,5.831763
3.535,-0.586526,-7.134699,5.838969
3.555,-0.549601,-7.171612,5.8457
3.575,-0.515975,-7.207492,5.854519
3.595,-0.48263,-7.23841,5.864645
3.615,-0.450528,-7.267541,5.874382
3.635,-0.419938,-7.299951,5.878485
3.655,-0.385226,-7.335512,5.879688
3.675,-0.353177,-7.372324,5.879048
3.695,-0.325244,-7.409673,5.878277
3.715,-0.300628,-7.445957,5.877799
3.735,-0.278318,-7.479046,5.877087
3.755,-0.258687,-7.508842,5.875509
3.775,-0.241217,-7.537245,5.874286
3.795,-0.222634,-7.566089,5.872394
3.815,-0.203646,-7.594832,5.869636
3.835,-0.185556,-7.621735,5.865181
3.855,-0.168029,-7.646834,5.860976
3.875,-0.152786,-7.672051,5.856784
3.895,-0.139323,-7.696026,5.851288
3.915,-0.127491,-7.722783,5.844116
3.935,-0.115216,-7.752927,5.834102
3.955,-0.102992,-7.782607,5.824047
3.975,-0.091543,-7.812607,5.813284
3.995,-0.080063,-7.841191,5.801795
4.015,-0.067744,-7.870361,5.789233
4.035,-0.054176,-7.898181,5.776717
