gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.463,-0.120175,0.061686,-0.040769
1.483,-0.109783,0.064684,-0.049029
1.503,-0.098453,0.066882,-0.05787
1.523,-0.091819,0.069681,-0.064858
1.543,-0.087385,0.072346,-0.070387
1.563,-0.082805,0.075657,-0.074384
1.583,-0.081402,0.078575,-0.076095
1.603,-0.08636,0.080163,-0.076627
1.623,-0.100255,0.080138,-0.074562
1.643,-0.126174,0.078931,-0.069586
1.663,-0.168087,0.077263,-0.061171
1.683,-0.225329,0.075551,-0.047825
1.703,-0.291761,0.074677,-0.029798
1.723,-0.360773,0.074033,-0.009222
1.743,-0.430261,0.073662,0.015092
1.763,-0.498247,0.076552,0.042928
1.783,-0.558836,0.083329,0.073729
1.803,-0.605969,0.092455,0.107776
1.823,-0.641065,0.101383,0.142448
1.843,-0.667943,0.110726,0.177248
1.863,-0.686645,0.122221,0.213559
1.883,-0.695219,0.136035,0.250923
1.903,-0.694222,0.150428,0.288705
1.923,-0.68721,0.16403,0.326048
1.943,-0.676197,0.177901,0.36216
1.963,-0.66153,0.192469,0.398743
1.983,-0.645684,0.207009,0.435062
2.003,-0.630125,0.221106,0.470783
2.023,-0.616124,0.234775,0.506291
2.043,-0.605151,0.248018,0.539665
2.063,-0.597067,0.261125,0.570491
2.083,-0.591726,0.27219,0.59788
2.103,-0.589672,0.283029,0.62295
2.123,-0.589822,0.295131,0.646475
2.143,-0.591774,0.308435,0.667499
2.163,-0.594971,0.321645,0.685466
2.183,-0.601073,0.333712,0.701451
2.203,-0.611338,0.345406,0.715239
2.223,-0.623255,0.356908,0.728608
2.243,-0.633408,0.36806,0.740276
2.263,-0.639551,0.378374,0.749407
2.283,-0.63947,0.38822,0.757317
2.303,-0.632114,0.39887,0.762968
2.323,-0.618706,0.409647,0.766874
2.343,-0.603114,0.419975,0.768123
2.363,-0.586431,0.429633,0.765615
2.383,-0.565849,0.438062,0.760392
2.403,-0.542204,0.444295,0.753189
2.423,-0.521024,0.447714,0.743936
2.443,-0.504919,0.44761,0.733123
2.463,-0.494739,0.443458,0.720483
2.483,-0.490362,0.436351,0.70533
2.503,-0.490866,0.426756,0.687695
2.523,-0.493364,0.414522,0.668772
2.543,-0.497079,0.400101,0.647346
2.563,-0.499238,0.38383,0.623372
2.583,-0.497398,0.365041,0.595914
2.603,-0.494446,0.342997,0.56284
2.623,-0.491431,0.317588,0.52219
2.643,-0.487203,0.289525,0.472995
2.663,-0.481884,0.258489,0.413542
2.683,-0.480827,0.223059,0.341022
2.703,-0.485457,0.179253,0.251994
2.723,-0.49229,0.128173,0.14465
2.743,-0.500821,0.071574,0.015566
2.763,-0.502834,0.012325,-0.134092
2.783,-0.495666,-0.039573,-0.291217
2.803,-0.49721,-0.072308,-0.41763
2.823,-0.506947,-0.08294,-0.496305
2.843,-0.581314,-0.179705,-0.683029
2.863,-0.494466,-0.274526,-0.815773
2.883,-0.376372,-0.285959,-1.007399
2.903,-0.388432,-0.365782,-1.101075
2.923,-0.498813,-0.484293,-1.212838
2.943,-0.618508,-0.5922,-1.39412
2.963,-0.664382,-0.661611,-1.573068
2.983,-0.574553,-0.709132,-1.706188
3.003,-0.520765,-0.780662,-1.862885
3.023,-0.522692,-0.876574,-1.999039
3.043,-0.569745,-0.971114,-2.128097
3.063,-0.70512,-1.076145,-2.271739
3.083,-0.834098,-1.1239,-2.390019
3.103,-0.789335,-1.057005,-2.380656
3.123,-0.639339,-0.951387,-2.404104
3.143,-0.591467,-0.878032,-2.285791
3.163,-0.581216,-0.819272,-2.0957
3.183,-0.602821,-0.783178,-1.906178
3.203,-0.628718,-0.76642,-1.770189
3.223,-0.574294,-0.746956,-1.670448
3.243,-0.473751,-0.725533,-1.568422
3.263,-0.396331,-0.705949,-1.438976
3.283,-0.367058,-0.68674,-1.285211
3.303,-0.332796,-0.665597,-1.140036
3.323,-0.267713,-0.649686,-1.008339
3.343,-0.203159,-0.638515,-0.892682
3.363,-0.147355,-0.621007,-0.808355
3.383,-0.08267,-0.594926,-0.745075
3.403,-0.015875,-0.565836,-0.688527
3.423,0.023411,-0.539762,-0.637376
3.443,0.025279,-0.518469,-0.591922
3.636,0.018256,-0.498006,-0.55965
3.656,0.002369,-0.480672,-0.531254
3.676,-0.013561,-0.463909,-0.50425
3.696,-0.020621,-0.445983,-0.478233
3.716,-0.024836,-0.428462,-0.456473
3.736,-0.033088,-0.412943,-0.437914
3.756,-0.042939,-0.398868,-0.420154
3.776,-0.05192,-0.385443,-0.401837
3.796,-0.059816,-0.373763,-0.385945
3.816,-0.066067,-0.363397,-0.372201
