accel_time_list,accel_x_list,accel_y_list,accel_z_list
1.28,-8.76996,-1.58975,3.478775
1.3,-8.734047,-1.620875,3.411737
1.32,-8.718877,-1.654407,3.372597
1.34,-8.77059,-1.696347,3.379999
1.36,-8.854447,-1.748885,3.392591
1.38,-8.921331,-1.804789,3.398985
1.4,-8.961252,-1.860615,3.394642
1.42,-8.981829,-1.916744,3.389287
1.44,-8.996205,-1.96613,3.384589
1.46,-9.013741,-2.007634,3.38779
1.48,-9.035121,-2.037189,3.394554
1.5,-9.043047,-2.056119,3.399791
1.52,-9.041172,-2.07043,3.408657
1.54,-9.039913,-2.076749,3.418665
1.56,-9.037372,-2.077334,3.425099
1.58,-9.025474,-2.082567,3.431332
1.6,-9.012691,-2.086748,3.439951
1.62,-9.008462,-2.086263,3.450966
1.64,-8.994341,-2.081986,3.457528
1.66,-8.970317,-2.074611,3.47407
1.68,-8.956413,-2.057387,3.491724
1.7,-8.947428,-2.038925,3.515546
1.72,-8.941564,-2.015005,3.544488
1.74,-8.935172,-1.98942,3.580965
1.76,-8.933212,-1.980231,3.644918
1.78,-8.95193,-1.98479,3.724914
1.8,-8.9745,-1.986439,3.797696
1.82,-8.988397,-1.993441,3.87088
1.84,-8.998963,-2.004221,3.954989
1.86,-9.011972,-2.038246,4.064172
1.88,-9.031297,-2.091126,4.174063
1.9,-9.033627,-2.138911,4.26466
1.92,-9.006839,-2.179393,4.340667
1.94,-8.965576,-2.225145,4.423685
1.96,-8.922031,-2.271786,4.511376
1.98,-8.867549,-2.318116,4.596602
2,-8.796525,-2.36869,4.675929
2.02,-8.706999,-2.43071,4.750815
2.04,-8.605411,-2.497184,4.821194
2.06,-8.493484,-2.564508,4.890515
2.08,-8.365747,-2.635374,4.955636
2.1,-8.217781,-2.697511,5.001567
2.12,-8.040804,-2.734196,5.018801
2.14,-7.833582,-2.756438,5.017492
2.16,-7.610229,-2.794667,5.027161
2.18,-7.392262,-2.844218,5.052258
2.2,-7.175765,-2.885642,5.075045
2.22,-6.942296,-2.917051,5.098696
2.24,-6.69479,-2.959094,5.127475
2.26,-6.441689,-3.015934,5.167672
2.28,-6.198188,-3.090275,5.217462
2.3,-5.965888,-3.164319,5.249171
2.32,-5.711997,-3.21426,5.247672
2.34,-5.422046,-3.231689,5.220896
2.36,-5.106157,-3.224915,5.18791
2.38,-4.760896,-3.206664,5.144697
2.4,-4.366643,-3.15166,5.084217
2.42,-3.937964,-3.052178,4.999884
2.44,-3.492192,-2.914411,4.887774
2.46,-3.026919,-2.749607,4.786374
2.48,-2.571003,-2.614262,4.676433
2.5,-2.182468,-2.52401,4.531917
2.52,-1.93878,-2.404946,4.376046
2.54,-1.83436,-2.179864,4.266789
2.56,-1.82028,-1.900873,4.17832
2.58,-1.84289,-1.772967,4.044382
2.6,-1.999993,-1.750232,3.860154
2.62,-2.513356,-1.632108,3.663635
2.64,-3.827238,-1.725025,3.652708
2.66,-6.658952,-1.620875,3.114643
2.68,-16.4491,-1.487679,3.788559
2.7,-2.674357,-1.415627,1.974001
2.72,17.01981,-1.171327,3.7204
2.74,-2.186373,-1.808854,4.799938
2.76,0.648194,-2.872615,5.850729
2.78,2.369766,-2.345086,5.117964
2.8,4.819428,-1.595843,6.417377
2.82,4.178632,-2.664796,6.100531
2.84,3.71667,-4.068053,6.238008
2.86,4.280682,-3.272934,6.850982
2.88,3.347352,-3.559478,6.480622
2.9,1.172486,-4.797349,5.895589
2.92,0.475875,-5.139349,6.114563
2.94,-0.174212,-4.742485,6.551383
2.96,-0.153331,-4.730278,6.764167
2.98,0.006994,-4.841481,6.901608
3,0.283608,-4.95903,7.064674
