gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.52,-0.150551,0.085668,0.224894
1.54,-0.150285,0.090397,0.227159
1.56,-0.156724,0.094462,0.231512
1.58,-0.168776,0.09786,0.234922
1.6,-0.183646,0.100966,0.236781
1.62,-0.195487,0.104282,0.236487
1.64,-0.203493,0.106955,0.234259
1.66,-0.213868,0.108077,0.23027
1.68,-0.228891,0.107599,0.224881
1.7,-0.246385,0.106697,0.218469
1.72,-0.264224,0.104867,0.211039
1.74,-0.278556,0.101973,0.203542
1.76,-0.287081,0.098577,0.196343
1.78,-0.291795,0.093801,0.189154
1.8,-0.298448,0.085744,0.180721
1.82,-0.314966,0.073981,0.169922
1.84,-0.344007,0.061118,0.15685
1.86,-0.378049,0.048879,0.142508
1.88,-0.408031,0.037251,0.127312
1.9,-0.425697,0.026103,0.113113
1.92,-0.426223,0.01534,0.100166
1.94,-0.413846,0.004796,0.087079
1.96,-0.396059,-0.006699,0.073138
1.98,-0.378413,-0.019843,0.05727
2,-0.364189,-0.034734,0.038735
2.02,-0.354462,-0.051165,0.017132
2.04,-0.350185,-0.068143,-0.00695
2.06,-0.350724,-0.084793,-0.032007
2.08,-0.35253,-0.100879,-0.055953
2.1,-0.352383,-0.117269,-0.078059
2.12,-0.349184,-0.134285,-0.098111
2.14,-0.343166,-0.151359,-0.116179
2.16,-0.334578,-0.168065,-0.133166
2.18,-0.32393,-0.18463,-0.149927
2.2,-0.31127,-0.201195,-0.166722
2.22,-0.296755,-0.218013,-0.183471
2.24,-0.281535,-0.234934,-0.200379
2.26,-0.267009,-0.250837,-0.216776
2.28,-0.253037,-0.26529,-0.231992
2.3,-0.239427,-0.278981,-0.24572
2.32,-0.226711,-0.29147,-0.257882
2.34,-0.215001,-0.302192,-0.268945
2.36,-0.202703,-0.312063,-0.279634
2.38,-0.187644,-0.321604,-0.291046
2.4,-0.169045,-0.330673,-0.303354
2.42,-0.14832,-0.338997,-0.315795
2.44,-0.127993,-0.346856,-0.327342
2.46,-0.109324,-0.355091,-0.337858
2.48,-0.092819,-0.364161,-0.348427
2.5,-0.079335,-0.372805,-0.359592
2.52,-0.069423,-0.380384,-0.371941
2.54,-0.060658,-0.387737,-0.385724
2.56,-0.050575,-0.395594,-0.400612
2.58,-0.038895,-0.404495,-0.416283
2.6,-0.02551,-0.415,-0.433676
2.62,-0.009647,-0.427483,-0.453321
2.64,0.009238,-0.442294,-0.474333
2.66,0.02805,-0.459156,-0.4972
2.68,0.044784,-0.477796,-0.520707
2.7,0.053266,-0.495166,-0.538559
2.72,0.03823,-0.50127,-0.537599
2.74,-0.004013,-0.498051,-0.509791
2.76,-0.06753,-0.496134,-0.468843
2.78,-0.128557,-0.496223,-0.438363
2.8,-0.166653,-0.4897,-0.415279
2.82,-0.169708,-0.470146,-0.389856
2.84,-0.141596,-0.44699,-0.374893
2.86,-0.097293,-0.430687,-0.372449
2.88,-0.048068,-0.419339,-0.372669
2.9,-0.003087,-0.412317,-0.370616
2.92,0.033937,-0.410366,-0.374125
2.94,0.061845,-0.410321,-0.38373
2.96,0.076075,-0.408218,-0.394614
2.98,0.074879,-0.403293,-0.403727
3,0.07042,-0.395143,-0.407252
3.02,0.077832,-0.385068,-0.403934
3.04,0.090926,-0.375454,-0.399023
3.06,0.098279,-0.366994,-0.393989
3.08,0.098647,-0.357717,-0.391545
3.1,0.108966,-0.348329,-0.388221
3.12,0.141201,-0.343422,-0.384863
3.14,0.191859,-0.342453,-0.380869
3.16,0.250792,-0.343885,-0.373483
3.18,0.308953,-0.348862,-0.361254
