accel_time_list,accel_x_list,accel_y_list,accel_z_list
1.535,-8.63828,-3.031059,3.392584
1.555,-8.670601,-3.011906,3.415329
1.575,-8.675791,-3.018292,3.387787
1.595,-8.656828,-3.032262,3.366822
1.615,-8.655511,-3.049272,3.361912
1.635,-8.655432,-3.061416,3.360638
1.655,-8.65298,-3.067008,3.357331
1.675,-8.647547,-3.062805,3.354851
1.695,-8.649712,-3.040613,3.35825
1.715,-8.673495,-3.006256,3.373437
1.735,-8.704566,-2.958581,3.388495
1.755,-8.722495,-2.905192,3.394646
1.775,-8.739165,-2.866751,3.398556
1.795,-8.761749,-2.854305,3.395035
1.815,-8.779417,-2.856882,3.386211
1.835,-8.790949,-2.856539,3.374272
1.855,-8.795125,-2.851219,3.364152
1.875,-8.786423,-2.845413,3.353808
1.895,-8.783241,-2.855358,3.342382
1.915,-8.780502,-2.867844,3.326156
1.935,-8.772128,-2.870539,3.313758
1.955,-8.767939,-2.87565,3.307338
1.975,-8.768134,-2.879038,3.303699
1.995,-8.762338,-2.877562,3.303103
2.015,-8.752433,-2.876206,3.305377
2.035,-8.738875,-2.874675,3.310375
2.055,-8.719238,-2.871994,3.312028
2.075,-8.692437,-2.874384,3.309651
2.095,-8.664366,-2.885438,3.306851
2.115,-8.641581,-2.903598,3.309514
2.135,-8.625099,-2.923742,3.314909
2.155,-8.609461,-2.942247,3.320122
2.175,-8.590931,-2.954885,3.3248
2.195,-8.573296,-2.965995,3.335453
2.215,-8.559457,-2.979619,3.351959
2.235,-8.540646,-2.992097,3.366726
2.255,-8.512572,-3.003717,3.376201
2.275,-8.483642,-3.020041,3.386758
2.295,-8.456553,-3.040635,3.402147
2.315,-8.421704,-3.063411,3.421068
2.335,-8.376586,-3.08832,3.440631
2.355,-8.328156,-3.118897,3.46454
2.375,-8.280666,-3.151639,3.490523
2.395,-8.229227,-3.181678,3.520255
2.415,-8.171569,-3.207283,3.553379
2.435,-8.110108,-3.236352,3.590089
2.455,-8.045344,-3.266918,3.624112
2.475,-7.970502,-3.291114,3.652592
2.495,-7.885817,-3.315605,3.671181
2.515,-7.790467,-3.346457,3.684783
2.535,-7.686651,-3.392641,3.701958
2.555,-7.583883,-3.451521,3.729095
2.575,-7.478586,-3.500757,3.756963
2.595,-7.362999,-3.536395,3.782778
2.615,-7.24385,-3.578892,3.814317
2.635,-7.132381,-3.639466,3.862277
2.655,-7.022943,-3.714133,3.916918
2.675,-6.902279,-3.791694,3.963446
2.695,-6.756634,-3.855989,3.995044
2.715,-6.595363,-3.915848,4.020696
2.735,-6.447137,-3.99694,4.050892
2.755,-6.318814,-4.100234,4.079896
2.775,-6.18467,-4.188642,4.099094
2.795,-6.025976,-4.232522,4.103535
2.815,-5.854982,-4.241845,4.111971
2.835,-5.686417,-4.245744,4.121983
2.855,-5.499172,-4.279536,4.118577
2.875,-5.261338,-4.345777,4.099614
2.895,-4.970597,-4.406589,4.078002
2.915,-4.639415,-4.422571,4.06422
2.935,-4.238681,-4.434507,4.041244
2.955,-3.739514,-4.514328,4.002658
2.975,-3.24521,-4.640337,3.938624
2.995,-2.852493,-4.700844,3.857642
3.015,-2.629493,-4.58852,3.795263
3.035,-2.867671,-4.251804,3.758932
3.055,-3.333546,-3.846477,3.649047
3.075,-3.515212,-3.732619,3.495953
3.095,-3.484876,-4.070008,3.391015
3.115,-3.617736,-4.647296,3.166785
3.135,-7.613637,-6.324624,5.061809
3.155,-8.836597,-5.172563,2.828681
3.175,-1.917563,1.109483,1.927624
3.195,-10.75933,-5.999157,5.577918
3.215,-8.022098,-13.38225,4.249275
3.235,-5.985789,-13.85852,4.823962
3.255,-7.669971,-8.378686,4.784394
3.275,-8.773947,-3.43897,5.419495
3.295,-8.174765,-2.864699,5.57339
3.315,-7.045975,-3.995615,5.027243
3.335,-6.19178,-4.105798,4.600695
3.355,-6.479618,-3.227808,5.212155
3.375,-6.882947,-2.274901,5.974092
3.395,-6.786473,-2.016419,6.343941
3.415,-6.542326,-2.20705,6.287719
3.435,-6.250928,-1.96944,6.253485
3.455,-6.263159,-1.567788,6.481821
3.475,-6.405995,-1.387115,6.725336
3.495,-6.587885,-1.572321,6.826293
3.515,-6.575819,-1.822309,6.888485
3.731,-6.553573,-1.701306,6.956769
3.751,-6.545675,-1.631692,6.997779
3.771,-6.531479,-1.568704,7.039021
3.791,-6.51326,-1.514141,7.08892
3.811,-6.486698,-1.468368,7.144217
3.831,-6.466349,-1.412784,7.195116
3.851,-6.441312,-1.378398,7.246118
3.871,-6.417387,-1.340809,7.294902
3.891,-6.397686,-1.30215,7.341845
3.911,-6.372941,-1.273147,7.390615
3.931,-6.34893,-1.260284,7.429527
3.951,-6.32964,-1.228632,7.466592
3.971,-6.308303,-1.180224,7.500859
3.991,-6.278768,-1.133136,7.53232
4.011,-6.253638,-1.095845,7.57091
4.031,-6.231841,-1.069921,7.607963
4.051,-6.207853,-1.039932,7.643531
4.071,-6.183621,-1.013375,7.674509
4.091,-6.162226,-0.991414,7.695179
4.111,-6.14168,-0.961773,7.713514
4.131,-6.132161,-0.943016,7.742502
4.151,-6.126758,-0.935611,7.76537
4.171,-6.121948,-0.932148,7.780347
4.191,-6.117406,-0.924549,7.79072
4.211,-6.114787,-0.911127,7.802126
4.231,-6.115375,-0.89759,7.811031
4.251,-6.119298,-0.887617,7.816227
4.271,-6.121784,-0.873509,7.819863
4.291,-6.122514,-0.858591,7.825515
4.311,-6.125745,-0.845819,7.830888
4.331,-6.129574,-0.833788,7.835103
4.351,-6.132271,-0.828699,7.8373
4.371,-6.134625,-0.822949,7.838535
4.391,-6.138117,-0.813512,7.839824
4.411,-6.141143,-0.804495,7.839414
4.431,-6.145182,-0.795475,7.840413
4.451,-6.148701,-0.780778,7.843359
4.471,-6.151133,-0.769722,7.846439
4.491,-6.154054,-0.763784,7.844564
4.511,-6.156,-0.757037,7.846513
4.531,-6.15806,-0.751441,7.849401
4.551,-6.160965,-0.74485,7.851703
4.571,-6.164764,-0.744496,7.849584
4.591,-6.16883,-0.734142,7.850107
4.611,-6.170166,-0.719147,7.852407
4.631,-6.171023,-0.707296,7.853301
4.651,-6.170621,-0.710652,7.85078
4.671,-6.173357,-0.710291,7.849667
4.691,-6.176455,-0.702758,7.852661
4.711,-6.17901,-0.698504,7.854565
4.731,-6.181922,-0.694702,7.85596
4.751,-6.184194,-0.694091,7.85707
4.771,-6.185546,-0.694816,7.855979
4.791,-6.187085,-0.688101,7.855699
4.811,-6.18779,-0.679412,7.856151
4.831,-6.188289,-0.675684,7.857941
4.851,-6.190482,-0.675756,7.858383
4.871,-6.192075,-0.674211,7.858738
4.891,-6.193091,-0.669574,7.859657
4.911,-6.193101,-0.66645,7.86062
4.931,-6.193765,-0.665002,7.861033
4.951,-6.195529,-0.661405,7.862363
4.971,-6.196711,-0.657066,7.86352
4.991,-6.196902,-0.653498,7.863942
5.011,-6.19686,-0.652999,7.86551
5.031,-6.197237,-0.653361,7.866678
5.051,-6.197477,-0.650827,7.868427
5.071,-6.197523,-0.647468,7.869974
5.091,-6.19763,-0.643824,7.871575
5.111,-6.197367,-0.641681,7.871738
5.131,-6.197473,-0.637507,7.873401
5.151,-6.197874,-0.634025,7.875358
5.171,-6.198,-0.634225,7.877479
5.191,-6.198589,-0.632661,7.878244
5.211,-6.198963,-0.629873,7.879519
5.231,-6.199016,-0.627496,7.880823
5.251,-6.198786,-0.626102,7.881695
5.271,-6.198839,-0.623644,7.882405
5.291,-6.19966,-0.621151,7.884502
5.311,-6.199702,-0.619763,7.885859
5.331,-6.199474,-0.618496,7.886582
5.351,-6.199704,-0.615563,7.888622
5.371,-6.199061,-0.614229,7.890431
5.391,-6.198041,-0.612638,7.891749
5.411,-6.197532,-0.608845,7.893858
5.431,-6.196575,-0.603977,7.89611
5.451,-6.195283,-0.601293,7.897771
5.471,-6.194142,-0.600488,7.899193
5.491,-6.193024,-0.601149,7.901123
5.511,-6.192123,-0.60039,7.903697
5.531,-6.191216,-0.597053,7.906349
5.551,-6.190447,-0.592877,7.909101
5.571,-6.189451,-0.589146,7.912027
5.591,-6.187842,-0.585797,7.914999
5.611,-6.185747,-0.582641,7.91753
5.631,-6.184511,-0.579646,7.920691
5.651,-6.182473,-0.577652,7.922698
5.671,-6.180718,-0.575999,7.924946
5.691,-6.178288,-0.573225,7.927219
5.711,-6.175881,-0.569954,7.9299
6.482,-6.174767,-0.569359,7.931884
6.502,-6.174047,-0.570539,7.933537
6.522,-6.173239,-0.572254,7.934887
6.542,-6.172319,-0.57093,7.936749
