gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.535,0.089265,0.239417,0.508677
1.555,0.077807,0.240949,0.474836
1.575,0.061234,0.240127,0.437836
1.595,0.046204,0.241149,0.402229
1.615,0.039263,0.243627,0.371688
1.635,0.043635,0.244858,0.346216
1.655,0.058214,0.244975,0.326737
1.675,0.081075,0.24413,0.311382
1.695,0.107259,0.242199,0.298466
1.715,0.130633,0.238186,0.286415
1.735,0.14589,0.229984,0.273831
1.755,0.150741,0.218964,0.26079
1.775,0.146888,0.206814,0.24703
1.795,0.140566,0.1934,0.231283
1.815,0.137265,0.178927,0.213152
1.835,0.136879,0.164189,0.192607
1.855,0.137429,0.149557,0.169881
1.875,0.137221,0.135546,0.146764
1.895,0.138152,0.122757,0.124574
1.915,0.143396,0.110123,0.103768
1.935,0.151446,0.098071,0.084558
1.955,0.159821,0.086935,0.06763
1.975,0.166917,0.075442,0.05244
1.995,0.169878,0.063486,0.037066
2.015,0.166737,0.051768,0.020856
2.035,0.15888,0.040407,0.003862
2.055,0.146828,0.029661,-0.014327
2.075,0.132974,0.020123,-0.032358
2.095,0.12145,0.012651,-0.049056
2.115,0.11578,0.006791,-0.063765
2.135,0.115615,0.001398,-0.077223
2.155,0.120182,-0.004385,-0.089777
2.175,0.127749,-0.010299,-0.102821
2.195,0.136073,-0.015874,-0.117019
2.215,0.144088,-0.021895,-0.133132
2.235,0.151315,-0.028746,-0.151206
2.255,0.157508,-0.035391,-0.170641
2.275,0.163556,-0.041123,-0.19059
2.295,0.169634,-0.046372,-0.211227
2.315,0.176794,-0.051859,-0.231568
2.335,0.185456,-0.05707,-0.2515
2.355,0.195485,-0.061634,-0.271523
2.375,0.206949,-0.066334,-0.29205
2.395,0.219434,-0.071781,-0.313768
2.415,0.23053,-0.077309,-0.336366
2.435,0.239544,-0.082481,-0.359801
2.455,0.249818,-0.087586,-0.383381
2.475,0.262126,-0.092634,-0.407068
2.495,0.275572,-0.096889,-0.42975
2.515,0.290729,-0.099347,-0.451497
2.535,0.308884,-0.099396,-0.4733
2.555,0.333254,-0.097639,-0.494729
2.575,0.365161,-0.095562,-0.515756
2.595,0.397073,-0.092645,-0.536974
2.615,0.421621,-0.087528,-0.558167
2.635,0.443069,-0.081392,-0.578056
2.655,0.468574,-0.076205,-0.597714
2.675,0.49869,-0.073223,-0.617775
2.695,0.527848,-0.071754,-0.636503
2.715,0.54842,-0.06984,-0.655168
2.735,0.563346,-0.067907,-0.675077
2.755,0.585651,-0.068469,-0.695725
2.775,0.6186,-0.072339,-0.717938
2.795,0.654044,-0.077957,-0.740367
2.815,0.68029,-0.084073,-0.762338
2.835,0.693805,-0.091903,-0.783479
2.855,0.704066,-0.103603,-0.803526
2.875,0.724452,-0.118521,-0.822181
2.895,0.755623,-0.132872,-0.840141
2.915,0.779324,-0.144787,-0.861422
2.935,0.781492,-0.156433,-0.888508
2.955,0.78451,-0.165505,-0.920717
2.975,0.826202,-0.166551,-0.959074
2.995,0.91751,-0.164563,-1.00025
3.015,1.015282,-0.160227,-1.023389
3.035,1.071274,-0.163192,-1.001889
3.055,0.994099,-0.171241,-0.935074
3.075,0.815353,-0.163778,-0.885738
3.095,0.63099,-0.129865,-0.858095
3.115,0.624556,-0.04905,-0.852887
3.135,0.783797,-0.095045,-0.758026
3.155,0.918652,-0.188102,-0.849104
3.175,0.787713,-0.200249,-0.876832
3.195,0.527089,-0.211645,-0.701862
3.215,0.330951,-0.195523,-0.61684
3.235,0.465307,-0.13643,-0.519435
3.255,0.661287,-0.057238,-0.407888
3.275,0.727775,0.017097,-0.335081
3.295,0.706306,0.066863,-0.274018
3.315,0.679323,0.100929,-0.219887
3.335,0.709945,0.133958,-0.169293
3.355,0.747065,0.150449,-0.129664
3.375,0.729988,0.141284,-0.103392
3.395,0.676623,0.118288,-0.0768
3.415,0.626987,0.092783,-0.055442
3.435,0.589626,0.075865,-0.039266
3.455,0.53315,0.064111,-0.024047
3.475,0.458009,0.054104,-0.000098
3.495,0.385876,0.047428,0.033221
3.515,0.344576,0.045624,0.072179
3.731,0.332754,0.045467,0.077549
3.751,0.317676,0.042909,0.082934
3.771,0.302427,0.038198,0.087413
3.791,0.287303,0.031912,0.090288
3.811,0.275054,0.024849,0.092029
3.831,0.263345,0.017634,0.092922
3.851,0.25241,0.010697,0.094347
3.871,0.243361,0.00441,0.096787
3.891,0.23405,-0.001066,0.100196
3.911,0.224597,-0.006021,0.104816
3.931,0.216815,-0.010378,0.110417
3.951,0.210019,-0.014157,0.115847
3.971,0.202928,-0.017393,0.120084
3.991,0.195306,-0.020226,0.123428
4.011,0.185002,-0.022418,0.125319
4.031,0.173575,-0.023793,0.125979
4.051,0.16271,-0.023706,0.124903
4.071,0.153358,-0.021759,0.122243
4.091,0.146029,-0.017863,0.118291
4.111,0.140276,-0.012432,0.113574
4.131,0.133889,-0.006071,0.108534
4.151,0.12765,0.000671,0.104179
4.171,0.122332,0.007384,0.100886
4.191,0.118385,0.013703,0.098647
4.211,0.114561,0.019431,0.096949
4.231,0.109994,0.024533,0.095511
4.251,0.106085,0.028851,0.094162
4.271,0.102562,0.032342,0.092835
4.291,0.098971,0.035302,0.091418
4.311,0.095613,0.037909,0.089944
4.331,0.091645,0.04009,0.08838
4.351,0.087709,0.041891,0.086961
4.371,0.084979,0.043355,0.085685
4.391,0.083048,0.044474,0.084462
4.411,0.081469,0.045252,0.083186
4.431,0.080294,0.04573,0.081849
4.451,0.078056,0.045893,0.080473
4.471,0.074433,0.045801,0.079034
4.491,0.07105,0.045519,0.077533
4.511,0.068362,0.045168,0.076158
4.531,0.06563,0.044907,0.074991
4.551,0.063064,0.044791,0.073866
4.571,0.060989,0.04482,0.072324
4.591,0.059176,0.044734,0.071059
4.611,0.05695,0.044708,0.070129
4.631,0.053386,0.044543,0.069243
4.651,0.049962,0.044282,0.067765
4.671,0.048542,0.044057,0.06598
4.691,0.046593,0.043697,0.064328
4.711,0.044171,0.043263,0.062994
4.731,0.041741,0.042803,0.061973
4.751,0.039612,0.042375,0.061077
4.771,0.038477,0.041928,0.060154
4.791,0.037827,0.041495,0.059225
4.811,0.0365,0.040983,0.058416
4.831,0.034587,0.040481,0.057575
4.851,0.033106,0.039975,0.056661
4.871,0.032209,0.039442,0.055804
4.891,0.03136,0.038844,0.05512
4.911,0.030107,0.038218,0.054345
4.931,0.029027,0.037651,0.053534
4.951,0.027828,0.037021,0.05272
4.971,0.026525,0.036297,0.051956
4.991,0.025233,0.035553,0.051369
5.011,0.023935,0.034887,0.050717
5.031,0.023197,0.034357,0.049997
5.051,0.02274,0.033909,0.049252
5.071,0.022181,0.033455,0.048515
5.091,0.021626,0.033101,0.047851
5.111,0.021046,0.032803,0.047168
5.131,0.020307,0.032554,0.046443
5.151,0.019033,0.032263,0.04557
5.171,0.017952,0.032017,0.044791
5.191,0.017358,0.03173,0.044189
5.211,0.016595,0.03143,0.043591
5.231,0.015727,0.031107,0.043071
5.251,0.015161,0.030712,0.042753
5.271,0.014596,0.030297,0.042463
5.291,0.013998,0.029756,0.042241
5.311,0.013302,0.029069,0.041887
5.331,0.01292,0.028403,0.04158
5.351,0.012552,0.027759,0.041278
5.371,0.012197,0.027,0.040953
5.391,0.012039,0.026265,0.040654
5.411,0.011811,0.025546,0.040343
5.431,0.011136,0.024777,0.040049
5.451,0.010102,0.024049,0.039718
5.471,0.009399,0.023351,0.039466
5.491,0.009032,0.022694,0.039168
5.511,0.009018,0.022075,0.038915
5.531,0.008982,0.021451,0.038762
5.551,0.008758,0.020795,0.038711
5.571,0.008409,0.020113,0.038705
5.591,0.008108,0.019281,0.038678
5.611,0.007614,0.018494,0.03844
5.631,0.006937,0.01773,0.038093
5.651,0.006238,0.016807,0.037706
5.671,0.005581,0.016041,0.037129
5.691,0.005071,0.015541,0.036511
5.711,0.00442,0.015271,0.035914
6.482,0.003559,0.015709,0.035316
6.502,0.002777,0.016095,0.034671
6.522,0.002448,0.016496,0.03396
6.542,0.002353,0.016916,0.0333
6.562,0.001885,0.017324,0.032649
6.582,0.001294,0.017645,0.031973
6.602,0.000808,0.017972,0.031346
6.622,0.000234,0.018358,0.030858
6.642,-0.000316,0.018726,0.030477
6.662,-0.000839,0.019117,0.030029
6.682,-0.001336,0.019677,0.029509
6.702,-0.001731,0.020329,0.028962
6.722,-0.001945,0.020943,0.028398
6.742,-0.002149,0.02153,0.027868
6.762,-0.002582,0.022143,0.02739
6.782,-0.003073,0.022703,0.026961
6.802,-0.003325,0.023194,0.026531
6.822,-0.00357,0.023619,0.026119
6.842,-0.004111,0.023986,0.025672
6.862,-0.004573,0.0243,0.02524
6.882,-0.004773,0.024546,0.024749
6.902,-0.004906,0.024758,0.024204
6.922,-0.005326,0.024854,0.023585
6.942,-0.00609,0.024873,0.022918
6.962,-0.006929,0.024902,0.022264
6.982,-0.007489,0.02499,0.021673
7.002,-0.007934,0.024972,0.021141
7.022,-0.008602,0.02487,0.020657
7.042,-0.009341,0.024753,0.020175
7.062,-0.009833,0.024629,0.019682
7.082,-0.009941,0.024495,0.019372
7.102,-0.010238,0.024321,0.019013
7.122,-0.010667,0.024149,0.018624
7.142,-0.011192,0.024009,0.018151
7.162,-0.01175,0.023853,0.017659
7.182,-0.0121,0.023671,0.017254
7.202,-0.012455,0.023498,0.016823
7.222,-0.012946,0.023367,0.01636
7.242,-0.013317,0.023273,0.015909
7.262,-0.013584,0.023215,0.015563
7.282,-0.013877,0.023197,0.015271
7.302,-0.01423,0.023224,0.015039
7.322,-0.01464,0.023237,0.014874
7.342,-0.01504,0.023225,0.014732
7.362,-0.015467,0.023212,0.014479
7.382,-0.015683,0.023217,0.014248
7.402,-0.015821,0.023246,0.014043
7.422,-0.016062,0.023233,0.013846
7.442,-0.016523,0.023247,0.013608
7.462,-0.017077,0.023256,0.013381
7.482,-0.017639,0.023246,0.013111
7.502,-0.017943,0.023218,0.012792
7.522,-0.01796,0.02319,0.012479
7.542,-0.018074,0.023129,0.012229
7.562,-0.018321,0.023031,0.012076
7.582,-0.018672,0.022964,0.011897
7.602,-0.018935,0.022945,0.011685
