gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.395,-0.538654,-0.022383,0.073677
0.415,-0.549845,-0.042834,0.108117
0.435,-0.576548,-0.056457,0.150832
0.455,-0.634948,-0.058166,0.200887
0.475,-0.732771,-0.054308,0.256975
0.495,-0.855444,-0.049846,0.314788
0.515,-0.978392,-0.041032,0.381166
0.535,-1.085801,-0.029652,0.44914
0.555,-1.177456,-0.023719,0.514452
0.575,-1.259142,-0.022633,0.578524
0.595,-1.326217,-0.020502,0.648153
0.615,-1.376684,-0.016045,0.723429
0.635,-1.409925,-0.009661,0.801755
0.655,-1.431438,-0.002282,0.875725
0.675,-1.444829,0.004789,0.940554
0.695,-1.4475,0.008545,0.995858
0.715,-1.441895,0.009117,1.039984
0.735,-1.434734,0.008828,1.078371
0.755,-1.434371,0.00791,1.115471
0.775,-1.441533,0.00678,1.150266
0.795,-1.453559,0.004994,1.175819
0.815,-1.462725,0.000933,1.188716
0.835,-1.463129,-0.004915,1.185016
0.855,-1.453284,-0.009848,1.165992
0.875,-1.432946,-0.011677,1.136419
0.895,-1.398839,-0.010642,1.09975
0.915,-1.348928,-0.00741,1.056783
0.935,-1.286,-0.00428,1.007797
0.955,-1.217464,-0.002466,0.952875
0.975,-1.151832,-0.001798,0.891881
0.995,-1.10076,-0.001977,0.821878
1.015,-1.064694,-0.003151,0.742975
1.035,-1.036488,-0.004026,0.655078
1.055,-1.008464,-0.004001,0.557381
1.075,-0.969865,-0.004348,0.449154
1.095,-0.911189,-0.006894,0.33584
1.115,-0.834808,-0.012982,0.221587
1.135,-0.750617,-0.023333,0.11403
1.155,-0.675017,-0.037525,0.018604
1.175,-0.624017,-0.054671,-0.068348
1.195,-0.598402,-0.072262,-0.148747
1.215,-0.581366,-0.086565,-0.218446
1.235,-0.546102,-0.095546,-0.270035
1.255,-0.488935,-0.098791,-0.306719
1.275,-0.420979,-0.097449,-0.328947
1.295,-0.350891,-0.093615,-0.335232
1.315,-0.291401,-0.08869,-0.327297
1.335,-0.252836,-0.082899,-0.305826
1.355,-0.23639,-0.076593,-0.270073
1.375,-0.231377,-0.070204,-0.216497
1.395,-0.234964,-0.062651,-0.145149
1.415,-0.248443,-0.05491,-0.056846
1.435,-0.264947,-0.048694,0.042611
1.455,-0.284643,-0.043665,0.131072
1.475,-0.309787,-0.038671,0.194553
1.495,-0.338834,-0.03354,0.234595
1.515,-0.359659,-0.028298,0.256147
1.535,-0.358918,-0.02434,0.269444
1.555,-0.34333,-0.022842,0.278625
1.575,-0.325815,-0.024723,0.282426
1.595,-0.311405,-0.030259,0.279531
1.615,-0.303088,-0.038334,0.267188
1.635,-0.302282,-0.04792,0.243101
1.655,-0.307371,-0.058218,0.207128
1.675,-0.313249,-0.068059,0.161406
1.695,-0.316765,-0.07515,0.107512
1.715,-0.317184,-0.077824,0.047212
1.735,-0.311774,-0.074555,-0.015207
1.755,-0.296618,-0.067231,-0.07272
1.775,-0.270556,-0.0592,-0.122884
1.795,-0.23638,-0.053778,-0.172215
1.815,-0.198853,-0.05342,-0.22293
1.835,-0.168361,-0.056839,-0.273584
1.855,-0.145441,-0.060519,-0.317985
1.875,-0.125272,-0.061388,-0.353449
1.895,-0.105668,-0.057342,-0.379701
1.915,-0.082377,-0.048813,-0.398431
1.935,-0.057044,-0.036982,-0.40726
1.955,-0.035072,-0.023285,-0.405199
1.975,-0.015877,-0.009188,-0.390724
1.995,0.001514,0.004489,-0.364641
2.015,0.016085,0.016957,-0.328903
2.035,0.023718,0.027929,-0.285315
2.055,0.020191,0.037704,-0.230698
2.075,0.006179,0.046181,-0.163549
2.095,-0.016041,0.053093,-0.090814
2.115,-0.041001,0.058424,-0.016289
2.135,-0.057797,0.059658,0.049447
2.155,-0.063912,0.056398,0.095234
2.175,-0.067376,0.05026,0.122759
2.195,-0.074694,0.042826,0.139733
2.215,-0.084677,0.034886,0.149464
2.235,-0.09127,0.026606,0.153484
2.255,-0.095283,0.019151,0.151243
2.275,-0.09955,0.014154,0.143281
2.295,-0.103801,0.012114,0.129871
2.315,-0.106718,0.012764,0.109498
2.335,-0.106296,0.015607,0.081553
2.355,-0.103032,0.020044,0.043972
2.375,-0.098094,0.026068,-0.003708
2.774,-0.08881,0.035606,0.05121
2.794,-0.083513,0.043967,0.10095
2.814,-0.080633,0.050377,0.139709
2.834,-0.079082,0.055031,0.165965
2.854,-0.076822,0.058251,0.181737
2.874,-0.07194,0.06012,0.189376
2.894,-0.065177,0.060505,0.190337
2.914,-0.059237,0.059414,0.185162
2.934,-0.055555,0.058368,0.174378
2.954,-0.053664,0.058564,0.157209
2.974,-0.052856,0.059863,0.132755
2.994,-0.052516,0.06219,0.100888
3.014,-0.050558,0.0656,0.06151
3.034,-0.045777,0.070195,0.011507
3.054,-0.039839,0.076418,-0.050893
3.074,-0.035044,0.085407,-0.123896
3.094,-0.028815,0.096883,-0.199502
3.114,-0.015999,0.109534,-0.27262
3.134,0.009572,0.119605,-0.341997
3.154,0.048223,0.124668,-0.411667
3.174,0.088346,0.125945,-0.481436
3.194,0.116916,0.126515,-0.550309
3.214,0.133366,0.129276,-0.614815
3.234,0.146629,0.135957,-0.673578
3.254,0.16135,0.147525,-0.725859
3.274,0.176845,0.163844,-0.771324
3.294,0.190812,0.184908,-0.809661
3.314,0.205052,0.210204,-0.836531
3.334,0.223243,0.238975,-0.849152
3.354,0.248237,0.270412,-0.845512
3.374,0.281481,0.303982,-0.823435
3.394,0.31996,0.338591,-0.784479
3.414,0.356987,0.373498,-0.733605
3.434,0.387625,0.407435,-0.675327
3.454,0.406183,0.438977,-0.616058
